	GTEX.Y9LG.1526.SM.4WWDR	GTEX.11LCK.2026.SM.5A5MA	GTEX.XBEW.1926.SM.4SOJO	GTEX.13QBU.1826.SM.5IJG3	GTEX.XPVG.1826.SM.4B64X	TCGA.KM.8477.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KO.8410.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.B0.5117.01A.01R.1420.07	TCGA.B0.4834.01A.01R.1305.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.B0.4700.11A.01R.1541.07	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.X4EO.1126.SM.4QARQ	GTEX.13O3O.1826.SM.5IFGW	GTEX.RWSA.1426.SM.47JXA	TCGA.R5.A805.01A.11R.A36D.31	TCGA.D7.A6F2.01A.12R.A31P.31	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.HU.A4G3.01A.11R.A24K.31	TCGA.CG.4304.01A.01R.1157.13	TCGA.HU.A4GX.01A.12R.A251.31	TCGA.FP.A9TM.01A.11R.A39E.31	TCGA.HU.8238.01A.11R.2343.13	GTEX.144GM.1726.SM.5O9AS	GTEX.VJYA.1026.SM.4KL21	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.Y5V6.1326.SM.4VDTF	GTEX.V1D1.1726.SM.4JBHB
ACYP1	473.41	514.56	480.04	480.04	540.19	159.9	358.54	293.07	373.81	397.93	226.54	351.14	189.02	414.87	299.25	47.17	55.49	100.13	148.09	45.85	547.75	796.86	1023.0	414.87	612.11	947.83	567.1	348.71	148.09	132.44	131.51	301.33	147.06	236.21
ARHGAP11B	136.19	129.69	129.69	80.57	124.37	8.58	4.86	25.17	11.3	16.75	4.7	10.71	10.88	57.08	7.06	3.59	5.15	2.71	3.14	0.27	159.9	237.86	197.09	169.07	158.79	191.67	500.46	127.89	24.28	59.97	31.22	39.79	60.39	63.0
ARL6IP6	483.38	275.28	346.29	403.5	316.37	152.28	189.02	82.29	199.85	73.54	180.02	76.17	206.94	226.54	220.32	48.87	136.19	30.34	38.4	33.06	435.55	339.14	743.43	348.71	457.25	536.45	559.28	264.03	178.77	285.03	314.17	206.94	297.17	325.29
ASPM	113.56	92.7	76.71	70.51	102.25	5.41	7.22	11.82	5.63	8.58	0.35	12.09	11.3	22.1	3.5	2.58	2.71	0.29	1.68	1.19	162.14	242.88	80.57	125.24	90.77	108.9	249.73	98.04	6.11	18.56	8.65	33.06	5.28	24.81
ATAD5	53.95	26.86	32.13	26.67	40.64	4.06	1.48	3.82	7.28	1.95	3.41	5.87	8.65	15.0	8.51	1.93	3.14	3.0	2.58	1.01	97.36	98.04	54.33	44.89	60.39	75.64	138.1	85.82	10.96	17.25	17.38	11.21	10.63	24.81
AUNIP	20.26	26.86	14.56	8.78	19.53	4.46	8.65	11.3	3.2	6.16	7.06	4.35	12.09	3.17	13.42	18.97	4.62	2.23	0.0	4.74	32.13	55.1	51.71	33.06	45.85	57.08	56.28	42.41	10.31	26.86	12.36	33.06	30.56	57.08
AURKA	432.53	381.68	275.28	285.03	460.44	193.01	241.19	149.12	231.32	158.79	18.03	232.94	164.42	81.14	60.82	8.19	30.12	18.7	8.65	142.01	497.0	447.82	571.05	490.14	314.17	450.94	595.34	547.75	55.1	164.42	94.01	182.55	145.02	147.06
BEND3	60.39	98.73	73.54	63.45	88.26	7.11	8.58	9.85	16.27	9.93	31.22	13.93	16.03	11.73	26.28	8.0	15.11	11.73	17.64	22.59	77.79	94.01	66.65	63.45	60.82	53.57	120.1	75.64	48.18	73.54	34.75	40.07	24.99	62.56
BLM	132.44	98.04	96.01	78.89	101.54	11.73	9.7	18.97	12.93	16.75	7.75	33.78	8.65	50.63	7.06	16.15	10.47	4.24	8.85	10.71	208.38	262.2	208.38	87.03	137.14	113.56	264.03	142.01	28.65	54.33	86.43	82.29	24.11	57.49
BORA	199.85	217.27	153.34	181.28	229.72	30.56	14.03	23.25	27.64	19.53	37.59	48.52	31.67	64.34	37.85	24.46	30.56	7.57	15.0	6.41	251.48	273.37	248.0	158.79	211.31	256.78	202.66	195.72	40.36	96.68	84.63	50.98	72.01	73.54
BRCA1	112.77	87.03	97.36	48.87	123.5	27.64	8.65	23.08	13.52	26.47	15.0	15.45	53.19	37.05	24.81	65.26	48.18	31.67	26.28	17.9	348.71	320.8	220.32	119.26	194.36	248.0	316.37	229.72	57.08	72.52	29.27	46.84	58.3	80.01
BRCA2	71.0	52.08	31.9	40.93	31.67	15.56	0.47	9.85	5.96	12.27	2.27	8.19	20.56	15.34	6.46	0.0	7.34	1.22	50.63	8.13	136.19	295.11	51.71	128.79	105.89	105.89	167.9	87.03	17.13	53.19	15.0	17.64	13.72	11.91
