	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.XOT4.0726.SM.4GIAW	GTEX.S341.1526.SM.4AD6K	TCGA.55.8208.01A.11R.2241.07	GTEX.WYVS.0526.SM.3NM9W
AATK	75.64	63.45	6.62	71.0	52.08	18.29	49.21	12.93	31.9	11.55	33.54	49.56	25.17	17.0	56.68	400.71
AC008964.1	285.03	68.55	78.89	267.73	232.94	358.54	248.0	24.46	201.25	60.82	87.03	191.67	105.89	47.17	660.68	1167.14
AIF1	2271.4	791.35	713.11	1519.15	1909.85	2645.74	1883.54	209.84	1594.73	693.58	921.88	3419.52	1044.52	890.44	4419.52	14867.79
AKNA	457.25	60.39	100.13	341.51	180.02	540.19	384.34	84.63	246.28	61.25	189.02	307.69	99.43	291.04	656.11	764.36
ARHGAP4	728.11	127.0	476.71	423.61	289.02	521.76	406.31	129.69	332.14	88.26	234.57	708.18	493.56	327.56	1388.16	1709.26
ASGR2	26.67	2.46	5.02	22.92	17.51	18.56	17.51	2.66	15.45	2.89	2.16	20.56	3.08	11.47	53.95	31.67
BSND	4.24	1.07	0.0	2.97	0.38	0.84	1.11	0.0	1.45	0.34	0.38	0.75	0.01	0.2	0.42	0.49
C1QA	7230.1	1498.22	1159.07	4869.99	2816.11	6164.49	7966.99	507.46	2758.13	718.08	1350.18	7857.29	1331.57	4388.98	15607.02	52863.07
C1QB	9088.59	1991.0	1208.34	7749.1	3928.15	7032.37	9409.14	616.37	4010.71	830.75	1617.0	9344.14	1225.22	4481.23	17197.56	39785.74
C1QC	7857.29	1447.15	1127.35	5255.91	3103.19	5594.3	6079.61	563.18	2835.7	848.22	1191.69	6337.83	961.07	2627.46	12502.12	29327.18
C1orf216	316.37	164.42	220.32	403.5	273.37	255.0	387.02	78.34	195.72	289.02	242.88	242.88	181.28	244.57	265.87	251.48
C5AR1	429.54	92.7	70.01	226.54	154.42	297.17	185.11	36.79	139.07	47.84	50.98	224.97	25.35	66.18	651.58	3794.3
CASS4	44.89	9.85	5.54	33.54	27.25	32.36	33.54	1.95	15.91	6.41	8.19	19.39	11.64	11.82	65.72	142.01
CATSPER1	24.11	18.84	5.92	24.81	20.11	25.54	22.75	3.82	2.39	7.75	3.79	9.41	0.0	5.96	45.85	102.97
CCR7	251.48	29.7	44.89	189.02	42.41	301.33	194.36	18.7	38.67	21.63	22.92	103.69	7.51	39.79	264.03	1757.34
CD300C	106.63	24.46	22.59	78.34	45.53	111.21	57.49	5.11	35.76	19.82	16.88	49.21	28.24	9.13	144.01	1059.11
CD300LF	172.65	17.9	20.26	139.07	94.01	98.04	113.56	21.47	66.18	20.71	33.78	46.84	40.07	12.45	379.04	848.22
CD53	2090.03	493.56	339.14	1819.35	1216.75	2119.22	1628.26	134.3	854.13	323.03	395.18	947.83	181.28	825.0	4298.64	8479.89
CD68	9540.5	2240.11	1508.65	5995.9	3303.0	5633.22	5183.54	603.67	2451.44	928.3	928.3	2384.37	656.11	5292.48	9945.68	16960.78
CD84	356.05	32.36	33.78	295.11	161.02	215.77	198.47	13.83	57.49	30.34	26.28	60.82	100.13	127.0	363.56	336.79
CD86	348.71	112.77	61.25	470.14	271.48	518.15	275.28	26.86	189.02	81.71	57.49	180.02	43.94	69.03	624.99	1806.78
CDH24	158.79	19.11	48.18	122.64	55.89	47.84	99.43	55.1	63.0	38.12	67.59	77.25	37.59	49.21	211.31	64.34
CENPO	218.79	87.65	140.04	316.37	209.84	137.14	255.0	100.13	69.52	144.01	100.83	146.03	61.25	100.13	232.94	356.05
CNPY3	1745.2	1073.91	819.3	1457.23	1167.14	1674.06	1457.23	825.0	1037.29	1127.35	1044.52	1628.26	624.99	1369.04	1991.0	2061.24
CORO1A	2178.83	289.02	341.51	1111.82	974.5	2287.2	1457.23	137.14	551.56	226.54	341.51	909.17	291.04	624.99	3467.27	6607.01
CRYBB1	41.52	7.75	16.63	11.73	26.1	26.1	22.59	8.65	19.25	7.75	15.0	26.28	9.7	13.22	32.59	52.08
CTSL	4575.41	1923.14	1628.26	5255.91	1757.34	4575.41	2591.27	1498.22	1529.73	813.63	1233.75	3039.3	1073.91	1844.76	9808.75	23986.58
DOCK2	420.68	62.12	74.58	363.56	269.6	435.55	343.89	22.1	161.02	59.55	82.29	190.34	128.79	148.09	679.29	1605.83
DOK2	420.68	35.0	43.94	190.34	88.26	414.87	241.19	7.82	114.36	10.47	43.94	208.38	35.76	108.14	629.35	2104.58
FAM78A	173.85	20.41	24.63	119.26	91.41	167.9	125.24	13.03	60.39	14.78	32.82	76.71	24.63	59.55	264.03	420.68
FCER1G	4543.8	1909.85	764.36	4038.61	3018.3	5041.77	3190.46	470.14	2682.69	909.17	941.27	2701.35	563.18	1242.34	9279.58	22225.61
FCGR2A	967.76	571.05	379.04	1331.57	1088.92	1651.0	785.88	166.73	836.53	392.44	275.28	967.76	444.72	297.17	2119.22	6079.61
FERMT3	848.22	186.4	124.37	591.22	336.79	921.88	612.11	87.03	212.78	102.25	182.55	450.94	112.77	193.01	1883.54	3742.05
FGR	387.02	61.25	48.18	158.79	122.64	327.56	191.67	30.12	144.01	50.27	82.29	183.82	47.17	145.02	1023.0	500.46
GABRR2	7.82	0.45	1.22	2.73	1.19	3.03	3.82	2.14	4.46	0.75	0.46	2.71	1.71	6.01	27.84	5.59
GGH	2178.83	229.72	103.69	1923.14	555.41	708.18	368.65	204.07	708.18	403.5	444.72	260.38	264.03	50.27	511.0	1709.26
GPSM3	884.29	406.31	395.18	647.07	620.67	1111.82	599.49	277.2	463.65	127.89	316.37	571.05	267.73	366.09	1594.73	1781.89
GRAMD4	703.28	231.32	206.94	303.44	432.53	251.48	555.41	169.07	371.22	341.51	409.15	429.54	480.04	379.04	703.28	974.5
HAVCR2	470.14	124.37	102.97	423.61	316.37	579.04	305.55	46.18	143.01	96.68	92.7	246.28	111.99	121.79	595.34	2627.46
HCK	532.74	137.14	108.9	441.64	305.55	500.46	423.61	32.36	204.07	86.43	105.15	381.68	110.43	135.24	1259.69	3124.78
HK3	166.73	15.68	8.13	92.05	23.25	50.98	58.3	16.39	17.77	16.15	6.84	93.35	11.73	29.27	878.17	1447.15
HLA-DMB	2835.7	563.18	612.11	2573.36	1709.26	3820.7	2997.45	218.79	1519.15	540.19	884.29	1561.89	1331.57	567.1	5329.3	15392.14
HMGB2	5872.48	2664.15	3928.15	2816.11	5076.84	2032.85	3847.29	1051.79	1991.0	1757.34	1923.14	2468.49	1806.78	1250.98	3124.78	3146.52
HNRNPA3	6745.86	4298.64	4607.24	6561.36	5913.33	5633.22	6699.25	4869.99	4152.18	5403.7	4152.18	4937.99	3419.52	5006.93	7695.57	7433.4
IGFLR1	470.14	180.02	194.36	426.57	239.52	503.95	525.39	111.21	232.94	102.25	134.3	353.59	113.56	221.86	995.0	1721.16
IL10RA	819.3	87.03	124.37	473.41	305.55	432.53	387.02	22.75	244.57	54.33	94.01	287.01	145.02	226.54	995.0	2351.53
IRF5	432.53	137.14	167.9	429.54	248.0	316.37	248.0	244.57	161.02	129.69	85.22	145.02	241.19	172.65	599.49	866.07
ITGB2	2796.65	275.28	260.38	1651.0	1242.34	2047.0	2271.4	156.59	647.07	314.17	397.93	909.17	368.65	426.57	5041.77	11745.96
LAIR1	1001.93	199.85	153.34	808.0	559.28	1088.92	796.86	59.13	403.5	135.24	193.01	629.35	273.37	529.06	1685.71	4704.07
LAT	441.64	55.89	105.89	205.5	119.26	429.54	309.83	50.63	185.11	10.71	96.01	155.5	100.13	253.23	575.03	423.61
LAT2	400.71	132.44	87.03	371.22	412.0	500.46	291.04	41.81	255.0	175.07	120.94	258.57	120.94	162.14	684.02	1437.15
LILRA6	176.29	18.56	7.17	119.26	30.34	109.66	110.43	6.94	34.26	13.52	8.85	53.19	15.8	23.59	412.0	1104.13
LILRB3	137.14	18.7	5.32	74.58	48.52	82.87	72.52	3.53	23.59	11.64	12.55	119.26	10.31	16.39	703.28	575.03
LST1	1104.13	320.8	251.48	575.03	563.18	1551.09	780.44	109.66	493.56	229.72	341.51	854.13	536.45	358.54	1857.6	4869.99
LY86	426.57	158.79	90.77	275.28	473.41	567.1	305.55	63.0	258.57	101.54	121.79	339.14	186.4	88.88	463.65	1498.22
MDS2	2.32	0.35	0.36	4.03	0.0	1.58	1.41	0.0	0.0	0.32	0.0	2.78	0.0	0.51	2.43	7.46
ME2	507.46	314.17	351.14	595.34	547.75	414.87	493.56	339.14	463.65	466.88	314.17	463.65	305.55	387.02	808.0	1870.53
MGP	485798.0	998912.34	1139523.1	659036.03	736332.6	623486.02	569761.05	1196176.45	414208.18	459592.86	800198.39	509950.32	1524599.69	400098.69	8191.0	12676.65
MICAL2	1477.58	253.23	607.87	1037.29	1008.9	1628.26	521.76	353.59	293.07	563.18	435.55	473.41	447.82	271.48	1199.98	2090.03
MNDA	470.14	129.69	128.79	591.22	490.14	412.0	301.33	47.17	242.88	99.43	100.13	293.07	117.6	135.24	780.44	2163.77
MPP1	624.99	151.22	167.9	599.49	381.68	669.92	373.81	260.38	371.22	265.87	329.84	435.55	299.25	361.04	1175.27	1844.76
MS4A4A	1159.07	127.89	135.24	743.43	412.0	587.13	591.22	42.41	368.65	84.04	127.0	1030.12	249.73	543.96	1359.57	4639.29
MS4A6A	3419.52	743.43	743.43	2855.44	2240.11	3690.52	2935.74	251.48	1757.34	587.13	808.0	3257.52	1151.06	1594.73	5147.73	13033.07
MSR1	1572.76	371.22	356.05	1037.29	1015.93	1242.34	429.54	138.1	217.27	305.55	105.15	297.17	132.44	115.97	1015.93	1388.16
NCF2	567.1	92.05	82.87	389.72	260.38	406.31	316.37	54.72	206.94	78.34	81.14	157.68	48.87	81.71	1350.18	3146.52
NCKAP1L	571.05	78.34	80.01	483.38	363.56	543.96	397.93	33.06	202.66	81.71	96.01	232.94	253.23	175.07	780.44	2935.74
NFAM1	144.01	14.56	11.64	102.97	64.34	109.66	150.17	11.64	38.4	43.94	25.17	66.65	17.0	27.44	314.17	684.02
NLRC4	69.52	21.78	15.91	34.02	52.82	43.94	46.18	3.72	43.63	12.93	15.68	55.49	16.88	28.45	87.65	312.0
OSCAR	186.4	58.3	44.57	175.07	69.03	147.06	137.14	74.06	73.54	33.06	38.95	67.12	47.84	45.21	493.56	796.86
