	GTEX.13CF3.2126.SM.5IFJP	GTEX.144GM.1326.SM.5LU5E	GTEX.14C38.1526.SM.5RQJ7	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.33.4589.01A.01R.1443.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A3FL.01A.11R.A21D.07	TCGA.EL.A3ZT.11A.13R.A23N.07	GTEX.Y111.1926.SM.4SOIS	GTEX.OIZH.2626.SM.2HMJM	GTEX.W5X1.0426.SM.3GILB	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YJ89.0726.SM.5P9F7	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.13OW7.0826.SM.5L3EL	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZVT3.0726.SM.5GICN	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11NSD.0126.SM.5987F	GTEX.WL46.0126.SM.3TW8I	GTEX.RN64.0626.SM.2TC5V	GTEX.131YS.0726.SM.5P9G9	GTEX.ZC5H.0626.SM.5LU9K	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.117YW.0126.SM.5EGGN	GTEX.132NY.1026.SM.5P9IY	GTEX.ZT9W.0226.SM.4YCCZ	GTEX.RNOR.0926.SM.2TF56	GTEX.YEC3.0826.SM.4WWFP	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.OOBK.2626.SM.2HMKY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12WSD.0926.SM.5GCNL	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13FTY.0726.SM.5J2OH	GTEX.144GL.1226.SM.5O9A4	GTEX.ZVZQ.0626.SM.59HJU	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.13112.0326.SM.5P9IW	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1	GTEX.V1D1.0926.SM.4JBHQ	GTEX.13FTW.0626.SM.5IFEX
ACBD4	29.48	190.34	343.89	0.0	0.48	27.84	366.09	417.77	406.31	334.46	796.86	884.29	476.71	791.35	713.11	995.0	521.76	423.61	460.44	878.17	397.93	587.13	813.63	361.04	713.11	599.49	915.51	813.63	423.61	392.44	595.34	836.53	511.0	769.69	470.14	547.75	356.05	748.61	665.29	438.59	571.05	450.94	316.37	708.18	1059.11	1088.92	1127.35	1096.5	1066.48	703.28	579.04	432.53	842.36	571.05	981.29	417.77	738.29	723.08	417.77	921.88	406.31	866.07	967.76	547.75	647.07	450.94	466.88	1268.46	412.0	1088.92	669.92	848.22	555.41	503.95	759.08	514.56	384.34	463.65	423.61	397.93	934.76	890.44	769.69	559.28	591.22	679.29	351.14	603.67	728.11	759.08	961.07	629.35	470.14	872.1	1096.5	373.81
ACD	214.27	127.89	217.27	0.0	0.61	299.25	166.73	244.57	246.28	329.84	587.13	575.03	423.61	638.15	389.72	718.08	457.25	363.56	329.84	579.04	417.77	536.45	587.13	281.09	366.09	356.05	764.36	500.46	392.44	316.37	441.64	603.67	463.65	612.11	343.89	409.15	332.14	450.94	392.44	291.04	414.87	409.15	291.04	684.02	753.83	872.1	713.11	748.61	698.41	514.56	503.95	343.89	500.46	454.09	551.56	318.57	616.37	536.45	281.09	764.36	356.05	698.41	575.03	318.57	624.99	379.04	406.31	775.05	325.29	612.11	563.18	547.75	346.29	435.55	624.99	490.14	353.59	341.51	339.14	400.71	819.3	633.73	780.44	432.53	463.65	674.59	353.59	521.76	555.41	420.68	620.67	490.14	351.14	476.71	738.29	287.01
ADAM33	5.63	0.52	3.17	0.0	0.84	1.38	120.94	43.63	27.64	45.53	212.78	318.57	77.25	111.21	181.28	256.78	101.54	74.06	83.45	190.34	173.85	198.47	87.03	102.97	211.31	49.21	206.94	348.71	34.51	96.01	134.3	373.81	154.42	94.01	75.11	150.17	158.79	320.8	71.5	69.03	123.5	97.36	97.36	149.12	688.78	129.69	96.68	583.07	128.79	603.67	87.03	72.01	218.79	67.59	551.56	68.55	253.23	376.41	26.86	249.73	117.6	376.41	400.71	113.56	217.27	34.02	121.79	170.25	107.38	185.11	38.12	228.13	76.71	46.84	178.77	127.89	37.05	22.43	42.41	32.36	279.14	351.14	503.95	148.09	122.64	483.38	55.89	182.55	361.04	169.07	295.11	237.86	126.12	197.09	258.57	95.34
AGBL2	5.23	1.83	9.41	0.0	0.0	10.96	22.1	16.03	19.97	10.71	117.6	85.22	45.53	128.79	60.82	176.29	41.81	23.42	43.94	133.36	32.13	77.79	121.79	52.45	71.0	48.18	153.34	76.17	40.36	42.41	76.17	144.01	41.81	64.8	33.78	44.89	21.47	84.63	82.29	12.36	53.95	38.95	21.47	65.72	118.43	162.14	149.12	155.5	109.66	115.16	70.51	19.39	126.12	31.45	97.36	19.97	111.99	120.1	22.43	151.22	29.48	93.35	72.01	34.26	178.77	26.1	47.5	120.1	29.7	120.94	57.89	85.22	27.64	28.65	98.04	27.44	20.56	17.77	6.31	18.43	139.07	151.22	110.43	41.81	58.3	126.12	27.64	56.68	117.6	62.56	115.97	62.56	15.8	114.36	144.01	19.53
AGPAT4	61.68	17.38	35.25	236.21	59.13	237.86	43.32	52.08	31.22	76.71	191.67	193.01	165.57	447.82	187.71	183.82	161.02	116.78	108.14	271.48	198.47	147.06	334.46	162.14	126.12	71.5	454.09	214.27	65.72	142.01	173.85	152.28	204.07	112.77	85.22	158.79	114.36	202.66	221.86	101.54	98.04	75.11	173.85	198.47	153.34	241.19	246.28	314.17	146.03	334.46	108.14	112.77	161.02	153.34	256.78	140.04	511.0	409.15	44.89	180.02	125.24	368.65	198.47	89.51	187.71	75.64	95.34	198.47	358.54	209.84	220.32	476.71	70.51	161.02	325.29	149.12	78.89	104.42	110.43	69.52	178.77	301.33	358.54	139.07	88.88	395.18	100.13	220.32	149.12	130.6	246.28	215.77	150.17	169.07	264.03	127.0
AMT	31.67	285.03	307.69	0.0	0.99	10.39	185.11	108.14	116.78	100.83	1023.0	1127.35	258.57	785.88	343.89	947.83	353.59	262.2	265.87	1259.69	159.9	454.09	1225.22	271.48	595.34	947.83	1104.13	854.13	218.79	248.0	547.75	638.15	371.22	392.44	209.84	224.97	189.02	543.96	447.82	248.0	397.93	368.65	109.66	854.13	1216.75	1508.65	1081.39	674.59	1081.39	1073.91	476.71	191.67	620.67	466.88	753.83	234.57	1259.69	688.78	429.54	1832.01	166.73	743.43	420.68	287.01	808.0	137.14	334.46	1233.75	173.85	1183.45	493.56	878.17	348.71	271.48	921.88	309.83	209.84	420.68	165.57	253.23	1259.69	1111.82	1250.98	226.54	480.04	1023.0	295.11	529.06	967.76	371.22	708.18	454.09	309.83	599.49	1135.2	180.02
ANAPC2	297.17	447.82	463.65	0.0	0.91	175.07	450.94	483.38	500.46	490.14	872.1	813.63	540.19	825.0	490.14	947.83	769.69	708.18	769.69	764.36	599.49	591.22	1127.35	713.11	423.61	638.15	1286.18	764.36	343.89	616.37	688.78	791.35	854.13	909.17	500.46	748.61	624.99	656.11	629.35	642.59	651.58	688.78	518.15	753.83	830.75	1199.98	1015.93	909.17	775.05	693.58	665.29	679.29	616.37	921.88	713.11	571.05	1081.39	830.75	583.07	890.44	769.69	974.5	642.59	693.58	713.11	575.03	624.99	866.07	638.15	1073.91	808.0	872.1	624.99	583.07	769.69	902.89	591.22	543.96	660.68	693.58	775.05	872.1	1096.5	599.49	733.19	909.17	629.35	1008.9	878.17	595.34	878.17	559.28	599.49	603.67	1295.13	579.04
ANAPC5	1417.35	1819.35	1286.18	0.0	0.56	2367.9	2032.85	1936.53	2255.7	2178.83	1832.01	2573.36	1909.85	2758.13	1794.29	2573.36	1883.54	1605.83	1870.53	2664.15	1594.73	1963.57	2032.85	1857.6	2271.4	1331.57	2555.58	2104.58	1977.24	1651.0	1963.57	2701.35	1806.78	1950.0	1819.35	1832.01	1769.57	2240.11	1923.14	1662.49	2004.85	2104.58	1519.15	1991.0	2319.15	2367.9	2591.27	2104.58	1883.54	2224.63	2032.85	2193.99	2148.82	1896.65	2163.77	1605.83	2148.82	2417.67	1883.54	2335.28	1844.76	2701.35	2255.7	1757.34	2451.44	1697.45	1832.01	2502.97	1936.53	2287.2	1832.01	2367.9	1651.0	1757.34	2468.49	2004.85	1697.45	1832.01	1950.0	1697.45	2367.9	3212.66	2997.45	1651.0	1617.0	2555.58	1819.35	2287.2	2163.77	1923.14	2193.99	2047.0	1832.01	2555.58	2796.65	1674.06
ANKRD18A	0.13	6.16	13.32	0.0	0.35	10.08	70.01	43.63	23.08	33.54	229.72	111.21	41.52	236.21	57.08	217.27	115.97	49.56	111.99	358.54	83.45	101.54	293.07	150.17	55.89	88.26	237.86	152.28	97.36	55.1	206.94	206.94	205.5	158.79	43.63	66.65	77.79	28.04	65.72	40.07	142.01	176.29	42.41	262.2	201.25	251.48	231.32	277.2	224.97	101.54	190.34	61.68	327.56	83.45	232.94	35.0	146.03	209.84	50.27	166.73	88.26	236.21	105.15	49.56	121.79	53.95	17.38	616.37	41.22	218.79	59.55	146.03	38.67	30.12	190.34	30.34	42.71	123.5	12.93	83.45	169.07	403.5	283.05	17.38	105.89	126.12	47.5	366.09	101.54	28.86	314.17	90.14	85.22	205.5	316.37	41.81
ANKRD20A3	16.39	0.57	0.51	0.0	0.0	0.0	2.29	2.51	0.0	10.79	30.34	26.67	19.53	16.63	12.64	26.47	29.06	4.62	17.13	22.26	15.68	3.69	37.32	7.22	19.97	9.56	27.64	17.38	17.13	4.86	11.64	26.47	12.0	3.79	4.31	12.55	2.03	5.41	31.22	6.31	10.39	16.75	5.82	10.31	17.9	18.56	10.31	27.05	21.16	34.02	20.26	0.0	56.28	10.71	13.12	8.25	46.18	11.3	6.84	21.32	6.31	26.86	16.88	5.23	16.75	12.55	6.62	10.31	13.93	22.75	6.73	18.97	10.47	11.38	25.54	21.16	16.75	11.73	1.39	16.15	21.78	22.26	38.67	2.94	6.94	34.75	9.63	15.22	18.97	11.04	18.97	8.58	26.1	13.72	26.86	7.69
