	TCGA.ZF.AA4V.01A.11R.A38B.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.LL.A7T0.01A.31R.A352.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.PE.A5DD.01A.12R.A27Q.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.MS.A51U.01A.31R.A266.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.B6.A40B.01A.11R.A239.07	TCGA.B6.A401.01A.11R.A239.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AC.A3QQ.01B.06R.A22O.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.BH.A42T.01A.11R.A24H.07	TCGA.JL.A3YX.01A.11R.A22U.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1F0.11B.23R.A137.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A18N.11A.43R.A12D.07	TCGA.BH.A0BC.11A.22R.A089.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZZPU.0626.SM.5E43T	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.1269C.2426.SM.5FQSN	GTEX.W5X1.2326.SM.3GIL6	GTEX.S341.1526.SM.4AD6K	GTEX.T2IS.1526.SM.32QPR	GTEX.ZF29.1926.SM.5S2P1	GTEX.S4P3.1326.SM.4AD6V	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.TML8.1226.SM.32QON	GTEX.13QIC.2326.SM.5LU5N	TCGA.44.3918.01A.01R.A278.07
ADRM1	4210.15	2090.03	7280.4	2032.85	1651.0	2384.37	1605.83	5441.3	6983.79	4802.93	1572.76	2287.2	2997.45	2119.22	2434.5	2468.49	2976.74	836.53	3235.01	5006.93	2701.35	454.09	2335.28	3665.02	2835.7	2555.58	4298.64	2148.82	1407.55	4181.07	1883.54	6207.38	2018.8	3280.18	1008.9	1733.13	2178.83	785.88	813.63	684.02	1757.34	1447.15	1605.83	1757.34	1572.76	497.0	2090.03	759.08	1037.29	1304.15	1008.9	1135.2	1286.18	500.46	1359.57	1313.23	1757.34	1119.56	1135.2	2816.11	2976.74	748.61	854.13	2061.24	802.41	1350.18	733.19
ALKBH6	633.73	733.19	450.94	381.68	256.78	253.23	178.77	567.1	503.95	674.59	248.0	287.01	629.35	429.54	397.93	229.72	836.53	129.69	518.15	1216.75	511.0	420.68	476.71	775.05	460.44	312.0	583.07	204.07	173.85	291.04	195.72	536.45	376.41	587.13	214.27	248.0	194.36	159.9	145.02	175.07	264.03	255.0	262.2	277.2	228.13	129.69	291.04	281.09	351.14	236.21	258.57	323.03	279.14	191.67	334.46	264.03	231.32	140.04	457.25	87.03	166.73	214.27	334.46	348.71	239.52	190.34	262.2
ANAPC11	7911.95	4328.55	11745.96	4639.29	6164.49	5147.73	3564.78	13399.51	9279.58	7589.61	2816.11	3820.7	4298.64	1923.14	5633.22	3564.78	4543.8	1259.69	5831.91	6079.61	4419.52	536.45	3235.01	10154.69	7230.1	6699.25	6561.36	2609.3	2335.28	4607.24	2367.9	6887.62	5041.77	7695.57	1529.73	2090.03	2417.67	1561.89	1594.73	1199.98	2351.53	1721.16	1950.0	1923.14	2417.67	866.07	2915.45	1250.98	1963.57	1498.22	1769.57	1583.71	1322.37	808.0	1628.26	2303.12	1268.46	1242.34	1651.0	3039.3	10225.32	981.29	1457.23	4836.35	1073.91	1923.14	1378.57
ASNA1	3467.27	1870.53	2915.45	3039.3	2303.12	1175.27	1081.39	3639.7	2163.77	2240.11	2287.2	2075.59	2451.44	2573.36	2664.15	2271.4	2701.35	1044.52	2720.15	2976.74	2591.27	559.28	2193.99	3820.7	2720.15	2537.92	2004.85	1583.71	1745.2	1896.65	1709.26	2997.45	3060.45	1950.0	1104.13	1427.22	1662.49	1023.0	1167.14	896.64	1477.58	1733.13	1397.83	1498.22	1757.34	698.41	1936.53	941.27	1159.07	1250.98	1313.23	1286.18	954.43	819.3	1870.53	1540.37	1167.14	1088.92	1313.23	2119.22	2816.11	1233.75	1119.56	2609.3	1331.57	1378.57	974.5
AURKAIP1	4512.4	3491.39	5112.16	2468.49	2018.8	2061.24	1936.53	3540.14	6745.86	3039.3	1159.07	1923.14	5112.16	1561.89	4038.61	2335.28	3443.31	426.57	3257.52	4769.75	3081.75	242.88	1757.34	3190.46	4512.4	3982.99	3081.75	2720.15	1806.78	3190.46	1733.13	9409.14	3146.52	2485.67	819.3	1685.71	2224.63	698.41	674.59	450.94	1639.59	1721.16	1909.85	1991.0	1498.22	289.02	2935.74	738.29	1081.39	1051.79	1066.48	1175.27	1015.93	454.09	1233.75	1167.14	1216.75	1044.52	1662.49	1950.0	4836.35	738.29	1159.07	3212.66	785.88	1175.27	480.04
B4GALT7	483.38	836.53	1023.0	656.11	603.67	848.22	414.87	698.41	830.75	457.25	409.15	723.08	1044.52	571.05	825.0	583.07	583.07	246.28	1001.93	896.64	718.08	323.03	674.59	1030.12	896.64	497.0	1242.34	540.19	463.65	607.87	466.88	669.92	775.05	769.69	277.2	444.72	463.65	346.29	275.28	389.72	435.55	518.15	514.56	438.59	420.68	224.97	612.11	305.55	314.17	361.04	361.04	334.46	283.05	229.72	511.0	395.18	371.22	387.02	511.0	423.61	551.56	246.28	426.57	457.25	351.14	269.6	135.24
BRMS1	1685.71	1225.22	2209.26	1286.18	967.76	884.29	890.44	2193.99	3395.89	1268.46	941.27	1225.22	2319.15	529.06	1331.57	1322.37	1143.1	460.44	1806.78	1529.73	1233.75	191.67	1313.23	1397.83	1936.53	1199.98	1313.23	1216.75	718.08	1487.87	866.07	2255.7	1277.29	1551.09	514.56	796.86	967.76	299.25	450.94	363.56	860.08	802.41	738.29	981.29	915.51	314.17	1081.39	483.38	497.0	543.96	500.46	656.11	599.49	301.33	941.27	860.08	848.22	460.44	764.36	1216.75	1508.65	358.54	638.15	2255.7	500.46	490.14	387.02
C11orf83	389.72	379.04	1119.56	293.07	236.21	309.83	85.22	738.29	483.38	314.17	178.77	279.14	688.78	138.1	514.56	253.23	312.0	121.79	312.0	466.88	318.57	84.63	341.51	444.72	791.35	325.29	483.38	231.32	172.65	500.46	142.01	764.36	373.81	358.54	96.01	144.01	190.34	85.82	85.22	69.52	130.6	164.42	136.19	131.51	146.03	39.5	241.19	115.97	78.89	113.56	166.73	73.03	105.15	36.27	115.97	157.68	80.57	63.45	122.64	165.57	748.61	54.33	111.21	334.46	88.26	98.04	47.17
C19orf24	2502.97	1685.71	2075.59	941.27	1628.26	718.08	713.11	1322.37	2004.85	1806.78	988.12	1277.29	1733.13	1151.06	1709.26	1286.18	2384.37	403.5	2209.26	2739.08	1977.24	279.14	1498.22	3124.78	2193.99	1322.37	1551.09	1350.18	738.29	1447.15	813.63	3443.31	2178.83	1350.18	647.07	780.44	947.83	500.46	603.67	723.08	848.22	624.99	830.75	791.35	1104.13	476.71	1119.56	679.29	529.06	698.41	819.3	607.87	647.07	249.73	808.0	624.99	493.56	848.22	733.19	1119.56	2591.27	289.02	620.67	1733.13	463.65	674.59	49.91
C19orf53	7803.01	4450.27	6250.56	5112.16	4358.66	2485.67	1651.0	6207.38	4358.66	4575.41	2591.27	4181.07	6983.79	4450.27	4358.66	4010.71	5594.3	1427.22	5329.3	5672.41	3168.41	1519.15	2935.74	6337.83	3928.15	3794.3	4298.64	3639.7	2855.44	6121.9	2758.13	6121.9	3901.01	4152.18	2287.2	2591.27	3018.3	2075.59	2816.11	2468.49	2875.3	2816.11	2591.27	2682.69	3395.89	2032.85	3515.68	2004.85	1883.54	1551.09	1769.57	2976.74	2018.8	1709.26	2287.2	2997.45	2104.58	2018.8	2163.77	7589.61	10883.59	1963.57	2573.36	6079.61	2018.8	2591.27	2178.83
