	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.C4.A0F0.01A.12R.A10U.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.ZTSS.0626.SM.59867	GTEX.V1D1.1026.SM.4JBHE	GTEX.NFK9.1126.SM.3LK78	GTEX.T8EM.0526.SM.4DM64	GTEX.12BJ1.1626.SM.5HL8Y	GTEX.XBED.1026.SM.48TCB	GTEX.VJYA.0726.SM.4KL1T	GTEX.ZPCL.1426.SM.57WEC	TCGA.CV.7180.01A.11R.2016.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.CV.6956.11A.01R.2016.07	TCGA.CV.7416.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
ABCA5	59.13	48.87	435.55	616.37	368.65	414.87	503.95	279.14	426.57	647.07	830.75	860.08	624.99	620.67	543.96	521.76	860.08	102.97	74.06	41.52	191.67	171.45	175.07	381.68	0.0	253.23	161.02	120.94	153.34	229.72
AC016586.1	0.88	0.0	1.33	5.32	6.46	5.77	4.66	7.06	2.61	20.41	9.34	30.34	19.68	14.45	23.76	19.68	14.78	1.19	1.46	0.39	0.46	3.5	1.5	3.0	0.0	2.76	0.95	1.58	1.66	1.55
AC139426.2	1.17	0.0	0.8	1.73	6.16	6.46	3.99	5.63	4.17	11.91	11.91	3.96	3.38	3.92	6.16	2.14	8.99	0.0	0.0	0.0	1.14	0.0	0.0	1.64	0.0	0.82	0.71	0.69	0.95	0.0
ADAM20	0.0	0.0	0.91	1.58	1.81	3.82	3.66	2.71	1.83	5.15	4.28	1.62	2.07	1.77	2.03	2.97	3.26	0.0	0.56	0.42	0.92	1.38	0.57	0.51	0.0	1.64	1.66	0.92	0.22	0.0
ADAT2	64.34	80.01	105.15	358.54	255.0	242.88	154.42	145.02	108.9	204.07	241.19	204.07	212.78	234.57	191.67	197.09	343.89	104.42	54.72	97.36	52.45	101.54	59.97	87.65	0.0	84.63	89.51	94.01	71.0	53.19
AL118506.1	2.34	0.0	18.7	3.69	38.4	59.97	67.12	43.94	40.64	96.01	72.52	52.08	41.52	76.71	48.18	65.72	100.13	0.0	2.61	9.41	5.41	6.46	0.0	36.53	0.0	24.46	34.75	11.13	6.41	6.11
AMT	100.13	4.13	65.72	220.32	226.54	236.21	176.29	166.73	231.32	262.2	460.44	351.14	199.85	420.68	368.65	224.97	909.17	10.79	7.0	10.08	32.59	42.11	10.79	52.45	0.0	36.27	43.02	31.45	26.28	15.91
ARHGAP40	111.99	11.82	5219.6	5076.84	1127.35	463.65	1081.39	1870.53	848.22	872.1	753.83	872.1	866.07	684.02	392.44	1030.12	1322.37	41.52	111.21	45.85	24.63	151.22	63.45	423.61	0.0	150.17	426.57	127.89	392.44	198.47
BZRAP1	13.83	12.09	74.58	103.69	215.77	191.67	128.79	92.05	197.09	137.14	361.04	273.37	169.07	249.73	281.09	167.9	616.37	25.17	7.22	0.0	45.85	56.68	19.82	70.01	0.0	25.72	87.65	31.45	30.56	18.16
C16orf3	0.88	0.0	4.06	8.32	5.5	13.62	5.54	9.48	5.82	14.78	13.52	33.3	17.51	16.15	29.06	13.62	30.12	0.0	0.0	0.0	0.0	1.25	0.0	5.11	0.0	1.57	0.42	2.29	3.03	0.0
