	GTEX.U3ZM.0826.SM.4DXU6	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AA.3663.11A.01R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.XGQ4.1226.SM.4AT67	GTEX.QDVJ.1326.SM.48U1X	GTEX.SNMC.1126.SM.4DM5M	GTEX.QDVN.1326.SM.48TZ3	GTEX.O5YT.1426.SM.3MJHC	GTEX.11ZVC.2126.SM.5EGJ1	GTEX.Y3IK.1826.SM.4WWDS	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.13N1W.1926.SM.5IJCH	GTEX.113JC.1026.SM.5H117	GTEX.146FQ.1126.SM.5NQBM	TCGA.EJ.7783.11A.01R.2118.07	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.14C5O.2826.SM.5RQI6	GTEX.13111.1326.SM.5GCNO	GTEX.OOBK.2025.SM.3LK5S	GTEX.11EQ9.1726.SM.5HL6U	GTEX.13N1W.2026.SM.5K7YU	GTEX.R55D.1526.SM.48FEJ
AIMP2	665.29	723.08	718.08	693.58	981.29	540.19	1015.93	1233.75	1015.93	1199.98	1143.1	759.08	1427.22	579.04	403.5	414.87	279.14	151.22	148.09	480.04	775.05	507.46	417.77	733.19	813.63	915.51	199.85	753.83
AK2	1794.29	1844.76	2271.4	2855.44	2915.45	1745.2	3325.99	3716.2	3190.46	4181.07	4066.71	3419.52	5555.65	2193.99	1628.26	1225.22	1628.26	1437.15	1721.16	1733.13	2133.97	2777.33	2400.97	2047.0	2417.67	2075.59	1896.65	1605.83
ALG1	253.23	358.54	395.18	532.74	555.41	301.33	633.73	733.19	583.07	1304.15	819.3	511.0	819.3	186.4	231.32	183.82	275.28	73.03	108.9	389.72	327.56	381.68	241.19	603.67	423.61	642.59	102.25	291.04
AP1S1	607.87	633.73	860.08	1583.71	1498.22	579.04	2018.8	1857.6	1745.2	2935.74	2956.17	1551.09	3768.09	693.58	366.09	379.04	371.22	183.82	295.11	775.05	1037.29	669.92	738.29	1037.29	921.88	890.44	175.07	457.25
AP3B1	532.74	599.49	624.99	656.11	583.07	503.95	854.13	808.0	780.44	1167.14	1030.12	684.02	1191.69	567.1	438.59	423.61	473.41	353.59	417.77	583.07	575.03	620.67	514.56	674.59	723.08	718.08	285.03	490.14
ARF3	1340.84	1909.85	2485.67	2537.92	2739.08	1936.53	3146.52	3901.01	3212.66	3874.05	5594.3	2502.97	3443.31	2209.26	2178.83	1605.83	1769.57	902.89	1183.45	1896.65	1794.29	1832.01	1991.0	2485.67	3060.45	2240.11	1617.0	2240.11
ARPC4	3190.46	4268.94	4066.71	4639.29	4575.41	3235.01	5555.65	7433.4	5366.37	7230.1	7749.1	5076.84	7642.41	2875.3	3280.18	3018.3	2485.67	2193.99	2400.97	3589.58	4704.07	4419.52	3564.78	4298.64	5711.87	4450.27	2047.0	3955.48
ARPC5	3060.45	1583.71	2303.12	2915.45	2816.11	1819.35	3443.31	3168.41	3665.02	4066.71	5183.54	3081.75	4802.93	3060.45	2591.27	1617.0	1628.26	1697.45	1540.37	1651.0	2777.33	2609.3	2739.08	2148.82	2855.44	1991.0	1896.65	1991.0
BPNT1	318.57	336.79	460.44	547.75	1059.11	228.13	988.12	974.5	830.75	1508.65	1651.0	688.78	1447.15	248.0	242.88	279.14	239.52	170.25	87.03	299.25	529.06	432.53	406.31	454.09	406.31	529.06	92.05	423.61
C11orf48	1304.15	1151.06	1870.53	1936.53	2004.85	1304.15	2758.13	3235.01	2367.9	4388.98	3955.48	2148.82	3540.14	1561.89	954.43	878.17	1216.75	688.78	1277.29	1286.18	1697.45	1733.13	1369.04	1467.37	2209.26	1781.89	791.35	1697.45
C12orf49	170.25	177.53	470.14	336.79	406.31	102.25	616.37	738.29	547.75	665.29	819.3	332.14	688.78	121.79	187.71	131.51	265.87	139.07	149.12	314.17	151.22	269.6	269.6	158.79	242.88	208.38	111.99	181.28
C14orf142	176.29	202.66	248.0	376.41	438.59	186.4	420.68	361.04	454.09	571.05	642.59	318.57	836.53	209.84	161.02	183.82	170.25	155.5	65.26	195.72	295.11	279.14	202.66	237.86	277.2	348.71	74.58	223.41
C2orf47	264.03	312.0	353.59	460.44	460.44	237.86	555.41	540.19	633.73	595.34	688.78	423.61	713.11	215.77	176.29	191.67	239.52	205.5	125.24	279.14	371.22	361.04	361.04	358.54	406.31	381.68	88.26	255.0
CLN6	373.81	283.05	521.76	470.14	525.39	329.84	571.05	791.35	624.99	981.29	830.75	684.02	1199.98	341.51	309.83	249.73	256.78	111.21	159.9	376.41	283.05	325.29	162.14	435.55	381.68	420.68	149.12	197.09
CMC1	769.69	579.04	688.78	1037.29	896.64	688.78	1066.48	1111.82	1388.16	1540.37	1233.75	1151.06	1950.0	536.45	503.95	497.0	587.13	559.28	435.55	872.1	967.76	1059.11	830.75	693.58	819.3	954.43	366.09	713.11
DCTPP1	603.67	547.75	1023.0	1151.06	1519.15	429.54	2148.82	2367.9	2224.63	3372.43	2645.74	1378.57	4450.27	693.58	384.34	406.31	420.68	214.27	307.69	796.86	1159.07	599.49	387.02	796.86	1167.14	967.76	209.84	567.1
DHDDS	371.22	551.56	1066.48	796.86	808.0	438.59	1617.0	1378.57	1191.69	1322.37	1757.34	785.88	1487.87	432.53	486.75	476.71	599.49	299.25	295.11	651.58	497.0	438.59	363.56	642.59	660.68	669.92	289.02	500.46
DLAT	525.39	392.44	518.15	525.39	633.73	454.09	738.29	567.1	769.69	967.76	967.76	555.41	934.76	358.54	334.46	514.56	334.46	229.72	180.02	387.02	486.75	392.44	403.5	265.87	559.28	567.1	173.85	525.39
EPHB2	18.29	71.5	358.54	199.85	423.61	30.78	808.0	941.27	836.53	1561.89	1037.29	497.0	1277.29	46.18	45.85	12.93	17.13	22.59	11.55	47.17	81.71	53.57	65.26	26.28	35.0	98.04	61.68	64.8
FAHD1	265.87	529.06	651.58	693.58	1191.69	447.82	1088.92	1051.79	921.88	1225.22	1199.98	616.37	1651.0	432.53	256.78	507.46	438.59	199.85	118.43	480.04	532.74	403.5	339.14	420.68	429.54	647.07	130.6	493.56
FDPS	1662.49	1685.71	5995.9	3168.41	2351.53	2287.2	8134.41	5183.54	4639.29	23656.34	5995.9	3235.01	5041.77	4010.71	1467.37	1594.73	1963.57	1561.89	1662.49	1832.01	2777.33	2178.83	2303.12	2451.44	2133.97	2609.3	1757.34	2255.7
GALE	381.68	177.53	698.41	674.59	733.19	57.08	3515.68	2956.17	2417.67	4481.23	5006.93	1277.29	4181.07	55.1	33.06	22.92	412.0	180.02	277.2	412.0	381.68	329.84	264.03	480.04	559.28	339.14	351.14	395.18
GLB1	341.51	511.0	703.28	1008.9	921.88	540.19	1208.34	1191.69	1199.98	1617.0	1508.65	928.3	1733.13	444.72	476.71	348.71	444.72	316.37	291.04	536.45	571.05	624.99	540.19	743.43	728.11	995.0	381.68	497.0
GMDS	267.73	285.03	579.04	1304.15	1709.26	127.0	4066.71	4704.07	2915.45	8078.22	7433.4	1857.6	5751.61	232.94	112.77	51.35	356.05	151.22	166.73	361.04	483.38	368.65	185.11	255.0	325.29	981.29	258.57	211.31
H2AFY	2303.12	1769.57	2976.74	3018.3	3794.3	1733.13	3982.99	4210.15	3982.99	5711.87	5112.16	3081.75	5183.54	1832.01	2032.85	1561.89	1617.0	1909.85	2032.85	1991.0	2319.15	2119.22	2451.44	2451.44	2796.65	2502.97	2485.67	2451.44
HN1	947.83	285.03	1781.89	2178.83	2351.53	150.17	7230.1	6792.79	4328.55	9025.81	10440.2	3614.55	8901.53	669.92	50.27	41.81	114.36	137.14	165.57	563.18	775.05	599.49	463.65	638.15	1167.14	848.22	463.65	1119.56
IL10RB	339.14	376.41	656.11	1015.93	1088.92	314.17	1397.83	1250.98	974.5	1594.73	1923.14	842.36	1674.06	373.81	392.44	253.23	356.05	336.79	305.55	432.53	559.28	457.25	466.88	447.82	532.74	493.56	234.57	543.96
LSM4	1561.89	1583.71	1936.53	2701.35	2915.45	1417.35	3901.01	3847.29	3515.68	5366.37	4836.35	3039.3	6561.36	1721.16	947.83	974.5	1369.04	1001.93	1096.5	1819.35	2502.97	2739.08	1757.34	2148.82	2502.97	2061.24	967.76	1561.89
MAD2L1BP	318.57	373.81	420.68	693.58	620.67	379.04	896.64	974.5	954.43	928.3	941.27	555.41	1015.93	289.02	343.89	320.8	341.51	154.42	314.17	412.0	473.41	429.54	466.88	503.95	490.14	486.75	94.01	376.41
MED18	152.28	316.37	297.17	197.09	325.29	113.56	540.19	521.76	473.41	583.07	674.59	327.56	551.56	104.42	167.9	127.0	153.34	67.59	58.3	236.21	309.83	305.55	172.65	289.02	303.44	341.51	62.12	297.17
MPDU1	555.41	457.25	1059.11	1151.06	1617.0	316.37	2520.38	2796.65	1936.53	3168.41	3639.7	1369.04	3443.31	536.45	353.59	206.94	529.06	356.05	503.95	587.13	796.86	595.34	518.15	854.13	1015.93	1304.15	387.02	961.07
MRPL13	567.1	607.87	674.59	1151.06	1001.93	620.67	1159.07	1340.84	1378.57	1923.14	1991.0	1119.56	2664.15	764.36	518.15	525.39	612.11	435.55	426.57	651.58	909.17	785.88	836.53	693.58	890.44	934.76	281.09	759.08
MRPL15	1199.98	1066.48	1127.35	1369.04	1216.75	1151.06	1498.22	1605.83	1697.45	1832.01	1870.53	1397.83	2855.44	836.53	713.11	813.63	674.59	536.45	571.05	1127.35	1233.75	860.08	642.59	1096.5	1073.91	1340.84	190.34	915.51
MRPL16	1151.06	1059.11	1175.27	1397.83	1477.58	1250.98	1331.57	1572.76	1963.57	2384.37	1594.73	1697.45	2796.65	753.83	802.41	921.88	848.22	733.19	708.18	1259.69	1331.57	1199.98	1066.48	1259.69	878.17	1167.14	423.61	1044.52
MRPL46	497.0	830.75	723.08	854.13	825.0	728.11	825.0	830.75	934.76	890.44	890.44	723.08	1313.23	356.05	454.09	466.88	476.71	285.03	255.0	679.29	1030.12	780.44	563.18	651.58	713.11	802.41	293.07	603.67
MTCH2	1540.37	2047.0	1250.98	2018.8	2287.2	1073.91	3540.14	3768.09	3146.52	4575.41	3928.15	2075.59	4328.55	1721.16	1066.48	1397.83	753.83	743.43	603.67	1331.57	1883.54	1313.23	1651.0	1794.29	2178.83	2004.85	532.74	1832.01
NOP10	2682.69	2627.46	3146.52	4481.23	4358.66	2400.97	4802.93	5147.73	4769.75	7642.41	6471.02	5006.93	6607.01	3419.52	2104.58	2004.85	2163.77	1572.76	1508.65	3212.66	3690.52	3820.7	3349.13	2997.45	3955.48	3928.15	1909.85	3690.52
PAFAH2	91.41	143.01	279.14	281.09	361.04	112.77	476.71	454.09	381.68	518.15	642.59	353.59	693.58	57.08	79.45	102.25	148.09	55.1	35.76	127.89	181.28	151.22	159.9	182.55	236.21	249.73	39.22	170.25
PGAM5	420.68	483.38	612.11	507.46	684.02	371.22	836.53	718.08	563.18	1096.5	775.05	708.18	728.11	647.07	366.09	336.79	353.59	186.4	260.38	480.04	583.07	368.65	381.68	540.19	599.49	583.07	130.6	483.38
PGD	595.34	825.0	1167.14	1397.83	1216.75	591.22	1583.71	2485.67	2004.85	4575.41	3491.39	1250.98	2271.4	2520.38	688.78	251.48	429.54	743.43	571.05	808.0	928.3	688.78	733.19	1119.56	1551.09	1183.45	521.76	988.12
PHB	3235.01	3665.02	4066.71	4671.57	5441.3	3742.05	6164.49	7130.55	6294.04	9215.48	7695.57	6471.02	9740.98	3349.13	2555.58	2816.11	2335.28	1617.0	2451.44	4268.94	4769.75	4268.94	3190.46	3614.55	4010.71	4869.99	1519.15	4123.49
POLDIP2	1628.26	1561.89	1540.37	1709.26	1794.29	1685.71	1963.57	1806.78	1857.6	2319.15	2163.77	1909.85	1870.53	1369.04	1159.07	1322.37	1359.57	1023.0	1295.13	1651.0	1594.73	1697.45	1397.83	1794.29	1819.35	1769.57	808.0	1639.59
PPP1CA	1819.35	1508.65	2664.15	3257.52	3847.29	1487.87	5711.87	5555.65	4972.34	6652.97	6164.49	4123.49	6426.31	1407.55	603.67	559.28	988.12	624.99	967.76	1806.78	1923.14	2090.03	1685.71	2682.69	3018.3	3212.66	575.03	2609.3
RETSAT	483.38	842.36	1051.79	1909.85	2573.36	283.05	3768.09	3372.43	2816.11	2451.44	4210.15	1674.06	5041.77	426.57	567.1	567.1	775.05	518.15	463.65	708.18	540.19	723.08	928.3	1167.14	733.19	1183.45	587.13	738.29
RP11-500M8.7	279.14	320.8	323.03	656.11	638.15	483.38	878.17	909.17	854.13	1936.53	2417.67	599.49	738.29	307.69	198.47	275.28	201.25	287.01	150.17	412.0	518.15	403.5	529.06	397.93	480.04	753.83	1.57	94.67
