	TCGA.KU.A66S.01A.21R.A30B.07	GTEX.S32W.1926.SM.4AD63	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZF2S.3026.SM.4WWCH	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.14E1K.0326.SM.5S2PE	GTEX.14753.1626.SM.5NQ9L	TCGA.33.4533.01A.01R.1201.07	TCGA.37.4132.01A.01R.1100.07	TCGA.37.4141.01A.02R.1100.07	TCGA.37.4132.01A.01R.1100.07.1
AL441883.1	9.78	6.06	3.96	3.96	0.0	5.63	12.0	14.14	4.5	0.0	0.0	21.63	14.56	18.56	14.56
ALYREF	2976.74	1508.65	674.59	854.13	1397.83	521.76	1044.52	1096.5	1437.15	830.75	420.68	2895.31	3349.13	3589.58	3349.13
ARFIP1	387.02	237.86	215.77	255.0	85.82	217.27	158.79	136.19	260.38	182.55	135.24	273.37	591.22	373.81	591.22
BCAS2	1662.49	902.89	915.51	753.83	688.78	665.29	753.83	884.29	1963.57	674.59	769.69	1950.0	1794.29	1733.13	1794.29
C19orf48	2835.7	518.15	162.14	253.23	769.69	165.57	316.37	559.28	234.57	169.07	211.31	1417.35	3146.52	1498.22	3146.52
C4orf46	107.38	13.03	8.65	18.56	12.45	7.22	14.89	24.63	59.55	5.54	12.93	199.85	246.28	217.27	246.28
C8orf56	7.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.47	0.0	0.0	16.39	8.78	3.96	8.78
C8orf59	7857.29	3349.13	2075.59	2319.15	1662.49	1617.0	2163.77	1540.37	2701.35	2451.44	1628.26	4210.15	8479.89	3901.01	8479.89
CAPZA1	1685.71	1119.56	884.29	642.59	775.05	738.29	620.67	769.69	1605.83	466.88	381.68	3257.52	2956.17	4066.71	2956.17
CASP3	665.29	223.41	123.5	218.79	101.54	299.25	220.32	171.45	327.56	173.85	95.34	660.68	599.49	457.25	599.49
CCDC154	299.25	9.85	1.28	9.7	1.0	10.31	12.27	1.16	33.54	4.82	0.0	12.36	15.34	30.34	15.34
CCT2	5006.93	2163.77	1745.2	878.17	1617.0	995.0	796.86	1605.83	3467.27	934.76	551.56	4450.27	5954.47	3639.7	5954.47
CDK5RAP1	743.43	555.41	273.37	289.02	426.57	316.37	368.65	532.74	395.18	320.8	368.65	718.08	703.28	684.02	703.28
CHCHD2	14971.21	12502.12	8840.04	7695.57	8840.04	7180.15	7749.1	9540.5	12160.22	6699.25	7966.99	17317.18	21468.49	18560.17	21468.49
CHEK2	521.76	81.14	53.95	164.42	29.7	62.12	102.97	66.65	236.21	96.68	16.75	473.41	279.14	802.41	279.14
CMSS1	1313.23	551.56	244.57	262.2	423.61	256.78	214.27	363.56	559.28	241.19	277.2	995.0	1745.2	2240.11	1745.2
CPSF6	1242.34	748.61	353.59	363.56	212.78	229.72	358.54	242.88	651.58	305.55	150.17	1175.27	791.35	884.29	791.35
CSNK2B	6207.38	6079.61	3349.13	3491.39	3982.99	3124.78	3794.3	4239.45	3716.2	3168.41	3419.52	6337.83	7382.04	7966.99	7382.04
CUL3	1519.15	941.27	1059.11	884.29	743.43	872.1	703.28	738.29	1023.0	718.08	753.83	1498.22	1135.2	1208.34	1135.2
DARS	1950.0	1059.11	981.29	723.08	813.63	665.29	713.11	896.64	1143.1	660.68	432.53	2351.53	2739.08	2976.74	2739.08
DBX1	262.2	1.16	1.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.67	26.28	0.85	26.28
DCLRE1B	104.42	24.63	37.59	34.02	37.05	17.64	26.28	43.94	107.38	19.82	12.27	285.03	90.14	214.27	90.14
DEK	1794.29	591.22	791.35	651.58	303.44	514.56	454.09	728.11	1037.29	759.08	412.0	2875.3	2976.74	4328.55	2976.74
DNTTIP1	1008.9	500.46	420.68	454.09	336.79	343.89	447.82	688.78	591.22	381.68	323.03	1059.11	954.43	1111.82	954.43
DPM1	1457.23	1044.52	836.53	748.61	753.83	753.83	842.36	1023.0	1769.57	587.13	791.35	1572.76	1540.37	2018.8	1540.37
ERI1	187.71	154.42	98.73	52.82	68.07	64.8	38.67	69.52	170.25	39.79	24.46	241.19	87.65	144.01	87.65
ETV5	728.11	447.82	209.84	139.07	157.68	80.57	65.72	128.79	236.21	49.21	9.2	2240.11	728.11	507.46	728.11
FGF5	0.36	0.0	0.0	0.0	0.0	0.56	0.0	0.0	1.71	0.0	0.0	4.06	3.06	0.95	3.06
GKN2	0.0	4.21	0.0	0.0	0.29	0.0	0.0	0.27	1.27	0.0	0.0	1.0	52.82	30.56	52.82
GMFB	547.75	466.88	444.72	260.38	273.37	211.31	221.86	334.46	480.04	178.77	127.89	860.08	1135.2	1369.04	1135.2
GTF2H2	249.73	114.36	26.67	36.01	56.28	106.63	139.07	156.59	212.78	61.25	26.67	295.11	341.51	379.04	341.51
HAT1	1268.46	674.59	521.76	473.41	389.72	497.0	429.54	559.28	629.35	536.45	389.72	1259.69	1397.83	1477.58	1397.83
HNRNPR	2875.3	1233.75	974.5	713.11	954.43	723.08	764.36	1225.22	1242.34	684.02	928.3	2502.97	1950.0	2303.12	1950.0
HP	22.92	3028138.0	3.671840259E7	3.174442598E7	1.533154663E7	1.785716745E7	3.066309426E7	1.501602794E7	2186208.16	1.325469274E7	2.614442391E7	13.22	5.77	68.55	5.77
HPDL	36.79	7.06	1.6	0.0	6.73	2.2	5.45	4.86	5.59	0.0	0.0	92.7	190.34	149.12	190.34
KIRREL2	3.69	0.4	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.0	0.0	35.5	1.46	2.81	1.46
MCMBP	693.58	587.13	591.22	536.45	457.25	473.41	470.14	629.35	674.59	521.76	341.51	1135.2	1225.22	1322.37	1225.22
MCU	429.54	152.28	162.14	181.28	102.97	141.02	81.14	93.35	299.25	120.1	146.03	854.13	325.29	332.14	325.29
MED7	336.79	187.71	157.68	166.73	90.77	146.03	84.04	137.14	177.53	136.19	74.58	171.45	166.73	289.02	166.73
MOB4	703.28	403.5	303.44	237.86	191.67	281.09	154.42	218.79	301.33	206.94	151.22	791.35	1051.79	830.75	1051.79
MRPL17	2351.53	1819.35	466.88	842.36	1015.93	624.99	669.92	981.29	1369.04	679.29	381.68	2148.82	2384.37	1697.45	2384.37
