	TCGA.A3.A8OV.01A.11R.A37O.07	TCGA.B8.A54K.01A.11R.A33J.07	TCGA.2Z.A9J9.01A.11R.A42S.07	TCGA.DD.A3A2.11A.11R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.PX3G.0826.SM.48TZS	GTEX.ZYT6.0626.SM.5E45V	GTEX.145MF.0826.SM.5QGQA	GTEX.SJXC.1226.SM.4DM78	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.QXCU.0626.SM.2TC69	GTEX.11NSD.0326.SM.5A5LS	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.QDVJ.0926.SM.2I5FU	GTEX.XUJ4.1426.SM.4BONT	GTEX.117YX.1326.SM.5H125	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.WHPG.1426.SM.3NMBB	GTEX.13PL7.1726.SM.5J2NX	GTEX.13OW6.0826.SM.5L3GA	GTEX.T8EM.0326.SM.3DB7F	GTEX.145LS.1226.SM.5Q5D9	GTEX.QEG5.1126.SM.33HC2	GTEX.OHPM.0526.SM.2YUMJ	GTEX.WYVS.0526.SM.3NM9W
ACSL3	454.09	483.38	525.39	490.14	339.14	813.63	547.75	674.59	629.35	921.88	669.92	473.41	1015.93	830.75	775.05	825.0	1447.15	1015.93	612.11	1350.18	1350.18	1350.18	775.05	583.07	1151.06	642.59	1183.45	1167.14	3018.3	915.51	1225.22	1662.49
ACTR1A	1051.79	769.69	1073.91	583.07	854.13	595.34	688.78	713.11	842.36	567.1	624.99	547.75	1769.57	2303.12	2915.45	1529.73	2133.97	1733.13	1950.0	1963.57	2303.12	1605.83	1407.55	2119.22	1498.22	1605.83	1883.54	1143.1	1781.89	1721.16	2758.13	1651.0
AGFG1	536.45	733.19	769.69	246.28	371.22	228.13	329.84	392.44	332.14	287.01	262.2	224.97	1697.45	1023.0	4210.15	896.64	3124.78	1225.22	684.02	1697.45	1191.69	1304.15	836.53	1127.35	1259.69	961.07	2417.67	3639.7	4181.07	3018.3	2004.85	1417.35
AIM1L	7.75	30.78	67.12	2.76	13.72	1.68	0.59	2.84	5.92	5.59	29.91	1.27	395.18	224.97	457.25	406.31	46.84	36.79	23.76	281.09	114.36	55.89	3.44	62.12	177.53	65.26	236.21	50.98	400.71	120.94	1304.15	92.7
AKIRIN1	309.83	297.17	497.0	397.93	320.8	384.34	339.14	543.96	470.14	616.37	500.46	307.69	1857.6	555.41	2351.53	954.43	954.43	890.44	902.89	1037.29	679.29	1127.35	607.87	620.67	1250.98	1208.34	1540.37	1529.73	1733.13	967.76	1225.22	1378.57
ATG5	297.17	255.0	334.46	287.01	122.64	267.73	275.28	301.33	258.57	267.73	185.11	229.72	271.48	301.33	241.19	423.61	363.56	567.1	429.54	361.04	249.73	603.67	318.57	271.48	389.72	341.51	358.54	878.17	339.14	444.72	368.65	521.76
B3GALNT1	486.75	356.05	239.52	11.73	2.71	8.06	11.82	14.45	13.03	10.47	2.73	3.92	305.55	363.56	127.89	995.0	84.63	1044.52	764.36	583.07	395.18	2018.8	780.44	511.0	429.54	295.11	172.65	444.72	172.65	269.6	348.71	400.71
BAZ1A	226.54	204.07	220.32	120.1	42.11	140.04	78.89	118.43	87.65	59.97	109.66	172.65	591.22	224.97	878.17	379.04	665.29	277.2	307.69	403.5	351.14	320.8	242.88	507.46	567.1	281.09	703.28	607.87	896.64	616.37	480.04	723.08
BCL3	728.11	320.8	497.0	1259.69	1135.2	1832.01	775.05	738.29	1806.78	444.72	825.0	934.76	3235.01	1073.91	3491.39	1733.13	5633.22	656.11	1477.58	954.43	1313.23	1143.1	660.68	1977.24	2520.38	3146.52	3372.43	1674.06	2997.45	1498.22	2061.24	2609.3
BMP2K	170.25	120.94	125.24	77.25	53.57	77.25	96.68	98.73	148.09	99.43	77.79	84.04	297.17	127.0	164.42	161.02	389.72	283.05	175.07	189.02	234.57	249.73	205.5	198.47	267.73	239.52	381.68	480.04	684.02	191.67	176.29	500.46
C12orf5	96.01	43.02	94.01	23.08	64.34	16.03	80.57	52.08	76.71	70.51	31.22	25.17	387.02	218.79	183.82	379.04	244.57	444.72	379.04	406.31	269.6	363.56	303.44	258.57	429.54	262.2	376.41	371.22	312.0	239.52	412.0	669.92
