	TCGA.EW.A1PH.01A.11R.A14M.07	TCGA.VS.A9V4.01A.12R.A42T.07	TCGA.AA.3526.01A.02R.A32Z.07	TCGA.D5.5540.01A.01R.1653.07	TCGA.AZ.5403.01A.01R.1653.07	GTEX.WEY5.1126.SM.4LMIE	GTEX.11EQ9.0926.SM.5HL6I	GTEX.X4LF.0826.SM.4QASC	GTEX.YB5E.1026.SM.5IFI2	GTEX.UJHI.0926.SM.4IHKF	GTEX.U3ZM.0626.SM.4DXTV	GTEX.13QBU.0926.SM.5K7WQ	TCGA.37.4132.01A.01R.1100.07	TCGA.37.4132.01A.01R.1100.07.1	TCGA.DC.5869.01A.01R.1660.07	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.BR.4201.01A.01R.1131.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.CG.4476.01A.01R.1157.13	TCGA.BR.8588.01A.11R.2402.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
ABRACL	3540.14	2855.44	4010.71	8538.88	4328.55	137.14	139.07	201.25	175.07	105.89	146.03	112.77	698.41	698.41	7695.57	1111.82	896.64	2417.67	842.36	1119.56	2163.77	6983.79	915.51	1119.56	1183.45	1037.29	1304.15	1417.35
AHSA1	5112.16	3614.55	2591.27	3395.89	4937.99	2133.97	2451.44	2303.12	2701.35	2047.0	2209.26	2573.36	5255.91	5255.91	4704.07	1594.73	2367.9	3901.01	3303.0	1857.6	2537.92	4419.52	1583.71	2468.49	2451.44	1697.45	1540.37	2956.17
BRIX1	2255.7	2148.82	1250.98	2367.9	1781.89	301.33	384.34	329.84	307.69	279.14	236.21	356.05	1508.65	1508.65	2004.85	629.35	486.75	1208.34	536.45	1081.39	693.58	961.07	358.54	264.03	607.87	353.59	358.54	563.18
C8orf33	1757.34	1388.16	1757.34	1467.37	1977.24	890.44	688.78	612.11	743.43	866.07	665.29	723.08	3395.89	3395.89	1857.6	555.41	748.61	1250.98	665.29	813.63	902.89	1088.92	567.1	543.96	591.22	529.06	543.96	791.35
C8orf76	2163.77	934.76	1216.75	1794.29	1037.29	269.6	265.87	220.32	339.14	218.79	208.38	256.78	1529.73	1529.73	743.43	384.34	289.02	674.59	366.09	397.93	567.1	791.35	283.05	281.09	460.44	318.57	264.03	551.56
CCT8	7642.41	5292.48	5112.16	6935.54	4010.71	1662.49	1628.26	1457.23	1697.45	1259.69	1561.89	1508.65	5366.37	5366.37	5872.48	2417.67	2573.36	4836.35	3280.18	2468.49	2875.3	4328.55	1963.57	1781.89	2303.12	1733.13	1769.57	2537.92
CLTA	6840.04	7642.41	5954.47	9606.86	6471.02	2384.37	3325.99	3212.66	3614.55	2682.69	3103.19	2384.37	4903.87	4903.87	5517.27	4239.45	3690.52	4358.66	4328.55	3303.0	6983.79	4972.34	3564.78	3901.01	4298.64	5219.6	5147.73	5441.3
COIL	441.64	423.61	318.57	713.11	323.03	189.02	195.72	177.53	178.77	189.02	175.07	176.29	426.57	426.57	403.5	271.48	239.52	267.73	221.86	279.14	191.67	303.44	218.79	175.07	232.94	182.55	187.71	208.38
DAP3	5255.91	3039.3	3665.02	3665.02	3039.3	1183.45	1313.23	1594.73	1340.84	1397.83	1208.34	1259.69	2796.65	2796.65	2796.65	2075.59	2682.69	3395.89	1963.57	3190.46	3515.68	2163.77	1572.76	1745.2	2468.49	1628.26	1617.0	2417.67
DENR	1216.75	1127.35	866.07	1286.18	967.76	397.93	420.68	444.72	406.31	403.5	432.53	371.22	1250.98	1250.98	1159.07	825.0	651.58	748.61	540.19	769.69	708.18	967.76	493.56	420.68	567.1	457.25	612.11	567.1
