	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.FY.A2QD.01A.11R.A19O.07	TCGA.EM.A3FL.01A.11R.A21D.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.ZAB5.0726.SM.5P9JG	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZE7O.1126.SM.57WC8	GTEX.11DXY.0426.SM.5H12R	GTEX.13X6J.0826.SM.5LU32	GTEX.WL46.0126.SM.3TW8I	GTEX.145MH.0426.SM.5LU8T	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.RVPV.1226.SM.2TF73	GTEX.S7SE.0726.SM.2XCD7	GTEX.YFCO.0326.SM.4W1ZP	GTEX.12BJ1.0426.SM.5FQSO	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3
ABCA8	0.0	0.39	42.11	49.91	629.35	141.02	1331.57	414.87	12.64	1529.73	1051.79	507.46	669.92	384.34	172.65	1561.89	373.81	981.29	68.07	251.48	41.22	34.02	56.28	126.12	170.25	348.71
ABCA9	0.0	0.28	14.24	4.1	132.44	48.18	309.83	159.9	0.74	273.37	239.52	134.3	228.13	182.55	58.3	218.79	109.66	183.82	35.25	78.34	14.03	8.99	38.95	45.21	94.01	94.67
ABCC9	0.0	0.28	56.28	21.78	74.58	31.9	273.37	91.41	63.89	209.84	204.07	117.6	61.25	161.02	40.07	92.05	55.49	148.09	28.65	62.56	32.36	24.28	26.28	73.03	72.01	93.35
AIDA	0.0	0.48	728.11	665.29	1015.93	607.87	1151.06	1119.56	656.11	1437.15	866.07	934.76	813.63	988.12	866.07	890.44	890.44	1023.0	802.41	718.08	775.05	595.34	693.58	638.15	1208.34	708.18
AL953854.2	0.0	0.35	5.23	2.92	7.69	3.82	24.63	23.59	0.43	13.03	50.98	15.8	16.15	17.13	12.83	21.47	39.22	55.89	5.87	7.06	4.5	10.96	9.63	19.53	8.92	16.39
ANGPTL5	0.0	0.0	0.87	0.99	17.64	12.0	23.42	40.36	1.68	22.1	31.45	73.03	6.21	42.11	6.62	53.95	24.99	40.07	9.78	6.06	1.31	1.48	9.63	11.73	6.94	10.79
APOL3	0.0	0.6	117.6	234.57	384.34	575.03	1023.0	723.08	68.55	1183.45	743.43	764.36	718.08	1151.06	483.38	769.69	309.83	406.31	260.38	928.3	285.03	209.84	309.83	429.54	279.14	336.79
ARHGEF37	0.0	0.18	13.52	15.8	100.13	75.64	164.42	75.11	1.6	277.2	103.69	156.59	76.17	92.7	57.49	172.65	32.13	158.79	53.19	105.15	17.51	17.64	57.89	81.71	15.34	71.0
ASPA	0.0	0.16	13.83	7.69	67.59	16.63	136.19	60.82	7.63	121.79	109.66	81.14	57.49	89.51	23.76	76.17	56.68	79.45	29.06	19.39	11.13	31.9	9.48	37.59	31.9	60.39
B4GALNT1	0.0	0.92	8.99	11.38	22.26	47.84	87.03	24.63	4.7	92.05	89.51	54.72	18.84	22.92	25.72	41.22	25.72	38.67	14.14	14.89	9.85	15.56	18.7	32.36	20.71	34.75
BMPER	0.0	0.39	4.06	11.91	9.2	2.71	31.0	10.63	1.22	28.86	27.05	8.51	23.93	17.64	2.56	18.29	7.34	63.0	15.0	15.11	3.63	8.0	8.38	17.9	16.03	13.32
BRINP3	0.0	0.13	7.4	9.41	59.55	22.75	273.37	73.54	1.1	214.27	117.6	159.9	87.65	90.77	14.89	129.69	58.3	84.63	4.9	26.1	13.32	8.58	8.38	41.22	35.0	48.18
C8orf34	0.0	0.03	2.39	1.16	65.72	7.34	23.93	26.67	2.76	54.33	34.75	14.67	33.78	28.65	6.62	45.85	28.86	27.84	0.0	5.23	2.71	0.38	1.06	2.81	16.51	16.51
CCDC102B	0.0	0.0	103.69	57.08	348.71	76.71	204.07	182.55	64.34	295.11	318.57	248.0	141.02	231.32	137.14	264.03	224.97	226.54	66.65	52.82	38.4	75.64	49.56	78.89	113.56	124.37
CHRD	0.0	1.0	35.25	29.48	70.01	82.87	163.28	92.7	27.44	221.86	187.71	159.9	119.26	110.43	110.43	154.42	72.01	121.79	39.5	66.65	24.46	28.24	38.95	89.51	62.56	105.15
COLEC12	0.0	0.42	13.22	10.31	466.88	197.09	878.17	237.86	1.95	1721.16	684.02	693.58	567.1	336.79	115.97	669.92	285.03	1167.14	19.97	76.17	13.03	32.36	75.64	70.01	78.89	260.38
CPED1	0.0	0.17	17.38	17.64	134.3	29.7	255.0	123.5	17.0	279.14	435.55	185.11	170.25	171.45	61.68	165.57	105.15	189.02	28.04	45.21	27.84	18.16	20.56	43.63	105.89	81.71
CSF1	0.0	0.48	62.56	153.34	279.14	309.83	854.13	217.27	26.86	693.58	547.75	417.77	486.75	500.46	185.11	684.02	248.0	403.5	183.82	223.41	94.67	120.1	96.68	289.02	217.27	229.72
CTTNBP2NL	0.0	0.34	115.97	109.66	206.94	155.5	269.6	316.37	71.0	277.2	293.07	236.21	142.01	232.94	115.97	293.07	124.37	155.5	93.35	166.73	133.36	62.56	151.22	147.06	90.14	122.64
CYP27A1	0.0	0.52	43.02	251.48	309.83	267.73	896.64	358.54	72.01	1369.04	435.55	559.28	748.61	638.15	353.59	514.56	660.68	536.45	183.82	305.55	53.19	126.12	73.54	139.07	723.08	435.55
DENND2A	0.0	0.32	18.43	20.86	83.45	48.87	131.51	108.9	19.68	224.97	123.5	185.11	112.77	131.51	55.49	195.72	69.52	138.1	20.41	25.91	13.52	21.16	24.11	69.03	67.59	66.18
EBF1	0.0	0.29	46.18	27.05	123.5	59.97	223.41	100.83	18.84	237.86	229.72	162.14	125.24	137.14	86.43	205.5	100.13	197.09	35.25	59.13	26.1	41.81	41.52	84.04	80.01	71.0
FAM102B	0.0	0.35	45.53	25.17	178.77	63.0	217.27	138.1	21.78	336.79	186.4	181.28	122.64	176.29	60.82	209.84	132.44	206.94	42.71	39.5	49.21	31.9	37.05	57.08	60.39	98.04
FAM198B	0.0	0.38	180.02	148.09	603.67	182.55	620.67	438.59	34.26	514.56	376.41	769.69	232.94	555.41	144.01	361.04	193.01	429.54	127.0	124.37	129.69	146.03	195.72	379.04	96.01	438.59
FEZ1	0.0	0.69	18.7	48.87	285.03	167.9	511.0	173.85	31.45	587.13	476.71	435.55	297.17	426.57	145.02	466.88	209.84	373.81	88.88	150.17	50.98	122.64	67.12	135.24	100.83	204.07
FGFR1	486.75	1806.78	148.09	551.56	500.46	579.04	1721.16	915.51	256.78	1277.29	1781.89	1111.82	1088.92	872.1	642.59	2875.3	723.08	1268.46	258.57	493.56	161.02	256.78	214.27	647.07	529.06	728.11
FRMD6	0.0	0.69	37.05	33.78	138.1	77.25	400.71	127.89	41.52	389.72	332.14	376.41	155.5	195.72	80.57	211.31	116.78	251.48	41.81	57.49	50.27	48.87	53.19	111.21	78.34	84.63
GOLIM4	291.04	94.01	438.59	409.15	583.07	371.22	825.0	642.59	343.89	921.88	878.17	884.29	417.77	633.73	217.27	536.45	529.06	500.46	303.44	343.89	497.0	232.94	297.17	514.56	273.37	316.37
GPR124	0.0	0.42	43.32	48.87	220.32	144.01	647.07	176.29	28.04	579.04	400.71	591.22	547.75	426.57	162.14	379.04	287.01	460.44	63.0	84.63	69.52	71.5	94.01	157.68	102.97	323.03
HTR2B	0.0	0.07	1.85	15.22	38.67	31.67	125.24	45.85	4.5	78.89	54.33	48.87	50.27	33.78	47.5	43.32	7.63	38.4	18.03	24.81	16.39	15.68	8.78	25.17	38.12	25.72
