	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.EW.A1J1.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.B6.A0RE.01A.11R.A056.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.E9.A22H.01A.11R.A157.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.BH.A0BT.11A.21R.A12P.07	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.VJWN.0726.SM.3GIJ8	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.CV.5966.01A.11R.1686.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.38.4625.01A.01R.1206.07
ABCD3	279.14	3081.75	2400.97	1540.37	3639.7	540.19	1001.93	529.06	514.56	1111.82	2682.69	341.51	693.58	1407.55	1819.35	1378.57	1467.37	2271.4	1617.0	358.54	866.07	642.59	660.68
ACOT4	52.08	540.19	567.1	208.38	204.07	34.75	148.09	42.41	44.89	130.6	389.72	83.45	38.95	152.28	93.35	56.68	93.35	334.46	95.34	52.82	128.79	139.07	0.0
AHCYL1	507.46	2591.27	3419.52	1639.59	2720.15	954.43	1127.35	1519.15	954.43	1605.83	2701.35	808.0	2417.67	1896.65	2061.24	1883.54	2956.17	2047.0	1697.45	518.15	638.15	1175.27	896.64
AL589739.1	0.0	17.77	105.89	6.31	26.86	0.0	0.0	0.0	1.57	3.76	82.29	4.98	3.11	35.76	37.05	49.21	23.59	0.0	5.59	2.1	0.0	0.0	0.0
ALKBH1	153.34	256.78	323.03	145.02	236.21	85.22	217.27	128.79	120.94	189.02	299.25	151.22	135.24	251.48	277.2	198.47	332.14	229.72	258.57	239.52	124.37	95.34	0.0
ATP6AP2	1870.53	5479.15	5366.37	5112.16	4972.34	3467.27	2520.38	3280.18	3124.78	2758.13	4358.66	2895.31	4123.49	3212.66	3794.3	2739.08	5672.41	4481.23	4152.18	1119.56	1467.37	785.88	2915.45
BAI2	42.11	215.77	2664.15	457.25	559.28	50.98	105.89	215.77	191.67	260.38	2004.85	120.1	90.77	156.59	1208.34	72.52	34.02	55.89	267.73	127.89	5.63	6.89	0.0
BCL2	27.64	616.37	1001.93	287.01	583.07	50.98	403.5	103.69	90.14	447.82	536.45	112.77	86.43	536.45	1277.29	825.0	860.08	389.72	1151.06	15.8	16.51	4.17	0.0
C10orf12	26.86	13.52	106.63	25.91	42.71	24.46	27.44	24.81	12.55	34.51	60.39	15.34	38.12	34.26	47.84	58.71	101.54	18.97	61.68	18.56	9.56	14.14	0.0
C12orf23	363.56	890.44	884.29	1175.27	1467.37	432.53	1111.82	708.18	547.75	540.19	1259.69	525.39	753.83	896.64	718.08	1066.48	1437.15	521.76	934.76	368.65	400.71	486.75	738.29
