	TCGA.4Z.AA87.01A.11R.A39I.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	TCGA.JW.A69B.01A.11R.A32P.07	TCGA.Q1.A73S.01A.11R.A33Z.07	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.NH.A50V.01A.11R.A28H.07	TCGA.AA.A01P.01A.21R.A083.07	TCGA.L5.A8NU.01A.11R.A36D.31	TCGA.L5.A4OO.01A.11R.A260.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.CG.5718.01A.11R.1602.13	TCGA.BR.A4IV.01A.31R.A251.31	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.VQ.A94P.01A.13R.A414.31	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.BR.8592.01A.11R.2402.13	TCGA.VQ.AA6J.01A.11R.A414.31	TCGA.D7.8579.01A.11R.2343.13	TCGA.RD.A7BW.01A.11R.A32D.31	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.BR.8384.01A.21R.2402.13	TCGA.CD.A486.01A.11R.A24K.31	GTEX.S7SF.0626.SM.4AD4V
AASS	4.5	4.43	29.48	228.13	42.11	8.71	30.56	102.25	53.19	202.66	186.4	307.69	14.14	46.18	137.14	1208.34	351.14	17.0	215.77	76.71	249.73	62.56	29.7	312.0	88.26	309.83	202.66	145.02	277.2	15.22	336.79	75.64	94.01
AKT3	16.75	9.78	27.25	320.8	43.02	9.2	18.7	115.16	180.02	400.71	255.0	122.64	45.85	69.03	151.22	1447.15	1519.15	51.35	1359.57	31.45	1208.34	376.41	43.94	1806.78	96.01	836.53	114.36	563.18	988.12	61.68	1467.37	68.55	1088.92
ATP8B2	27.84	6.41	28.65	307.69	56.68	32.59	20.86	175.07	246.28	1051.79	591.22	190.34	76.71	123.5	260.38	2271.4	2240.11	95.34	1001.93	34.02	764.36	283.05	94.01	890.44	84.04	1015.93	153.34	890.44	638.15	90.77	1250.98	334.46	748.61
AXL	37.85	29.7	223.41	1001.93	176.29	68.55	41.81	256.78	435.55	1119.56	796.86	152.28	234.57	94.01	447.82	2303.12	3039.3	307.69	1561.89	72.52	1594.73	1044.52	191.67	2209.26	166.73	1519.15	406.31	693.58	1167.14	417.77	1674.06	327.56	1242.34
BACE1	42.71	166.73	169.07	327.56	198.47	104.42	106.63	283.05	175.07	341.51	291.04	258.57	111.99	209.84	301.33	599.49	518.15	76.71	665.29	85.82	551.56	444.72	92.7	532.74	97.36	493.56	327.56	392.44	409.15	281.09	540.19	239.52	497.0
BNC2	4.43	1.17	13.22	35.76	9.85	4.06	30.34	32.59	38.67	134.3	111.21	12.18	11.3	15.91	24.46	454.09	327.56	12.55	389.72	2.66	384.34	115.16	8.13	616.37	3.32	260.38	21.32	183.82	215.77	113.56	363.56	27.05	435.55
C17orf51	3.82	0.89	4.13	37.59	11.64	13.62	53.57	32.59	72.01	48.18	28.04	41.52	90.77	20.56	74.06	102.97	96.68	78.34	143.01	8.25	133.36	69.52	31.9	185.11	31.0	145.02	33.54	116.78	137.14	33.54	191.67	22.43	121.79
CCDC92	141.02	126.12	287.01	1216.75	400.71	551.56	796.86	733.19	612.11	1477.58	909.17	332.14	915.51	450.94	1073.91	1594.73	2303.12	567.1	1639.59	684.02	1628.26	1233.75	249.73	1991.0	693.58	1388.16	1030.12	884.29	1883.54	954.43	1359.57	624.99	1477.58
CHST3	26.1	23.42	55.89	194.36	41.81	69.52	36.53	102.25	251.48	102.97	94.01	66.18	80.01	26.67	99.43	466.88	389.72	50.27	480.04	59.13	417.77	132.44	85.82	486.75	63.89	387.02	409.15	258.57	305.55	38.95	511.0	124.37	96.01
CLMP	17.38	0.89	44.25	140.04	12.55	12.93	35.76	91.41	124.37	371.22	279.14	38.12	113.56	25.91	189.02	2193.99	3955.48	39.22	1561.89	7.22	1685.71	217.27	13.22	1662.49	27.25	616.37	85.22	463.65	629.35	17.51	1119.56	49.91	1844.76
DCHS1	11.64	0.16	13.93	191.67	43.94	29.48	63.45	182.55	122.64	397.93	229.72	82.29	79.45	57.49	264.03	1104.13	674.59	95.34	825.0	39.22	698.41	193.01	94.01	674.59	72.01	511.0	133.36	363.56	327.56	103.69	529.06	115.16	480.04
DDR2	15.11	2.39	31.22	514.56	39.5	14.24	22.75	171.45	299.25	500.46	381.68	78.34	80.01	42.11	197.09	2573.36	2178.83	63.0	2351.53	40.07	3540.14	507.46	44.25	2520.38	62.12	1359.57	139.07	1059.11	1697.45	55.1	1674.06	98.04	1313.23
DLC1	17.9	15.8	63.0	145.02	56.28	17.64	16.63	177.53	165.57	521.76	234.57	67.59	56.28	125.24	423.61	954.43	1081.39	170.25	1508.65	80.01	1781.89	500.46	46.84	1733.13	229.72	1143.1	158.79	878.17	1088.92	182.55	1733.13	129.69	1331.57
ENOX1	3.17	7.17	17.38	65.26	6.73	3.47	4.74	26.28	65.72	119.26	90.77	23.08	21.47	8.45	53.57	162.14	713.11	7.22	285.03	7.63	329.84	159.9	11.82	299.25	14.24	118.43	36.79	86.43	158.79	14.78	133.36	18.97	104.42
ENTPD1	94.67	127.89	166.73	397.93	249.73	71.0	70.51	358.54	438.59	1313.23	733.19	293.07	248.0	426.57	540.19	1111.82	753.83	167.9	961.07	136.19	890.44	567.1	109.66	738.29	301.33	802.41	698.41	830.75	921.88	417.77	693.58	224.97	656.11
EOGT	71.5	96.68	133.36	173.85	220.32	71.0	100.13	325.29	361.04	808.0	379.04	202.66	181.28	186.4	426.57	2133.97	1733.13	107.38	1594.73	177.53	1073.91	395.18	262.2	2303.12	178.77	1015.93	379.04	669.92	1111.82	327.56	1081.39	176.29	460.44
FAT4	1.28	0.56	14.45	159.9	5.96	0.74	1.77	43.63	20.71	153.34	58.3	25.54	6.31	19.97	79.45	341.51	202.66	9.34	205.5	9.78	194.36	35.25	2.89	392.44	5.82	199.85	19.53	116.78	82.87	22.92	195.72	5.59	301.33
FBXL7	9.13	1.46	32.82	301.33	20.26	8.71	12.0	65.72	99.43	293.07	146.03	65.26	45.85	38.67	131.51	571.05	713.11	30.56	376.41	10.0	463.65	242.88	21.32	480.04	69.52	490.14	80.01	173.85	503.95	33.3	476.71	68.07	376.41
FERMT2	77.25	11.73	107.38	305.55	103.69	65.26	47.5	341.51	521.76	1477.58	967.76	376.41	119.26	201.25	486.75	11035.54	19082.0	180.02	5555.65	114.36	5183.54	1259.69	291.04	11112.3	258.57	4358.66	295.11	2351.53	4512.4	180.02	6164.49	511.0	5076.84
FGF2	4.1	0.0	6.78	135.24	5.36	4.54	1.93	59.97	60.39	116.78	87.03	14.67	5.77	13.93	35.25	612.11	483.38	4.35	351.14	5.45	525.39	25.54	3.66	414.87	8.92	264.03	17.9	124.37	285.03	8.45	351.14	6.62	303.44
FILIP1L	68.55	62.12	143.01	334.46	253.23	47.84	169.07	830.75	808.0	1467.37	934.76	441.64	59.97	194.36	346.29	4010.71	9215.48	307.69	12853.63	255.0	7382.04	555.41	138.1	9606.86	336.79	3235.01	854.13	2895.31	2075.59	988.12	3639.7	518.15	2758.13
FSTL1	872.1	187.71	1407.55	2148.82	638.15	559.28	289.02	2209.26	2133.97	6745.86	3794.3	981.29	860.08	759.08	3146.52	39237.98	19892.37	1059.11	11267.44	341.51	8078.22	4836.35	500.46	7230.1	1023.0	7911.95	1519.15	5255.91	4937.99	896.64	9088.59	1044.52	3060.45
IQCJ-SCHIP1	40.07	60.39	80.57	86.43	121.79	67.12	44.89	132.44	283.05	679.29	457.25	540.19	105.15	323.03	463.65	2271.4	5183.54	44.89	2148.82	113.56	1331.57	157.68	56.28	3146.52	127.89	981.29	264.03	503.95	1081.39	81.71	1044.52	167.9	808.0
ITGA1	44.89	13.22	28.65	84.04	493.56	30.56	201.25	314.17	525.39	1037.29	575.03	563.18	583.07	251.48	791.35	4181.07	7485.11	176.29	3540.14	579.04	3589.58	603.67	376.41	5831.91	397.93	2915.45	423.61	1709.26	1697.45	426.57	2591.27	169.07	1662.49
JAM3	36.79	2.63	23.42	316.37	61.25	39.5	37.05	253.23	279.14	1313.23	703.28	127.0	67.59	108.9	305.55	3280.18	7081.29	85.22	1369.04	49.21	1498.22	514.56	60.39	1733.13	111.21	1313.23	147.06	866.07	1259.69	90.77	1583.71	187.71	1447.15
KCNMB1	10.71	2.81	19.11	52.08	11.82	13.42	16.03	33.06	218.79	1191.69	329.84	44.89	53.57	33.06	96.01	8305.36	14065.74	42.41	1819.35	15.56	1977.24	47.5	24.28	2485.67	48.52	1030.12	44.57	633.73	1331.57	40.93	1233.75	22.43	1844.76
KIAA0754	3.17	13.42	7.82	15.68	8.45	1.62	11.21	43.63	67.12	31.45	37.05	19.25	40.93	13.22	36.01	69.03	61.25	32.82	159.9	28.24	132.44	34.02	32.82	155.5	36.27	108.9	34.02	126.12	102.97	65.26	136.19	16.03	92.7
KIRREL	19.97	20.86	18.29	373.81	85.82	15.45	47.84	285.03	211.31	679.29	432.53	164.42	170.25	142.01	511.0	808.0	607.87	131.51	995.0	59.97	703.28	514.56	75.64	842.36	126.12	796.86	234.57	595.34	647.07	186.4	842.36	186.4	323.03
LATS2	35.76	79.45	111.21	140.04	85.22	43.02	50.63	325.29	285.03	387.02	381.68	312.0	94.01	256.78	262.2	813.63	1030.12	141.02	559.28	82.87	603.67	246.28	185.11	567.1	137.14	525.39	231.32	312.0	607.87	201.25	583.07	130.6	334.46
LAYN	31.0	98.73	166.73	318.57	48.52	33.78	21.16	117.6	332.14	214.27	195.72	83.45	48.18	75.64	158.79	463.65	244.57	65.72	2193.99	33.06	540.19	202.66	33.78	2555.58	85.22	575.03	72.52	384.34	884.29	54.72	748.61	85.22	688.78
LCN2	267.73	565825.41	1179708.33	706337.4	280957.98	575.03	316094.29	248002.34	542775.98	131982.68	134755.94	606436.73	654483.73	1238359.56	513497.31	21.78	13.83	1034138.94	12076.21	565825.41	406.31	1472666.19	593956.43	8658.09	431797.89	915.51	334117.42	38430.46	86474.27	466008.55	125.24	383800.28	126606.21
LRCH2	5.02	0.0	2.12	57.89	4.62	1.36	1.06	13.52	25.54	37.85	64.8	11.55	3.0	6.52	13.32	299.25	249.73	6.73	154.42	4.21	173.85	28.45	6.21	191.67	6.46	116.78	12.45	55.1	132.44	9.48	134.3	13.12	75.11
MACF1	651.58	1519.15	1551.09	1427.22	954.43	1277.29	1639.59	3303.0	3901.01	2645.74	3190.46	1991.0	1674.06	1088.92	2119.22	6121.9	7130.55	764.36	6294.04	1340.84	7485.11	1561.89	1104.13	11584.24	1183.45	4937.99	1350.18	3901.01	4575.41	1685.71	6250.56	1066.48	3901.01
