	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.WHSB.0326.SM.5FQSD	GTEX.OOBK.0526.SM.2HMJJ	GTEX.13CF3.0426.SM.5IJEU	GTEX.QXCU.0626.SM.2TC69	GTEX.13OVH.1026.SM.5J2NP	GTEX.S4Z8.0426.SM.3K2AH	GTEX.U3ZM.0426.SM.3DB73	GTEX.WFG8.0926.SM.3GIKJ	GTEX.U8XE.1426.SM.3DB8Q	GTEX.SNOS.0426.SM.32PMH	GTEX.11WQC.0626.SM.5EQMF	GTEX.P4PQ.0526.SM.2HMKR	GTEX.12WSJ.0226.SM.5GCP7	GTEX.XUJ4.1426.SM.4BONT	GTEX.R55G.0826.SM.2TC5U	GTEX.13O21.3026.SM.5J2NI	GTEX.T6MO.0426.SM.32QOI	GTEX.1339X.0626.SM.5IJER	GTEX.13N1W.0726.SM.5MR57	GTEX.13VXU.2726.SM.5LU4N	GTEX.132QS.0726.SM.5IJE9	GTEX.OIZI.1026.SM.3NB1K	GTEX.13OW6.0826.SM.5L3GA	GTEX.1399S.1726.SM.5L3DI	GTEX.11TT1.1626.SM.5EQL7	GTEX.PLZ6.0426.SM.5IFK2	GTEX.11WQK.1226.SM.5GU5Z	GTEX.ZPIC.0626.SM.57WDY	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.XBED.0826.SM.47JYC	GTEX.Y8LW.0326.SM.4VBQ9
ABCG2	0.0	0.0	483.38	85.82	18.43	40.93	79.45	299.25	115.16	297.17	32.36	75.11	139.07	112.77	90.77	262.2	65.72	176.29	287.01	23.25	74.58	70.51	120.1	947.83	221.86	85.22	75.11	119.26	40.93	127.0	45.85	229.72	258.57
ABHD14B	0.0	0.56	2537.92	842.36	591.22	486.75	802.41	2956.17	2434.5	2739.08	543.96	1331.57	514.56	2720.15	2148.82	3103.19	3103.19	3820.7	2720.15	1051.79	785.88	438.59	1832.01	2555.58	884.29	2335.28	1551.09	3395.89	291.04	2997.45	1304.15	1757.34	2367.9
AC004381.6	0.0	0.0	77.79	26.67	19.97	11.91	14.89	67.59	35.0	55.49	22.59	30.78	9.13	80.57	29.7	55.89	76.17	36.53	36.79	17.25	22.43	16.75	31.0	76.17	12.36	38.4	36.53	89.51	9.93	63.89	27.64	45.53	37.05
ACADL	0.0	0.1	1909.85	567.1	75.11	299.25	70.01	1183.45	1015.93	1331.57	86.43	493.56	12.09	3168.41	759.08	921.88	1208.34	1388.16	872.1	587.13	186.4	30.34	497.0	4181.07	258.57	2502.97	518.15	1936.53	21.01	1457.23	220.32	934.76	2193.99
ACAT1	0.0	0.56	3467.27	785.88	759.08	890.44	470.14	3212.66	2645.74	2739.08	813.63	1721.16	511.0	1909.85	2163.77	2915.45	2555.58	3820.7	1733.13	1467.37	1096.5	507.46	1685.71	2739.08	934.76	2976.74	1397.83	2997.45	444.72	2351.53	1322.37	2485.67	2915.45
ALDH7A1	0.0	0.72	2816.11	287.01	249.73	165.57	159.9	2682.69	2193.99	1991.0	277.2	1242.34	244.57	2997.45	866.07	3280.18	3768.09	1757.34	902.89	435.55	228.13	78.89	1151.06	3443.31	346.29	1605.83	603.67	2645.74	134.3	2240.11	665.29	551.56	1127.35
APOA5	0.0	0.0	10.24	1.31	5.15	2.92	0.0	8.45	4.17	30.12	0.0	2.66	0.0	12.55	16.03	5.19	11.38	8.71	5.96	0.0	1.89	0.0	1.3	21.32	10.63	7.63	12.0	8.58	0.0	14.14	7.69	7.0	6.01
AQP7	0.0	0.13	454.09	21.32	8.38	4.94	37.05	91.41	157.68	264.03	57.89	24.28	4.82	493.56	98.73	518.15	127.0	842.36	19.97	19.25	23.42	13.72	20.86	299.25	81.71	199.85	12.18	228.13	4.62	71.0	4.94	9.27	743.43
ASB13	0.0	0.0	514.56	392.44	507.46	412.0	258.57	529.06	417.77	669.92	169.07	480.04	106.63	660.68	397.93	493.56	371.22	743.43	567.1	420.68	343.89	115.16	463.65	583.07	371.22	579.04	414.87	669.92	139.07	486.75	435.55	567.1	612.11
ATRAID	0.0	0.95	6381.92	3081.75	2018.8	2555.58	1388.16	5711.87	5633.22	7589.61	1467.37	3212.66	1369.04	6207.38	4481.23	5479.15	5041.77	8078.22	4671.57	2591.27	3168.41	1066.48	3847.29	5672.41	2104.58	4802.93	3467.27	9740.98	995.0	5711.87	3325.99	4639.29	6745.86
