	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1FN.11A.34R.A13Q.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.GI.A2C9.11A.22R.A21T.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.RM2N.0526.SM.2TF4N	GTEX.WH7G.0526.SM.3NMBI	GTEX.QV31.0726.SM.3GAEG	GTEX.Y5LM.0626.SM.4V6G4	GTEX.P4QT.2626.SM.2I3FM	GTEX.132QS.0326.SM.5IJFN	GTEX.XUZC.0126.SM.4BOO6	GTEX.146FR.0326.SM.5SI8U	GTEX.ZV7C.0126.SM.57WDE	GTEX.YFCO.0326.SM.4W1ZP	GTEX.YF7O.0726.SM.4W213	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.12WSJ.0326.SM.5GCMT	GTEX.11VI4.0226.SM.5GU6C	GTEX.117YX.1226.SM.5H11S	GTEX.T8EM.0226.SM.3DB7C
ABLIM3	473.41	438.59	728.11	791.35	674.59	346.29	186.4	395.18	163.28	212.78	56.68	156.59	59.55	348.71	44.57	102.25	73.54	59.97	76.71	59.55	76.71	106.63
ABTB2	29.06	38.67	91.41	70.01	28.65	87.03	18.7	66.18	80.57	167.9	19.11	59.55	26.47	85.22	9.41	30.12	29.7	53.95	27.64	9.7	7.11	31.9
AC011484.1	8.06	9.13	2.76	11.73	21.63	10.71	6.52	1.85	7.69	12.36	5.68	6.46	0.0	11.04	2.76	7.22	11.82	0.0	0.0	0.0	0.0	0.6
ADPGK	791.35	1001.93	769.69	698.41	878.17	830.75	713.11	748.61	791.35	718.08	603.67	688.78	698.41	813.63	620.67	665.29	607.87	638.15	665.29	679.29	759.08	854.13
AGMO	26.47	19.25	34.51	25.54	65.72	19.68	7.63	8.58	17.77	15.68	1.14	10.24	2.34	13.83	9.7	12.64	5.11	4.86	3.26	2.56	8.13	10.63
ANKH	1127.35	974.5	1216.75	802.41	884.29	974.5	470.14	723.08	713.11	1023.0	529.06	503.95	406.31	890.44	397.93	409.15	279.14	356.05	444.72	260.38	441.64	336.79
ART4	26.28	128.79	56.28	50.98	348.71	183.82	69.03	117.6	65.26	130.6	22.59	144.01	72.01	127.0	10.55	149.12	28.24	21.01	5.59	69.03	21.47	64.34
ASH2L	947.83	854.13	872.1	854.13	3491.39	555.41	476.71	547.75	503.95	579.04	463.65	599.49	500.46	559.28	429.54	575.03	389.72	514.56	470.14	470.14	525.39	466.88
ATF6	603.67	447.82	532.74	395.18	769.69	392.44	287.01	351.14	341.51	312.0	241.19	341.51	285.03	299.25	232.94	320.8	275.28	267.73	265.87	299.25	281.09	307.69
BTG1	3901.01	5479.15	3146.52	3039.3	3303.0	1757.34	1331.57	1023.0	1322.37	1388.16	379.04	1111.82	941.27	1191.69	764.36	915.51	813.63	679.29	633.73	921.88	1015.93	813.63
C10orf10	4419.52	4095.0	3168.41	2384.37	3665.02	1896.65	1167.14	753.83	2777.33	2720.15	432.53	902.89	599.49	2645.74	417.77	764.36	1199.98	830.75	674.59	567.1	1551.09	1397.83
C19orf12	796.86	486.75	432.53	647.07	466.88	279.14	287.01	253.23	358.54	336.79	226.54	262.2	239.52	320.8	316.37	277.2	255.0	271.48	229.72	241.19	309.83	283.05
