	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.E9.A229.01A.31R.A157.07	TCGA.AC.A2FF.11A.13R.A17B.07	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.E9.A1N5.11A.41R.A14D.07	TCGA.AZ.4323.01A.21R.1839.07	TCGA.DD.AAD1.01A.11R.A41C.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.2Y.A9GX.01A.11R.A38B.07	TCGA.2Y.A9H5.01A.11R.A38B.07	TCGA.UB.AA0V.01A.11R.A38B.07	TCGA.DD.AAVW.01A.11R.A41C.07	TCGA.FV.A23B.11A.11R.A16W.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11NV4.1326.SM.5HL6V	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.T6MN.1226.SM.3NMA5	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.11DXZ.0126.SM.5EGGY	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.56.7223.01A.11R.2045.07	TCGA.43.8115.01A.11R.2247.07	TCGA.22.4601.01A.01R.1443.07	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.N8.A56S.01A.11R.A28V.07
AAGAB	915.51	915.51	1519.15	988.12	743.43	624.99	688.78	518.15	312.0	525.39	536.45	483.38	591.22	379.04	473.41	318.57	175.07	251.48	157.68	217.27	141.02	217.27	314.17	237.86	228.13	145.02	177.53	193.01	199.85	244.57	162.14	175.07	166.73	297.17	145.02	181.28	191.67	231.32	1477.58	743.43	854.13	860.08	764.36
ABCC5	638.15	638.15	1059.11	441.64	463.65	392.44	872.1	201.25	251.48	309.83	327.56	256.78	157.68	130.6	221.86	134.3	66.65	57.08	104.42	48.87	49.91	57.08	83.45	85.82	60.39	51.71	53.57	99.43	72.52	113.56	96.68	85.82	72.52	87.65	78.34	15.91	73.03	70.01	2855.44	3955.48	7966.99	612.11	669.92
AC010642.1	8.85	8.85	14.67	8.71	7.63	9.63	33.06	2.81	4.06	3.32	9.13	7.46	6.67	5.73	4.46	1.87	1.81	3.2	6.57	0.32	1.38	0.0	2.23	0.22	1.33	1.6	0.0	1.41	4.5	2.39	2.03	2.53	6.52	2.36	2.27	0.79	2.03	0.0	25.72	32.82	22.92	35.25	12.83
AC127496.1	15.0	15.0	12.93	22.26	22.26	22.1	27.64	6.89	8.32	13.22	40.07	8.32	7.4	9.41	10.24	3.56	2.39	2.25	1.89	4.98	2.76	0.45	5.28	2.01	1.79	0.44	3.86	3.99	2.34	2.58	7.94	3.0	1.51	2.18	2.07	0.0	1.66	2.76	21.16	23.25	20.41	36.01	31.9
AGAP1	279.14	279.14	307.69	244.57	363.56	351.14	285.03	277.2	101.54	90.77	172.65	116.78	169.07	135.24	246.28	55.89	124.37	63.0	43.32	52.45	43.63	81.14	49.91	70.01	65.26	67.12	167.9	45.85	84.04	62.12	59.55	85.82	87.03	73.03	68.55	42.71	35.5	51.35	334.46	309.83	159.9	551.56	239.52
AGPAT1	1605.83	1605.83	1551.09	1781.89	1369.04	1487.87	1963.57	1340.84	1733.13	2047.0	2061.24	1088.92	2104.58	1104.13	1457.23	1135.2	830.75	974.5	981.29	1037.29	728.11	780.44	947.83	995.0	1119.56	583.07	785.88	660.68	684.02	1322.37	1225.22	896.64	743.43	1051.79	620.67	500.46	915.51	1001.93	1896.65	1857.6	2384.37	2133.97	2384.37
AGRN	1427.22	1427.22	1757.34	1540.37	1498.22	2351.53	2224.63	1340.84	1594.73	872.1	1437.15	1208.34	1066.48	860.08	981.29	642.59	409.15	587.13	583.07	318.57	432.53	346.29	620.67	143.01	579.04	336.79	476.71	674.59	629.35	414.87	423.61	480.04	409.15	1159.07	638.15	104.42	368.65	285.03	1073.91	1059.11	1977.24	6983.79	2417.67
AMN1	237.86	237.86	351.14	161.02	273.37	181.28	371.22	255.0	113.56	70.51	199.85	131.51	177.53	107.38	343.89	68.07	128.79	34.51	65.72	45.85	21.16	94.01	98.04	52.08	30.56	61.25	62.12	62.12	23.76	92.7	66.65	67.12	34.51	66.65	67.59	45.21	59.97	76.17	239.52	287.01	412.0	229.72	201.25
ANAPC1	156.59	156.59	251.48	320.8	341.51	426.57	420.68	176.29	175.07	228.13	191.67	159.9	173.85	154.42	155.5	126.12	95.34	87.65	143.01	51.71	118.43	88.88	66.18	92.05	91.41	69.52	67.59	88.88	131.51	62.56	165.57	122.64	120.94	114.36	127.0	59.97	93.35	70.51	555.41	228.13	348.71	587.13	414.87
AP1S3	49.56	49.56	80.01	94.67	108.9	64.8	51.71	61.68	57.08	56.28	112.77	57.49	65.26	46.84	65.26	23.25	38.67	11.55	9.06	8.19	7.4	1.2	17.9	1.38	1.28	11.82	8.92	21.01	22.75	38.95	10.24	15.11	14.67	26.28	14.03	12.83	6.11	34.51	64.8	81.71	114.36	191.67	237.86
AP4E1	81.14	81.14	102.25	94.01	121.79	111.21	93.35	67.59	58.3	49.56	84.04	77.25	51.35	61.25	69.52	54.72	37.59	28.45	26.86	44.89	26.28	25.91	51.35	47.17	32.13	23.08	28.65	32.82	33.06	24.28	33.3	39.79	41.52	56.68	37.32	17.38	27.84	52.45	82.87	125.24	80.57	75.64	68.07
B4GALT3	1923.14	1923.14	1369.04	967.76	830.75	961.07	1508.65	769.69	819.3	796.86	1286.18	748.61	884.29	483.38	688.78	563.18	320.8	275.28	423.61	246.28	291.04	312.0	507.46	314.17	339.14	1030.12	237.86	571.05	412.0	309.83	361.04	236.21	450.94	387.02	291.04	336.79	381.68	253.23	1936.53	1685.71	2573.36	1467.37	743.43
