	GTEX.U3ZN.1226.SM.4DXUD	GTEX.SNMC.0826.SM.4DM66	TCGA.GU.A42P.01A.11R.A23W.07	TCGA.CF.A47V.01A.11R.A23W.07	TCGA.UY.A78K.01A.11R.A33J.07	TCGA.UY.A78N.01A.12R.A33J.07	TCGA.CF.A3MH.01A.11R.A20F.07	TCGA.CF.A3MG.01A.11R.A20F.07	TCGA.E7.A7PW.01A.11R.A352.07	TCGA.FD.A6TI.01A.11R.A32O.07	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.G2.A3IE.01A.11R.A20F.07	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.GV.A40G.01A.11R.A23N.07	TCGA.DK.A6B2.01A.11R.A30C.07	TCGA.FD.A62P.01A.32R.A30C.07	TCGA.DK.A1A6.01A.11R.A13Y.07	TCGA.ZF.A9R3.01A.11R.A38B.07	TCGA.4Z.AA89.01A.11R.A39I.07	TCGA.E7.A5KE.01A.11R.A28M.07	TCGA.XF.A9SL.01A.11R.A39I.07	TCGA.CF.A9FF.01A.11R.A38B.07	TCGA.CF.A47X.01A.31R.A23W.07	TCGA.ZF.A9R0.01A.11R.A38B.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.YC.A89H.01A.11R.A36F.07	TCGA.FD.A5BR.01A.11R.A26T.07	TCGA.XF.A9SK.01A.11R.A42T.07	TCGA.BT.A20W.01A.21R.A14Y.07	TCGA.CF.A7I0.01A.22R.A352.07	TCGA.FD.A3SL.01A.21R.A22U.07	TCGA.BT.A3PH.01A.11R.A220.07	TCGA.FD.A5C0.01A.11R.A28M.07	TCGA.XF.A8HH.01A.11R.A38B.07	TCGA.DK.A1AF.01A.11R.A13Y.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.DK.A1A3.01A.11R.A13Y.07	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.K4.A83P.01A.11R.A352.07	TCGA.G2.AA3D.01A.11R.A39I.07	TCGA.FD.A62O.01A.11R.A30C.07	TCGA.4Z.AA80.01A.11R.A39I.07	TCGA.BL.A0C8.01A.11R.A10U.07	TCGA.FD.A6TA.01A.12R.A33J.07	TCGA.G2.AA3F.01A.12R.A42T.07	TCGA.FJ.A3ZF.01A.11R.A23N.07	TCGA.4Z.AA7S.01A.11R.A39I.07	TCGA.XF.A9T0.01A.11R.A39I.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.BT.A20T.01A.11R.A14Y.07	TCGA.ZF.A9RL.01A.11R.A38B.07	TCGA.MV.A51V.01A.11R.A26T.07	TCGA.GV.A3JV.01A.11R.A220.07	TCGA.ZF.A9R4.01A.11R.A38B.07	TCGA.GD.A3OP.01A.21R.A220.07	TCGA.2F.A9KP.01A.11R.A38B.07	TCGA.CF.A27C.01A.11R.A16R.07	TCGA.E7.A85H.01A.11R.A352.07	TCGA.FD.A43N.01A.11R.A23W.07	TCGA.UY.A9PH.01A.11R.A38B.07	TCGA.GD.A76B.01A.11R.A32O.07	TCGA.DK.A3IS.01A.21R.A21D.07	TCGA.UY.A9PD.01A.11R.A38B.07	TCGA.DK.A2I1.01A.11R.A180.07	TCGA.K4.A5RJ.01A.11R.A28M.07	TCGA.GD.A2C5.01A.12R.A180.07	TCGA.ZF.A9RM.01A.11R.A38B.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.GC.A3RD.01A.12R.A22U.07	TCGA.E7.A6MD.01A.41R.A352.07	TCGA.XF.A8HG.01A.11R.A36F.07	TCGA.CF.A1HR.01A.11R.A13Y.07	TCGA.XF.A9SZ.01A.11R.A39I.07	TCGA.K4.A3WV.11A.21R.A22U.07	GTEX.Y5V5.2126.SM.4WWFO	GTEX.ZVZQ.0826.SM.51MRF	GTEX.YJ8O.2226.SM.5IFHW	GTEX.146FH.0826.SM.5SI8T	TCGA.DS.A1OD.01A.11R.A14Y.07	GTEX.XUJ4.1526.SM.4BONU	GTEX.13W3W.1426.SM.5LU56
AOAH	412.0	199.85	8.0	16.63	162.14	11.13	6.67	4.06	15.45	43.02	38.4	19.97	3.63	10.88	159.9	145.02	85.82	18.16	21.47	2.34	205.5	38.95	8.92	43.32	23.76	41.81	97.36	109.66	67.59	39.5	84.63	11.3	39.22	55.89	237.86	15.22	145.02	16.75	454.09	7.75	18.29	14.35	33.54	88.26	14.89	3.47	12.27	52.82	14.45	56.28	4.54	7.88	73.03	35.76	67.12	9.56	3.96	58.71	43.94	120.94	73.54	6.06	27.84	85.82	1015.93	19.39	3.38	14.78	25.91	127.0	9.85	35.76	73.54	63.0	214.27	348.71	81.71	156.59	217.27	85.82	102.25
BIN2	454.09	154.42	8.92	31.0	199.85	16.03	10.96	2.05	20.56	28.45	64.34	32.36	3.63	18.16	129.69	76.71	70.01	46.5	15.11	13.22	283.05	59.97	11.04	32.82	8.71	43.63	135.24	124.37	96.01	49.91	83.45	10.71	36.79	53.19	189.02	30.56	76.17	37.05	397.93	26.47	32.13	9.56	24.11	125.24	14.89	12.18	14.14	58.71	42.11	66.65	5.45	20.41	81.71	40.93	73.54	13.52	11.13	49.21	47.17	204.07	124.37	19.25	27.05	111.99	483.38	28.04	5.32	17.64	23.93	139.07	14.89	38.4	72.52	46.84	147.06	366.09	72.52	463.65	305.55	55.1	186.4
BTK	392.44	63.89	4.5	18.97	218.79	17.25	6.67	1.77	25.35	20.56	39.79	13.22	3.96	6.31	94.01	73.03	35.25	41.52	5.32	2.36	320.8	76.17	7.22	39.22	1.91	40.07	115.16	126.12	68.55	17.51	89.51	7.69	24.99	49.21	128.79	20.86	58.71	9.85	521.76	36.27	23.08	17.9	26.47	104.42	19.68	3.17	11.38	42.11	47.84	37.85	5.45	4.46	43.94	29.48	42.71	11.73	1.36	43.02	22.92	154.42	91.41	7.28	19.11	100.13	264.03	28.04	3.11	8.71	29.27	114.36	7.11	22.43	50.27	28.45	199.85	497.0	45.53	466.88	155.5	76.71	51.35
C19orf35	7.82	4.82	0.0	1.36	2.73	1.31	1.33	0.88	1.38	1.93	5.45	4.13	0.67	1.36	4.66	1.83	2.84	1.87	1.55	0.59	11.55	0.77	0.36	0.75	0.0	1.58	3.69	10.0	3.0	1.46	3.47	0.32	0.89	3.23	15.34	0.67	5.02	2.53	10.55	1.55	2.41	1.1	1.43	6.41	1.5	0.64	0.62	3.06	1.87	4.58	0.32	0.36	3.2	3.2	6.26	0.93	0.35	1.5	3.53	11.73	4.46	1.22	0.97	8.58	18.56	4.43	0.57	0.0	3.86	4.66	2.73	1.85	4.1	3.41	5.15	2.94	3.53	5.82	7.88	4.98	9.48
C3AR1	221.86	72.01	2.73	10.96	127.89	16.75	6.73	2.66	17.64	61.25	96.01	24.28	3.0	6.62	301.33	237.86	157.68	36.53	20.11	4.1	256.78	15.56	10.39	56.28	6.31	115.97	116.78	172.65	38.4	19.11	231.32	25.72	70.51	140.04	403.5	33.06	239.52	21.32	379.04	10.31	18.84	15.34	55.89	218.79	40.07	5.36	8.06	98.73	15.0	76.71	0.96	6.89	78.34	39.22	139.07	5.32	7.63	97.36	40.93	450.94	170.25	11.55	31.0	312.0	1066.48	74.06	2.58	6.21	56.28	86.43	27.44	24.81	239.52	63.0	551.56	575.03	171.45	1268.46	267.73	297.17	595.34
CD33	128.79	130.6	3.32	23.42	101.54	18.29	6.67	8.13	20.86	20.56	31.45	12.55	8.85	8.45	70.51	70.51	32.13	16.15	9.93	5.82	165.57	28.86	3.14	20.41	0.0	26.67	45.21	71.5	22.43	45.85	63.0	14.03	36.53	48.87	103.69	29.7	76.71	17.38	136.19	3.47	7.69	10.39	34.02	84.63	12.27	14.67	12.64	42.11	25.17	24.99	1.85	13.93	19.97	13.52	55.49	4.06	2.34	39.22	18.43	148.09	108.14	8.51	15.34	111.99	423.61	25.54	2.27	5.19	24.28	29.48	10.63	27.05	68.55	36.27	320.8	384.34	98.73	1044.52	81.14	90.77	159.9
CD84	74.06	27.44	1.22	5.82	46.84	5.92	1.69	0.32	4.17	9.34	21.16	6.26	0.37	1.68	76.71	43.02	34.75	11.47	4.06	0.61	49.21	10.96	4.17	9.27	1.28	20.41	20.86	36.79	22.43	5.87	61.68	6.11	16.39	41.81	102.25	7.0	52.45	8.25	133.36	5.32	4.54	3.86	13.12	62.56	8.06	1.91	2.51	19.97	7.46	27.44	0.64	1.39	31.22	11.21	25.17	1.89	2.01	24.99	12.36	54.72	31.9	3.66	7.06	36.79	249.73	13.12	1.14	1.33	15.56	50.27	9.41	8.99	31.0	12.27	104.42	209.84	47.17	166.73	91.41	33.06	57.49
CLEC4A	152.28	48.18	9.48	63.45	65.72	19.25	29.91	6.36	16.51	19.25	30.12	18.7	16.63	12.0	94.67	72.01	53.19	31.67	23.93	9.27	148.09	39.22	27.64	20.26	14.89	72.52	48.18	70.51	34.75	37.32	65.26	11.04	50.27	57.89	103.69	29.27	55.1	40.07	119.26	12.45	16.27	11.47	33.54	63.0	23.08	11.55	20.71	50.63	28.45	26.86	50.27	11.21	43.02	22.1	44.25	11.38	23.42	51.35	49.91	255.0	100.13	13.52	17.9	136.19	379.04	30.56	6.16	23.08	38.12	47.5	14.89	24.81	65.72	31.67	87.03	241.19	48.87	113.56	178.77	42.71	74.06
CMKLR1	90.77	100.83	5.06	9.85	91.41	11.13	2.05	1.77	9.63	19.53	29.7	12.83	1.68	6.01	141.02	77.25	53.19	11.82	4.39	2.36	152.28	22.59	6.57	21.47	4.7	41.81	59.13	63.89	40.64	20.41	89.51	5.87	20.56	48.52	138.1	18.16	94.01	33.06	156.59	9.06	23.08	6.31	34.26	99.43	17.9	5.32	9.56	46.18	15.56	24.99	1.25	8.85	34.51	24.28	57.49	7.4	3.96	42.11	26.1	111.21	66.65	4.86	19.39	76.17	525.39	28.24	3.11	7.75	16.51	46.84	7.11	20.26	47.84	17.9	297.17	332.14	1135.2	559.28	57.08	92.7	348.71
CST7	1427.22	95.34	6.84	74.06	503.95	32.59	25.72	10.08	40.64	93.35	108.9	37.85	6.89	35.25	301.33	366.09	279.14	49.56	29.48	2.63	426.57	130.6	35.0	47.5	20.41	84.63	348.71	314.17	232.94	120.1	128.79	23.42	85.22	47.17	521.76	55.1	108.9	59.97	1073.91	31.22	68.07	22.75	12.83	214.27	17.25	12.74	28.04	130.6	58.71	147.06	4.86	13.62	209.84	97.36	140.04	40.36	26.67	87.03	146.03	595.34	236.21	36.01	49.56	214.27	1417.35	73.03	11.64	43.94	65.72	173.85	4.39	224.97	141.02	135.24	190.34	665.29	148.09	232.94	1250.98	115.97	198.47
