	TCGA.XF.A9T5.01A.11R.A42T.07	TCGA.FJ.A871.01A.11R.A352.07	TCGA.PQ.A6FI.01A.11R.A31N.07	TCGA.DK.AA6T.01A.11R.A39I.07	TCGA.EK.A2RO.01A.11R.A18M.07	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.Z6.AAPN.01A.11R.A406.31	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SK.01A.11R.A27V.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.CC.A3M9.01A.11R.A213.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.ZVP2.0626.SM.51MSO	GTEX.ZTPG.1426.SM.51MT3	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.12WSG.0626.SM.5FQTQ	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13NZB.0626.SM.5IFH6	GTEX.1399R.1226.SM.5P9GF	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.14C38.1526.SM.5RQJ7	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.N9.A4Q7.01A.11R.A28V.07	TCGA.N5.A4RF.01A.11R.A28V.07
ABAT	39.22	93.35	5.63	139.07	16.51	6207.38	87.65	1832.01	2835.7	1832.01	1651.0	3515.68	1487.87	1769.57	5633.22	67.59	2451.44	5329.3	5479.15	8479.89	9279.58	6164.49	5995.9	6337.83	5219.6	6745.86	5329.3	6337.83	500.46	18304.63	11424.74	12853.63	17558.94	5441.3	3955.48	39237.98	2664.15	4450.27	22850.48	6561.36	11664.82	1437.15	20737.16	616.37	8840.04	1135.2	4328.55	29943.43	5403.7	18178.19	11909.94	6840.04	12415.75	7280.4	444.72	0.0	0.41	58.71	16.15
ABCG8	0.65	0.0	0.0	0.33	0.0	1119.56	1.01	665.29	651.58	265.87	878.17	1051.79	406.31	486.75	1540.37	1.22	493.56	995.0	1044.52	1819.35	1605.83	974.5	1135.2	1583.71	921.88	785.88	1015.93	2104.58	52.82	3212.66	5479.15	1561.89	2645.74	2720.15	733.19	10084.54	32.13	1250.98	2855.44	5633.22	2739.08	647.07	1963.57	127.89	2609.3	3.56	629.35	3443.31	483.38	5183.54	1977.24	4388.98	2004.85	4607.24	50.98	0.0	0.0	2.63	0.49
ACBD5	251.48	85.82	176.29	151.22	125.24	674.59	106.63	536.45	483.38	264.03	429.54	438.59	368.65	567.1	748.61	159.9	583.07	866.07	684.02	890.44	890.44	633.73	567.1	713.11	529.06	514.56	638.15	791.35	423.61	967.76	1030.12	872.1	974.5	679.29	559.28	1529.73	343.89	616.37	1059.11	1066.48	825.0	490.14	1088.92	555.41	1111.82	229.72	454.09	1135.2	595.34	1304.15	848.22	518.15	884.29	848.22	226.54	0.0	0.21	130.6	96.01
ACP2	1051.79	928.3	934.76	341.51	536.45	1388.16	854.13	1662.49	1487.87	1233.75	1225.22	1572.76	1388.16	1447.15	1388.16	1745.2	1605.83	1781.89	1104.13	2090.03	2209.26	1457.23	1639.59	1991.0	1662.49	1662.49	1594.73	2148.82	1088.92	1769.57	2384.37	1721.16	2915.45	2875.3	2835.7	2935.74	1037.29	2835.7	2018.8	1923.14	2224.63	1350.18	2855.44	836.53	2434.5	1023.0	1286.18	1467.37	1819.35	2090.03	2104.58	2627.46	2193.99	3467.27	1540.37	0.0	0.3	995.0	1477.58
AGMO	8.51	0.0	3.2	9.2	0.0	1417.35	31.22	543.96	1008.9	642.59	457.25	785.88	511.0	277.2	1295.13	30.34	819.3	890.44	1359.57	1135.2	1225.22	1175.27	1233.75	1233.75	921.88	1015.93	988.12	1685.71	224.97	2163.77	2417.67	2976.74	1832.01	2032.85	204.07	4152.18	511.0	872.1	2335.28	1923.14	2451.44	73.54	2148.82	214.27	1617.0	260.38	860.08	2777.33	476.71	6607.01	1487.87	1923.14	2032.85	1417.35	15.68	0.0	0.3	61.25	19.25
AGPAT3	607.87	232.94	463.65	320.8	341.51	1066.48	285.03	836.53	1030.12	490.14	723.08	1208.34	660.68	878.17	1151.06	339.14	1030.12	1883.54	1111.82	1225.22	1674.06	1135.2	1044.52	1487.87	872.1	896.64	890.44	1529.73	503.95	1781.89	2018.8	1508.65	1111.82	1498.22	836.53	1437.15	559.28	1378.57	1909.85	1832.01	2367.9	866.07	1883.54	466.88	2303.12	341.51	738.29	1709.26	698.41	2075.59	1923.14	1594.73	1183.45	1605.83	633.73	493.56	77.79	708.18	647.07
AKT2	1073.91	1447.15	1242.34	1561.89	954.43	2193.99	1605.83	1781.89	1857.6	1051.79	1540.37	1417.35	1529.73	1487.87	2148.82	1175.27	1883.54	2875.3	2271.4	2720.15	2835.7	2209.26	2287.2	2720.15	2287.2	2032.85	1721.16	2119.22	928.3	3060.45	3564.78	2303.12	2739.08	2520.38	3491.39	2573.36	1936.53	2061.24	3060.45	2609.3	3257.52	1896.65	2400.97	1427.22	2255.7	1628.26	1883.54	2555.58	2303.12	3665.02	2573.36	3124.78	2701.35	4419.52	1963.57	961.07	759.08	1104.13	1119.56
ALDH8A1	5.59	1.75	0.31	0.68	4.46	3639.7	5.45	1183.45	2075.59	1447.15	1605.83	2032.85	1023.0	1721.16	3742.05	7.46	1733.13	2739.08	2417.67	4903.87	3820.7	3690.52	3982.99	3982.99	3874.05	3349.13	4123.49	8247.98	287.01	10808.41	19618.49	8901.53	16045.82	4328.55	7857.29	26067.14	1135.2	3540.14	19754.96	8022.41	9876.98	371.22	13872.08	285.03	9673.69	95.34	3928.15	11189.6	3901.01	21617.82	7642.41	5672.41	9025.81	7695.57	153.34	0.0	0.42	5.02	27.05
ANO6	253.23	249.73	204.07	141.02	157.68	591.22	301.33	599.49	493.56	299.25	249.73	389.72	343.89	336.79	603.67	258.57	507.46	802.41	764.36	884.29	802.41	435.55	775.05	780.44	460.44	656.11	525.39	642.59	392.44	813.63	466.88	1143.1	909.17	723.08	301.33	1359.57	289.02	397.93	961.07	808.0	866.07	348.71	921.88	275.28	808.0	361.04	343.89	791.35	387.02	995.0	848.22	507.46	753.83	866.07	450.94	397.93	66.18	125.24	226.54
AOX1	5.32	2.66	8.13	17.9	11.04	18178.19	59.13	3515.68	7230.1	5594.3	9025.81	14971.21	3212.66	5672.41	16843.62	151.22	7695.57	10225.32	19618.49	22850.48	26431.04	15934.98	23492.92	18304.63	12853.63	18819.27	15180.22	37639.55	1331.57	33224.42	58655.36	104271.56	146444.06	50359.33	18304.63	134755.94	18052.61	39785.74	111755.56	37379.55	125731.67	3982.99	198667.0	559.28	67377.47	2956.17	13681.08	170568.48	4328.55	118127.7	145432.49	18431.96	48307.85	46986.85	698.41	0.0	0.52	12.93	5.59
