	GTEX.SE5C.1026.SM.4BRUG	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.A6.5662.11A.01R.1653.07	TCGA.AA.3489.11A.01R.1839.07	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.ZYW4.1626.SM.5GIE6	GTEX.13OVL.2726.SM.5J2MP	GTEX.XQ8I.1826.SM.4BOOJ	GTEX.Y111.1726.SM.4SOIQ	GTEX.1212Z.2026.SM.5N9EA	GTEX.ZYFC.1726.SM.5GZYX	GTEX.QEL4.1526.SM.447AB	GTEX.13G51.1026.SM.5K7YQ	GTEX.ZYW4.1426.SM.5SIAX	GTEX.RNOR.1326.SM.48FDE	GTEX.T6MN.1526.SM.4DM5P	GTEX.146FQ.1126.SM.5NQBM	GTEX.ZYVF.2326.SM.5E44Z	GTEX.P78B.1126.SM.3P615	GTEX.ZAB4.1226.SM.5CVN5	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.XQ8I.1626.SM.4BOOI	GTEX.145MH.1226.SM.5RQJT	GTEX.ZYT6.1226.SM.5E44Q	GTEX.148VJ.1126.SM.5NQBZ	GTEX.RWSA.1326.SM.47JX9	GTEX.ZA64.0526.SM.5HL9I	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.14C5O.2826.SM.5RQI6	GTEX.13111.1326.SM.5GCNO	GTEX.OOBK.2025.SM.3LK5S	GTEX.WK11.2626.SM.4OOSK	GTEX.11EQ9.1726.SM.5HL6U	GTEX.12696.2226.SM.5EQ65	TCGA.AG.3742.11A.01R.1660.07	TCGA.AG.3732.11A.01R.1660.07	TCGA.AF.2692.11A.01R.A32Z.07	TCGA.BR.A453.01A.11R.A24K.31	TCGA.FP.7735.11A.01R.2055.13	TCGA.FP.7829.11A.01R.2055.13	GTEX.13X6H.1626.SM.5Q5CT	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.P4QT.1526.SM.3NMCT	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.OIZH.1526.SM.3NB1J	GTEX.R55D.1526.SM.48FEJ
AAAS	813.63	713.11	529.06	575.03	493.56	708.18	860.08	1104.13	1066.48	1088.92	830.75	1605.83	1208.34	1127.35	954.43	1104.13	2451.44	2739.08	3395.89	3639.7	2061.24	1397.83	2758.13	3325.99	1977.24	3212.66	2720.15	1051.79	2384.37	1950.0	2997.45	2468.49	2758.13	2739.08	2537.92	2032.85	2701.35	2193.99	1721.16	941.27	785.88	954.43	769.69	1008.9	759.08	575.03	825.0	981.29	1088.92	1066.48	1088.92	1151.06	872.1	1397.83	567.1	743.43	753.83	866.07	1350.18
AC020922.1	2.71	2.23	0.0	2.18	0.91	1.35	5.41	4.46	11.47	3.0	7.69	23.59	7.46	15.56	4.17	13.52	61.25	28.65	31.67	57.49	49.56	50.63	30.56	43.63	52.82	45.53	36.01	6.01	40.07	19.82	33.06	40.93	47.5	18.56	31.22	15.8	36.79	18.03	20.56	4.21	2.73	5.41	3.82	4.98	3.03	3.26	7.88	12.0	6.67	12.18	7.46	18.7	1.79	2.2	0.73	1.2	2.16	2.78	4.39
AC137932.1	1.73	1.35	3.99	2.2	3.99	4.86	16.27	7.4	13.93	6.84	5.68	11.47	18.03	23.76	5.73	43.63	47.5	22.59	41.81	36.53	21.32	28.65	29.27	34.51	55.49	25.91	22.75	9.34	41.52	22.1	33.06	25.35	38.4	29.06	20.86	22.1	44.89	36.53	13.93	4.94	2.2	2.43	1.33	1.58	1.33	0.35	8.58	7.63	11.55	10.31	10.08	8.32	0.85	4.35	4.7	0.39	1.28	4.74	9.13
AGAP6	120.94	55.1	76.71	77.25	80.01	79.45	256.78	133.36	217.27	178.77	137.14	267.73	329.84	423.61	190.34	397.93	934.76	733.19	753.83	1313.23	525.39	753.83	575.03	1119.56	825.0	1051.79	785.88	201.25	896.64	389.72	698.41	860.08	738.29	620.67	743.43	723.08	1023.0	543.96	346.29	29.91	64.34	42.41	70.01	72.01	54.33	53.95	116.78	182.55	177.53	172.65	140.04	128.79	27.84	156.59	77.79	36.79	56.68	77.79	208.38
ANAPC2	366.09	387.02	438.59	392.44	356.05	432.53	723.08	551.56	651.58	595.34	414.87	587.13	575.03	791.35	624.99	902.89	1529.73	1674.06	1340.84	1870.53	1183.45	1639.59	1242.34	1561.89	1208.34	1508.65	1295.13	540.19	1151.06	796.86	1199.98	1340.84	1819.35	988.12	1225.22	1015.93	1304.15	1191.69	954.43	466.88	361.04	555.41	543.96	490.14	511.0	450.94	457.25	563.18	684.02	624.99	599.49	633.73	251.48	575.03	323.03	271.48	301.33	334.46	486.75
ANKZF1	242.88	202.66	239.52	368.65	120.94	269.6	616.37	551.56	638.15	629.35	514.56	848.22	669.92	909.17	334.46	954.43	2816.11	1457.23	2104.58	1950.0	1216.75	1769.57	1806.78	1844.76	2075.59	2090.03	1331.57	412.0	1685.71	1008.9	2240.11	1427.22	1857.6	1447.15	1191.69	819.3	2351.53	1030.12	1183.45	543.96	521.76	500.46	201.25	264.03	348.71	329.84	358.54	591.22	368.65	447.82	371.22	642.59	275.28	341.51	169.07	181.28	314.17	228.13	414.87
AOC2	27.84	6.21	12.0	13.03	11.04	13.72	14.78	9.34	18.84	16.39	7.88	17.25	38.95	25.35	18.03	21.32	39.5	35.25	33.3	50.98	27.44	37.32	45.21	42.11	45.21	47.5	37.59	8.0	22.75	28.04	37.05	66.18	25.91	47.84	32.59	26.1	57.08	29.06	22.26	5.5	6.84	2.86	4.5	9.48	3.56	7.82	8.13	17.51	18.84	19.11	5.82	9.13	4.7	6.89	8.58	4.1	4.7	13.42	23.93
ARGLU1	1037.29	693.58	748.61	890.44	928.3	947.83	2319.15	1832.01	2193.99	2178.83	1896.65	1628.26	2875.3	4038.61	2335.28	3820.7	7695.57	4152.18	6121.9	4937.99	3060.45	5219.6	6935.54	5872.48	6983.79	5711.87	5041.77	1883.54	5633.22	4388.98	8247.98	5403.7	7081.29	5479.15	4481.23	4450.27	6516.03	5672.41	5006.93	769.69	1963.57	1066.48	647.07	738.29	723.08	1216.75	2119.22	2351.53	2133.97	2075.59	1529.73	1721.16	591.22	2739.08	708.18	660.68	941.27	872.1	1950.0
ARHGEF1	559.28	529.06	728.11	587.13	620.67	543.96	1304.15	1111.82	988.12	1304.15	1111.82	2004.85	1883.54	1674.06	1073.91	1674.06	2609.3	2119.22	3280.18	3515.68	1605.83	2664.15	2303.12	2417.67	1883.54	2895.31	2573.36	928.3	1794.29	1709.26	2255.7	2148.82	2976.74	2400.97	2417.67	1870.53	1561.89	2032.85	2319.15	547.75	457.25	647.07	591.22	718.08	660.68	444.72	1008.9	1066.48	1397.83	1359.57	848.22	941.27	460.44	921.88	571.05	480.04	612.11	518.15	954.43
ATAD3B	146.03	57.08	126.12	139.07	165.57	96.68	435.55	195.72	198.47	277.2	325.29	490.14	583.07	392.44	265.87	460.44	775.05	583.07	718.08	854.13	642.59	703.28	633.73	785.88	612.11	703.28	536.45	150.17	961.07	417.77	497.0	679.29	684.02	476.71	575.03	579.04	688.78	656.11	409.15	84.63	62.12	107.38	153.34	100.13	81.71	108.14	158.79	152.28	316.37	275.28	170.25	146.03	77.25	208.38	260.38	55.89	85.82	185.11	271.48
ATG4B	785.88	571.05	825.0	738.29	775.05	830.75	1340.84	1159.07	928.3	1639.59	902.89	1277.29	1127.35	1457.23	1477.58	1662.49	3443.31	2816.11	2193.99	2417.67	1963.57	2682.69	2502.97	2520.38	2335.28	2502.97	2451.44	1208.34	2400.97	1662.49	2148.82	2163.77	2537.92	1896.65	1529.73	1487.87	2468.49	2075.59	1757.34	954.43	1199.98	830.75	791.35	915.51	813.63	780.44	1397.83	1407.55	1519.15	961.07	1250.98	1059.11	587.13	1059.11	878.17	633.73	620.67	808.0	1104.13
ATHL1	58.71	53.57	75.64	75.64	97.36	81.14	273.37	182.55	189.02	264.03	228.13	1008.9	1651.0	995.0	432.53	759.08	780.44	660.68	1806.78	2682.69	612.11	423.61	2018.8	1088.92	567.1	1561.89	1437.15	305.55	1183.45	540.19	1151.06	921.88	981.29	1088.92	1233.75	896.64	532.74	909.17	878.17	92.05	139.07	123.5	116.78	159.9	178.77	58.3	182.55	253.23	366.09	223.41	173.85	187.71	161.02	173.85	164.42	60.82	111.21	63.45	323.03
