	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.EK.A2IR.01A.11R.A180.07	TCGA.RU.A8FL.01A.11R.A37K.07	TCGA.LN.A49S.01A.11R.A24K.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.IG.A3YC.01A.11R.A24K.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.BB.8601.01A.11R.2403.07	TCGA.05.4424.01A.22R.1858.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.OOBK.0526.SM.2HMJJ	GTEX.RU1J.0126.SM.2TF6Y	GTEX.TML8.0326.SM.4GICN	GTEX.12WSJ.0226.SM.5GCP7	GTEX.XUJ4.1426.SM.4BONT	GTEX.U3ZN.0626.SM.3DB7U	GTEX.UJHI.0726.SM.3DB92	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.ZPIC.0626.SM.57WDY	GTEX.1211K.0826.SM.5FQUP	GTEX.PW2O.0526.SM.2I3DX	GTEX.QEG5.1126.SM.33HC2	TCGA.34.2608.01A.02R.0851.07	TCGA.60.2710.01A.01R.0851.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
ACP5	3235.01	226.54	195.72	253.23	591.22	575.03	332.14	813.63	454.09	507.46	4575.41	563.18	842.36	3303.0	10808.41	5403.7	13033.07	10959.3	14461.21	17078.76	10084.54	11424.74	10808.41	10959.3	3190.46	15824.9	8658.09	3039.3	2739.08	2758.13	1059.11	642.59	1685.71	1819.35	1044.52	1143.1
ADPRH	20.86	12.27	16.63	63.89	98.04	122.64	81.14	55.1	63.0	44.89	170.25	66.18	13.03	163.28	780.44	249.73	660.68	785.88	647.07	629.35	536.45	420.68	915.51	748.61	444.72	819.3	366.09	145.02	130.6	149.12	28.45	35.5	78.89	18.16	62.12	14.78
ALOX5AP	91.41	127.0	39.22	409.15	555.41	723.08	547.75	460.44	483.38	547.75	830.75	389.72	105.89	2018.8	10296.45	5831.91	10883.59	9876.98	21617.82	14561.8	7382.04	3491.39	13123.73	7382.04	4095.0	8191.0	15180.22	1857.6	769.69	2451.44	212.78	500.46	866.07	371.22	373.81	595.34
APOBR	43.63	8.99	148.09	47.84	45.53	54.72	59.55	23.76	45.53	27.44	166.73	28.45	7.34	108.14	514.56	417.77	1037.29	909.17	842.36	595.34	665.29	642.59	486.75	435.55	500.46	802.41	153.34	117.6	127.0	100.13	70.51	37.85	125.24	69.52	31.45	32.36
ARHGDIB	1199.98	373.81	460.44	2255.7	2720.15	3349.13	2609.3	1639.59	3794.3	2255.7	4639.29	1950.0	595.34	7589.61	5995.9	5913.33	8718.32	18950.18	8421.31	12329.98	11664.82	4066.71	21320.18	18178.19	10733.74	8421.31	6887.62	5555.65	3467.27	6079.61	1104.13	2468.49	2915.45	1277.29	1304.15	1498.22
CACNG4	36.53	3.76	11.3	5.41	5.82	4.28	18.56	1.97	25.72	15.56	19.53	2.97	41.52	400.71	463.65	447.82	921.88	406.31	371.22	64.34	1277.29	466.88	1651.0	48.87	2075.59	1151.06	96.01	45.85	8.51	65.72	24.99	13.62	78.89	4.24	28.86	5.73
CARD16	1044.52	373.81	202.66	688.78	435.55	486.75	466.88	629.35	728.11	343.89	769.69	241.19	796.86	708.18	830.75	1081.39	1119.56	2976.74	1359.57	1350.18	1832.01	1023.0	5441.3	1175.27	819.3	2032.85	1721.16	909.17	698.41	796.86	271.48	819.3	423.61	426.57	339.14	285.03
CATSPER1	8.92	1.45	2.05	12.83	1.69	18.16	13.32	10.88	3.53	6.01	28.24	0.0	5.19	27.44	76.71	49.56	82.87	17.13	195.72	334.46	100.13	88.88	275.28	122.64	102.97	193.01	35.76	23.25	9.63	30.56	3.38	4.82	8.78	2.61	2.43	2.92
CCL18	0.0	13.42	5.36	63.89	312.0	647.07	32.59	123.5	334.46	100.83	684.02	106.63	33.54	1540.37	5751.61	8363.13	13968.57	9673.69	11345.82	10368.08	2915.45	1073.91	20737.16	50359.33	3564.78	16960.78	9409.14	2796.65	1909.85	1685.71	161.02	713.11	161.02	176.29	43.02	199.85
CCRL2	12.0	7.0	118.43	18.43	33.3	99.43	12.55	10.88	54.33	16.27	55.49	10.0	8.32	183.82	647.07	316.37	633.73	1037.29	764.36	669.92	647.07	267.73	620.67	476.71	483.38	884.29	273.37	105.89	89.51	82.29	13.22	10.88	36.01	7.4	4.98	5.73
