	TCGA.EM.A2CU.01A.12R.A180.07	TCGA.CE.A482.01A.11R.A23W.07	TCGA.EM.A4FV.01A.11R.A250.07	TCGA.KS.A4I7.01A.11R.A250.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.DJ.A2PS.01A.11R.A18C.07	TCGA.DJ.A13P.01A.11R.A10U.07	TCGA.ET.A25K.01A.11R.A16R.07	TCGA.EM.A2CS.01A.11R.A180.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.DJ.A4UP.01A.11R.A250.07	TCGA.EM.A1CV.01A.11R.A13Y.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.EM.A1CS.01A.11R.A13Y.07	TCGA.EM.A3SX.01A.11R.A22U.07	TCGA.DJ.A3US.01A.11R.A22L.07	TCGA.DJ.A3UK.01A.11R.A22L.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.DJ.A2PX.01A.11R.A18C.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.EM.A2P0.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.DJ.A3UV.01A.11R.A22L.07	TCGA.DJ.A13T.01A.11R.A10U.07	TCGA.DJ.A1QM.01A.11R.A14Y.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.DJ.A2Q7.01A.11R.A18C.07	TCGA.ET.A39L.01A.12R.A19O.07	TCGA.BJ.A0ZJ.01A.11R.A10U.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.DJ.A3UR.01A.11R.A22L.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.ET.A39R.01A.11R.A19O.07	TCGA.DJ.A13X.01A.11R.A10U.07	TCGA.ET.A2MZ.01A.12R.A19O.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.ET.A39S.01A.11R.A19O.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.EM.A3AR.01A.12R.A20F.07	TCGA.BJ.A2N8.11A.11R.A18C.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.WWYW.0826.SM.3NB2X	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.11TTK.0826.SM.5N9EG	GTEX.YEC3.0826.SM.4WWFP	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.139T6.0326.SM.5J2LY	GTEX.PX3G.2626.SM.2I3EG	GTEX.OOBK.2626.SM.2HMKY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.12WSJ.0326.SM.5GCMT	GTEX.PLZ4.1226.SM.2I5FE	GTEX.11VI4.0226.SM.5GU6C	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1
AC011897.1	34.51	82.87	108.14	51.71	93.35	73.03	98.73	88.88	125.24	78.89	34.75	46.18	89.51	80.01	202.66	45.85	84.04	89.51	70.01	77.79	84.04	50.27	77.25	43.94	87.65	55.49	84.63	63.0	59.13	63.0	47.5	43.94	55.1	50.63	167.9	80.57	65.72	32.59	66.65	44.57	33.3	14.67	7.46	11.21	12.0	10.08	6.52	7.0	5.06	71.5	6.52	8.06	8.99	3.79	22.43	16.03	17.51	15.68	14.24	11.82	6.78	8.13	8.32	6.84	13.52	19.25	12.18	6.06	8.32	10.96	7.11	12.55	11.3	23.08	17.9	7.69	14.24	10.55	8.71	12.0	19.68	7.94	27.05	11.64	20.71	5.87	16.75	11.04	18.56	8.0	5.63	13.93	23.08	9.41	7.94	17.25	12.74	8.13	13.72	14.89	11.3	6.06	10.24
ADAMTS9	3060.45	4769.75	3325.99	3419.52	4010.71	2664.15	2468.49	2915.45	1259.69	1023.0	3168.41	4512.4	2875.3	1857.6	2061.24	2104.58	2367.9	2163.77	4704.07	2104.58	3280.18	2451.44	2609.3	2148.82	2287.2	536.45	2502.97	3349.13	1721.16	2090.03	1896.65	2303.12	2224.63	995.0	2591.27	3742.05	4972.34	2915.45	2335.28	2591.27	733.19	255.0	102.25	234.57	61.68	376.41	172.65	80.57	109.66	309.83	309.83	532.74	314.17	988.12	43.02	141.02	237.86	81.71	117.6	176.29	316.37	285.03	190.34	96.01	73.54	525.39	1088.92	40.07	161.02	62.12	75.11	318.57	226.54	303.44	420.68	139.07	157.68	185.11	242.88	316.37	64.8	356.05	126.12	60.82	258.57	234.57	138.1	379.04	392.44	540.19	218.79	387.02	236.21	66.65	88.88	612.11	129.69	92.7	156.59	642.59	58.3	72.01	154.42
ADK	1467.37	1662.49	1617.0	1540.37	1896.65	1844.76	2004.85	1023.0	1844.76	1950.0	988.12	2061.24	2018.8	1304.15	1388.16	1167.14	1437.15	1175.27	1639.59	1832.01	1832.01	1674.06	1857.6	1225.22	1477.58	974.5	1963.57	1870.53	1594.73	1594.73	1250.98	1417.35	1397.83	1674.06	1529.73	1540.37	1781.89	1378.57	1498.22	1561.89	974.5	785.88	836.53	1143.1	974.5	669.92	708.18	954.43	511.0	629.35	1286.18	1199.98	728.11	728.11	1044.52	785.88	669.92	583.07	1051.79	902.89	848.22	1104.13	890.44	769.69	633.73	1159.07	825.0	713.11	583.07	1143.1	575.03	813.63	579.04	1127.35	830.75	579.04	961.07	532.74	642.59	1159.07	607.87	1015.93	708.18	583.07	1111.82	785.88	368.65	802.41	1044.52	1233.75	1199.98	595.34	995.0	1127.35	543.96	974.5	642.59	638.15	1127.35	1001.93	684.02	854.13	1001.93
AMFR	1936.53	1295.13	1551.09	1662.49	1697.45	1529.73	1806.78	1628.26	2004.85	2502.97	1540.37	1883.54	1963.57	1896.65	1674.06	1286.18	1340.84	1733.13	1844.76	1883.54	2178.83	1407.55	3060.45	1322.37	1832.01	1617.0	1697.45	1870.53	1883.54	1733.13	1651.0	2075.59	1594.73	1662.49	1757.34	1936.53	2133.97	1617.0	1832.01	1407.55	1369.04	1340.84	1350.18	1183.45	1447.15	1639.59	1286.18	1277.29	928.3	1242.34	1159.07	1639.59	796.86	1135.2	1467.37	808.0	961.07	1104.13	1081.39	1709.26	1199.98	1427.22	1233.75	1015.93	1088.92	928.3	1313.23	1617.0	1388.16	1540.37	1167.14	1286.18	941.27	728.11	928.3	961.07	1304.15	1498.22	1639.59	1508.65	961.07	988.12	890.44	1183.45	1277.29	1096.5	1617.0	1561.89	1216.75	1066.48	1628.26	934.76	1225.22	1340.84	1127.35	1417.35	1135.2	981.29	1225.22	934.76	1313.23	1088.92	947.83
AP2A1	1191.69	1167.14	1175.27	1397.83	1104.13	1135.2	1259.69	1175.27	1322.37	1388.16	1119.56	1350.18	961.07	1561.89	947.83	1037.29	1023.0	1359.57	1111.82	1259.69	1286.18	902.89	1322.37	1096.5	1242.34	1477.58	1216.75	1745.2	1397.83	995.0	1208.34	1088.92	1674.06	1662.49	1540.37	1268.46	1037.29	1340.84	1037.29	1023.0	884.29	995.0	884.29	591.22	813.63	890.44	1059.11	1023.0	669.92	624.99	669.92	813.63	780.44	842.36	698.41	698.41	1059.11	1175.27	836.53	1023.0	1259.69	872.1	1030.12	764.36	791.35	708.18	802.41	860.08	896.64	884.29	909.17	1015.93	679.29	738.29	1008.9	854.13	954.43	1030.12	1119.56	703.28	825.0	848.22	825.0	866.07	836.53	825.0	1143.1	854.13	688.78	872.1	785.88	967.76	872.1	703.28	896.64	921.88	988.12	764.36	813.63	796.86	775.05	738.29	723.08
APLP2	29736.59	32315.87	22380.2	32540.65	27363.16	36864.92	37901.36	40341.14	31215.04	32315.87	28525.2	31870.96	19754.96	49322.93	34396.12	21768.19	37639.55	26800.01	26986.43	26800.01	35363.15	35363.15	26800.01	32767.0	43840.21	20737.16	37121.34	39785.74	38164.99	27553.49	20593.91	21768.19	37379.55	29736.59	18560.17	34158.52	30151.71	21919.61	27553.49	30572.63	21919.61	16269.83	16045.82	32092.64	15392.14	21919.61	11909.94	26614.89	17078.76	8022.41	35118.87	23986.58	14867.79	11745.96	15607.02	14561.8	11504.21	11745.96	19892.37	15607.02	14163.58	21468.49	18304.63	27938.14	17927.91	19618.49	26614.89	16383.0	11345.82	28525.2	15180.22	18560.17	12076.21	19482.97	15715.58	11504.21	20310.37	12502.12	15285.81	13492.72	14163.58	21919.61	15824.9	15607.02	19754.96	15392.14	11035.54	20310.37	22850.48	16843.62	27174.14	8247.98	15075.35	18819.27	13492.72	17197.56	10883.59	16496.96	16496.96	15607.02	17078.76	31650.8	13681.08
ARAP1	2591.27	3146.52	2758.13	2537.92	3190.46	2255.7	2178.83	2367.9	2193.99	2997.45	2193.99	2835.7	2193.99	2664.15	2319.15	1977.24	2555.58	2573.36	2178.83	2956.17	2591.27	2148.82	2935.74	2178.83	2032.85	2018.8	2682.69	2319.15	2682.69	1844.76	2502.97	1991.0	2645.74	3103.19	2915.45	2816.11	2240.11	2163.77	3168.41	2400.97	2104.58	1477.58	1378.57	1008.9	1233.75	1277.29	1769.57	1397.83	1781.89	2018.8	1111.82	2915.45	1417.35	2047.0	1104.13	1250.98	1340.84	1561.89	1143.1	1369.04	1369.04	1417.35	1199.98	1685.71	1769.57	967.76	1617.0	1617.0	1340.84	1662.49	1242.34	1015.93	2148.82	1519.15	1572.76	1721.16	1151.06	1697.45	1529.73	1088.92	1359.57	1745.2	1757.34	1175.27	1304.15	1477.58	1322.37	1963.57	1397.83	1111.82	1135.2	1594.73	1950.0	1427.22	1151.06	1208.34	1508.65	1437.15	1806.78	2271.4	1467.37	1487.87	1519.15
ARHGAP23	591.22	698.41	595.34	624.99	532.74	536.45	633.73	995.0	759.08	624.99	447.82	723.08	518.15	860.08	842.36	353.59	718.08	698.41	536.45	551.56	759.08	612.11	743.43	547.75	1059.11	438.59	616.37	684.02	698.41	830.75	463.65	395.18	612.11	503.95	633.73	743.43	674.59	483.38	684.02	567.1	295.11	183.82	120.94	137.14	181.28	129.69	199.85	110.43	102.97	176.29	80.01	32.82	193.01	104.42	52.45	173.85	237.86	145.02	117.6	273.37	190.34	165.57	193.01	275.28	163.28	105.89	173.85	129.69	199.85	99.43	214.27	348.71	81.14	107.38	144.01	244.57	129.69	414.87	277.2	55.1	68.55	127.89	76.17	244.57	157.68	130.6	447.82	241.19	88.88	72.52	76.71	187.71	98.04	148.09	100.13	325.29	117.6	123.5	85.22	224.97	122.64	158.79	77.25
ASCC3	341.51	351.14	339.14	406.31	435.55	392.44	314.17	420.68	384.34	470.14	314.17	312.0	242.88	363.56	301.33	336.79	249.73	387.02	476.71	420.68	348.71	435.55	336.79	305.55	480.04	264.03	271.48	438.59	392.44	334.46	400.71	271.48	275.28	277.2	480.04	356.05	454.09	371.22	368.65	325.29	305.55	187.71	291.04	190.34	170.25	130.6	223.41	201.25	143.01	221.86	232.94	124.37	155.5	186.4	201.25	158.79	164.42	208.38	309.83	182.55	297.17	236.21	232.94	173.85	156.59	113.56	167.9	218.79	185.11	229.72	161.02	242.88	193.01	131.51	267.73	176.29	218.79	178.77	336.79	256.78	231.32	299.25	191.67	104.42	205.5	189.02	172.65	323.03	264.03	332.14	189.02	303.44	201.25	154.42	220.32	169.07	209.84	166.73	217.27	223.41	96.01	198.47	176.29
ATIC	2032.85	2104.58	2193.99	2451.44	2777.33	3146.52	1794.29	2502.97	2664.15	3614.55	1651.0	2303.12	1519.15	1936.53	1583.71	1529.73	1870.53	2018.8	1950.0	3103.19	2520.38	2163.77	2758.13	1417.35	1883.54	1487.87	2664.15	2319.15	2133.97	1628.26	1819.35	1304.15	2417.67	3018.3	2090.03	2417.67	2351.53	1605.83	2367.9	2090.03	1639.59	941.27	1175.27	872.1	684.02	872.1	713.11	934.76	1175.27	909.17	759.08	587.13	796.86	718.08	759.08	679.29	674.59	738.29	954.43	769.69	1685.71	1073.91	848.22	603.67	854.13	571.05	738.29	988.12	1151.06	1350.18	764.36	934.76	1709.26	629.35	1167.14	629.35	947.83	830.75	2178.83	748.61	796.86	1662.49	967.76	860.08	902.89	909.17	825.0	896.64	1151.06	1225.22	860.08	1572.76	525.39	775.05	928.3	1119.56	1208.34	902.89	599.49	769.69	733.19	825.0	595.34
