	GTEX.SE5C.1026.SM.4BRUG	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.EJ.7783.11A.01R.2118.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7328.11A.01R.2118.07	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.14C5O.2826.SM.5RQI6	GTEX.13111.1326.SM.5GCNO	GTEX.RM2N.1126.SM.48FCY	GTEX.OOBK.2025.SM.3LK5S	GTEX.11P82.1126.SM.5BC5K	GTEX.1399T.1226.SM.5P9J5	GTEX.WK11.2626.SM.4OOSK	GTEX.11P7K.0626.SM.5985Z	GTEX.11EQ9.1726.SM.5HL6U	GTEX.11ZUS.2126.SM.5N9E6	GTEX.ZDYS.1226.SM.5IJF3	GTEX.12696.2226.SM.5EQ65	GTEX.13CF2.2426.SM.5LZYL	GTEX.S4Z8.1226.SM.4AD6W	GTEX.T5JC.1926.SM.4DM6Q	GTEX.13X6H.1626.SM.5Q5CT	GTEX.13O3Q.2126.SM.5KM4C	GTEX.U8T8.1226.SM.4E3IH	GTEX.Y114.1226.SM.4TT88	GTEX.RU1J.0526.SM.46MUT	GTEX.11EQ9.1226.SM.5987E	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.UPIC.1826.SM.4IHKC	GTEX.13N1W.2026.SM.5K7YU	GTEX.R55D.1526.SM.48FEJ
ABHD11	275.28	297.17	172.65	244.57	551.56	1397.83	928.3	2351.53	329.84	830.75	785.88	902.89	1388.16	1313.23	532.74	872.1	708.18	1407.55	2133.97	780.44	353.59	429.54	312.0	212.78	258.57	202.66	295.11	215.77	169.07	201.25	157.68	441.64	75.11	332.14
ACAA1	813.63	753.83	748.61	669.92	1216.75	3081.75	2209.26	3303.0	1487.87	1963.57	1745.2	1340.84	3665.02	2739.08	1175.27	3124.78	2061.24	2555.58	3280.18	1447.15	1225.22	921.88	1066.48	860.08	1066.48	808.0	902.89	748.61	872.1	825.0	698.41	1037.29	1350.18	981.29
ADI1	3168.41	1508.65	1498.22	1225.22	2351.53	5995.9	2271.4	4268.94	3768.09	5076.84	2004.85	2895.31	4575.41	3639.7	2835.7	5479.15	4358.66	2915.45	3665.02	2816.11	995.0	1991.0	1001.93	1407.55	988.12	688.78	1457.23	1225.22	1037.29	1388.16	1340.84	808.0	713.11	1857.6
ALDH4A1	271.48	264.03	244.57	381.68	435.55	1685.71	669.92	1059.11	708.18	1096.5	830.75	921.88	1467.37	1111.82	587.13	1001.93	1030.12	1369.04	1304.15	620.67	1709.26	262.2	134.3	341.51	191.67	117.6	173.85	197.09	218.79	152.28	620.67	133.36	122.64	429.54
AMACR	154.42	426.57	190.34	128.79	387.02	620.67	423.61	371.22	316.37	1322.37	289.02	620.67	273.37	435.55	591.22	507.46	591.22	514.56	1242.34	780.44	444.72	146.03	285.03	181.28	281.09	124.37	141.02	120.94	87.65	148.09	242.88	289.02	57.49	172.65
ANO4	5.15	28.45	10.0	6.89	159.9	217.27	185.11	199.85	71.0	269.6	59.97	34.75	141.02	223.41	32.13	246.28	89.51	1059.11	142.01	9.13	7.63	35.25	8.58	2.51	5.54	5.77	3.86	11.73	2.58	1.28	3.76	5.06	8.78	7.28
ANO7	14.89	3.56	14.78	4.94	135.24	1757.34	967.76	2104.58	339.14	371.22	327.56	108.14	1950.0	2997.45	155.5	1757.34	915.51	728.11	1304.15	78.34	5.5	6.26	30.12	15.91	17.25	64.8	12.0	12.83	23.59	7.57	13.62	16.88	11.04	6.84
ARFIP2	759.08	607.87	693.58	607.87	1030.12	3190.46	1572.76	2796.65	1233.75	1388.16	1709.26	1295.13	2502.97	1870.53	974.5	1769.57	1605.83	1697.45	2255.7	1457.23	769.69	748.61	830.75	674.59	620.67	1378.57	775.05	759.08	836.53	693.58	733.19	780.44	1216.75	878.17
ATAD1	295.11	603.67	703.28	651.58	830.75	988.12	941.27	1159.07	1617.0	921.88	698.41	934.76	2104.58	988.12	759.08	1447.15	1151.06	633.73	819.3	1651.0	536.45	438.59	703.28	521.76	775.05	1313.23	796.86	497.0	232.94	665.29	616.37	420.68	607.87	470.14
C10orf11	65.72	73.03	156.59	98.73	329.84	417.77	406.31	320.8	743.43	579.04	209.84	325.29	429.54	775.05	285.03	236.21	253.23	507.46	229.72	231.32	89.51	61.68	57.49	44.25	83.45	48.18	42.41	15.22	31.0	33.78	74.06	41.52	51.71	23.25
C11orf1	473.41	536.45	547.75	392.44	1066.48	1551.09	921.88	1662.49	1051.79	2303.12	819.3	1059.11	1745.2	1781.89	1073.91	1447.15	1397.83	1844.76	1397.83	1277.29	633.73	397.93	497.0	620.67	785.88	470.14	988.12	463.65	514.56	583.07	351.14	718.08	486.75	497.0
C11orf71	129.69	46.18	56.28	32.36	108.14	262.2	132.44	189.02	77.79	208.38	19.11	74.06	156.59	205.5	72.52	158.79	132.44	226.54	215.77	110.43	199.85	25.35	28.65	7.69	41.81	26.67	22.43	29.91	14.45	27.84	7.46	120.94	26.47	62.12
C15orf56	1.71	2.63	1.62	1.41	9.34	25.91	18.7	17.25	9.78	30.56	8.92	7.57	19.39	26.67	6.41	10.24	8.25	53.95	28.86	5.92	11.13	2.34	1.64	0.96	6.46	2.29	2.63	0.0	0.65	1.55	0.0	5.73	1.57	0.0
C19orf48	258.57	289.02	351.14	110.43	595.34	2835.7	2451.44	4210.15	1216.75	988.12	1199.98	928.3	3639.7	2271.4	718.08	2701.35	1733.13	1832.01	2997.45	1519.15	507.46	339.14	303.44	323.03	309.83	500.46	381.68	199.85	232.94	189.02	256.78	376.41	144.01	241.19
C5orf38	0.6	0.0	0.0	0.0	173.85	283.05	358.54	332.14	353.59	351.14	199.85	187.71	483.38	555.41	54.33	728.11	217.27	303.44	248.0	258.57	38.12	11.91	90.14	1.79	1.39	52.45	0.0	0.0	6.31	3.2	0.0	0.0	2.71	6.01
C9orf152	2.84	0.0	1.03	0.0	55.49	563.18	236.21	642.59	158.79	152.28	223.41	126.12	753.83	343.89	55.49	708.18	309.83	358.54	693.58	161.02	19.82	5.28	101.54	0.0	15.11	40.64	4.39	0.0	22.43	0.0	5.19	3.5	6.57	3.53
CANT1	299.25	275.28	138.1	248.0	603.67	4607.24	1295.13	3372.43	1051.79	1477.58	1923.14	1794.29	4328.55	2682.69	1216.75	2935.74	2032.85	2664.15	2555.58	1216.75	764.36	389.72	540.19	693.58	470.14	277.2	454.09	567.1	486.75	507.46	547.75	493.56	320.8	587.13
CDYL2	17.25	69.03	18.29	9.78	114.36	217.27	312.0	493.56	158.79	143.01	182.55	141.02	409.15	158.79	36.01	297.17	172.65	182.55	327.56	163.28	7.94	110.43	32.13	29.06	15.68	30.78	17.9	18.84	6.78	9.56	29.48	15.0	9.2	17.13
CLDN8	1.5	0.0	5.54	0.0	52.82	708.18	85.82	224.97	102.25	78.34	126.12	34.75	718.08	141.02	26.67	293.07	149.12	121.79	703.28	56.68	17.38	2.92	0.0	0.0	2.68	2.81	0.0	0.0	2.86	4.46	0.0	4.66	4.46	0.0
CYB561	387.02	285.03	189.02	77.25	480.04	3257.52	1561.89	3901.01	1143.1	1378.57	2004.85	1467.37	3768.09	2520.38	1295.13	3168.41	2018.8	2400.97	3768.09	1225.22	941.27	301.33	366.09	414.87	514.56	323.03	356.05	325.29	463.65	325.29	389.72	348.71	172.65	256.78
DDT	4181.07	1896.65	2451.44	1733.13	3257.52	6381.92	3589.58	5633.22	5594.3	5219.6	2777.33	2997.45	6337.83	4802.93	2976.74	4328.55	5255.91	2935.74	5954.47	3467.27	2609.3	2104.58	1745.2	2682.69	1498.22	1617.0	1199.98	1313.23	1870.53	2739.08	2090.03	1498.22	2075.59	2255.7
DES	1364554.84	711250.37	919186.72	636586.81	345900.08	26614.89	158046.64	51775.15	350728.68	489177.0	208544.12	440870.9	52497.92	100023.92	290865.98	104996.83	249727.34	138544.47	95286.54	531605.79	2924988.47	875652.15	1026995.62	1246973.04	851707.37	1545882.32	677564.08	783730.52	1108362.75	912837.43	1800541.22	1452391.55	1048575.0	1063212.58
DHRS7	660.68	981.29	1216.75	738.29	2417.67	20593.91	7695.57	27745.15	9088.59	6887.62	5441.3	3280.18	22225.61	8305.36	4298.64	12502.12	12244.81	6337.83	13776.25	5711.87	1111.82	688.78	1447.15	1844.76	2303.12	1259.69	1225.22	1030.12	1313.23	1685.71	1051.79	890.44	1119.56	1008.9
DPP4	1.16	32.36	136.19	27.64	208.38	2367.9	872.1	3901.01	1001.93	543.96	400.71	242.88	3768.09	3467.27	420.68	2434.5	884.29	1697.45	2335.28	361.04	42.11	53.19	325.29	16.27	547.75	48.52	35.0	3.59	63.0	35.25	8.25	8.32	62.56	2.71
DTNB	84.63	44.57	68.07	25.54	152.28	575.03	507.46	688.78	303.44	217.27	329.84	316.37	753.83	583.07	211.31	934.76	463.65	733.19	753.83	205.5	165.57	94.01	132.44	70.01	129.69	107.38	64.8	54.72	67.12	61.25	48.18	93.35	95.34	70.01
EFCAB12	1.13	2.2	5.68	0.91	6.16	118.43	37.32	150.17	44.25	30.12	27.05	27.64	172.65	116.78	15.68	171.45	45.21	59.97	164.42	20.56	1.62	1.45	1.11	2.18	2.51	2.86	2.1	1.62	1.28	1.85	0.51	2.71	0.91	2.53
EHF	31.22	4.46	0.56	0.0	277.2	2451.44	1030.12	3372.43	703.28	802.41	902.89	738.29	1923.14	1015.93	89.51	2319.15	825.0	1427.22	2573.36	412.0	769.69	44.25	95.34	13.93	43.63	307.69	29.48	16.03	73.54	23.59	41.52	16.15	19.82	33.06
FAAH2	15.34	7.06	5.96	3.59	80.57	866.07	173.85	358.54	122.64	126.12	214.27	176.29	384.34	269.6	63.45	395.18	260.38	361.04	438.59	106.63	29.06	28.86	41.81	12.45	28.45	36.79	14.35	15.91	16.15	18.97	0.0	6.41	21.01	16.88
FAM167A	0.16	1.33	5.68	0.79	9.7	34.51	10.63	47.17	7.57	12.74	14.03	25.72	66.65	41.52	5.45	42.41	26.47	89.51	70.51	17.51	15.22	0.21	14.67	6.73	5.15	16.39	6.52	4.9	4.43	3.47	4.62	2.92	3.79	5.87
FGGY	149.12	246.28	141.02	118.43	291.04	387.02	271.48	334.46	332.14	612.11	269.6	303.44	447.82	507.46	283.05	575.03	579.04	490.14	376.41	171.45	371.22	88.26	64.8	154.42	191.67	23.25	136.19	158.79	102.97	70.01	138.1	147.06	166.73	129.69
FOXA1	16.27	0.96	11.21	0.0	423.61	4450.27	2047.0	2997.45	954.43	612.11	543.96	395.18	3515.68	1427.22	307.69	2367.9	1167.14	1519.15	2573.36	547.75	58.71	23.93	95.34	7.51	38.67	212.78	18.03	5.15	48.18	6.31	7.51	17.0	10.39	6.46
GOLT1A	10.96	0.0	9.63	6.67	55.1	209.84	95.34	125.24	37.32	50.98	98.04	106.63	128.79	105.89	11.04	177.53	56.68	265.87	74.58	12.45	5.32	5.23	17.25	2.73	15.0	20.26	1.71	0.0	9.27	2.66	2.39	1.69	7.63	0.0
GRHL2	23.25	0.91	0.0	0.0	86.43	703.28	348.71	785.88	265.87	269.6	341.51	323.03	813.63	684.02	97.36	941.27	429.54	638.15	921.88	228.13	93.35	9.78	21.63	4.9	23.76	27.64	9.63	4.86	32.82	4.86	8.71	5.96	4.86	4.94
