	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.XK.AAJ3.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.EJ.A46D.01A.21R.A32Y.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.XJ.A9DI.01A.11R.A37L.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.EJ.A46I.01A.12R.A26U.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.YL.A8SH.01B.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.M7.A721.01A.12R.A32O.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5509.01A.01R.1580.07	TCGA.CH.5768.01A.11R.1580.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.V1.A8MG.01A.11R.A36G.07	TCGA.G9.7521.01A.11R.2263.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.HC.7080.01A.11R.1965.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.V1.A8WV.01A.11R.A37L.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.HC.8261.01A.11R.2263.07	TCGA.J9.A8CL.01A.11R.A352.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.ZG.A9KY.01A.11R.A41O.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.HC.8262.01A.11R.2263.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.KC.A7FA.01A.21R.A33R.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.KK.A8IH.01A.11R.A36G.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.EJ.A7NN.01A.11R.A33R.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.EJ.7125.01A.11R.1965.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.FC.A8O0.01A.41R.A37L.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.V1.A9ZK.01A.11R.A41O.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.HC.7742.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.V1D1.0926.SM.4JBHQ
AC008443.1	0.0	0.0	0.0	0.0	12.93	0.0	26.67	7.06	82.29	0.0	87.65	75.11	0.0	13.62	0.0	42.41	24.81	0.0	17.38	0.0	94.67	0.0	77.25	0.0	0.0	31.45	138.1	0.0	46.18	43.02	0.0	0.0	0.0	40.93	0.0	0.0	19.82	0.0	15.91	0.0	0.0	0.0	33.3	218.79	81.71	0.0	206.94	70.51	0.0	211.31	61.68	0.0	66.65	19.25	0.0	76.17	177.53	0.0	186.4	0.0	112.77	0.0	0.0	0.0	22.92	63.89	152.28	9.63	9.34	0.0	23.08	0.0	138.1	253.23	41.22	0.0	173.85	2.71	0.0	0.0	195.72	0.0	82.87	33.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.12	0.0	93.35	454.09	52.45	46.84	0.0	0.0	0.0	0.0	0.0	0.0	23.76	0.0	0.0	0.0	6.26	18.03	0.0	0.0	95.34
AC010327.2	0.0	0.0	0.0	43.63	31.45	21.47	22.59	32.36	22.1	67.59	39.5	37.05	12.93	28.04	0.0	66.18	31.9	29.7	47.5	20.11	53.95	37.05	49.56	40.93	23.25	39.22	60.82	27.84	35.76	24.81	15.22	37.59	26.86	29.06	22.59	28.65	24.99	0.0	23.08	18.84	14.14	18.56	46.5	58.71	60.39	0.0	59.97	37.05	23.76	79.45	25.54	33.78	70.01	22.92	25.54	43.94	69.52	0.0	51.35	27.05	54.33	22.59	30.56	19.82	28.65	0.0	48.87	22.43	28.24	0.0	43.02	44.25	36.27	62.12	16.51	23.42	53.95	26.47	25.72	19.68	31.9	27.84	48.52	58.3	18.29	52.08	22.75	35.0	32.82	26.1	20.71	64.34	27.25	42.11	83.45	68.55	25.72	31.45	45.21	0.0	0.0	30.34	0.0	81.14	0.0	23.25	26.67	16.39	39.22	21.47	0.0	56.68
ACAP1	0.0	0.66	98.73	236.21	125.24	138.1	74.58	170.25	194.36	329.84	228.13	305.55	68.55	314.17	129.69	441.64	183.82	108.9	228.13	103.69	255.0	146.03	232.94	123.5	137.14	193.01	189.02	260.38	205.5	214.27	117.6	236.21	108.9	201.25	62.56	140.04	181.28	180.02	92.7	113.56	108.14	92.7	265.87	111.21	293.07	137.14	309.83	189.02	96.68	373.81	346.29	141.02	429.54	127.0	236.21	299.25	438.59	72.52	460.44	144.01	224.97	88.26	111.21	99.43	104.42	126.12	170.25	116.78	156.59	56.28	171.45	283.05	122.64	197.09	131.51	108.14	134.3	182.55	111.21	85.22	80.57	176.29	295.11	176.29	139.07	353.59	100.83	199.85	98.73	154.42	237.86	454.09	136.19	262.2	223.41	301.33	156.59	234.57	133.36	178.77	185.11	131.51	161.02	493.56	251.48	129.69	165.57	170.25	181.28	133.36	164.42	454.09
ACRBP	0.0	0.12	56.68	63.0	102.25	22.26	17.51	32.36	73.54	54.33	53.57	68.55	21.78	32.13	47.5	133.36	53.57	91.41	65.72	26.1	77.79	50.98	61.68	67.12	26.28	38.95	108.14	41.81	49.91	39.5	24.63	54.33	26.67	79.45	43.63	13.12	45.53	73.54	78.89	30.78	80.01	53.57	30.12	187.71	173.85	26.1	131.51	52.82	34.75	58.3	65.72	52.08	229.72	59.97	28.45	69.52	152.28	36.27	47.17	40.36	102.97	33.78	29.91	94.01	32.59	64.34	72.52	34.02	71.5	18.29	37.59	70.51	54.72	96.68	22.26	25.54	77.79	67.59	63.45	21.47	59.97	47.84	58.71	110.43	49.91	88.26	37.85	28.45	18.7	61.25	22.26	80.01	57.08	52.45	126.12	92.05	14.24	58.3	40.36	34.75	16.63	39.22	31.9	108.14	18.43	27.25	32.13	25.54	60.82	13.52	36.27	312.0
AD000671.6	0.0	0.29	11.04	16.27	12.93	7.0	13.62	2.81	5.32	13.52	19.11	9.27	16.03	12.55	11.21	27.25	16.39	10.96	9.2	0.0	26.67	18.43	16.51	7.34	5.77	13.03	11.04	6.78	9.93	6.06	3.86	11.55	12.0	22.92	10.96	12.64	5.36	18.7	7.57	4.98	13.83	5.15	9.48	29.91	15.91	13.12	12.64	13.83	14.89	21.78	10.71	17.9	17.38	8.51	23.93	10.24	31.0	7.17	24.63	9.7	19.82	10.47	10.0	4.7	2.41	5.5	17.38	6.11	8.58	8.58	21.01	6.16	14.14	22.26	1.93	1.64	11.04	16.39	8.38	3.69	11.04	12.27	11.13	10.31	4.43	25.17	9.85	8.38	6.11	6.84	8.38	13.83	11.64	15.45	27.25	13.12	11.73	16.03	13.32	14.89	1.53	7.4	4.03	28.04	4.82	6.78	14.03	5.87	12.45	7.28	11.73	40.93
AHSA2	0.0	1.58	381.68	738.29	1015.93	199.85	633.73	264.03	769.69	1685.71	1104.13	1322.37	244.57	532.74	412.0	2090.03	947.83	441.64	1119.56	104.42	1540.37	961.07	1127.35	1044.52	348.71	1008.9	1508.65	169.07	890.44	947.83	98.04	842.36	500.46	1350.18	547.75	212.78	595.34	189.02	486.75	473.41	143.01	211.31	1001.93	2193.99	1498.22	236.21	1794.29	1175.27	376.41	2287.2	571.05	688.78	1286.18	507.46	660.68	1001.93	1467.37	209.84	1572.76	253.23	1286.18	414.87	665.29	241.19	791.35	909.17	1208.34	176.29	486.75	387.02	679.29	934.76	1044.52	1733.13	397.93	500.46	1561.89	708.18	540.19	503.95	1674.06	403.5	1073.91	769.69	158.79	1259.69	571.05	612.11	212.78	215.77	224.97	1529.73	248.0	1487.87	3847.29	1605.83	514.56	902.89	1498.22	432.53	195.72	320.8	275.28	1844.76	150.17	152.28	212.78	205.5	620.67	156.59	195.72	1977.24
ANKRD13D	397.93	733.19	420.68	665.29	981.29	547.75	733.19	567.1	356.05	988.12	483.38	842.36	275.28	759.08	525.39	1427.22	669.92	599.49	928.3	414.87	909.17	633.73	848.22	629.35	507.46	583.07	909.17	417.77	718.08	438.59	346.29	511.0	532.74	514.56	599.49	483.38	642.59	361.04	392.44	356.05	256.78	329.84	684.02	728.11	921.88	633.73	1088.92	684.02	764.36	1457.23	438.59	764.36	1477.58	507.46	808.0	785.88	1208.34	379.04	2104.58	532.74	974.5	395.18	536.45	379.04	748.61	961.07	921.88	371.22	514.56	540.19	571.05	764.36	669.92	909.17	460.44	460.44	1250.98	559.28	595.34	381.68	1159.07	476.71	1111.82	775.05	460.44	1208.34	476.71	780.44	503.95	412.0	629.35	961.07	579.04	642.59	1883.54	974.5	633.73	679.29	775.05	780.44	423.61	532.74	642.59	1268.46	318.57	559.28	518.15	470.14	679.29	493.56	348.71	769.69
ARHGAP33	0.0	0.96	127.0	75.64	205.5	78.89	78.89	97.36	202.66	334.46	271.48	420.68	38.67	102.25	105.15	400.71	128.79	58.3	239.52	51.35	260.38	115.97	239.52	113.56	88.26	186.4	361.04	69.03	204.07	201.25	24.46	199.85	111.21	195.72	94.01	42.41	133.36	71.0	122.64	88.88	36.27	52.82	231.32	555.41	361.04	71.0	244.57	271.48	98.04	397.93	123.5	277.2	473.41	67.59	153.34	199.85	287.01	86.43	420.68	96.68	269.6	63.45	218.79	68.07	171.45	221.86	159.9	62.56	148.09	81.71	162.14	226.54	249.73	221.86	81.71	56.68	366.09	131.51	146.03	45.21	267.73	131.51	260.38	293.07	75.64	579.04	120.94	161.02	84.04	98.73	75.11	429.54	86.43	239.52	423.61	507.46	167.9	164.42	220.32	49.21	82.87	108.9	66.65	371.22	53.57	65.26	102.25	49.91	189.02	24.28	68.07	1051.79
ARHGAP4	0.0	1.16	191.67	195.72	281.09	173.85	127.0	151.22	73.03	358.54	251.48	323.03	134.3	285.03	208.38	718.08	265.87	199.85	312.0	121.79	327.56	234.57	307.69	128.79	142.01	314.17	351.14	165.57	295.11	187.71	98.73	186.4	143.01	166.73	152.28	236.21	218.79	320.8	115.16	88.88	96.01	82.87	329.84	363.56	368.65	241.19	460.44	220.32	351.14	688.78	231.32	379.04	713.11	182.55	351.14	320.8	603.67	113.56	603.67	223.41	343.89	106.63	130.6	112.77	144.01	119.26	356.05	90.14	180.02	201.25	206.94	329.84	220.32	323.03	70.01	102.97	209.84	197.09	141.02	105.89	204.07	152.28	507.46	412.0	181.28	536.45	115.97	248.0	152.28	114.36	148.09	358.54	228.13	329.84	376.41	417.77	183.82	198.47	166.73	194.36	88.26	176.29	148.09	693.58	109.66	169.07	139.07	150.17	212.78	135.24	242.88	587.13
ATG16L2	0.0	1.16	143.01	183.82	351.14	82.29	190.34	139.07	260.38	620.67	281.09	444.72	89.51	220.32	173.85	808.0	318.57	147.06	486.75	82.29	473.41	224.97	218.79	244.57	143.01	480.04	356.05	94.01	283.05	273.37	71.5	343.89	191.67	432.53	151.22	109.66	215.77	131.51	137.14	88.26	63.89	91.41	260.38	297.17	529.06	70.01	426.57	217.27	182.55	769.69	202.66	305.55	353.59	120.94	285.03	358.54	587.13	97.36	221.86	131.51	466.88	83.45	182.55	97.36	215.77	150.17	403.5	98.73	248.0	130.6	198.47	281.09	204.07	444.72	135.24	92.05	285.03	173.85	195.72	162.14	194.36	164.42	503.95	346.29	60.82	559.28	155.5	334.46	84.04	124.37	88.88	316.37	153.34	379.04	420.68	525.39	220.32	260.38	293.07	221.86	78.34	115.16	164.42	738.29	108.9	111.99	139.07	111.99	312.0	89.51	127.89	1030.12
