	TCGA.LG.A9QC.01A.11R.A37K.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.A1EE.01A.11R.A131.07	TCGA.DD.A73E.01A.12R.A32O.07	TCGA.DD.A4NF.01A.11R.A27V.07	TCGA.DD.AAEK.01A.11R.A41C.07	TCGA.KR.A7K0.01A.12R.A33R.07	TCGA.HP.A5N0.01A.11R.A28V.07	TCGA.UB.AA0U.01A.11R.A38B.07	TCGA.DD.AACE.01A.11R.A41C.07	TCGA.DD.AAW0.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.NI.A4U2.01A.11R.A28V.07	TCGA.BC.A10T.01A.11R.A131.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.DD.AADW.01A.11R.A39D.07	TCGA.DD.AAEH.01A.11R.A41C.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.EP.A12J.01A.11R.A131.07	TCGA.DD.A113.01A.11R.A131.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.LG.A6GG.01A.11R.A311.07	TCGA.G3.A7M6.01A.11R.A33R.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.DD.AAVW.01A.11R.A41C.07	TCGA.UB.A7MC.01A.11R.A33R.07	TCGA.DD.A4NJ.01A.11R.A27V.07	TCGA.BC.A10U.11A.11R.A131.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.BC.A10T.11A.11R.A131.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.YFC4.1526.SM.5IFJS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.X4EO.1126.SM.4QARQ	GTEX.147F4.1426.SM.5LUA8	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.14AS3.0126.SM.5Q5F4	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.R53T.0326.SM.48FEC	TCGA.62.8395.01A.11R.2326.07	TCGA.73.7498.01A.12R.2187.07	TCGA.VQ.A8PQ.01A.11R.A414.31	TCGA.VQ.A922.01A.11R.A414.31	TCGA.BR.8592.01A.11R.2402.13	TCGA.D7.8574.01A.13R.2343.13
AC005003.1	13.62	3.56	8.71	16.27	6.84	8.32	1.85	6.11	29.48	6.94	11.55	2.2	3.72	2.86	7.11	15.22	1.13	5.06	6.41	12.18	4.78	6.78	21.94	6.94	14.56	5.41	4.06	27.05	11.91	8.65	9.93	14.45	0.0	5.5	5.41	2.58	1.28	2.71	2.66	0.97	5.73	12.27	6.84	5.73	2.63	5.92	8.58	0.78	0.61	0.21	3.76	4.46	31.45	19.39	17.9	37.85	32.82	28.65
ADCY6	363.56	273.37	400.71	490.14	403.5	309.83	287.01	348.71	759.08	214.27	305.55	457.25	211.31	320.8	420.68	205.5	177.53	329.84	301.33	753.83	187.71	480.04	329.84	575.03	327.56	142.01	237.86	688.78	316.37	406.31	518.15	813.63	90.77	112.77	67.59	98.73	151.22	69.03	78.34	142.01	161.02	269.6	224.97	127.89	129.69	244.57	154.42	75.64	159.9	29.7	25.35	161.02	647.07	511.0	665.29	1733.13	674.59	583.07
AL161915.1	16.39	25.54	17.64	43.32	29.06	12.27	24.46	23.59	39.79	23.59	11.64	22.59	10.55	13.12	21.78	13.42	12.93	15.91	16.15	34.02	29.27	24.46	19.39	19.82	27.05	32.59	18.97	66.65	22.59	23.76	15.8	47.84	0.0	3.92	5.02	12.18	11.64	2.51	2.53	4.7	11.47	8.45	14.78	10.71	11.55	9.2	6.67	16.51	4.74	4.28	2.51	11.04	26.86	25.72	70.51	56.28	67.12	89.51
ANKRD34A	13.93	8.85	3.56	16.27	11.91	6.16	6.73	11.04	14.35	5.73	5.59	2.97	3.86	3.79	3.53	8.51	5.87	7.63	9.27	11.47	6.73	6.46	6.84	18.29	4.31	4.17	4.78	34.51	8.45	7.75	7.57	30.34	1.04	3.82	2.61	4.98	1.95	1.91	0.95	2.53	3.26	6.06	5.02	3.53	5.77	5.45	4.46	1.07	1.16	1.81	0.0	5.02	6.78	17.38	57.89	13.72	46.84	39.22
ANKRD52	142.01	163.28	368.65	231.32	164.42	121.79	153.34	96.01	226.54	64.8	121.79	205.5	159.9	123.5	236.21	50.27	58.3	129.69	85.82	314.17	104.42	336.79	167.9	293.07	101.54	70.01	98.04	307.69	105.15	129.69	267.73	305.55	56.28	43.02	44.89	39.5	55.49	37.32	17.51	34.51	72.01	84.04	68.07	37.32	48.18	84.04	52.82	31.45	48.87	12.64	12.18	92.7	389.72	273.37	607.87	1073.91	423.61	420.68
ANO8	154.42	73.54	98.73	136.19	64.8	197.09	141.02	114.36	145.02	120.94	125.24	142.01	57.89	180.02	182.55	72.01	77.79	60.39	105.89	295.11	51.35	90.77	169.07	336.79	73.03	58.3	56.68	226.54	107.38	140.04	109.66	159.9	50.63	75.64	36.27	51.35	85.82	23.25	49.21	81.14	28.45	63.45	96.68	48.87	67.59	105.15	82.29	36.53	69.03	36.27	35.0	77.25	309.83	267.73	208.38	186.4	147.06	177.53
ARHGAP11B	12.18	32.13	26.86	31.9	16.51	56.28	26.67	19.97	77.25	26.47	26.28	25.91	15.56	10.96	32.82	7.17	15.45	27.44	6.11	131.51	21.63	38.95	19.53	45.85	21.47	23.08	37.05	75.11	19.39	50.27	72.52	146.03	4.54	4.5	0.0	4.1	6.36	11.21	2.71	8.71	4.1	13.72	7.4	2.48	2.46	12.55	12.55	7.82	9.48	0.57	3.14	5.41	73.03	46.18	165.57	180.02	76.71	161.02
CAMSAP1	104.42	91.41	146.03	115.16	121.79	75.64	65.72	68.55	110.43	111.21	59.97	100.13	87.03	63.0	89.51	68.07	58.71	71.0	49.91	166.73	55.89	152.28	98.73	132.44	99.43	53.19	124.37	165.57	145.02	68.07	111.99	131.51	93.35	64.34	57.08	29.91	66.65	98.73	59.55	78.34	44.57	65.26	45.85	69.52	38.67	63.0	63.0	23.59	48.18	37.05	59.55	61.68	151.22	190.34	209.84	400.71	289.02	246.28
CCDC142	124.37	185.11	152.28	256.78	124.37	226.54	194.36	121.79	209.84	88.88	143.01	122.64	130.6	93.35	212.78	114.36	50.63	96.68	104.42	389.72	98.73	336.79	189.02	191.67	241.19	95.34	175.07	325.29	127.89	267.73	248.0	285.03	30.34	47.5	52.82	69.03	96.68	67.59	44.25	73.54	88.26	94.01	116.78	41.52	43.32	103.69	72.01	30.12	76.71	12.55	27.05	67.59	122.64	158.79	348.71	193.01	209.84	329.84
CCDC93	146.03	141.02	334.46	249.73	209.84	178.77	201.25	119.26	236.21	122.64	120.94	205.5	69.03	138.1	234.57	84.63	94.01	103.69	84.63	283.05	105.89	363.56	229.72	303.44	206.94	98.73	176.29	301.33	90.77	220.32	341.51	460.44	85.22	75.64	68.07	75.11	122.64	84.04	47.17	39.5	63.45	123.5	147.06	73.54	58.71	139.07	69.03	54.72	92.05	41.81	22.92	101.54	361.04	341.51	733.19	423.61	395.18	532.74
