	GTEX.SE5C.1026.SM.4BRUG	TCGA.G4.6306.01A.11R.1774.07	TCGA.G4.6321.01A.11R.1723.07	TCGA.G4.6293.01A.11R.1723.07	TCGA.A6.6648.01A.11R.1774.07	TCGA.CM.4744.01A.01R.A32Z.07	TCGA.AZ.6601.01A.11R.1774.07	TCGA.CK.4950.01A.01R.1723.07	TCGA.CM.5344.01A.21R.1723.07	TCGA.AA.3525.11A.01R.A32Z.07	TCGA.A6.2679.11A.01R.A32Z.07	TCGA.A6.2671.11A.01R.A32Z.07	TCGA.AA.3663.11A.01R.1723.07	TCGA.A6.2684.11A.01R.A32Z.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.14BMU.1326.SM.5RQIH	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.S4P3.1226.SM.4AD4Y	GTEX.ZP4G.1726.SM.4WWCM	GTEX.ZPU1.1926.SM.57WDT	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.Q734.1126.SM.48TZY	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.U4B1.1126.SM.4DXV3	GTEX.Q2AI.0926.SM.48U1F	GTEX.PWN1.1426.SM.48TDF	GTEX.146FQ.1926.SM.5NQBY	GTEX.WQUQ.2526.SM.4MVNO	GTEX.XUZC.1526.SM.4BRV4	GTEX.ZY6K.1226.SM.5GZYL	GTEX.RU1J.1326.SM.46MUL	GTEX.R55G.1226.SM.48FDC	GTEX.XYKS.2226.SM.4E3IU	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.11LCK.2026.SM.5A5MA	GTEX.X15G.1326.SM.4PQZJ	GTEX.ZZ64.0826.SM.5E449	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.WFG7.1526.SM.4LVMG	GTEX.XGQ4.1226.SM.4AT67	GTEX.XUJ4.2026.SM.4BOOW	GTEX.13S86.1626.SM.5Q5C5	GTEX.QDVJ.1326.SM.48U1X	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.144GM.1226.SM.5LU52	GTEX.OXRL.1426.SM.3NM9E	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.YEC4.1926.SM.5IFHJ	GTEX.1399S.1926.SM.5J2M5	GTEX.ZPCL.1826.SM.57WF1	GTEX.13D11.0826.SM.5KLZJ	GTEX.SNMC.1126.SM.4DM5M	GTEX.132AR.2726.SM.5PNVN	GTEX.139T6.1326.SM.5IFFO	GTEX.XBEW.1926.SM.4SOJO	GTEX.111CU.1226.SM.5EGIN	GTEX.UPIC.1726.SM.4IHKG	GTEX.QV31.0826.SM.4R1KR	GTEX.XQ8I.2126.SM.4BOOM	GTEX.OIZH.1426.SM.3NB1O	GTEX.UJMC.1326.SM.4IHLS	GTEX.NFK9.2026.SM.3LK5K	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.11EM3.1526.SM.5A5KN	GTEX.12BJ1.2126.SM.5BC5O	GTEX.UJHI.1126.SM.4IHLN	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.R55C.1126.SM.48FCJ	GTEX.WHWD.1226.SM.4OOS1	GTEX.ZVT2.1926.SM.5GU5T	GTEX.ZVP2.1526.SM.5NQ82	GTEX.R55D.1826.SM.48FEF	GTEX.PWCY.1026.SM.48TD4	GTEX.139YR.2126.SM.5KM11	GTEX.OXRK.1726.SM.3NB16	GTEX.13FTW.1826.SM.5IJEN	GTEX.13QBU.1826.SM.5IJG3	GTEX.133LE.1526.SM.5IFEN	GTEX.1122O.1526.SM.5N9CL	GTEX.13PL7.2526.SM.5IFGR	GTEX.W5WG.2426.SM.4LMI6	GTEX.T6MO.0826.SM.4DM51	GTEX.OHPM.1426.SM.3TW8Y	GTEX.Y8E4.2426.SM.4WWDN	GTEX.1399U.2226.SM.5KLZI	GTEX.ZPIC.2226.SM.57WDX	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.XMK1.1726.SM.4B64Z	GTEX.XPVG.1826.SM.4B64X	GTEX.VJYA.2026.SM.4KL1K	GTEX.XUZC.1326.SM.4BRV2	GTEX.11DXZ.1726.SM.5H12M	GTEX.12WSL.1626.SM.5GCMU	GTEX.V955.1726.SM.4JBHF	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.XV7Q.2126.SM.4BRVX	GTEX.WOFM.2026.SM.4OOSQ	GTEX.ZTTD.2626.SM.57WEX	GTEX.RM2N.0926.SM.48FD1	GTEX.T5JW.1126.SM.4DM5V	GTEX.14DAR.1526.SM.5RQIX	GTEX.U3ZM.1126.SM.4DXUB	GTEX.ZT9W.1726.SM.51MS3	GTEX.YF7O.1726.SM.5IFJ9	GTEX.ZTSS.1126.SM.5985O	GTEX.Y114.1526.SM.4TT79	GTEX.13FH7.1626.SM.5J2O9	GTEX.ZV7C.1526.SM.5NQ72	GTEX.YF7O.1626.SM.5IFII	GTEX.Y3IK.1826.SM.4WWDS	GTEX.13FH7.1526.SM.5J2N6	GTEX.ZDTS.2726.SM.5L3E2	GTEX.PX3G.1426.SM.48U1J	GTEX.S4Q7.0826.SM.4AD5E	GTEX.QMRM.1226.SM.447C6	GTEX.QEL4.1926.SM.4R1JI	GTEX.XUW1.1926.SM.4BOP1	GTEX.Q2AH.1226.SM.48TZL	GTEX.ZPCL.1626.SM.57WGC	GTEX.WFG8.1726.SM.4LVM6	GTEX.ZLV1.1226.SM.4WWBX	GTEX.12C56.0626.SM.5EGGC	GTEX.ZT9W.1826.SM.51MQX	GTEX.12WSJ.0826.SM.5PNWV	GTEX.1211K.1326.SM.5FQV2	GTEX.XUZC.0326.SM.4BOO8	GTEX.1212Z.2026.SM.5N9EA	GTEX.132QS.1526.SM.5J2MV	TCGA.CG.5734.11A.01R.1602.13
ACBD5	144.01	293.07	426.57	334.46	289.02	392.44	961.07	279.14	155.5	323.03	329.84	339.14	346.29	353.59	559.28	447.82	297.17	656.11	559.28	387.02	536.45	571.05	450.94	532.74	358.54	500.46	466.88	500.46	521.76	486.75	656.11	529.06	638.15	503.95	559.28	438.59	297.17	356.05	339.14	346.29	624.99	228.13	507.46	567.1	493.56	381.68	334.46	406.31	403.5	480.04	728.11	314.17	384.34	473.41	242.88	426.57	738.29	595.34	368.65	463.65	412.0	265.87	753.83	669.92	429.54	212.78	444.72	518.15	525.39	325.29	607.87	543.96	403.5	258.57	536.45	603.67	511.0	497.0	466.88	320.8	551.56	656.11	728.11	698.41	366.09	642.59	813.63	470.14	651.58	500.46	511.0	547.75	251.48	775.05	651.58	532.74	514.56	669.92	651.58	536.45	497.0	312.0	587.13	409.15	237.86	665.29	579.04	397.93	463.65	423.61	587.13	633.73	444.72	376.41	409.15	738.29	361.04	283.05	603.67	466.88	395.18	540.19	271.48	551.56	454.09	633.73	444.72	343.89	567.1	423.61	244.57	373.81	620.67	305.55	532.74	248.0	169.07	497.0	423.61	384.34	555.41	441.64	607.87	269.6	258.57	555.41	521.76	435.55	96.68	165.57	126.12	122.64	224.97	297.17
AFG3L2	743.43	764.36	878.17	902.89	954.43	656.11	813.63	819.3	500.46	1008.9	1119.56	1104.13	995.0	1175.27	1936.53	1225.22	884.29	1923.14	2047.0	1832.01	1883.54	1572.76	1617.0	1745.2	1407.55	1594.73	1757.34	1991.0	1991.0	1250.98	2224.63	2032.85	2209.26	2004.85	2018.8	1697.45	830.75	842.36	1407.55	988.12	1819.35	1044.52	1709.26	2209.26	1628.26	1487.87	974.5	1378.57	1135.2	1950.0	2061.24	1191.69	1991.0	1167.14	1225.22	1617.0	1977.24	1909.85	1583.71	2271.4	1883.54	769.69	1781.89	1832.01	1477.58	1081.39	1674.06	1551.09	1685.71	1191.69	1350.18	2047.0	1407.55	825.0	1662.49	1769.57	1359.57	1447.15	1594.73	941.27	1923.14	1781.89	2400.97	2255.7	1757.34	2163.77	2335.28	1331.57	1594.73	1769.57	1794.29	1781.89	1340.84	1583.71	1594.73	1991.0	1745.2	1857.6	2061.24	1733.13	1844.76	813.63	1639.59	1407.55	954.43	2485.67	1870.53	1674.06	1674.06	1359.57	2032.85	1781.89	2018.8	1143.1	1870.53	2075.59	915.51	759.08	2119.22	1447.15	1191.69	1896.65	748.61	1794.29	1977.24	2032.85	1529.73	764.36	2090.03	1769.57	1073.91	902.89	2090.03	802.41	1923.14	825.0	599.49	1477.58	1651.0	1572.76	1437.15	1417.35	1359.57	878.17	878.17	1819.35	1709.26	2018.8	476.71	551.56	647.07	412.0	642.59	638.15
AIM1	76.71	119.26	379.04	884.29	713.11	121.79	457.25	551.56	281.09	651.58	665.29	346.29	309.83	514.56	1015.93	713.11	155.5	1088.92	967.76	775.05	967.76	854.13	819.3	1023.0	808.0	808.0	764.36	878.17	981.29	813.63	1119.56	1037.29	1066.48	928.3	1015.93	896.64	384.34	351.14	688.78	483.38	1081.39	460.44	967.76	1073.91	819.3	866.07	138.1	587.13	703.28	1001.93	1417.35	551.56	896.64	651.58	503.95	813.63	1378.57	928.3	764.36	1015.93	651.58	267.73	1037.29	1175.27	775.05	119.26	878.17	825.0	909.17	543.96	1151.06	1175.27	759.08	285.03	884.29	995.0	679.29	854.13	921.88	473.41	1037.29	1023.0	1208.34	1151.06	934.76	1191.69	1359.57	819.3	1268.46	1023.0	1030.12	1175.27	547.75	1259.69	1216.75	1088.92	1051.79	1096.5	1111.82	1051.79	995.0	204.07	884.29	647.07	145.02	1199.98	1066.48	866.07	928.3	551.56	1008.9	1350.18	954.43	612.11	1167.14	1119.56	202.66	305.55	1066.48	902.89	698.41	954.43	181.28	1008.9	1008.9	1143.1	791.35	226.54	1073.91	743.43	353.59	189.02	1143.1	189.02	830.75	215.77	72.01	703.28	954.43	647.07	775.05	571.05	1081.39	148.09	167.9	1051.79	954.43	981.29	33.06	28.86	44.89	27.05	44.89	199.85
AKAP5	11.64	4.78	14.03	16.39	36.27	7.69	12.09	11.91	11.82	44.57	34.75	36.79	29.48	30.56	113.56	65.26	22.43	100.83	68.07	42.41	44.25	72.01	72.52	60.39	84.63	99.43	83.45	67.59	63.45	155.5	77.79	55.49	167.9	80.57	110.43	54.33	33.3	31.9	102.25	47.84	166.73	57.89	70.51	125.24	122.64	45.21	17.64	64.34	49.91	75.64	157.68	67.12	65.72	92.05	63.45	37.85	130.6	145.02	47.5	49.56	96.01	13.93	35.25	83.45	76.71	21.32	124.37	67.12	49.56	63.89	153.34	74.06	64.34	29.7	71.0	94.67	82.29	78.34	100.13	40.93	101.54	83.45	85.82	137.14	108.14	96.01	109.66	68.07	127.89	90.14	82.29	63.89	29.48	139.07	223.41	64.8	70.51	195.72	123.5	67.12	81.14	9.85	62.56	36.01	7.57	110.43	106.63	47.17	80.01	33.3	111.99	108.14	98.73	61.25	95.34	176.29	27.84	40.36	114.36	111.21	99.43	111.21	31.9	92.7	72.52	115.16	59.97	16.39	102.25	59.97	37.32	14.67	108.9	34.75	68.55	18.7	14.45	65.26	45.85	50.27	76.71	67.12	77.25	17.9	19.68	57.08	59.55	62.56	6.16	11.73	17.25	15.8	7.34	3.76
ANKDD1B	3.35	11.3	25.91	55.89	35.0	28.24	4.28	44.25	37.05	52.45	58.3	40.93	44.89	36.53	234.57	132.44	20.71	149.12	231.32	70.01	166.73	100.13	163.28	138.1	198.47	162.14	299.25	115.16	175.07	70.01	246.28	312.0	170.25	124.37	281.09	146.03	69.03	17.9	211.31	100.83	212.78	163.28	133.36	228.13	316.37	124.37	14.14	111.99	40.36	215.77	199.85	91.41	134.3	55.1	112.77	164.42	232.94	197.09	202.66	189.02	137.14	37.32	82.29	107.38	148.09	23.93	229.72	163.28	246.28	138.1	82.87	316.37	339.14	26.1	166.73	162.14	180.02	82.87	341.51	253.23	199.85	134.3	206.94	295.11	186.4	171.45	214.27	201.25	159.9	187.71	127.0	228.13	224.97	95.34	122.64	195.72	426.57	303.44	246.28	194.36	248.0	16.15	77.79	82.29	13.83	318.57	260.38	105.89	214.27	78.34	87.03	159.9	366.09	195.72	229.72	358.54	13.12	67.12	204.07	133.36	112.77	236.21	20.71	145.02	346.29	260.38	283.05	13.93	211.31	140.04	28.24	13.62	236.21	15.11	198.47	14.35	11.47	129.69	130.6	130.6	73.54	129.69	91.41	25.72	19.53	279.14	356.05	201.25	2.46	4.21	8.0	15.56	0.55	3.53
ANKS4B	1.06	242.88	651.58	175.07	171.45	51.71	106.63	271.48	159.9	176.29	215.77	161.02	163.28	318.57	1143.1	1151.06	68.55	1594.73	1242.34	1437.15	1331.57	1127.35	1268.46	1127.35	1023.0	1059.11	1191.69	1242.34	1191.69	1437.15	1594.73	1407.55	1447.15	1529.73	1340.84	1225.22	327.56	23.76	1001.93	438.59	1769.57	836.53	1923.14	1529.73	1167.14	1059.11	49.91	860.08	656.11	1437.15	1487.87	688.78	1340.84	1008.9	713.11	1250.98	1651.0	1662.49	1030.12	1498.22	1225.22	102.25	1487.87	1605.83	941.27	57.89	1417.35	1242.34	1487.87	595.34	1733.13	1340.84	738.29	40.64	1073.91	1378.57	1268.46	1322.37	1417.35	514.56	1322.37	1340.84	1457.23	1477.58	1340.84	1806.78	1709.26	1059.11	1519.15	1709.26	1191.69	1437.15	928.3	1561.89	1709.26	1388.16	1378.57	1487.87	1963.57	1417.35	1369.04	73.54	1378.57	813.63	39.79	1628.26	1417.35	1119.56	1388.16	616.37	1447.15	1151.06	1529.73	713.11	1561.89	1594.73	73.54	423.61	1216.75	1023.0	1023.0	1540.37	32.59	1617.0	1073.91	1605.83	1167.14	44.57	1519.15	1304.15	77.79	34.02	1685.71	43.63	1417.35	53.19	0.0	796.86	928.3	878.17	1216.75	738.29	1388.16	153.34	67.12	1857.6	1073.91	1295.13	1.83	0.0	0.0	0.0	0.0	171.45
AP5M1	205.5	236.21	279.14	525.39	559.28	236.21	426.57	351.14	470.14	497.0	480.04	454.09	540.19	567.1	748.61	583.07	493.56	854.13	830.75	620.67	830.75	708.18	633.73	830.75	612.11	791.35	698.41	941.27	802.41	718.08	1216.75	819.3	1111.82	872.1	941.27	651.58	429.54	432.53	703.28	547.75	974.5	444.72	896.64	1030.12	656.11	665.29	476.71	679.29	620.67	743.43	1081.39	518.15	638.15	684.02	532.74	669.92	1030.12	785.88	603.67	860.08	759.08	497.0	1066.48	928.3	718.08	480.04	764.36	796.86	854.13	583.07	890.44	830.75	624.99	406.31	764.36	780.44	775.05	802.41	591.22	441.64	780.44	854.13	961.07	1008.9	669.92	866.07	921.88	624.99	934.76	791.35	785.88	872.1	529.06	1051.79	1059.11	928.3	688.78	1066.48	848.22	780.44	848.22	490.14	713.11	674.59	358.54	961.07	872.1	684.02	848.22	718.08	995.0	808.0	890.44	607.87	836.53	921.88	532.74	379.04	995.0	665.29	651.58	688.78	314.17	872.1	890.44	764.36	651.58	450.94	954.43	785.88	470.14	486.75	941.27	414.87	830.75	358.54	379.04	713.11	748.61	713.11	780.44	656.11	738.29	379.04	420.68	896.64	733.19	854.13	262.2	262.2	277.2	232.94	265.87	490.14
APAF1	63.0	145.02	316.37	186.4	273.37	133.36	154.42	218.79	163.28	237.86	223.41	183.82	153.34	170.25	363.56	293.07	142.01	381.68	332.14	269.6	273.37	318.57	341.51	301.33	307.69	271.48	299.25	297.17	412.0	309.83	426.57	334.46	400.71	287.01	403.5	361.04	136.19	127.0	269.6	217.27	368.65	173.85	387.02	334.46	379.04	285.03	147.06	237.86	208.38	351.14	384.34	262.2	228.13	187.71	202.66	334.46	417.77	406.31	265.87	295.11	403.5	199.85	379.04	417.77	267.73	136.19	363.56	267.73	432.53	206.94	363.56	358.54	264.03	116.78	356.05	463.65	327.56	293.07	332.14	232.94	336.79	341.51	314.17	389.72	314.17	384.34	490.14	323.03	417.77	381.68	423.61	332.14	277.2	351.14	392.44	414.87	387.02	507.46	450.94	420.68	387.02	139.07	277.2	275.28	87.03	444.72	429.54	323.03	325.29	193.01	320.8	381.68	351.14	229.72	397.93	435.55	148.09	258.57	348.71	348.71	348.71	389.72	159.9	348.71	316.37	460.44	318.57	138.1	363.56	262.2	141.02	143.01	392.44	146.03	295.11	117.6	124.37	299.25	244.57	201.25	361.04	221.86	395.18	134.3	172.65	363.56	403.5	379.04	26.67	78.34	43.32	63.0	57.49	119.26
AREL1	110.43	224.97	295.11	414.87	591.22	135.24	287.01	273.37	248.0	299.25	353.59	334.46	281.09	277.2	450.94	423.61	218.79	432.53	426.57	348.71	490.14	351.14	384.34	441.64	343.89	429.54	490.14	432.53	483.38	426.57	500.46	447.82	460.44	473.41	525.39	387.02	285.03	229.72	438.59	287.01	444.72	316.37	470.14	493.56	480.04	438.59	271.48	358.54	376.41	503.95	507.46	376.41	432.53	376.41	395.18	387.02	514.56	441.64	329.84	507.46	543.96	269.6	438.59	447.82	409.15	303.44	518.15	384.34	426.57	285.03	490.14	555.41	414.87	277.2	435.55	480.04	414.87	409.15	438.59	299.25	409.15	400.71	518.15	476.71	497.0	435.55	435.55	373.81	529.06	529.06	454.09	493.56	486.75	483.38	476.71	470.14	438.59	444.72	525.39	450.94	457.25	251.48	389.72	389.72	175.07	426.57	447.82	438.59	483.38	327.56	490.14	503.95	463.65	392.44	493.56	551.56	224.97	258.57	463.65	450.94	293.07	389.72	260.38	503.95	429.54	476.71	363.56	141.02	476.71	507.46	267.73	198.47	497.0	242.88	406.31	224.97	204.07	381.68	429.54	387.02	397.93	368.65	379.04	158.79	277.2	473.41	435.55	373.81	87.03	191.67	232.94	138.1	190.34	218.79
ARHGAP18	43.63	194.36	105.89	279.14	273.37	146.03	231.32	228.13	176.29	186.4	214.27	167.9	201.25	241.19	325.29	299.25	138.1	400.71	334.46	299.25	412.0	339.14	371.22	305.55	232.94	277.2	363.56	325.29	353.59	287.01	638.15	395.18	463.65	305.55	493.56	289.02	178.77	167.9	309.83	221.86	387.02	191.67	236.21	371.22	316.37	312.0	193.01	253.23	249.73	316.37	423.61	215.77	305.55	323.03	248.0	305.55	429.54	356.05	325.29	325.29	389.72	189.02	397.93	426.57	285.03	172.65	325.29	283.05	395.18	228.13	363.56	395.18	273.37	155.5	376.41	323.03	397.93	301.33	275.28	190.34	395.18	339.14	473.41	500.46	297.17	305.55	438.59	309.83	409.15	287.01	395.18	351.14	201.25	454.09	366.09	417.77	318.57	454.09	358.54	423.61	358.54	122.64	277.2	325.29	80.57	423.61	397.93	341.51	376.41	239.52	353.59	432.53	314.17	267.73	329.84	454.09	134.3	129.69	361.04	295.11	361.04	332.14	177.53	299.25	358.54	389.72	253.23	134.3	376.41	289.02	158.79	163.28	486.75	193.01	389.72	87.03	125.24	376.41	327.56	297.17	329.84	318.57	409.15	87.65	120.94	395.18	368.65	373.81	82.87	35.0	53.95	85.82	156.59	295.11
