	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.55.8208.01A.11R.2241.07	TCGA.86.8671.01A.11R.2403.07	TCGA.55.8299.01A.11R.2287.07	GTEX.12WSD.0826.SM.5GCNE	TCGA.22.1005.01A.01R.0692.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.V1.A8MJ.01A.11R.A36G.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.HC.A76X.01A.11R.A33R.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.CH.5745.01A.11R.1580.07	TCGA.Y6.A9XI.01A.11R.A41O.07
ADAMDEC1	22.26	17.64	1540.37	583.07	480.04	67.12	559.28	88.26	224.97	20.71	1.28	1.17	2.68	7.63	5.77	52.08	9.27
APOL1	1685.71	170.25	4972.34	2520.38	5479.15	5594.3	8598.28	1313.23	2468.49	753.83	40.36	361.04	149.12	105.15	72.52	1151.06	273.37
ATP1A3	1.25	6.01	28.45	40.07	23.08	42.71	25.72	8.25	15.8	3.72	1.53	2.12	1.71	0.74	0.88	9.48	1.64
B2M	72715.74	72715.74	370726.6	363097.14	331809.5	1327240.99	405683.88	254974.66	539026.74	134755.94	18819.27	68318.04	30572.63	35609.13	113315.62	253213.41	47313.67
BATF	27.25	209.84	819.3	1457.23	500.46	819.3	759.08	186.4	201.25	51.35	12.74	20.41	11.21	5.96	7.06	60.82	36.27
BATF2	180.02	27.64	371.22	633.73	656.11	967.76	379.04	72.01	152.28	36.01	3.47	11.82	8.38	8.58	6.06	37.59	15.91
BATF3	22.26	27.05	201.25	295.11	186.4	414.87	224.97	50.63	110.43	35.5	29.7	28.04	6.62	8.85	11.3	72.01	11.47
BTN2A2	105.89	88.88	559.28	703.28	435.55	748.61	532.74	215.77	327.56	164.42	31.22	136.19	78.34	69.52	111.99	212.78	127.89
BTN3A1	204.07	226.54	1127.35	1487.87	947.83	3491.39	1073.91	620.67	934.76	307.69	63.89	139.07	191.67	127.0	149.12	656.11	241.19
BTN3A2	397.93	457.25	1757.34	2240.11	921.88	3235.01	1963.57	866.07	1242.34	239.52	80.01	171.45	96.68	78.34	141.02	967.76	157.68
BTN3A3	181.28	140.04	780.44	1127.35	915.51	1844.76	928.3	438.59	718.08	273.37	36.79	127.89	131.51	86.43	180.02	466.88	147.06
CEBPB	642.59	974.5	1909.85	1233.75	2555.58	2367.9	2090.03	909.17	1340.84	708.18	329.84	291.04	260.38	273.37	283.05	902.89	384.34
CHI3L1	429.54	212.78	6561.36	3146.52	5183.54	351.14	2520.38	400.71	656.11	248.0	25.91	32.59	251.48	40.07	1.41	397.93	72.52
CR1L	0.0	0.0	26.67	68.55	48.52	52.45	85.22	7.94	24.46	3.08	0.0	3.53	0.0	0.0	0.0	6.89	0.0
FCGR1A	97.36	76.71	2075.59	1295.13	1268.46	2739.08	1313.23	163.28	229.72	142.01	58.3	24.11	22.75	30.78	55.89	100.13	59.97
GBP1	241.19	339.14	3103.19	2287.2	3235.01	9344.14	2664.15	480.04	728.11	180.02	7.46	102.25	88.26	31.22	23.76	412.0	66.18
GZMB	214.27	417.77	723.08	688.78	2018.8	2875.3	1477.58	126.12	329.84	36.53	8.92	9.63	9.93	3.63	2.03	49.56	20.86
HAS2	21.01	9.13	34.02	59.97	48.18	209.84	52.45	10.39	33.06	6.01	0.95	1.81	0.36	0.77	0.91	13.52	4.06
HCST	170.25	473.41	1477.58	2816.11	1030.12	7433.4	1417.35	555.41	638.15	283.05	64.8	143.01	98.04	37.59	51.71	287.01	151.22
HLA-A	16727.26	10154.69	48307.85	70727.3	52497.92	83528.61	53230.77	21026.65	68793.23	7180.15	1096.5	10440.2	4450.27	1119.56	1378.57	19082.0	3955.48
HLA-B	17317.18	12676.65	77396.54	86474.27	75280.1	205673.01	85876.94	43537.38	110983.6	15824.9	5672.41	11664.82	4210.15	1857.6	5791.62	50359.33	9088.59
HLA-C	15075.35	8479.89	31432.17	50359.33	48643.87	75803.72	33224.42	19618.49	44145.15	17681.08	8078.22	8305.36	8191.0	1883.54	2739.08	15607.02	8598.28
HLA-E	8479.89	13681.08	17197.56	30151.71	18178.19	21172.91	21172.91	10225.32	18052.61	4937.99	1304.15	2835.7	1519.15	896.64	1709.26	9409.14	2591.27
HLA-F	1242.34	674.59	6561.36	12415.75	8134.41	27938.14	9344.14	5517.27	10014.87	1135.2	220.32	688.78	414.87	134.3	214.27	3168.41	633.73
IFITM2	3039.3	5913.33	10733.74	17197.56	19214.73	7749.1	12160.22	8078.22	12764.83	4010.71	1583.71	3467.27	2645.74	733.19	2555.58	7695.57	3820.7
KIAA0040	325.29	356.05	395.18	480.04	540.19	866.07	571.05	195.72	507.46	251.48	63.89	101.54	101.54	131.51	122.64	293.07	217.27
KRT6A	2.01760973986E9	2.41604469791E9	111.21	37.05	9409.14	31.45	947.83	163.28	69.52	19.39	0.54	6.78	2.48	8.25	2.16	15.8	13.12
LAG3	17.77	22.1	406.31	480.04	417.77	373.81	423.61	139.07	198.47	52.45	28.24	20.56	30.78	10.24	4.54	211.31	37.85
LGALS2	27.64	171.45	249.73	718.08	121.79	1844.76	327.56	104.42	226.54	26.28	4.28	11.47	3.08	0.0	4.28	49.21	30.12
MAPKAPK2	967.76	1030.12	2335.28	2163.77	2018.8	1991.0	3168.41	921.88	995.0	775.05	460.44	718.08	547.75	540.19	444.72	1023.0	500.46
MLKL	287.01	303.44	529.06	603.67	595.34	775.05	796.86	163.28	249.73	108.9	25.54	72.52	80.57	21.63	26.86	178.77	59.97
MMP19	10.55	138.1	395.18	339.14	381.68	2367.9	420.68	100.13	125.24	70.51	48.52	56.28	31.0	14.78	8.45	78.34	44.57
MOB3C	262.2	406.31	351.14	483.38	289.02	688.78	305.55	299.25	368.65	205.5	100.13	122.64	136.19	75.11	76.17	332.14	180.02
MVP	1794.29	1477.58	3716.2	6426.31	4769.75	5479.15	4239.45	1685.71	2303.12	1331.57	316.37	884.29	540.19	358.54	209.84	1467.37	660.68
NCF1	102.25	55.1	1259.69	995.0	473.41	1369.04	1081.39	212.78	157.68	41.22	10.88	27.44	16.88	11.13	13.52	80.57	50.63
NLRC5	769.69	551.56	1183.45	2400.97	1651.0	4639.29	1561.89	490.14	753.83	134.3	33.06	122.64	65.72	23.76	25.72	435.55	103.69
OPTN	1340.84	1268.46	1529.73	1437.15	1963.57	1991.0	1721.16	802.41	1216.75	466.88	52.45	339.14	169.07	104.42	228.13	490.14	447.82
OTOF	1.04	2.71	5.11	8.13	2.97	3.69	2.48	2.66	4.98	0.44	0.0	1.23	0.44	0.0	0.0	1.58	0.79
PATL2	32.13	15.56	249.73	251.48	105.89	563.18	299.25	91.41	79.45	30.34	5.77	30.78	7.28	18.7	3.2	53.57	11.3
PLCH1	45.85	19.82	85.22	98.04	57.08	187.71	76.17	12.18	48.52	4.62	0.28	6.31	2.18	2.36	0.82	14.78	5.02
PLEKHO2	220.32	209.84	1242.34	1233.75	872.1	1467.37	587.13	403.5	457.25	231.32	87.65	167.9	113.56	67.12	53.95	403.5	182.55
PSMB8	5366.37	2520.38	3982.99	5441.3	5255.91	7032.37	6381.92	3146.52	6381.92	1685.71	301.33	848.22	454.09	232.94	429.54	3018.3	1427.22
PSMB9	5292.48	733.19	3874.05	5751.61	4769.75	16045.82	5441.3	2133.97	5594.3	764.36	120.94	301.33	236.21	102.25	291.04	1639.59	559.28
PSME1	9540.5	6250.56	7230.1	8718.32	8022.41	12853.63	10368.08	8191.0	11345.82	6607.01	4972.34	6792.79	4575.41	4450.27	5555.65	7433.4	6652.97
PSME2	8658.09	3235.01	10659.59	10659.59	9808.75	17197.56	14561.8	6840.04	13492.72	5329.3	5041.77	5076.84	3212.66	3146.52	2645.74	5112.16	4639.29
RARRES3	205.5	148.09	7642.41	10959.3	5329.3	16157.44	10368.08	4802.93	10154.69	2682.69	71.5	1359.57	381.68	237.86	177.53	7130.55	466.88
RUNX1	265.87	441.64	1001.93	796.86	967.76	791.35	854.13	214.27	507.46	218.79	14.56	101.54	61.68	41.81	133.36	450.94	64.34
SAMHD1	563.18	490.14	1883.54	1950.0	1208.34	1883.54	1208.34	447.82	1225.22	316.37	85.22	202.66	128.79	154.42	183.82	476.71	209.84
SERPINE1	334.46	114.36	1819.35	595.34	1551.09	2915.45	1662.49	164.42	435.55	215.77	237.86	249.73	162.14	27.64	43.02	329.84	61.68
SH2D2A	38.67	34.26	314.17	483.38	305.55	563.18	332.14	115.97	141.02	23.93	4.9	26.47	14.89	4.58	7.17	53.57	15.91
STAT2	1467.37	733.19	4095.0	3235.01	3039.3	3928.15	3639.7	1529.73	2664.15	1340.84	616.37	995.0	1183.45	808.0	595.34	1605.83	1313.23
TAP1	6426.31	928.3	4450.27	6121.9	6699.25	6426.31	7081.29	2090.03	7485.11	934.76	361.04	603.67	490.14	267.73	595.34	2224.63	813.63
TAP2	1685.71	1397.83	1340.84	1242.34	2255.7	3491.39	2520.38	842.36	2104.58	358.54	181.28	536.45	406.31	177.53	206.94	583.07	185.11
TAPBP	2451.44	1572.76	3212.66	4769.75	4010.71	6516.03	4210.15	3060.45	3124.78	2609.3	1183.45	2018.8	1183.45	1030.12	665.29	2627.46	1832.01
TAPBPL	432.53	559.28	974.5	1721.16	738.29	2468.49	1369.04	981.29	967.76	723.08	293.07	444.72	348.71	262.2	301.33	1088.92	480.04
TFE3	307.69	429.54	921.88	1030.12	796.86	954.43	728.11	551.56	629.35	624.99	376.41	503.95	423.61	444.72	397.93	591.22	536.45
TLDC2	27.05	23.93	123.5	88.26	49.56	234.57	135.24	32.36	42.41	15.45	2.89	10.63	5.87	8.19	1.64	26.67	10.79
TMEM62	269.6	555.41	708.18	603.67	620.67	769.69	738.29	368.65	525.39	237.86	273.37	164.42	186.4	301.33	131.51	438.59	412.0
TNFRSF12A	759.08	303.44	1487.87	1268.46	2224.63	6471.02	1628.26	486.75	1417.35	819.3	368.65	329.84	117.6	73.54	136.19	358.54	173.85
TNFRSF1A	2178.83	2682.69	3716.2	3060.45	3794.3	3081.75	2682.69	2047.0	3103.19	1757.34	928.3	1594.73	1167.14	1225.22	769.69	2335.28	1225.22
TRAT1	3.76	11.21	76.71	157.68	59.55	507.46	95.34	31.0	25.35	8.58	0.0	2.63	1.27	0.32	1.08	16.88	3.69
TRIM69	1081.39	195.72	591.22	698.41	718.08	1457.23	780.44	503.95	1397.83	361.04	83.45	218.79	187.71	177.53	214.27	325.29	226.54
ZYX	1628.26	3847.29	4038.61	5255.91	5041.77	17681.08	4481.23	2384.37	2682.69	2502.97	1233.75	2367.9	1008.9	624.99	633.73	2209.26	1037.29
