	GTEX.13111.0426.SM.5DUXR	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.13U4I.1426.SM.5J2M3	GTEX.O5YW.0526.SM.2YUMX	GTEX.12584.1426.SM.5EGJ9	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.13OVH.1026.SM.5J2NP	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.ZYY3.0926.SM.5E454	GTEX.11P7K.0326.SM.59871	GTEX.147F4.0926.SM.5Q5EO	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WZTO.0426.SM.3NM99	GTEX.WFJO.0326.SM.3GIL3	GTEX.P4PQ.0526.SM.2HMKR	GTEX.14E7W.1326.SM.5RQIV	GTEX.111YS.0626.SM.5GZXV	GTEX.RWSA.1126.SM.2XCAZ	GTEX.117YX.1326.SM.5H125	GTEX.YEC3.0226.SM.5IFJO	GTEX.11NV4.1126.SM.5HL6J	GTEX.12BJ1.1026.SM.5EGJA	GTEX.11EMC.0126.SM.5EGKV	GTEX.WFON.0426.SM.3GIL4	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.QESD.0626.SM.2I5G4	GTEX.13VXU.2726.SM.5LU4N	GTEX.P78B.0926.SM.2I5FA	GTEX.Q2AH.0426.SM.2I3EP	GTEX.ZDTT.0926.SM.5J2MS	GTEX.OIZI.1026.SM.3NB1K	GTEX.13OW6.0826.SM.5L3GA	GTEX.ZLWG.0626.SM.4WWFR	GTEX.X4LF.0526.SM.3NMB6	GTEX.W5X1.0526.SM.3GILH	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.XQ8I.1126.SM.4BOO2	GTEX.11P81.0226.SM.5HL5M	GTEX.OXRL.0526.SM.2I3EZ	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.OXRK.0926.SM.2HMKP	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.11OF3.1126.SM.5986C	GTEX.RM2N.0426.SM.2TF4T	GTEX.144GO.0226.SM.5LUB1	GTEX.OHPM.0526.SM.2YUMJ	GTEX.13OVG.0326.SM.5KM57
AC004381.6	46.84	39.79	26.67	52.45	38.67	17.9	11.91	46.84	33.54	14.89	37.59	72.52	18.56	31.67	45.85	42.11	22.59	9.34	38.4	80.57	19.68	33.54	20.71	37.32	50.63	17.0	24.99	39.5	102.97	36.53	22.92	22.43	10.24	16.75	30.56	36.01	36.01	76.17	12.36	38.12	88.88	70.01	22.26	89.51	30.34	102.97	57.89	37.05	32.59	41.81	74.06	59.13	21.01	20.41	12.18	8.85	75.11
ACP2	813.63	1183.45	981.29	1268.46	836.53	708.18	318.57	647.07	780.44	638.15	902.89	1583.71	283.05	738.29	281.09	1081.39	1159.07	463.65	921.88	1199.98	381.68	669.92	295.11	854.13	1104.13	325.29	599.49	429.54	796.86	915.51	688.78	848.22	1023.0	503.95	780.44	947.83	1044.52	890.44	567.1	842.36	1286.18	1397.83	1135.2	1529.73	647.07	1259.69	1191.69	1143.1	802.41	1159.07	1104.13	738.29	303.44	808.0	432.53	579.04	738.29
ALG6	166.73	171.45	114.36	241.19	115.16	61.25	62.12	140.04	163.28	59.55	159.9	146.03	102.25	171.45	59.97	111.21	88.88	97.36	178.77	193.01	59.97	128.79	98.73	167.9	153.34	40.36	115.16	78.89	248.0	156.59	80.57	66.65	90.77	75.11	226.54	166.73	139.07	140.04	64.8	170.25	195.72	209.84	117.6	221.86	143.01	190.34	119.26	204.07	169.07	153.34	164.42	159.9	36.27	157.68	58.3	95.34	137.14
AMDHD1	85.22	27.05	7.69	51.71	21.94	8.71	0.87	50.98	28.65	5.77	48.52	57.08	8.71	25.54	0.35	24.63	4.21	1.46	31.67	74.58	0.72	5.41	1.53	47.84	48.18	4.62	12.93	5.11	20.26	15.34	9.85	4.35	2.94	6.41	38.4	24.28	44.57	10.31	8.65	105.89	60.82	66.18	4.1	68.07	13.32	20.26	47.84	30.34	24.11	64.8	60.82	28.45	3.14	27.05	1.04	4.03	4.86
ARL6IP6	339.14	660.68	256.78	497.0	371.22	180.02	172.65	802.41	426.57	141.02	540.19	688.78	232.94	616.37	303.44	232.94	198.47	307.69	540.19	397.93	201.25	444.72	135.24	669.92	447.82	173.85	392.44	180.02	802.41	450.94	348.71	197.09	151.22	197.09	420.68	320.8	587.13	447.82	244.57	420.68	420.68	1111.82	435.55	954.43	258.57	775.05	616.37	555.41	511.0	265.87	303.44	470.14	336.79	507.46	285.03	221.86	327.56
ARSD	1081.39	842.36	529.06	1437.15	1127.35	140.04	507.46	1457.23	1030.12	190.34	860.08	1313.23	214.27	743.43	178.77	1540.37	356.05	186.4	981.29	1175.27	332.14	866.07	612.11	1127.35	1167.14	74.06	412.0	435.55	723.08	1286.18	624.99	400.71	450.94	92.05	1096.5	620.67	941.27	1175.27	334.46	1127.35	866.07	1757.34	791.35	854.13	688.78	909.17	1233.75	1519.15	1359.57	941.27	1322.37	1051.79	45.85	688.78	85.22	423.61	490.14
B3GALT2	69.03	56.28	10.55	127.0	108.14	5.41	3.92	50.98	24.46	1.41	122.64	108.14	5.82	108.9	7.34	45.21	0.96	23.42	158.79	57.08	4.54	64.8	3.41	86.43	55.1	4.78	22.26	2.1	158.79	72.01	8.65	4.46	5.59	6.41	133.36	12.18	80.01	93.35	9.34	59.13	54.33	151.22	25.72	94.67	7.0	81.14	58.71	90.14	148.09	58.3	74.58	55.49	21.63	70.51	2.86	36.79	43.02
BLNK	353.59	159.9	187.71	483.38	127.89	48.52	64.34	177.53	195.72	99.43	305.55	283.05	68.07	275.28	48.52	133.36	153.34	105.15	244.57	165.57	68.07	127.89	82.87	164.42	190.34	22.59	114.36	137.14	273.37	177.53	231.32	195.72	57.49	38.95	301.33	185.11	157.68	249.73	132.44	234.57	323.03	503.95	164.42	373.81	71.5	371.22	172.65	275.28	223.41	363.56	381.68	229.72	28.65	193.01	51.35	57.89	146.03
C11orf74	327.56	400.71	423.61	540.19	293.07	267.73	79.45	518.15	684.02	74.58	638.15	450.94	316.37	409.15	194.36	221.86	262.2	291.04	525.39	460.44	180.02	395.18	146.03	412.0	403.5	119.26	217.27	178.77	563.18	460.44	417.77	82.29	147.06	183.82	587.13	536.45	356.05	368.65	102.97	575.03	381.68	848.22	283.05	669.92	480.04	679.29	348.71	366.09	651.58	406.31	417.77	348.71	110.43	379.04	105.89	241.19	403.5
C17orf85	483.38	277.2	389.72	796.86	432.53	275.28	366.09	346.29	341.51	320.8	674.59	718.08	242.88	642.59	256.78	417.77	343.89	242.88	432.53	379.04	287.01	480.04	327.56	457.25	420.68	123.5	412.0	336.79	490.14	518.15	507.46	260.38	371.22	180.02	660.68	444.72	493.56	490.14	361.04	441.64	435.55	1001.93	368.65	316.37	387.02	1023.0	397.93	555.41	669.92	358.54	612.11	684.02	215.77	420.68	242.88	312.0	351.14
