	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.C5.A1BE.01B.11R.A13Y.07	TCGA.D5.6929.01A.31R.1928.07	TCGA.DM.A28E.01A.11R.A32Y.07	TCGA.G4.6303.01A.11R.1774.07	TCGA.RU.A8FL.01A.11R.A37K.07	TCGA.CV.7435.01A.11R.2132.07	TCGA.CN.5360.01A.01R.1436.07	TCGA.CR.7371.01A.11R.2016.07	TCGA.60.2712.01A.01R.0851.07	TCGA.66.2788.01A.01R.0980.07	TCGA.22.4604.01A.01R.1201.07	TCGA.EI.6884.01A.11R.1928.07	TCGA.EI.6885.01A.11R.1928.07	TCGA.FL.A1YQ.11A.11R.A32Y.07
AADACL2	2.66	209.84	18.97	0.0	0.0	0.0	0.0	0.47	55.89	10.96	3.41	1.2	29.06	0.0	0.0	0.0
ABCA13	785.88	1487.87	301.33	10.16	1.28	3.23	0.0	348.71	547.75	387.02	102.25	291.04	271.48	3.11	25.35	1.41
ABCC5	961.07	928.3	6935.54	239.52	285.03	571.05	185.11	624.99	3124.78	2335.28	961.07	1159.07	1594.73	591.22	540.19	607.87
ABHD5	1487.87	928.3	769.69	133.36	115.16	108.14	96.01	371.22	595.34	454.09	267.73	334.46	389.72	206.94	162.14	198.47
AC006116.20	647.07	7280.4	249.73	0.0	9.06	0.0	2.18	234.57	248.0	118.43	143.01	50.27	144.01	0.0	4.82	16.27
ACAP2	884.29	379.04	1175.27	127.89	224.97	273.37	112.77	733.19	1001.93	723.08	426.57	457.25	1127.35	323.03	133.36	224.97
ADAM23	100.13	283.05	825.0	14.03	9.63	36.79	3.35	878.17	1030.12	591.22	29.7	208.38	366.09	31.67	42.11	14.78
ANXA2	107948.72	100719.65	38430.46	10296.45	16383.0	8778.97	5041.77	44452.21	35363.15	41475.31	20170.07	56265.94	23656.34	11909.94	6887.62	11345.82
ARL5B	371.22	162.14	316.37	180.02	153.34	111.99	122.64	426.57	260.38	221.86	194.36	262.2	346.29	140.04	171.45	191.67
ATP11B	8598.28	1832.01	2739.08	215.77	327.56	363.56	251.48	1540.37	1540.37	1407.55	759.08	878.17	1001.93	497.0	221.86	228.13
ATP1B3	17078.76	13123.73	9945.68	2682.69	2591.27	2720.15	5183.54	9945.68	10440.2	11584.24	9945.68	7642.41	7537.18	9673.69	2997.45	4181.07
