	GTEX.U3ZM.0826.SM.4DXU6	GTEX.SE5C.1026.SM.4BRUG	GTEX.11ONC.2026.SM.5HL61	GTEX.14BMU.1326.SM.5RQIH	GTEX.ZYFG.1926.SM.5GID5	GTEX.WFON.1426.SM.4LVMT	GTEX.U3ZH.1326.SM.4DXSF	GTEX.13G51.2126.SM.5IJD9	GTEX.YJ8O.1426.SM.5PNV9	GTEX.139TS.2226.SM.5J2N1	GTEX.131YS.2926.SM.5EGKI	GTEX.ZP4G.1726.SM.4WWCM	GTEX.ZPU1.1726.SM.4WWFV	GTEX.11ZTS.1526.SM.5N9G7	GTEX.111YS.1626.SM.5GZZ9	GTEX.ZYFG.1826.SM.5GZWX	GTEX.Y9LG.1526.SM.4WWDR	GTEX.145MO.2626.SM.5QGPD	GTEX.Y8LW.1226.SM.4WWDP	GTEX.WFG7.1626.SM.4LVMF	GTEX.XUZC.1526.SM.4BRV4	GTEX.Y3I4.1426.SM.4TT9C	GTEX.R55G.1226.SM.48FDC	GTEX.14E6E.1526.SM.5RQIG	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXY.2026.SM.5N9CZ	GTEX.1212Z.1826.SM.5FQSH	GTEX.14E6E.1726.SM.5S2R6	GTEX.13OW5.2826.SM.5KM1G	GTEX.13FTW.2126.SM.5K7YG	GTEX.11DXX.1826.SM.5H126	GTEX.WYVS.1126.SM.4SOJX	GTEX.XUW1.1826.SM.4BOQD	GTEX.11ZTT.1626.SM.5EQKR	GTEX.RWS6.1826.SM.47JXX	GTEX.117XS.2226.SM.5GIE1	GTEX.ZTSS.1226.SM.51MSZ	GTEX.Y3I4.1126.SM.4TT7Y	GTEX.11DXZ.1626.SM.5GIDI	GTEX.ZLV1.1326.SM.4WWER	GTEX.ZP4G.1526.SM.57WE5	GTEX.13CF2.1826.SM.5N9GK	GTEX.139T6.1426.SM.5P9J7	GTEX.TKQ1.0626.SM.4DXTS	GTEX.OXRL.1426.SM.3NM9E	GTEX.ZYFC.2626.SM.5NQ6S	GTEX.WHWD.1526.SM.4OORV	GTEX.YEC4.1926.SM.5IFHJ	GTEX.12ZZY.2726.SM.5EQ45	GTEX.11TTK.2426.SM.5PNYO	GTEX.13D11.0826.SM.5KLZJ	GTEX.11P81.1426.SM.5P9JN	GTEX.ZXES.1726.SM.5E43G	GTEX.11PRG.2026.SM.5GU5F	GTEX.WHPG.1626.SM.4M1ZL	GTEX.SNMC.1126.SM.4DM5M	GTEX.X15G.1526.SM.4PQZM	GTEX.13OW8.2726.SM.5L3FZ	GTEX.YECK.2826.SM.5IFHF	GTEX.12WSD.2626.SM.5EGJE	GTEX.P4PP.1426.SM.3NM9L	GTEX.13111.1926.SM.5GCOL	GTEX.13O21.2426.SM.5MR4A	GTEX.R55C.1126.SM.48FCJ	GTEX.ZPIC.2626.SM.57WE2	GTEX.ZYY3.2226.SM.5E45A	GTEX.147JS.2626.SM.5S2UX	GTEX.11EQ9.1526.SM.5PNY7	GTEX.Z93S.2626.SM.57WBX	GTEX.1122O.1526.SM.5N9CL	GTEX.11P7K.1826.SM.5HL5A	GTEX.1399R.2126.SM.5K7WZ	GTEX.T6MO.0826.SM.4DM51	GTEX.WEY5.1426.SM.4LMJ3	GTEX.OHPM.1426.SM.3TW8Y	GTEX.1399U.2226.SM.5KLZI	GTEX.1211K.1826.SM.5EGJ2	GTEX.XPVG.1826.SM.4B64X	GTEX.11DXZ.1726.SM.5H12M	GTEX.V955.1726.SM.4JBHF	GTEX.111YS.1826.SM.5GIEP	GTEX.11EMC.1426.SM.5N9E4	GTEX.11P81.1126.SM.5GU5G	GTEX.11ZVC.2126.SM.5EGJ1	GTEX.11ONC.1926.SM.5GU75	GTEX.11GS4.1826.SM.5HL4T	GTEX.ZA64.1426.SM.5CVMC	GTEX.13X6K.2726.SM.5O9DG	GTEX.13OW6.2226.SM.5N9FL	GTEX.139UW.2326.SM.5KM1Y	GTEX.14DAR.1526.SM.5RQIX	GTEX.131XE.1026.SM.5EGKE	GTEX.13QBU.2026.SM.5KLZB	GTEX.U3ZM.1126.SM.4DXUB	GTEX.ZT9W.1726.SM.51MS3	GTEX.13PVR.1726.SM.5Q5EC	GTEX.Y114.1526.SM.4TT79	GTEX.ZVT2.1726.SM.51MRO	GTEX.13FH7.1626.SM.5J2O9	GTEX.11GSP.1626.SM.5986N	GTEX.12ZZX.2726.SM.5N9FT	GTEX.YF7O.1626.SM.5IFII	GTEX.13FH7.1526.SM.5J2N6	GTEX.Y9LG.1326.SM.4VBQB	GTEX.XV7Q.2226.SM.4BRVY	GTEX.ZDTS.2726.SM.5L3E2	GTEX.PX3G.1426.SM.48U1J	GTEX.11EM3.1626.SM.5N9CO	GTEX.132NY.2726.SM.5PNY2	GTEX.11EI6.2626.SM.5PNVT	GTEX.ZPCL.1626.SM.57WGC	GTEX.O5YW.1426.SM.3MJHF	GTEX.13N2G.2226.SM.5IJCU	GTEX.12C56.0626.SM.5EGGC	GTEX.13OW5.2626.SM.5MR3M	GTEX.13NYB.1326.SM.5K7Y1	GTEX.WEY5.1126.SM.4LMIE	GTEX.145MF.1526.SM.5LU95	GTEX.YJ8O.0326.SM.5RQJW	GTEX.11P81.1026.SM.5GU54	GTEX.XYKS.1026.SM.4BRVH	GTEX.XBEW.1526.SM.4AT4K	GTEX.14E7W.1926.SM.5S2R9	GTEX.13O21.0726.SM.5L3EG	GTEX.11NUK.1726.SM.5A5L2	GTEX.13U4I.1326.SM.5KM25	GTEX.Y3IK.1326.SM.4YCD8	GTEX.11DXZ.1026.SM.5N9D5	GTEX.Y111.1826.SM.4SOIR	GTEX.ZF2S.1326.SM.4WWAZ	GTEX.13111.1126.SM.5GCMZ	GTEX.11DYG.1926.SM.5H12I	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.13OVL.2726.SM.5J2MP	GTEX.ZAK1.1826.SM.5HL93	GTEX.Y111.1726.SM.4SOIQ	GTEX.V955.1026.SM.4JBHO	GTEX.QV44.1026.SM.447CG	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.WYVS.0826.SM.4RTXB	GTEX.ZYFC.1726.SM.5GZYX	GTEX.QEL4.1526.SM.447AB	GTEX.13G51.1026.SM.5K7YQ	GTEX.Q2AG.1226.SM.4GICA	GTEX.U3ZH.1126.SM.4DXUG	GTEX.RNOR.1326.SM.48FDE	GTEX.POMQ.0626.SM.3P61E	GTEX.12WSD.1926.SM.5GCOV	GTEX.T6MN.1526.SM.4DM5P	GTEX.QMRM.0926.SM.447BR	GTEX.RU72.0826.SM.46MUS	GTEX.146FQ.1126.SM.5NQBM	GTEX.11DXY.1526.SM.5H129	GTEX.RTLS.1226.SM.46MUP	GTEX.TKQ2.1226.SM.4DXSV	GTEX.WRHK.0426.SM.4MVOG	GTEX.11ZUS.0926.SM.5FQSY	GTEX.13QJ3.1826.SM.5S2PT	GTEX.13OW6.1426.SM.5L3EU	GTEX.ZAB5.1026.SM.5HL91	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.Q734.0826.SM.48U1G	GTEX.145MH.1226.SM.5RQJT	GTEX.ZEX8.1326.SM.4WWEW	GTEX.12ZZY.1526.SM.5LZWF	GTEX.ZYT6.1226.SM.5E44Q	GTEX.U3ZN.1826.SM.4DXUY	GTEX.13OW8.2226.SM.5K7Z4	GTEX.R55G.0926.SM.48FDN	GTEX.13U4I.1226.SM.5LU5M	GTEX.WZTO.1526.SM.4PQYQ	GTEX.13111.0926.SM.5DUVQ	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.V1D1.1926.SM.4JBGX	GTEX.13111.1326.SM.5GCNO	GTEX.YB5E.1826.SM.5IFI4	GTEX.Y9LG.1826.SM.4VBQC	GTEX.11TUW.2126.SM.5GU7B	TCGA.AF.2689.11A.01R.A32Z.07	TCGA.AF.2691.11A.01R.A32Z.07	TCGA.AF.2692.11A.01R.A32Z.07	TCGA.AF.5654.11A.11R.1660.07	GTEX.13CF2.2426.SM.5LZYL	TCGA.FP.7735.11A.01R.2055.13	GTEX.13111.1226.SM.5GCNC	GTEX.OOBJ.1526.SM.3NB1Q	GTEX.PX3G.1526.SM.48U11	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.145LT.1426.SM.5O9B3	GTEX.12WSD.2326.SM.59HKQ	GTEX.RTLS.2626.SM.46MUJ	GTEX.QXCU.1926.SM.48FE4	GTEX.Y5V6.1326.SM.4VDTF	GTEX.QLQW.0726.SM.447AA	GTEX.R55G.1626.SM.48FF4
CUZD1	6.01	5.02	10.79	5.87	8.92	12.93	17.9	16.51	25.54	31.0	12.27	10.79	17.51	13.03	4.31	5.36	17.9	12.18	10.31	3.92	13.72	11.55	11.47	35.5	11.21	32.36	20.11	9.06	16.51	2.39	10.47	21.16	6.89	2.29	8.45	12.64	3.38	8.58	12.55	7.06	16.88	20.71	8.99	10.31	9.56	13.72	11.82	13.52	22.1	13.93	8.38	11.04	10.08	8.99	18.43	10.88	10.63	18.29	22.75	17.51	7.22	7.46	13.52	22.92	7.82	12.0	16.27	12.64	26.86	10.47	12.36	7.0	8.06	13.62	10.0	3.0	9.85	28.65	59.13	31.45	8.65	12.93	17.0	17.9	14.03	10.88	7.94	19.68	21.94	7.88	14.89	13.62	2.76	22.1	7.69	9.2	22.59	5.19	3.72	2.68	19.97	18.84	2.12	6.78	16.15	1.75	21.16	3.47	13.32	10.63	6.78	8.58	17.9	28.24	13.72	15.22	12.27	49.91	31.0	20.26	28.86	14.56	30.78	9.7	18.29	14.35	7.4	14.24	39.79	24.46	7.06	43.02	29.91	28.86	13.93	53.95	14.45	13.83	12.36	16.51	13.72	18.43	31.45	37.32	50.98	16.63	53.57	20.41	10.63	23.59	12.55	29.48	15.68	29.48	19.11	19.97	9.7	27.84	54.33	21.47	24.81	25.17	46.84	47.17	177.53	10.63	33.54	18.03	9.48	33.06	65.26	27.25	53.95	16.15	12.36	6.36	12.45	6.11	7.94	6.89	3.86	14.56	6.89	13.42	8.65	4.58	9.41	4.31	5.36	21.16	10.08	19.68	5.28	8.78	3.79	2.32	20.56	26.28	0.71
DALRD3	444.72	435.55	563.18	473.41	480.04	674.59	603.67	473.41	665.29	878.17	703.28	629.35	607.87	595.34	432.53	518.15	769.69	444.72	447.82	373.81	612.11	518.15	703.28	708.18	450.94	842.36	647.07	291.04	536.45	438.59	775.05	500.46	514.56	339.14	457.25	532.74	656.11	457.25	514.56	400.71	438.59	595.34	429.54	395.18	525.39	579.04	616.37	473.41	753.83	571.05	718.08	540.19	400.71	470.14	629.35	665.29	934.76	575.03	642.59	629.35	612.11	493.56	708.18	808.0	480.04	693.58	583.07	583.07	647.07	638.15	358.54	409.15	480.04	318.57	651.58	460.44	423.61	934.76	854.13	718.08	432.53	486.75	497.0	612.11	575.03	587.13	327.56	733.19	967.76	241.19	884.29	651.58	348.71	1066.48	587.13	314.17	379.04	571.05	379.04	559.28	909.17	493.56	447.82	392.44	642.59	295.11	684.02	325.29	748.61	723.08	454.09	665.29	595.34	988.12	656.11	571.05	497.0	890.44	764.36	406.31	473.41	679.29	708.18	480.04	733.19	532.74	441.64	412.0	878.17	414.87	450.94	571.05	679.29	642.59	551.56	1023.0	571.05	679.29	633.73	536.45	480.04	638.15	540.19	629.35	647.07	559.28	842.36	579.04	395.18	642.59	540.19	507.46	540.19	723.08	674.59	599.49	273.37	775.05	819.3	559.28	547.75	656.11	830.75	848.22	665.29	392.44	802.41	620.67	376.41	503.95	373.81	480.04	738.29	525.39	866.07	599.49	1259.69	723.08	642.59	769.69	595.34	543.96	447.82	412.0	514.56	497.0	356.05	409.15	624.99	743.43	802.41	759.08	629.35	463.65	551.56	358.54	693.58	866.07	579.04
DCAF17	181.28	88.88	220.32	152.28	152.28	76.71	258.57	201.25	199.85	154.42	191.67	128.79	136.19	193.01	189.02	159.9	91.41	172.65	153.34	136.19	120.1	80.57	110.43	74.58	146.03	181.28	183.82	156.59	183.82	118.43	73.54	237.86	186.4	166.73	159.9	205.5	104.42	118.43	154.42	116.78	148.09	234.57	116.78	155.5	142.01	234.57	191.67	139.07	170.25	126.12	95.34	115.16	154.42	177.53	191.67	116.78	150.17	164.42	134.3	156.59	127.89	173.85	88.88	111.99	215.77	285.03	190.34	149.12	98.73	73.54	148.09	172.65	140.04	112.77	105.15	66.18	145.02	95.34	128.79	265.87	194.36	246.28	234.57	237.86	202.66	178.77	135.24	158.79	224.97	134.3	104.42	159.9	199.85	118.43	125.24	131.51	108.9	118.43	128.79	173.85	164.42	146.03	120.94	166.73	211.31	72.52	136.19	139.07	191.67	157.68	112.77	151.22	231.32	118.43	129.69	206.94	152.28	332.14	223.41	341.51	264.03	197.09	293.07	209.84	191.67	255.0	224.97	220.32	226.54	195.72	132.44	264.03	211.31	242.88	273.37	209.84	211.31	193.01	97.36	148.09	307.69	228.13	305.55	334.46	214.27	297.17	353.59	185.11	265.87	265.87	175.07	303.44	140.04	258.57	267.73	209.84	140.04	223.41	258.57	336.79	214.27	285.03	221.86	343.89	205.5	178.77	285.03	152.28	215.77	267.73	239.52	289.02	320.8	224.97	114.36	171.45	111.99	150.17	170.25	125.24	120.1	122.64	136.19	152.28	129.69	93.35	126.12	102.97	180.02	113.56	133.36	77.79	149.12	114.36	111.21	67.59	110.43	85.22	110.43
DHX30	928.3	1073.91	718.08	819.3	796.86	591.22	780.44	753.83	896.64	1015.93	830.75	785.88	941.27	988.12	819.3	915.51	665.29	825.0	743.43	819.3	860.08	733.19	500.46	397.93	723.08	842.36	909.17	791.35	915.51	854.13	514.56	928.3	988.12	764.36	825.0	813.63	616.37	813.63	764.36	775.05	947.83	896.64	830.75	728.11	802.41	902.89	866.07	902.89	825.0	693.58	493.56	848.22	669.92	698.41	713.11	759.08	1015.93	902.89	860.08	791.35	540.19	723.08	532.74	674.59	738.29	785.88	915.51	791.35	759.08	412.0	718.08	813.63	813.63	830.75	624.99	780.44	738.29	728.11	551.56	860.08	808.0	902.89	813.63	743.43	954.43	791.35	764.36	825.0	915.51	808.0	603.67	915.51	848.22	679.29	693.58	733.19	954.43	693.58	748.61	684.02	791.35	743.43	896.64	884.29	866.07	733.19	723.08	842.36	819.3	836.53	743.43	669.92	872.1	651.58	808.0	872.1	1175.27	1051.79	1096.5	1127.35	1151.06	1216.75	1175.27	1119.56	1111.82	1008.9	1008.9	1023.0	1340.84	909.17	890.44	1167.14	1159.07	1208.34	981.29	1457.23	1037.29	1268.46	1119.56	1015.93	896.64	1359.57	1467.37	1216.75	1143.1	988.12	1350.18	1233.75	1111.82	1322.37	1015.93	1250.98	1044.52	1175.27	1135.2	1096.5	934.76	1159.07	1066.48	1199.98	928.3	1369.04	1183.45	1015.93	1242.34	1135.2	1127.35	1378.57	1037.29	1023.0	1066.48	1044.52	1119.56	1044.52	743.43	698.41	1143.1	878.17	1151.06	1015.93	1159.07	860.08	915.51	878.17	551.56	656.11	921.88	884.29	860.08	587.13	733.19	575.03	656.11	616.37	497.0	981.29	693.58	543.96	738.29
DIP2A	239.52	164.42	497.0	264.03	271.48	426.57	612.11	366.09	547.75	591.22	432.53	366.09	293.07	567.1	343.89	303.44	514.56	371.22	253.23	228.13	341.51	336.79	507.46	384.34	381.68	473.41	536.45	327.56	571.05	217.27	417.77	591.22	620.67	299.25	373.81	536.45	221.86	271.48	327.56	299.25	271.48	529.06	251.48	309.83	291.04	547.75	343.89	339.14	409.15	412.0	460.44	291.04	236.21	518.15	346.29	325.29	403.5	559.28	423.61	507.46	497.0	316.37	563.18	466.88	244.57	511.0	665.29	376.41	373.81	500.46	223.41	325.29	371.22	255.0	403.5	169.07	273.37	500.46	563.18	591.22	307.69	493.56	480.04	483.38	473.41	432.53	236.21	551.56	629.35	316.37	486.75	438.59	327.56	567.1	229.72	260.38	255.0	189.02	229.72	612.11	480.04	273.37	218.79	283.05	376.41	211.31	466.88	197.09	387.02	514.56	212.78	473.41	529.06	571.05	511.0	743.43	473.41	684.02	780.44	902.89	684.02	698.41	995.0	532.74	884.29	679.29	769.69	543.96	915.51	483.38	363.56	785.88	802.41	836.53	909.17	902.89	599.49	540.19	559.28	587.13	836.53	967.76	1008.9	1127.35	896.64	764.36	890.44	563.18	728.11	836.53	536.45	780.44	303.44	698.41	974.5	665.29	381.68	759.08	988.12	813.63	423.61	802.41	915.51	819.3	679.29	400.71	669.92	543.96	559.28	884.29	624.99	780.44	1183.45	429.54	241.19	248.0	463.65	208.38	397.93	420.68	285.03	334.46	373.81	447.82	473.41	194.36	218.79	309.83	507.46	239.52	327.56	289.02	332.14	476.71	406.31	242.88	181.28	204.07	215.77
DNA2	21.16	6.41	44.25	36.53	7.75	37.85	49.91	30.56	66.18	30.56	38.12	31.0	34.75	43.63	24.11	20.86	52.08	44.57	16.27	23.42	39.22	38.12	32.59	43.63	42.41	45.85	43.63	31.9	59.13	15.34	48.18	19.11	43.32	19.68	25.54	50.98	29.91	52.08	20.26	37.59	17.13	51.71	9.48	46.5	30.12	25.72	45.53	37.85	38.12	17.64	52.82	18.97	31.9	35.0	20.26	32.59	70.01	53.95	25.17	35.5	31.0	23.25	63.45	54.72	23.42	63.0	29.06	57.08	40.64	26.47	17.64	46.84	32.82	27.64	49.91	15.68	32.36	54.33	23.93	68.55	35.0	43.02	36.01	43.32	71.5	29.91	31.45	44.89	46.5	42.71	62.56	46.18	18.7	24.11	32.82	31.45	13.12	17.9	8.19	33.78	38.4	30.56	14.78	23.25	41.22	16.27	35.5	21.16	24.63	57.49	31.67	34.26	54.33	41.22	47.84	24.81	22.92	46.5	39.22	61.25	21.16	51.71	30.12	39.79	24.99	40.64	23.25	20.26	53.19	30.78	14.78	28.24	40.93	30.78	51.35	43.02	33.3	46.18	11.64	18.29	39.22	23.93	92.7	34.26	8.0	27.25	33.06	21.47	22.59	44.25	26.47	30.12	16.51	27.64	25.54	24.99	39.5	38.67	63.0	34.26	35.76	45.21	25.17	82.87	40.07	11.91	43.32	22.26	25.91	56.28	32.82	22.43	38.67	12.0	7.57	15.91	32.82	5.63	41.81	39.5	31.22	49.91	55.1	53.19	78.34	19.25	9.41	9.78	68.55	8.45	36.01	26.67	56.28	24.28	18.97	16.51	34.75	32.82	16.51
DNASE1L2	4.17	4.62	17.9	10.39	5.59	7.88	19.25	6.16	19.53	24.81	15.8	7.88	7.22	13.72	6.52	11.04	7.75	14.24	10.96	6.78	6.46	6.94	12.83	17.77	6.94	16.63	13.62	8.65	31.9	6.01	4.43	17.77	20.11	4.43	10.79	21.63	4.13	10.71	1.62	6.67	3.99	21.16	3.44	7.75	8.51	7.94	17.0	6.62	29.91	10.63	11.82	7.69	1.87	13.62	9.63	7.88	23.76	13.52	10.79	9.34	2.81	4.58	10.63	13.93	5.36	31.45	20.71	7.94	12.45	5.63	5.02	12.55	6.57	4.28	20.41	2.43	4.98	13.03	9.63	33.78	3.79	16.39	12.27	16.27	19.97	13.42	2.01	11.13	23.08	3.69	5.15	33.3	5.54	4.5	7.34	3.69	4.86	4.58	0.56	9.78	44.57	4.46	5.32	8.51	35.0	4.46	4.58	5.36	20.56	32.59	6.11	6.57	35.25	15.45	23.59	19.53	10.71	26.1	25.17	22.43	16.63	29.06	15.11	7.34	17.9	17.25	9.34	5.54	42.11	15.91	9.48	15.45	61.68	17.25	24.46	57.49	46.5	39.5	30.12	24.28	11.13	17.38	67.12	30.34	31.0	17.77	49.21	10.08	10.24	49.21	9.06	35.5	7.63	12.83	40.07	24.99	5.28	19.68	34.75	38.67	21.47	53.19	28.24	113.56	26.86	16.75	53.95	16.15	10.39	15.0	8.19	9.56	33.3	15.56	7.11	13.22	38.12	6.06	14.24	15.56	8.78	12.45	2.78	11.04	5.19	10.63	0.0	4.31	11.64	5.06	8.13	11.04	10.24	3.17	8.25	0.41	11.47	9.93	4.78
DONSON	151.22	318.57	267.73	165.57	176.29	170.25	269.6	229.72	318.57	279.14	195.72	182.55	269.6	312.0	197.09	186.4	186.4	356.05	142.01	152.28	217.27	194.36	180.02	169.07	167.9	273.37	303.44	191.67	500.46	172.65	129.69	242.88	262.2	140.04	239.52	273.37	249.73	204.07	170.25	163.28	173.85	305.55	159.9	185.11	166.73	336.79	215.77	269.6	334.46	366.09	142.01	109.66	236.21	275.28	138.1	151.22	237.86	384.34	273.37	271.48	166.73	186.4	151.22	155.5	149.12	287.01	258.57	182.55	309.83	154.42	106.63	118.43	226.54	177.53	199.85	150.17	162.14	249.73	120.1	299.25	171.45	316.37	187.71	193.01	265.87	228.13	194.36	334.46	332.14	303.44	193.01	353.59	202.66	161.02	249.73	158.79	239.52	234.57	128.79	297.17	457.25	158.79	145.02	297.17	242.88	136.19	193.01	124.37	224.97	314.17	211.31	161.02	327.56	221.86	406.31	392.44	275.28	397.93	285.03	267.73	265.87	514.56	384.34	163.28	412.0	229.72	228.13	183.82	583.07	190.34	244.57	353.59	376.41	483.38	473.41	579.04	277.2	353.59	264.03	353.59	226.54	486.75	435.55	420.68	490.14	265.87	441.64	256.78	301.33	435.55	255.0	486.75	113.56	307.69	454.09	287.01	166.73	426.57	551.56	392.44	223.41	379.04	441.64	332.14	327.56	136.19	466.88	291.04	161.02	567.1	285.03	279.14	460.44	260.38	94.67	177.53	88.88	113.56	81.71	114.36	177.53	237.86	273.37	231.32	361.04	234.57	118.43	265.87	228.13	79.45	103.69	123.5	183.82	191.67	189.02	123.5	145.02	157.68	88.88
DPH7	368.65	314.17	698.41	339.14	417.77	414.87	718.08	497.0	819.3	1023.0	819.3	435.55	525.39	872.1	503.95	438.59	638.15	738.29	400.71	318.57	540.19	412.0	417.77	470.14	420.68	1015.93	915.51	368.65	896.64	463.65	414.87	583.07	902.89	346.29	679.29	780.44	351.14	387.02	444.72	343.89	507.46	915.51	353.59	454.09	543.96	884.29	529.06	583.07	738.29	575.03	395.18	348.71	429.54	575.03	438.59	366.09	866.07	915.51	813.63	723.08	420.68	457.25	460.44	500.46	409.15	813.63	791.35	486.75	718.08	389.72	265.87	356.05	435.55	376.41	397.93	429.54	414.87	693.58	473.41	836.53	529.06	872.1	669.92	551.56	909.17	616.37	363.56	1104.13	1088.92	518.15	555.41	563.18	583.07	753.83	395.18	409.15	529.06	473.41	389.72	718.08	759.08	348.71	406.31	679.29	490.14	341.51	555.41	339.14	624.99	708.18	500.46	417.77	896.64	563.18	769.69	890.44	884.29	1135.2	1175.27	1127.35	954.43	1096.5	1359.57	638.15	1225.22	836.53	759.08	674.59	1594.73	669.92	595.34	1183.45	1225.22	1407.55	1250.98	1844.76	796.86	830.75	1119.56	1044.52	819.3	1477.58	1350.18	1519.15	1295.13	1104.13	1697.45	842.36	954.43	1388.16	802.41	1044.52	432.53	1037.29	1286.18	713.11	579.04	1225.22	1551.09	1127.35	571.05	1208.34	1551.09	802.41	1088.92	547.75	1216.75	1127.35	638.15	1096.5	753.83	825.0	1369.04	743.43	373.81	327.56	583.07	301.33	417.77	599.49	532.74	473.41	450.94	480.04	444.72	231.32	473.41	414.87	414.87	417.77	368.65	406.31	395.18	303.44	348.71	253.23	417.77	438.59	348.71
EED	224.97	195.72	473.41	305.55	283.05	351.14	490.14	376.41	466.88	389.72	368.65	379.04	336.79	463.65	420.68	309.83	483.38	395.18	295.11	226.54	264.03	309.83	426.57	307.69	291.04	356.05	547.75	293.07	447.82	236.21	332.14	417.77	348.71	283.05	325.29	358.54	327.56	271.48	305.55	273.37	265.87	507.46	246.28	283.05	329.84	476.71	381.68	305.55	447.82	371.22	395.18	361.04	244.57	412.0	309.83	320.8	320.8	444.72	454.09	438.59	423.61	277.2	493.56	373.81	339.14	536.45	395.18	343.89	381.68	373.81	258.57	325.29	316.37	217.27	368.65	267.73	295.11	450.94	490.14	466.88	397.93	403.5	420.68	414.87	540.19	339.14	186.4	435.55	575.03	395.18	429.54	466.88	316.37	490.14	332.14	281.09	218.79	339.14	234.57	289.02	450.94	264.03	229.72	356.05	384.34	226.54	353.59	206.94	334.46	409.15	312.0	420.68	447.82	417.77	366.09	473.41	212.78	540.19	551.56	435.55	376.41	371.22	616.37	373.81	447.82	320.8	316.37	305.55	547.75	323.03	264.03	521.76	397.93	476.71	579.04	460.44	395.18	361.04	256.78	346.29	432.53	536.45	503.95	536.45	540.19	314.17	480.04	320.8	368.65	480.04	264.03	543.96	234.57	356.05	432.53	343.89	193.01	521.76	412.0	500.46	307.69	463.65	518.15	555.41	366.09	283.05	633.73	343.89	228.13	529.06	291.04	397.93	612.11	260.38	208.38	255.0	223.41	256.78	329.84	366.09	253.23	400.71	297.17	267.73	346.29	178.77	267.73	218.79	466.88	255.0	237.86	273.37	267.73	260.38	248.0	187.71	318.57	206.94	253.23
EEPD1	175.07	291.04	511.0	366.09	239.52	473.41	579.04	571.05	624.99	684.02	473.41	289.02	397.93	480.04	251.48	563.18	363.56	234.57	273.37	470.14	503.95	275.28	211.31	529.06	194.36	656.11	909.17	536.45	470.14	348.71	332.14	620.67	583.07	339.14	224.97	854.13	325.29	417.77	525.39	253.23	490.14	567.1	305.55	307.69	356.05	420.68	341.51	189.02	921.88	260.38	406.31	796.86	256.78	764.36	348.71	236.21	1143.1	679.29	260.38	438.59	305.55	400.71	305.55	629.35	348.71	221.86	599.49	438.59	902.89	341.51	199.85	373.81	159.9	239.52	563.18	389.72	353.59	327.56	432.53	961.07	248.0	575.03	426.57	435.55	764.36	775.05	226.54	409.15	397.93	392.44	389.72	688.78	299.25	473.41	612.11	198.47	265.87	543.96	110.43	518.15	703.28	599.49	417.77	221.86	414.87	392.44	444.72	500.46	743.43	616.37	432.53	244.57	890.44	423.61	563.18	780.44	902.89	848.22	769.69	599.49	503.95	536.45	759.08	299.25	808.0	616.37	974.5	368.65	1151.06	616.37	532.74	988.12	780.44	1001.93	1073.91	1639.59	708.18	708.18	909.17	909.17	587.13	902.89	559.28	1008.9	728.11	1051.79	890.44	733.19	1051.79	961.07	693.58	909.17	769.69	947.83	791.35	612.11	318.57	1119.56	1023.0	753.83	748.61	1388.16	769.69	860.08	884.29	775.05	1159.07	1059.11	703.28	703.28	713.11	733.19	1397.83	698.41	163.28	215.77	490.14	273.37	363.56	178.77	312.0	361.04	414.87	417.77	297.17	961.07	309.83	163.28	595.34	733.19	1066.48	759.08	563.18	884.29	665.29	356.05	921.88	679.29	136.19
