	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.Y5LM.0726.SM.4VBRP	GTEX.RU1J.0126.SM.2TF6Y	GTEX.13OVH.1026.SM.5J2NP	GTEX.R55C.0526.SM.3GIKA	GTEX.13O61.0726.SM.5J2MD	GTEX.TML8.0326.SM.4GICN	GTEX.12WSJ.0226.SM.5GCP7	GTEX.WFG7.0526.SM.3GIKI	GTEX.117YX.1326.SM.5H125	GTEX.12WSN.0626.SM.5BC61	GTEX.U3ZN.0626.SM.3DB7U	GTEX.11NV4.1126.SM.5HL6J	GTEX.11EMC.0126.SM.5EGKV	GTEX.OHPL.0526.SM.3NM8U	GTEX.1122O.0126.SM.5GICA	GTEX.13VXT.1426.SM.5LU4B	GTEX.ZT9W.0726.SM.4YCDC	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.13OW6.0826.SM.5L3GA	GTEX.WH7G.0726.SM.3NMBM	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.T8EM.0326.SM.3DB7F	GTEX.PLZ5.0726.SM.2I5F9	GTEX.11LCK.0426.SM.5A5M8	GTEX.QMRM.0826.SM.3NB33	GTEX.OHPM.0526.SM.2YUMJ
ABCB10	53.95	80.57	138.1	142.01	229.72	346.29	177.53	339.14	159.9	183.82	122.64	295.11	241.19	291.04	381.68	46.5	152.28	223.41	148.09	226.54	194.36	152.28	136.19	169.07	232.94	176.29	397.93	348.71	231.32	291.04	158.79
ACADM	279.14	2163.77	995.0	909.17	1208.34	1015.93	237.86	1806.78	995.0	1073.91	819.3	1259.69	1151.06	1295.13	1447.15	172.65	403.5	1259.69	954.43	1331.57	796.86	633.73	928.3	536.45	1277.29	988.12	1183.45	1388.16	1250.98	1378.57	915.51
ACAP2	94.01	48.87	204.07	191.67	255.0	414.87	167.9	974.5	199.85	353.59	156.59	435.55	387.02	638.15	802.41	78.34	181.28	500.46	139.07	223.41	253.23	122.64	198.47	159.9	258.57	599.49	872.1	633.73	395.18	525.39	131.51
ACTR6	279.14	178.77	253.23	381.68	503.95	518.15	299.25	738.29	356.05	651.58	457.25	738.29	525.39	587.13	642.59	90.77	312.0	540.19	441.64	497.0	529.06	392.44	480.04	351.14	559.28	547.75	647.07	854.13	497.0	483.38	497.0
ACVR1	267.73	178.77	587.13	525.39	890.44	698.41	206.94	902.89	575.03	591.22	379.04	759.08	791.35	825.0	1081.39	273.37	336.79	890.44	473.41	642.59	450.94	674.59	679.29	295.11	603.67	624.99	967.76	713.11	890.44	791.35	567.1
AGGF1	126.12	48.18	236.21	242.88	271.48	258.57	115.16	441.64	241.19	299.25	248.0	403.5	327.56	358.54	395.18	53.19	156.59	323.03	269.6	343.89	229.72	232.94	262.2	212.78	291.04	281.09	356.05	389.72	253.23	371.22	220.32
AGL	29.91	143.01	175.07	145.02	149.12	173.85	83.45	417.77	153.34	155.5	133.36	234.57	224.97	202.66	262.2	30.56	66.18	229.72	133.36	164.42	140.04	167.9	104.42	69.03	220.32	141.02	212.78	406.31	279.14	220.32	106.63
ALDH9A1	1208.34	3190.46	896.64	1662.49	743.43	1369.04	540.19	1883.54	981.29	2075.59	1378.57	2104.58	1617.0	1757.34	1950.0	665.29	941.27	2255.7	1059.11	1883.54	1233.75	954.43	1167.14	616.37	1674.06	1369.04	2451.44	1857.6	1733.13	1745.2	848.22
ALG10B	32.36	15.11	25.91	26.28	52.45	59.13	17.13	85.22	57.49	52.08	26.67	84.04	34.26	59.97	86.43	6.52	36.53	46.5	27.84	108.9	53.19	30.56	37.59	48.18	47.84	52.82	117.6	100.13	42.41	56.68	47.5
AP4S1	43.94	29.27	169.07	93.35	88.26	84.04	90.14	208.38	85.22	94.01	115.16	241.19	170.25	146.03	163.28	63.89	47.84	127.0	71.5	161.02	125.24	156.59	118.43	65.72	170.25	234.57	173.85	224.97	143.01	218.79	92.7
AP5M1	121.79	185.11	305.55	373.81	444.72	444.72	182.55	688.78	361.04	387.02	373.81	603.67	547.75	583.07	679.29	84.63	249.73	441.64	299.25	450.94	441.64	358.54	307.69	285.03	432.53	363.56	808.0	660.68	486.75	507.46	373.81
API5	463.65	543.96	1268.46	1051.79	1127.35	1199.98	547.75	1617.0	934.76	1119.56	1167.14	1950.0	1268.46	1540.37	1909.85	363.56	693.58	1427.22	848.22	1151.06	1051.79	890.44	909.17	1096.5	1151.06	941.27	2061.24	1651.0	1250.98	1322.37	1191.69
ARFIP1	256.78	131.51	429.54	389.72	476.71	480.04	273.37	915.51	376.41	642.59	444.72	915.51	476.71	688.78	872.1	98.04	303.44	591.22	476.71	591.22	511.0	441.64	432.53	314.17	587.13	624.99	743.43	620.67	536.45	947.83	444.72
ARL2BP	713.11	486.75	1498.22	1551.09	2193.99	2047.0	447.82	2627.46	1857.6	1806.78	1477.58	2627.46	2240.11	2240.11	2502.97	379.04	995.0	1709.26	1991.0	1721.16	1794.29	1551.09	1572.76	1030.12	1936.53	1242.34	2645.74	2209.26	1832.01	2104.58	1551.09
ARMC1	120.94	90.14	287.01	285.03	447.82	341.51	149.12	525.39	336.79	371.22	376.41	480.04	486.75	571.05	603.67	49.56	229.72	395.18	325.29	414.87	305.55	323.03	426.57	325.29	414.87	387.02	595.34	540.19	397.93	466.88	332.14
ATP2C1	743.43	316.37	2032.85	2682.69	3060.45	1883.54	1104.13	4802.93	1183.45	2627.46	2555.58	6037.61	4123.49	2935.74	3928.15	703.28	1685.71	2148.82	1427.22	2004.85	1963.57	1832.01	2255.7	1923.14	3039.3	3690.52	4010.71	3257.52	3212.66	3280.18	2133.97
ATP7A	37.32	13.62	130.6	113.56	108.9	151.22	44.57	281.09	115.97	105.89	80.57	242.88	156.59	202.66	199.85	68.07	73.54	115.16	120.1	108.9	143.01	113.56	84.04	80.57	117.6	171.45	154.42	214.27	135.24	224.97	78.89
BBIP1	186.4	164.42	500.46	387.02	363.56	363.56	329.84	848.22	579.04	387.02	409.15	1037.29	764.36	529.06	995.0	241.19	366.09	381.68	379.04	796.86	511.0	575.03	457.25	277.2	536.45	718.08	708.18	633.73	536.45	723.08	387.02
BDP1	72.52	23.42	262.2	169.07	199.85	221.86	106.63	460.44	197.09	175.07	193.01	371.22	356.05	353.59	441.64	57.89	112.77	289.02	177.53	223.41	239.52	209.84	209.84	180.02	154.42	273.37	353.59	470.14	289.02	432.53	204.07
BIVM	82.87	162.14	92.05	211.31	223.41	226.54	119.26	490.14	166.73	264.03	217.27	343.89	221.86	229.72	285.03	35.5	143.01	262.2	159.9	194.36	136.19	189.02	164.42	176.29	209.84	241.19	389.72	500.46	180.02	423.61	87.03
