	TCGA.BP.5178.01A.01R.1426.07	TCGA.CW.6088.01A.11R.1672.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.5108.01A.01R.1420.07	TCGA.BP.4787.01A.01R.1305.07	TCGA.B0.5706.01A.11R.1541.07	TCGA.CW.5588.01A.01R.1541.07	TCGA.CZ.5456.01A.01R.1503.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.BP.4763.01A.01R.1289.07	TCGA.B8.5165.01A.01R.1420.07	TCGA.AK.3445.01A.02R.1277.07	TCGA.BP.4982.01A.01R.1334.07	TCGA.B0.4836.01A.01R.1305.07	TCGA.B0.5691.01A.11R.1541.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.EU.5905.01A.11R.1672.07	TCGA.BP.5189.01A.02R.1426.07	TCGA.B8.5158.01A.01R.1420.07	TCGA.CW.5583.01A.02R.1541.07	TCGA.CJ.4643.01A.02R.1325.07	TCGA.CW.5580.01A.01R.1672.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.A3.3346.01A.01R.1766.07	TCGA.A3.3316.01A.01R.0864.07	TCGA.CJ.4871.01A.01R.1305.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
AMOTL1	98.73	629.35	108.9	339.14	182.55	234.57	417.77	111.21	122.64	265.87	591.22	138.1	567.1	221.86	555.41	87.03	343.89	454.09	267.73	571.05	447.82	457.25	133.36	14.14	242.88	341.51	35.25	13.12	7.51	0.0	0.54
ANK3	348.71	1457.23	140.04	186.4	283.05	363.56	595.34	486.75	135.24	384.34	1175.27	20.11	1159.07	381.68	1359.57	194.36	249.73	361.04	363.56	1857.6	954.43	1191.69	75.11	49.91	172.65	493.56	17.0	19.97	35.5	0.0	0.02
ASPA	265.87	1322.37	75.11	341.51	129.69	211.31	217.27	332.14	836.53	890.44	603.67	293.07	599.49	532.74	780.44	159.9	559.28	842.36	334.46	872.1	1175.27	733.19	400.71	387.02	470.14	525.39	12.27	63.45	3.72	0.0	0.16
ATP11A	299.25	3515.68	212.78	759.08	417.77	915.51	1378.57	921.88	532.74	941.27	1977.24	241.19	1781.89	1175.27	3874.05	260.38	454.09	1806.78	1388.16	2537.92	1794.29	2319.15	708.18	221.86	830.75	1030.12	117.6	63.0	87.03	242.88	162.14
ATP7B	26.1	218.79	8.92	48.18	31.22	126.12	44.25	68.07	105.89	79.45	100.83	56.28	178.77	66.65	111.21	31.0	90.14	226.54	122.64	139.07	166.73	195.72	114.36	17.13	172.65	103.69	143.01	58.71	39.5	0.0	0.35
AUTS2	158.79	759.08	105.89	368.65	231.32	587.13	332.14	66.65	796.86	175.07	642.59	128.79	733.19	103.69	595.34	37.59	371.22	432.53	358.54	848.22	698.41	356.05	208.38	62.12	231.32	265.87	105.89	155.5	7.22	155.5	332.14
BAG5	417.77	595.34	341.51	432.53	289.02	417.77	420.68	229.72	373.81	323.03	476.71	211.31	441.64	466.88	563.18	191.67	579.04	384.34	412.0	466.88	521.76	532.74	256.78	264.03	358.54	409.15	107.38	139.07	98.73	0.0	0.43
BCL2	170.25	1216.75	96.68	305.55	248.0	327.56	289.02	273.37	131.51	599.49	819.3	249.73	775.05	236.21	575.03	43.02	366.09	785.88	264.03	866.07	785.88	708.18	265.87	52.45	341.51	460.44	26.47	14.14	4.17	0.0	0.45
BSPRY	8.71	53.19	2.68	84.63	7.11	22.59	31.0	3.35	22.59	63.0	169.07	19.97	226.54	8.71	202.66	1.81	63.0	58.3	21.94	229.72	32.59	122.64	5.54	5.32	11.55	75.64	15.11	34.02	74.58	0.0	0.35
BTBD7	128.79	521.76	161.02	234.57	180.02	297.17	356.05	170.25	264.03	309.83	490.14	136.19	497.0	204.07	536.45	111.21	260.38	351.14	307.69	563.18	490.14	353.59	209.84	104.42	312.0	277.2	62.12	82.29	59.97	155.5	150.17
