	TCGA.BH.A1FE.11B.14R.A13Q.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.11P81.1926.SM.5BC53	TCGA.BC.A10R.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.BC.A10U.11A.11R.A131.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.X4EO.1126.SM.4QARQ	GTEX.144GM.1326.SM.5LU5E	GTEX.RWSA.1426.SM.47JXA	TCGA.38.4625.01A.01R.1206.07	TCGA.VN.A88P.01A.11R.A352.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.U4B1.1426.SM.4DXTX	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.144GM.0826.SM.5O98R	GTEX.ZDYS.1226.SM.5IJF3	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.SJXC.2026.SM.4DM6N	GTEX.ZTX8.1026.SM.5EGHD
ATAD5	60.39	47.84	31.9	28.04	2.78	1.51	0.0	2.25	1.57	2.92	3.0	1.27	1.01	0.0	9.2	5.36	14.14	16.88	19.11	5.36	20.41	14.35	10.39	9.41	13.62	8.13	19.97	9.34	10.55	7.22	14.24	7.69	9.85	11.21	11.13	15.0	7.75	9.34	5.92	10.96	16.75	9.06	7.69	3.79
C10orf88	231.32	223.41	232.94	221.86	49.56	34.51	43.32	61.68	28.45	46.84	72.01	22.26	19.53	0.0	110.43	118.43	126.12	157.68	158.79	73.03	119.26	147.06	127.89	125.24	110.43	111.99	148.09	124.37	138.1	96.68	130.6	82.29	106.63	105.15	97.36	130.6	92.05	57.49	84.63	91.41	166.73	115.97	67.59	84.04
C2orf44	175.07	132.44	164.42	182.55	26.47	28.04	22.75	37.85	39.22	41.52	23.93	19.25	10.0	0.0	104.42	96.68	105.89	126.12	120.1	70.51	97.36	84.63	66.65	87.65	81.71	59.55	101.54	113.56	75.64	87.03	85.22	63.45	106.63	73.03	93.35	103.69	84.04	76.71	71.5	72.52	87.03	111.99	47.84	81.71
C9orf85	429.54	351.14	387.02	387.02	98.73	115.97	59.13	92.05	99.43	109.66	99.43	91.41	53.19	0.0	226.54	314.17	336.79	426.57	497.0	239.52	387.02	305.55	273.37	320.8	299.25	253.23	392.44	348.71	414.87	253.23	358.54	193.01	346.29	312.0	339.14	269.6	183.82	152.28	223.41	291.04	316.37	301.33	320.8	277.2
CCNA2	90.14	75.11	61.68	134.3	8.06	6.52	2.81	10.16	4.28	10.39	2.36	0.97	2.03	0.0	15.56	17.64	47.17	88.88	94.67	14.45	90.77	54.72	33.06	43.63	29.48	20.71	27.84	31.0	30.78	22.43	52.82	10.24	12.64	18.84	25.54	22.75	10.55	11.47	6.84	11.47	17.9	17.64	11.38	9.63
CPSF3	718.08	480.04	884.29	665.29	256.78	232.94	223.41	277.2	246.28	293.07	248.0	297.17	253.23	0.0	366.09	353.59	395.18	503.95	514.56	320.8	376.41	435.55	368.65	476.71	346.29	381.68	414.87	450.94	540.19	336.79	460.44	327.56	417.77	392.44	353.59	426.57	403.5	389.72	400.71	486.75	529.06	334.46	392.44	414.87
EED	669.92	733.19	660.68	603.67	140.04	105.15	95.34	122.64	137.14	113.56	158.79	103.69	82.29	0.0	318.57	208.38	414.87	486.75	376.41	197.09	511.0	312.0	363.56	287.01	389.72	314.17	389.72	325.29	376.41	301.33	435.55	194.36	279.14	320.8	351.14	363.56	275.28	307.69	228.13	231.32	387.02	260.38	224.97	269.6
FANCL	934.76	1037.29	819.3	638.15	170.25	273.37	104.42	172.65	157.68	239.52	242.88	123.5	183.82	0.0	473.41	376.41	595.34	579.04	521.76	325.29	559.28	409.15	395.18	435.55	400.71	591.22	473.41	392.44	463.65	318.57	476.71	279.14	336.79	366.09	480.04	435.55	299.25	255.0	291.04	332.14	480.04	351.14	384.34	253.23
FBXO48	44.57	61.25	73.03	63.0	8.25	13.22	11.3	6.89	9.7	16.75	9.48	10.71	8.25	0.0	11.55	20.71	17.77	24.99	20.86	12.09	18.43	17.25	11.38	20.56	17.38	10.96	24.46	15.22	15.68	16.88	17.25	11.3	14.89	15.68	12.36	22.43	12.09	10.31	12.36	12.18	17.25	14.45	14.35	8.38
IFT74	507.46	612.11	529.06	412.0	106.63	107.38	18.7	110.43	81.14	127.89	80.57	112.77	40.36	0.0	279.14	199.85	303.44	343.89	309.83	171.45	267.73	303.44	267.73	287.01	271.48	287.01	314.17	277.2	248.0	183.82	251.48	212.78	256.78	228.13	120.94	312.0	244.57	182.55	234.57	217.27	307.69	241.19	241.19	226.54
