	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.P4QT.1426.SM.3NMCX	GTEX.147F3.1926.SM.5SIB9	GTEX.Q734.1126.SM.48TZY	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.PWN1.1426.SM.48TDF	GTEX.146FQ.1926.SM.5NQBY	GTEX.14E6E.1526.SM.5RQIG	GTEX.R53T.1326.SM.48FCQ	GTEX.13S86.1626.SM.5Q5C5	GTEX.ZYWO.1626.SM.5E44H	GTEX.1211K.1726.SM.5FQUJ	GTEX.132AR.2726.SM.5PNVN	GTEX.11EM3.1526.SM.5A5KN	GTEX.139YR.2126.SM.5KM11	GTEX.S4UY.0826.SM.4AD4Z	GTEX.11DXZ.1726.SM.5H12M	GTEX.WOFM.2026.SM.4OOSQ	GTEX.QCQG.1626.SM.48U26	GTEX.PX3G.1426.SM.48U1J	GTEX.ZT9W.1826.SM.51MQX	GTEX.ZYW4.1626.SM.5GIE6	GTEX.148VI.1226.SM.5RQJR	GTEX.12696.1526.SM.5EGL6	GTEX.ZAB4.1226.SM.5CVN5	TCGA.CN.4726.01A.01R.1436.07	TCGA.CN.6998.01A.23R.2016.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.139TS.1426.SM.5IFJD	GTEX.139YR.0226.SM.5IFEM	GTEX.12KS4.1326.SM.5LUB3	GTEX.VUSG.0126.SM.4KL1X	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.XV7Q.2426.SM.4BRV8
AC016586.1	17.9	2.18	2.23	4.74	4.94	7.69	2.12	5.45	7.34	11.82	2.07	4.24	3.53	0.67	1.58	12.83	1.3	9.41	1.85	13.83	5.02	7.57	7.06	7.0	6.31	10.16	15.45	5.68	6.84	0.45	0.45	0.65	1.57	0.0	0.27	0.57	0.0	0.0	0.0	0.92
AC132186.1	0.0	0.91	0.0	0.89	1.03	1.77	0.0	0.67	1.57	2.84	0.84	0.0	0.54	0.06	0.0	2.23	0.0	1.85	0.0	2.81	1.03	0.0	0.65	2.12	0.51	6.84	16.63	11.73	6.21	0.0	0.0	1.51	0.0	1.19	0.74	0.99	0.2	0.0	0.17	0.0
ACP6	438.59	246.28	312.0	295.11	348.71	363.56	191.67	325.29	480.04	551.56	480.04	228.13	346.29	289.02	239.52	463.65	217.27	454.09	320.8	521.76	409.15	444.72	503.95	518.15	426.57	1199.98	934.76	1059.11	872.1	40.93	23.25	536.45	387.02	500.46	295.11	320.8	218.79	0.0	0.64	54.33
AGAP10	118.43	101.54	63.0	100.83	96.68	171.45	68.07	134.3	285.03	146.03	96.68	63.0	73.03	47.84	57.08	141.02	57.08	94.67	72.52	131.51	124.37	132.44	111.99	50.27	45.53	379.04	202.66	395.18	409.15	4.5	6.84	100.83	13.62	149.12	25.72	74.58	20.86	0.0	0.58	23.08
AGAP9	74.58	37.05	12.83	27.84	59.97	63.45	39.5	87.03	93.35	52.82	37.85	48.87	25.17	7.06	14.78	96.68	23.42	53.57	39.79	32.82	54.33	48.52	47.84	46.18	10.47	234.57	181.28	303.44	348.71	0.0	21.32	26.47	1.73	65.72	21.47	44.57	7.28	0.0	0.77	14.03
AL591479.1	39.22	14.14	15.8	41.52	20.41	19.25	12.0	21.78	49.56	47.84	34.75	27.64	17.51	5.06	16.88	37.32	6.46	24.63	6.78	35.0	18.03	53.95	73.54	36.79	21.94	88.26	60.39	48.52	36.79	4.82	8.99	18.84	6.26	12.83	6.46	2.18	7.51	0.0	0.01	15.22
ALKBH3	460.44	329.84	341.51	325.29	579.04	460.44	241.19	395.18	733.19	426.57	514.56	444.72	356.05	229.72	215.77	483.38	185.11	665.29	193.01	466.88	559.28	591.22	607.87	669.92	414.87	708.18	995.0	1119.56	1096.5	417.77	432.53	325.29	620.67	281.09	297.17	603.67	118.43	0.0	0.23	204.07
ANAPC2	967.76	575.03	559.28	759.08	764.36	819.3	607.87	567.1	928.3	884.29	603.67	559.28	591.22	555.41	423.61	1037.29	381.68	624.99	616.37	674.59	733.19	791.35	674.59	872.1	674.59	1529.73	1685.71	1605.83	1199.98	312.0	314.17	540.19	325.29	503.95	521.76	490.14	435.55	0.0	0.91	277.2
C5orf55	101.54	26.47	47.17	41.22	64.8	42.71	28.86	59.97	109.66	74.58	45.21	49.21	27.25	8.06	28.65	42.71	22.92	55.89	24.28	61.25	60.82	72.01	77.25	96.68	49.56	61.25	92.05	108.9	82.87	37.05	49.56	50.27	100.13	140.04	30.78	58.71	16.27	0.0	0.13	42.41
C6orf226	426.57	162.14	314.17	178.77	346.29	220.32	165.57	242.88	381.68	336.79	205.5	229.72	119.26	130.6	142.01	217.27	76.17	293.07	201.25	297.17	223.41	339.14	251.48	447.82	199.85	591.22	785.88	540.19	575.03	84.04	120.1	454.09	555.41	397.93	249.73	346.29	124.37	0.0	0.45	129.69
