	TCGA.DK.A2I2.01A.11R.A180.07	TCGA.G2.A2EJ.01A.11R.A180.07	TCGA.DS.A3LQ.01A.21R.A21T.07	TCGA.VS.A9UU.01A.11R.A42T.07	TCGA.L5.A4OF.01A.11R.A260.31	TCGA.LN.A4A3.01A.11R.A260.31	TCGA.VR.A8ER.01A.11R.A36D.31	TCGA.LN.A7HW.01A.22R.A354.31	TCGA.IG.A3I8.01A.11R.A24K.31	TCGA.L5.A8NH.01A.11R.A37I.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.L5.A8NG.01A.11R.A37I.31	TCGA.L5.A4OW.01A.11R.A28J.31	TCGA.L5.A88Z.01A.11R.A36D.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.CN.6988.01A.11R.1915.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.BB.A5HZ.01A.21R.A28V.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.Y5LM.0426.SM.4VBRO	GTEX.13CF3.0426.SM.5IJEU	TCGA.33.4589.01A.01R.1443.07	GTEX.12WSL.2126.SM.5GCNG
AC092811.1	0.35	2.1	1.46	2.81	46.5	19.25	18.16	23.42	40.07	48.87	12.36	36.79	60.82	17.38	6.57	3.08	2.84	1.43	2.34	3.11	0.0	0.27	2.61	0.0	5.06
AKAP11	102.25	154.42	77.25	91.41	212.78	198.47	211.31	221.86	264.03	234.57	195.72	305.55	281.09	153.34	146.03	134.3	140.04	110.43	72.52	65.72	38.67	83.45	117.6	41.22	172.65
AL627309.1	379.04	68.55	98.73	97.36	1583.71	1628.26	1030.12	656.11	679.29	1477.58	2303.12	830.75	961.07	1286.18	409.15	289.02	258.57	117.6	120.1	12.27	11.82	29.27	1605.83	5.68	323.03
ANKRD49	231.32	295.11	218.79	221.86	514.56	218.79	295.11	476.71	438.59	316.37	381.68	540.19	503.95	334.46	271.48	320.8	144.01	151.22	148.09	92.7	15.22	115.97	143.01	215.77	231.32
AP2A2	629.35	507.46	500.46	406.31	1909.85	612.11	921.88	791.35	928.3	1127.35	708.18	1407.55	1111.82	1268.46	802.41	423.61	454.09	638.15	356.05	599.49	995.0	389.72	656.11	291.04	679.29
ARHGAP1	1199.98	1208.34	890.44	1081.39	1617.0	1662.49	1923.14	2224.63	1745.2	1540.37	2193.99	1857.6	1583.71	1697.45	2335.28	1378.57	2224.63	1757.34	1127.35	559.28	591.22	450.94	1447.15	447.82	1175.27
ASH1L	135.24	137.14	170.25	143.01	373.81	358.54	291.04	285.03	325.29	444.72	273.37	435.55	314.17	341.51	269.6	287.01	143.01	111.99	98.04	55.49	24.11	33.78	151.22	16.03	283.05
BMPR1A	73.03	108.14	83.45	49.21	277.2	197.09	187.71	124.37	224.97	191.67	89.51	237.86	139.07	183.82	171.45	146.03	83.45	105.89	54.33	36.27	33.54	60.82	131.51	59.97	348.71
BTN2A1	202.66	231.32	114.36	151.22	688.78	366.09	387.02	486.75	503.95	890.44	312.0	595.34	693.58	406.31	387.02	218.79	187.71	211.31	140.04	102.25	69.03	68.07	571.05	82.87	215.77
C19orf55	120.94	120.1	201.25	231.32	633.73	473.41	414.87	438.59	555.41	514.56	414.87	669.92	503.95	450.94	368.65	260.38	114.36	148.09	132.44	30.12	29.7	29.91	182.55	20.11	289.02
