	TCGA.CF.A3MH.01A.11R.A20F.07	TCGA.DK.A3IM.01A.11R.A20F.07	TCGA.G2.A3IB.01A.11R.A20F.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.C4.A0F1.01A.11R.A034.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.C5.A7CK.01A.11R.A32P.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.EK.A2RE.01A.11R.A18M.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.LN.A7HV.01A.21R.A354.31	TCGA.LN.A49O.01A.11R.A24K.31	TCGA.VR.AA7D.01A.11R.A406.31	TCGA.IG.A6QS.01A.12R.A336.31	TCGA.CV.A45X.01A.21R.A24Z.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CQ.7063.01A.11R.2403.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.P3.A6T3.01A.11R.A34R.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.CR.5247.01A.01R.2016.07	TCGA.CV.5439.01A.01R.1686.07	TCGA.C9.A480.01A.12R.A24H.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.7252.01A.11R.2016.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.HD.7753.01A.11R.2081.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.T2.A6X2.01A.12R.A34R.07	TCGA.CN.4729.01A.01R.1436.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.QK.A8ZB.01A.11R.A39I.07	TCGA.CR.7372.01A.11R.2016.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.BB.A5HZ.01A.21R.A28V.07	TCGA.CN.5355.01A.01R.1436.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CN.A63V.01A.11R.A466.07	TCGA.HD.7832.01A.11R.2132.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CV.5436.01A.01R.1514.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.F7.A61S.01A.11R.A28V.07	TCGA.UF.A71E.01A.31R.A34R.07	TCGA.CR.7401.01A.11R.2016.07	TCGA.CQ.6229.01A.11R.1915.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.A45V.01A.21R.A24Z.07	TCGA.CV.7236.01A.11R.2016.07	TCGA.CQ.A4C6.01A.11R.A24Z.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.CV.6952.01A.11R.1915.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CN.A6V3.01A.12R.A34R.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.CN.A499.01A.11R.A24H.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.ZP.A9D0.01A.11R.A37K.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.77.8130.01A.11R.2247.07
AAED1	16.27	113.56	145.02	303.44	158.79	26.28	229.72	232.94	220.32	291.04	92.05	536.45	356.05	624.99	77.25	173.85	111.21	164.42	136.19	122.64	70.01	133.36	283.05	129.69	194.36	157.68	198.47	109.66	69.03	147.06	45.53	228.13	211.31	157.68	193.01	136.19	229.72	94.67	105.89	199.85	148.09	327.56	127.0	221.86	406.31	341.51	127.89	88.26	251.48	339.14	145.02	237.86	164.42	109.66	165.57	144.01	99.43	221.86	66.65	420.68	285.03	229.72	232.94	82.87	90.77	441.64	118.43	177.53	339.14	111.21	99.43	13.42	56.28	114.36
AGTPBP1	17.9	191.67	63.45	162.14	118.43	102.25	265.87	229.72	198.47	229.72	104.42	289.02	242.88	157.68	92.05	301.33	73.03	105.15	59.13	47.84	134.3	110.43	122.64	103.69	60.82	142.01	115.16	68.55	144.01	211.31	100.13	52.08	144.01	93.35	81.71	139.07	141.02	63.89	70.51	96.68	80.57	180.02	115.16	151.22	215.77	157.68	108.9	93.35	84.04	267.73	194.36	136.19	77.79	106.63	77.79	128.79	106.63	124.37	106.63	150.17	197.09	71.0	98.73	32.59	68.55	197.09	85.82	144.01	312.0	123.5	97.36	31.67	29.91	66.65
ALG2	236.21	688.78	591.22	708.18	371.22	253.23	934.76	974.5	819.3	1199.98	387.02	743.43	642.59	941.27	476.71	791.35	587.13	571.05	423.61	346.29	669.92	343.89	860.08	591.22	607.87	480.04	624.99	356.05	486.75	1051.79	417.77	563.18	890.44	497.0	571.05	529.06	813.63	334.46	507.46	529.06	460.44	890.44	941.27	518.15	1286.18	1388.16	454.09	551.56	563.18	723.08	454.09	713.11	890.44	738.29	679.29	603.67	567.1	591.22	466.88	902.89	1369.04	497.0	1135.2	279.14	361.04	595.34	620.67	567.1	830.75	503.95	579.04	414.87	497.0	285.03
ANAPC2	301.33	884.29	463.65	620.67	255.0	381.68	902.89	1183.45	629.35	934.76	848.22	941.27	1088.92	1427.22	563.18	312.0	514.56	669.92	460.44	221.86	620.67	244.57	571.05	567.1	429.54	381.68	748.61	293.07	555.41	791.35	633.73	318.57	642.59	638.15	373.81	463.65	607.87	353.59	420.68	397.93	392.44	551.56	603.67	503.95	981.29	902.89	466.88	543.96	599.49	738.29	314.17	466.88	444.72	872.1	417.77	435.55	591.22	575.03	551.56	616.37	723.08	332.14	567.1	351.14	363.56	579.04	518.15	460.44	669.92	463.65	567.1	417.77	403.5	291.04
ANP32B	2047.0	9540.5	4123.49	13968.57	5517.27	4671.57	11584.24	8598.28	7081.29	10225.32	4802.93	5954.47	7382.04	7081.29	2018.8	1832.01	4736.79	3257.52	3124.78	2367.9	3928.15	2627.46	6983.79	3419.52	5292.48	4543.8	6561.36	2434.5	3060.45	4607.24	1870.53	2777.33	5366.37	4038.61	2855.44	3257.52	5711.87	2032.85	2835.7	3928.15	3639.7	5831.91	7280.4	5517.27	11035.54	8247.98	4095.0	3235.01	5872.48	7130.55	3303.0	4802.93	6471.02	6792.79	2997.45	4388.98	4481.23	5219.6	3212.66	4038.61	5594.3	3614.55	5255.91	2895.31	2400.97	5751.61	4903.87	4298.64	8598.28	2682.69	3639.7	1081.39	1477.58	3168.41
ASB6	165.57	450.94	348.71	1151.06	239.52	414.87	463.65	336.79	414.87	291.04	514.56	543.96	728.11	769.69	406.31	265.87	264.03	371.22	256.78	182.55	339.14	147.06	483.38	387.02	283.05	299.25	283.05	178.77	389.72	480.04	305.55	206.94	423.61	325.29	325.29	307.69	457.25	234.57	258.57	273.37	265.87	450.94	521.76	255.0	674.59	708.18	269.6	297.17	260.38	624.99	356.05	334.46	381.68	376.41	305.55	334.46	412.0	412.0	373.81	503.95	543.96	249.73	361.04	205.5	366.09	381.68	353.59	348.71	551.56	307.69	281.09	98.73	108.14	211.31
BRD3	106.63	878.17	206.94	295.11	194.36	111.21	483.38	387.02	197.09	353.59	287.01	708.18	684.02	417.77	155.5	132.44	78.89	314.17	172.65	113.56	197.09	156.59	480.04	231.32	128.79	183.82	303.44	101.54	220.32	277.2	97.36	139.07	384.34	157.68	236.21	205.5	186.4	156.59	241.19	147.06	154.42	525.39	228.13	201.25	551.56	575.03	154.42	138.1	124.37	543.96	156.59	211.31	99.43	366.09	202.66	198.47	166.73	281.09	154.42	283.05	387.02	236.21	191.67	106.63	232.94	339.14	279.14	241.19	348.71	204.07	165.57	103.69	87.03	209.84
C9orf114	591.22	1806.78	1378.57	3235.01	1015.93	500.46	1519.15	1991.0	1457.23	1977.24	1417.35	1508.65	1709.26	2004.85	638.15	521.76	896.64	1340.84	836.53	591.22	878.17	651.58	1769.57	1051.79	1111.82	1359.57	1540.37	463.65	638.15	1397.83	595.34	543.96	1331.57	1378.57	698.41	915.51	1104.13	583.07	854.13	854.13	830.75	1167.14	1151.06	1259.69	3467.27	2224.63	928.3	934.76	1143.1	2004.85	785.88	947.83	1304.15	1617.0	1008.9	866.07	1233.75	1199.98	961.07	1819.35	1674.06	796.86	1001.93	543.96	518.15	1183.45	1073.91	860.08	1250.98	1073.91	915.51	476.71	376.41	902.89
C9orf40	25.91	242.88	88.26	242.88	92.7	88.88	336.79	239.52	303.44	228.13	267.73	429.54	211.31	376.41	27.44	62.56	76.17	68.07	72.52	48.87	117.6	34.75	105.15	113.56	74.06	120.94	215.77	52.45	80.01	164.42	58.71	87.65	89.51	105.89	38.12	69.52	127.89	24.11	74.06	45.85	82.87	108.14	169.07	140.04	457.25	209.84	57.49	84.63	92.05	135.24	81.71	94.01	117.6	157.68	63.45	88.88	73.54	42.71	81.71	141.02	114.36	59.55	81.14	86.43	48.52	143.01	112.77	148.09	373.81	69.52	72.52	38.67	49.21	45.21
C9orf41	64.8	329.84	206.94	293.07	119.26	318.57	371.22	144.01	242.88	189.02	86.43	400.71	316.37	356.05	104.42	183.82	134.3	255.0	157.68	82.87	234.57	108.9	305.55	206.94	158.79	186.4	111.99	100.13	202.66	212.78	209.84	103.69	205.5	151.22	189.02	224.97	211.31	105.89	172.65	155.5	139.07	228.13	208.38	100.83	466.88	231.32	127.0	199.85	132.44	172.65	211.31	229.72	166.73	170.25	157.68	182.55	181.28	110.43	193.01	224.97	208.38	180.02	209.84	70.51	141.02	253.23	241.19	193.01	361.04	187.71	206.94	81.14	55.1	99.43
