	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.LN.A4A3.01A.11R.A260.31	TCGA.VR.A8ER.01A.11R.A36D.31	TCGA.LN.A7HW.01A.22R.A354.31	TCGA.IG.A3I8.01A.11R.A24K.31	TCGA.LN.A4A5.01A.21R.A260.31	TCGA.L5.A8NH.01A.11R.A37I.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.LN.A4MQ.01A.11R.A28J.31	TCGA.L5.A88Z.01A.11R.A36D.31	TCGA.IG.A3YA.01A.11R.A24K.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.CN.6988.01A.11R.1915.07	TCGA.UF.A71D.01A.12R.A34R.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.F7.A61V.01A.11R.A28V.07	TCGA.BB.A5HZ.01A.21R.A28V.07	TCGA.CN.A641.01A.11R.A30B.07	TCGA.CV.7250.01A.11R.2016.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	GTEX.14C38.1526.SM.5RQJ7	GTEX.13CF3.0426.SM.5IJEU	TCGA.43.6143.01A.11R.1820.07	GTEX.12WSL.2126.SM.5GCNG
ANGEL2	170.25	432.53	361.04	511.0	444.72	529.06	514.56	231.32	633.73	660.68	466.88	457.25	289.02	256.78	271.48	108.14	191.67	141.02	197.09	285.03	146.03	100.13	85.22	262.2	514.56	228.13
ANKRA2	262.2	389.72	358.54	279.14	417.77	366.09	262.2	356.05	432.53	518.15	420.68	638.15	291.04	218.79	167.9	226.54	118.43	181.28	264.03	353.59	262.2	159.9	104.42	137.14	351.14	343.89
ARHGAP35	392.44	507.46	603.67	620.67	575.03	559.28	429.54	242.88	679.29	934.76	500.46	629.35	507.46	470.14	241.19	248.0	336.79	231.32	293.07	583.07	275.28	444.72	309.83	387.02	718.08	444.72
BRCA2	77.79	81.14	187.71	121.79	190.34	87.65	102.97	20.41	260.38	226.54	77.25	41.22	32.36	53.95	55.49	11.47	40.64	18.7	76.71	116.78	52.45	19.97	6.89	63.0	137.14	9.2
BRD3	111.21	281.09	555.41	551.56	698.41	450.94	366.09	171.45	460.44	543.96	332.14	353.59	218.79	256.78	232.94	97.36	205.5	154.42	314.17	246.28	106.63	232.94	138.1	138.1	271.48	353.59
BRIP1	71.0	56.28	84.04	114.36	139.07	166.73	59.13	29.91	255.0	221.86	29.7	190.34	46.5	50.98	49.91	21.01	34.02	20.26	45.21	42.71	31.0	22.43	0.74	3.63	147.06	23.25
C4orf46	90.14	143.01	140.04	137.14	187.71	191.67	122.64	60.82	177.53	112.77	89.51	249.73	53.95	69.03	94.01	29.7	72.01	37.32	117.6	91.41	77.79	52.08	13.12	71.5	181.28	112.77
CASC5	59.97	82.87	183.82	165.57	204.07	125.24	142.01	27.84	435.55	301.33	48.52	194.36	25.35	97.36	110.43	20.26	93.35	43.02	54.72	111.21	50.98	22.43	5.36	12.64	206.94	47.17
CNTLN	7.4	48.18	63.0	77.79	147.06	111.21	26.47	32.13	82.87	72.52	50.27	112.77	60.82	70.51	23.59	19.82	63.0	30.12	58.71	65.26	19.68	23.42	29.7	28.65	176.29	42.41
CNTRL	74.06	226.54	226.54	199.85	291.04	318.57	209.84	96.68	299.25	256.78	99.43	249.73	98.04	171.45	136.19	42.11	141.02	77.25	155.5	130.6	39.5	35.0	25.72	98.04	262.2	98.04
CTDSP2	796.86	1594.73	2287.2	1628.26	2682.69	2796.65	1225.22	567.1	3257.52	2178.83	2148.82	3168.41	1844.76	1745.2	1340.84	1081.39	988.12	866.07	1066.48	1427.22	723.08	1059.11	961.07	2520.38	2537.92	2417.67
CUEDC1	493.56	848.22	909.17	921.88	1508.65	1242.34	371.22	193.01	947.83	890.44	559.28	1233.75	633.73	497.0	332.14	189.02	143.01	218.79	122.64	780.44	262.2	305.55	389.72	454.09	1561.89	1015.93
DCAF17	87.65	236.21	193.01	232.94	265.87	312.0	229.72	170.25	406.31	289.02	175.07	201.25	161.02	155.5	140.04	59.13	91.41	106.63	124.37	181.28	71.5	64.34	38.12	80.57	241.19	145.02
EPM2AIP1	47.5	146.03	127.0	149.12	181.28	187.71	137.14	110.43	172.65	175.07	130.6	211.31	214.27	90.77	92.05	82.87	52.45	55.1	58.71	140.04	52.08	55.1	64.34	186.4	189.02	136.19
FANCC	100.83	159.9	246.28	145.02	273.37	242.88	220.32	70.51	241.19	181.28	149.12	158.79	91.41	101.54	75.11	36.79	105.15	65.26	154.42	70.51	30.78	34.26	99.43	47.84	301.33	76.71
FBXO7	642.59	1001.93	1594.73	1519.15	1583.71	1721.16	1096.5	848.22	1331.57	1242.34	1199.98	1487.87	1498.22	1073.91	1119.56	836.53	1183.45	1167.14	1407.55	1508.65	1008.9	1111.82	1015.93	941.27	1561.89	1397.83
GTF3C3	147.06	457.25	728.11	454.09	563.18	607.87	373.81	395.18	647.07	497.0	409.15	463.65	307.69	336.79	346.29	208.38	229.72	232.94	248.0	387.02	132.44	191.67	72.01	246.28	848.22	283.05
