	TCGA.A2.A0EP.01A.52R.A22U.07	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.BH.A8G0.01A.11R.A352.07	TCGA.AQ.A7U7.01A.22R.A352.07	TCGA.XX.A899.01A.11R.A36F.07	TCGA.A2.A0CO.01A.13R.A22K.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.S32W.1926.SM.4AD63	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.ZVP2.0626.SM.51MSO	GTEX.Z9EW.0426.SM.5CVM9	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.14E1K.0326.SM.5S2PE	GTEX.13PVR.0126.SM.5S2PY	GTEX.14753.1626.SM.5NQ9L	GTEX.Q734.0626.SM.2I3EF
RIMKLB	532.74	183.82	183.82	620.67	624.99	384.34	432.53	181.28	45.85	7.82	85.82	42.71	20.26	24.99	20.71	21.47	64.8	19.68	62.12	37.32	45.21	40.64	17.0	175.07	7.4	22.59	13.83	371.22
RNF122	463.65	194.36	194.36	147.06	181.28	165.57	1073.91	277.2	94.67	30.78	71.0	124.37	119.26	129.69	74.58	61.25	176.29	64.8	84.63	62.12	36.27	41.52	82.29	258.57	50.27	74.58	155.5	571.05
RP11-830F9.6	24.11	5.77	5.77	10.71	12.83	7.94	21.94	3.79	1.22	0.0	2.86	1.2	1.71	1.87	0.71	0.0	3.79	0.3	2.16	1.13	2.48	2.32	0.27	1.75	2.05	1.16	1.28	27.25
SEL1L3	669.92	289.02	289.02	536.45	633.73	543.96	486.75	1008.9	237.86	371.22	1259.69	988.12	74.58	249.73	147.06	229.72	1216.75	27.84	325.29	490.14	215.77	148.09	166.73	1259.69	41.81	120.1	35.5	4543.8
SERTAD3	1127.35	759.08	759.08	693.58	981.29	708.18	1208.34	713.11	490.14	251.48	540.19	281.09	346.29	281.09	450.94	170.25	698.41	152.28	148.09	336.79	346.29	346.29	229.72	780.44	202.66	94.01	271.48	836.53
SETD4	258.57	283.05	283.05	379.04	287.01	301.33	246.28	149.12	136.19	57.08	118.43	140.04	56.68	70.01	82.29	75.64	132.44	88.26	75.64	118.43	101.54	103.69	59.97	158.79	82.87	50.63	37.59	432.53
SLAMF1	195.72	52.08	52.08	59.13	194.36	114.36	108.9	41.52	20.86	2.34	10.24	31.67	6.52	3.44	36.79	21.78	59.97	6.67	21.63	2.46	6.01	35.0	9.85	58.71	5.32	5.23	2.89	223.41
SMAD9	52.82	36.01	36.01	63.45	62.12	48.18	60.39	68.55	21.32	9.41	11.04	8.13	5.28	7.63	7.34	14.14	40.93	0.2	11.21	11.13	7.4	7.88	3.17	28.45	16.51	4.31	0.33	211.31
SP1	571.05	642.59	642.59	629.35	819.3	743.43	595.34	620.67	295.11	156.59	346.29	181.28	262.2	157.68	341.51	348.71	633.73	191.67	507.46	258.57	237.86	420.68	209.84	314.17	283.05	241.19	183.82	915.51
SPRY1	3146.52	1674.06	1674.06	1685.71	2303.12	1709.26	3982.99	1051.79	305.55	146.03	579.04	275.28	175.07	116.78	140.04	244.57	414.87	155.5	244.57	181.28	135.24	206.94	164.42	764.36	164.42	239.52	260.38	2047.0
SRSF6	2367.9	2351.53	2351.53	3190.46	2816.11	2485.67	2384.37	1870.53	1167.14	633.73	1721.16	1508.65	981.29	1225.22	1030.12	1119.56	2758.13	1572.76	1457.23	1628.26	1331.57	1096.5	860.08	2018.8	1437.15	1167.14	612.11	4038.61
STK39	529.06	543.96	543.96	567.1	339.14	698.41	486.75	146.03	26.67	15.45	154.42	37.32	9.06	18.43	20.11	16.63	21.94	14.78	19.97	52.08	7.51	10.96	7.11	138.1	8.19	13.93	8.06	435.55
SYNGAP1	237.86	264.03	264.03	305.55	688.78	480.04	397.93	175.07	72.52	15.68	117.6	39.79	31.45	44.89	31.0	57.89	41.52	25.35	61.25	65.72	43.32	64.8	19.39	226.54	28.24	26.67	10.79	651.58
TAS2R5	11.55	13.62	13.62	18.16	25.72	21.32	18.29	3.35	6.16	0.0	4.78	5.45	0.19	0.0	0.0	1.51	3.76	1.87	0.0	0.89	1.23	5.54	1.43	5.77	1.38	1.73	0.0	37.59
TBKBP1	242.88	115.16	115.16	236.21	218.79	145.02	226.54	134.3	34.75	11.38	47.5	38.67	15.34	26.47	10.0	43.02	67.59	25.72	34.75	36.01	28.04	31.45	16.15	64.34	37.05	18.7	12.55	283.05
TCEAL7	108.9	102.25	102.25	182.55	128.79	88.26	93.35	55.1	25.91	10.79	12.93	10.63	21.63	20.41	15.34	16.51	31.9	8.92	5.54	15.91	8.51	17.64	13.62	15.8	8.58	8.92	12.27	159.9
TMC8	1059.11	248.0	248.0	521.76	1023.0	642.59	486.75	358.54	84.04	9.78	99.43	135.24	11.04	46.5	57.49	155.5	173.85	22.26	198.47	65.26	49.56	110.43	58.3	177.53	47.17	53.95	41.22	954.43
TMEM44	373.81	173.85	173.85	376.41	273.37	299.25	503.95	187.71	87.03	51.71	120.94	103.69	50.63	87.65	73.03	106.63	127.89	63.0	52.45	56.28	88.88	110.43	68.07	131.51	56.28	58.3	27.64	363.56
TNKS1BP1	3212.66	3467.27	3467.27	2956.17	2855.44	2335.28	3018.3	3190.46	1594.73	988.12	2434.5	1806.78	1322.37	1857.6	1909.85	2367.9	4388.98	1662.49	2224.63	1721.16	1447.15	2555.58	1175.27	2816.11	1674.06	1340.84	1044.52	2148.82
TPRN	444.72	579.04	579.04	595.34	759.08	669.92	679.29	473.41	346.29	218.79	693.58	363.56	145.02	327.56	271.48	281.09	928.3	202.66	426.57	273.37	429.54	312.0	273.37	336.79	293.07	264.03	186.4	339.14
TPRXL	3.99	8.51	8.51	4.66	3.47	6.89	5.11	6.67	0.38	0.0	0.0	0.0	1.87	0.0	0.0	0.0	9.48	0.0	1.85	1.62	1.71	0.0	0.0	0.0	1.73	0.0	0.0	11.64
TREM2	2178.83	961.07	961.07	2351.53	825.0	603.67	555.41	158.79	87.65	53.95	34.75	59.97	22.26	105.15	22.1	54.33	180.02	14.78	58.71	127.0	32.13	35.5	108.14	127.0	18.16	50.98	8.58	1697.45
UBQLNL	8.85	16.39	16.39	6.94	13.62	10.63	17.51	4.9	4.21	1.04	2.01	4.5	2.61	1.06	0.66	2.86	7.63	0.45	8.99	1.85	1.93	4.46	0.0	13.22	3.92	3.38	3.44	37.32
UNC5C	35.76	34.75	34.75	44.57	43.63	35.5	35.76	30.78	4.35	3.47	17.38	10.47	6.67	6.84	2.56	8.32	6.73	2.68	9.13	7.28	2.1	5.54	3.66	23.42	5.45	2.68	3.72	98.04
VAMP2	1896.65	1175.27	1175.27	2209.26	2335.28	1806.78	1540.37	1233.75	638.15	305.55	909.17	540.19	403.5	435.55	426.57	612.11	1286.18	429.54	607.87	595.34	703.28	753.83	454.09	1059.11	629.35	647.07	791.35	2004.85
VN1R1	14.45	15.22	15.22	26.86	55.89	17.0	15.34	7.88	0.37	0.0	1.6	0.0	0.92	1.11	0.09	1.1	7.06	0.28	0.91	2.92	2.48	0.27	1.0	2.81	2.92	0.0	5.63	19.68
ZFPM2	86.43	70.51	70.51	85.82	87.65	71.0	63.0	88.26	21.94	12.74	45.53	26.67	26.1	28.24	11.82	22.59	41.22	5.11	14.24	28.86	6.46	16.15	12.74	31.0	6.06	10.88	15.34	57.49
ZG16B	1417.35	1963.57	1963.57	3467.27	3325.99	896.64	5183.54	409.15	31.22	10.47	22.59	928.3	74.06	35.5	10.16	18.84	1437.15	18.56	17.38	27.25	23.25	214.27	2.48	30.78	3.56	18.97	5.73	262.2
ZNF175	111.21	87.65	87.65	115.97	145.02	100.83	114.36	49.91	24.63	8.38	48.18	45.85	22.43	11.82	35.0	34.26	59.55	38.12	49.56	38.12	41.81	61.25	26.86	27.84	16.27	20.41	3.66	258.57
ZNF256	89.51	88.26	88.26	105.15	164.42	99.43	84.04	44.89	11.73	4.1	45.53	12.45	25.54	12.93	6.67	23.93	19.53	5.68	11.82	11.73	6.67	15.34	8.13	23.08	17.77	11.82	7.63	33.3
ZNF502	45.53	41.81	41.81	67.12	46.84	67.59	47.84	31.9	12.55	2.32	19.97	12.0	7.11	18.03	7.28	21.16	11.82	7.0	8.32	13.42	14.45	26.1	6.84	42.41	8.0	8.19	1.64	82.87
ZNF579	242.88	320.8	320.8	293.07	195.72	277.2	264.03	165.57	71.0	26.86	183.82	159.9	44.25	75.11	29.7	108.14	371.22	120.1	137.14	114.36	93.35	142.01	40.93	105.89	42.11	102.97	29.7	307.69
ZNF607	59.97	127.89	127.89	94.67	91.41	67.12	80.01	24.46	9.56	2.84	21.47	13.42	0.83	2.97	0.1	3.96	13.72	0.67	4.39	15.34	2.73	7.22	1.38	16.39	15.0	7.28	1.93	102.97
ZNF625-ZNF20	46.84	71.0	71.0	77.25	58.3	56.28	45.85	26.67	17.64	17.13	31.45	18.43	0.0	16.03	8.71	6.78	19.53	16.03	12.09	11.91	10.55	14.03	2.58	26.1	4.62	0.61	8.45	102.25
ZSCAN18	1111.82	830.75	830.75	1286.18	1936.53	830.75	1757.34	819.3	199.85	43.32	403.5	283.05	149.12	140.04	32.59	283.05	297.17	273.37	231.32	68.55	89.51	144.01	45.85	575.03	289.02	84.63	158.79	1175.27
