	TCGA.A2.A0EP.01A.52R.A22U.07	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.BH.A8G0.01A.11R.A352.07	TCGA.AQ.A7U7.01A.22R.A352.07	TCGA.XX.A899.01A.11R.A36F.07	TCGA.A2.A0CO.01A.13R.A22K.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.S32W.1926.SM.4AD63	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.ZVP2.0626.SM.51MSO	GTEX.Z9EW.0426.SM.5CVM9	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.14E1K.0326.SM.5S2PE	GTEX.13PVR.0126.SM.5S2PY	GTEX.14753.1626.SM.5NQ9L	GTEX.Q734.0626.SM.2I3EF
CLECL1	194.36	57.08	57.08	104.42	161.02	90.14	57.08	63.45	3.89	18.97	37.85	36.01	18.43	10.47	13.72	35.0	70.01	11.38	41.81	10.16	62.12	21.01	52.08	31.67	26.67	4.21	21.01	151.22
CPNE7	120.1	406.31	406.31	76.17	180.02	151.22	236.21	80.57	12.0	4.9	21.47	5.02	2.23	6.84	1.28	1.83	75.64	8.78	15.91	11.64	0.61	20.56	2.36	44.89	0.62	15.8	1.16	42.71
CSF1	1151.06	503.95	503.95	507.46	1015.93	769.69	802.41	921.88	239.52	120.1	384.34	231.32	150.17	346.29	395.18	473.41	423.61	178.77	251.48	287.01	156.59	579.04	145.02	660.68	206.94	100.13	65.26	1119.56
CTD-3105H18.14	9.56	13.83	13.83	16.27	10.08	8.85	6.36	11.3	2.51	5.15	7.17	6.73	5.02	4.28	1.48	4.54	12.64	4.66	7.88	5.87	7.51	3.29	1.85	6.41	2.01	1.53	10.63	10.47
CXCR4	7331.05	2777.33	2777.33	4123.49	5791.62	4972.34	4802.93	4575.41	536.45	130.6	974.5	769.69	262.2	356.05	52.45	253.23	1819.35	301.33	406.31	325.29	239.52	647.07	759.08	3018.3	406.31	363.56	693.58	5594.3
CYR61	14065.74	3419.52	3419.52	10014.87	6471.02	5441.3	10733.74	8305.36	1104.13	417.77	3103.19	607.87	1322.37	4152.18	312.0	497.0	3372.43	420.68	551.56	551.56	825.0	127.89	1781.89	7230.1	1059.11	988.12	3540.14	13681.08
CYSLTR1	153.34	71.5	71.5	153.34	109.66	87.65	146.03	55.49	14.45	8.38	23.25	20.26	10.88	11.64	15.56	22.26	35.5	4.46	24.63	6.57	6.78	12.83	6.41	25.54	15.11	6.73	6.01	480.04
DENND3	514.56	166.73	166.73	397.93	473.41	563.18	363.56	260.38	90.14	19.53	99.43	82.87	52.08	63.45	91.41	155.5	291.04	42.41	255.0	77.79	68.07	77.79	57.89	327.56	28.65	82.87	83.45	1175.27
DLG4	358.54	249.73	249.73	420.68	299.25	503.95	387.02	195.72	68.55	24.99	71.5	84.63	30.78	52.82	23.59	46.5	201.25	38.95	69.52	55.1	34.51	61.25	34.02	157.68	43.63	44.89	44.57	995.0
DMPK	551.56	441.64	441.64	1059.11	1030.12	1088.92	679.29	246.28	189.02	41.52	309.83	176.29	57.89	101.54	22.43	63.45	141.02	166.73	96.01	159.9	83.45	143.01	73.03	249.73	102.97	64.34	39.5	769.69
