	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A4NN.01A.11R.A28V.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.CC.A8HT.01A.11R.A36F.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.CC.A9FU.01A.11R.A37K.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.DD.A113.11A.12R.A131.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.Q734.0326.SM.48U15	GTEX.14753.1626.SM.5NQ9L	GTEX.R53T.0326.SM.48FEC	TCGA.38.4625.01A.01R.1206.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	GTEX.QV44.0926.SM.2S1RH	GTEX.PWOO.0726.SM.2I3EB	TCGA.N5.A59F.01A.11R.A28V.07
AHSA2	928.3	198.47	587.13	583.07	248.0	120.94	638.15	698.41	466.88	128.79	1467.37	738.29	718.08	395.18	1313.23	339.14	1096.5	808.0	466.88	660.68	242.88	348.71	76.71	51.35	206.94	175.07	215.77	228.13	124.37	312.0	223.41	111.21	239.52	124.37	141.02	0.0	500.46	155.5	358.54	665.29	954.43
AKAP8L	1199.98	633.73	1340.84	842.36	981.29	967.76	2209.26	1781.89	1119.56	591.22	1350.18	1225.22	896.64	1044.52	2537.92	1208.34	2090.03	954.43	1781.89	1008.9	665.29	629.35	314.17	346.29	791.35	536.45	612.11	703.28	351.14	563.18	629.35	366.09	441.64	307.69	384.34	0.0	693.58	460.44	656.11	854.13	2573.36
AL035252.1	656.11	587.13	872.1	420.68	1350.18	638.15	2032.85	555.41	1477.58	228.13	1096.5	1313.23	928.3	1331.57	2090.03	2163.77	1561.89	688.78	988.12	1277.29	228.13	409.15	0.0	318.57	775.05	426.57	603.67	175.07	466.88	587.13	432.53	341.51	486.75	466.88	273.37	0.0	2537.92	190.34	500.46	423.61	1628.26
ANAPC2	651.58	559.28	651.58	629.35	500.46	748.61	981.29	1023.0	743.43	532.74	890.44	791.35	629.35	674.59	1001.93	457.25	1066.48	909.17	1135.2	633.73	473.41	624.99	256.78	318.57	633.73	514.56	693.58	376.41	466.88	503.95	563.18	514.56	490.14	297.17	447.82	0.0	813.63	351.14	457.25	759.08	791.35
ANKRD23	26.67	29.91	36.79	31.22	14.67	12.09	127.0	41.81	28.04	23.76	75.11	45.85	20.86	55.49	95.34	17.25	107.38	47.5	36.27	49.56	8.92	19.53	9.78	12.36	11.21	14.45	29.91	22.1	8.99	22.43	30.56	13.12	11.82	8.51	22.1	0.0	38.4	0.0	53.19	34.26	71.0
AP1G2	1519.15	780.44	1051.79	435.55	212.78	127.89	941.27	1233.75	1183.45	64.34	785.88	1015.93	1572.76	450.94	1159.07	813.63	323.03	559.28	713.11	1111.82	400.71	511.0	152.28	91.41	226.54	229.72	759.08	251.48	249.73	595.34	612.11	414.87	1199.98	84.63	236.21	0.0	1242.34	486.75	1242.34	2148.82	3515.68
ARFGAP1	1991.0	1331.57	1008.9	941.27	915.51	599.49	1498.22	915.51	909.17	409.15	2555.58	1225.22	1662.49	753.83	1870.53	802.41	1487.87	1167.14	2520.38	1037.29	536.45	988.12	343.89	358.54	743.43	473.41	1259.69	647.07	318.57	738.29	525.39	361.04	507.46	281.09	301.33	0.0	1304.15	738.29	1794.29	1259.69	3146.52
ATP5SL	791.35	830.75	679.29	1477.58	1008.9	651.58	1088.92	941.27	688.78	674.59	860.08	1143.1	1388.16	679.29	1081.39	708.18	1167.14	915.51	2047.0	988.12	476.71	819.3	420.68	728.11	775.05	698.41	1008.9	780.44	693.58	607.87	620.67	638.15	764.36	529.06	896.64	0.0	909.17	1104.13	1104.13	1159.07	1467.37
AZI1	258.57	265.87	167.9	251.48	166.73	175.07	503.95	258.57	176.29	79.45	258.57	152.28	368.65	246.28	397.93	336.79	529.06	346.29	540.19	232.94	54.33	65.72	19.53	21.47	40.36	47.17	171.45	37.32	63.45	79.45	59.13	47.17	47.5	33.06	47.17	0.0	503.95	69.03	246.28	232.94	2367.9
BGLAP	14.45	8.32	50.98	23.59	33.3	4.86	50.27	94.01	53.95	4.21	89.51	118.43	92.7	26.1	116.78	26.28	66.18	76.17	189.02	31.0	10.96	12.93	1.81	2.41	6.52	16.63	4.58	9.41	1.99	22.92	7.46	6.89	12.36	5.68	4.5	0.0	24.63	5.23	51.71	21.16	127.89
