	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.BH.A18V.01A.11R.A12D.07	TCGA.AQ.A04J.01A.02R.A034.07	TCGA.A2.A0YG.01A.21R.A109.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYBS.0926.SM.3NM94	GTEX.XOT4.0726.SM.4GIAW	GTEX.14AS3.1626.SM.5S2OY	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.12696.0826.SM.5EGGE
ABL2	157.68	70.01	223.41	255.0	85.22	175.07	166.73	175.07	220.32	110.43	191.67	234.57	191.67	137.14	63.89	172.65	115.16	92.05	128.79	206.94	119.26	43.32	46.84	25.35
ANLN	178.77	93.35	316.37	860.08	16.63	209.84	135.24	466.88	93.35	38.95	1437.15	629.35	928.3	146.03	6.57	88.26	30.12	34.75	30.78	205.5	40.93	74.06	50.63	1.04
APOBEC3B	162.14	142.01	177.53	490.14	23.08	178.77	92.7	303.44	26.47	60.82	2796.65	441.64	423.61	155.5	9.13	126.12	72.01	100.83	70.01	514.56	161.02	71.0	189.02	7.88
ARHGAP11A	122.64	53.95	194.36	258.57	12.83	218.79	130.6	389.72	44.25	15.22	1023.0	287.01	329.84	101.54	17.0	64.8	22.43	26.1	32.59	138.1	21.94	10.63	29.7	20.11
ARHGAP11B	76.17	13.93	52.08	144.01	13.42	59.55	60.82	125.24	8.38	18.29	389.72	95.34	109.66	23.25	12.36	44.57	26.67	29.48	32.82	99.43	13.32	4.9	23.08	8.32
ARHGEF39	71.5	71.5	59.97	176.29	28.45	47.84	48.87	122.64	50.27	36.79	318.57	232.94	264.03	41.81	14.03	81.14	30.12	32.82	49.21	84.63	96.01	12.93	28.65	14.14
ASF1B	567.1	242.88	223.41	253.23	50.63	281.09	490.14	307.69	130.6	80.57	1225.22	480.04	703.28	279.14	17.0	115.97	33.78	49.21	94.67	514.56	92.7	30.56	83.45	6.36
ASPM	147.06	26.67	122.64	199.85	3.66	121.79	38.4	153.34	50.63	14.24	339.14	379.04	239.52	82.29	0.0	53.57	1.6	6.73	15.8	97.36	10.88	3.41	16.75	1.62
ATP13A3	1832.01	483.38	1277.29	2193.99	438.59	723.08	1304.15	1397.83	1350.18	575.03	1313.23	1259.69	1447.15	848.22	518.15	890.44	587.13	679.29	457.25	1540.37	802.41	466.88	518.15	1331.57
AURKA	229.72	162.14	379.04	595.34	45.85	197.09	144.01	323.03	172.65	43.02	836.53	389.72	583.07	157.68	29.48	87.65	43.94	38.95	51.35	236.21	54.33	11.64	109.66	21.32
AURKB	154.42	84.04	376.41	642.59	38.95	157.68	152.28	429.54	161.02	35.76	1437.15	612.11	466.88	142.01	8.45	132.44	27.05	37.85	78.34	314.17	49.56	27.64	98.04	10.0
AVL9	497.0	329.84	656.11	854.13	343.89	381.68	529.06	764.36	457.25	389.72	656.11	432.53	941.27	397.93	162.14	384.34	343.89	373.81	224.97	551.56	420.68	88.88	211.31	149.12
BIRC5	312.0	301.33	629.35	941.27	33.54	244.57	249.73	616.37	175.07	61.68	902.89	1001.93	1709.26	264.03	4.82	126.12	21.32	35.0	94.67	332.14	74.58	16.51	73.03	20.11
BLM	67.12	37.32	82.29	158.79	23.42	77.79	59.97	229.72	22.1	44.57	441.64	265.87	119.26	41.22	15.22	57.49	16.39	24.11	41.81	138.1	28.86	6.78	31.9	4.86
BUB1	209.84	105.89	191.67	429.54	16.39	201.25	84.04	441.64	48.52	19.53	1015.93	486.75	376.41	138.1	3.08	76.17	17.51	20.86	36.01	215.77	28.86	4.28	37.85	0.93
BUB1B	107.38	74.06	183.82	242.88	35.76	161.02	107.38	239.52	52.45	23.59	813.63	301.33	438.59	129.69	5.59	70.01	13.12	21.78	36.79	148.09	53.57	13.03	19.97	11.82
