	TCGA.BJ.A45C.01A.11R.A23W.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.EL.A3ZN.01A.11R.A23N.07	TCGA.EM.A2CJ.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.ET.A2MX.11C.11R.A23N.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.ZV6S.0226.SM.59HJT	GTEX.SUCS.0226.SM.32PLQ	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.ZTX8.0626.SM.59HKC	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.OHPM.2626.SM.33HC5	GTEX.WHPG.0226.SM.3NMB9	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.Q2AI.0326.SM.2I3EK	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.13113.0126.SM.5LZVX	GTEX.ZLWG.0526.SM.4WWFB	GTEX.WY7C.0226.SM.3NB37	GTEX.139YR.1226.SM.5IFEU	GTEX.SJXC.0726.SM.2XCFJ	GTEX.VJYA.0426.SM.3GIJK	GTEX.11P7K.0226.SM.5986Z	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.V955.0426.SM.3GAEL	GTEX.X5EB.0726.SM.46MVR	GTEX.PX3G.2626.SM.2I3EG	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.QXCU.0326.SM.2TC63	GTEX.11VI4.0226.SM.5GU6C	GTEX.1211K.0726.SM.5FQUW	GTEX.WFG8.0426.SM.3GILD	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13RTK.0326.SM.5RQHS	GTEX.ZYT6.0426.SM.5GID3	GTEX.Z9EW.0226.SM.5CVM7	GTEX.13FTW.0626.SM.5IFEX
ABHD2	193.01	212.78	163.28	176.29	141.02	161.02	142.01	153.34	137.14	118.43	151.22	132.44	153.34	483.38	547.75	376.41	264.03	497.0	320.8	532.74	447.82	371.22	143.01	567.1	293.07	299.25	232.94	299.25	329.84	361.04	265.87	289.02	318.57	490.14	473.41	297.17	309.83	228.13	511.0	320.8	507.46	190.34	341.51	441.64	616.37	473.41	351.14	264.03	190.34	412.0	341.51	318.57	473.41	356.05	182.55	316.37	444.72	438.59	490.14	309.83	381.68	543.96	182.55	273.37	320.8	356.05	435.55	559.28	334.46	246.28	234.57	289.02	267.73	305.55	511.0
ACADM	368.65	493.56	743.43	633.73	638.15	532.74	612.11	896.64	441.64	432.53	624.99	656.11	1037.29	1286.18	2061.24	981.29	1073.91	1359.57	1191.69	1286.18	1175.27	2047.0	414.87	2555.58	909.17	1259.69	1268.46	995.0	1388.16	1104.13	1487.87	1191.69	1359.57	1674.06	1073.91	1051.79	1127.35	884.29	1250.98	1127.35	1685.71	642.59	1397.83	1250.98	1605.83	2627.46	2209.26	995.0	1104.13	1378.57	1250.98	780.44	1208.34	981.29	947.83	1561.89	1030.12	1015.93	1487.87	1127.35	1051.79	1277.29	1111.82	1135.2	571.05	974.5	1159.07	2163.77	1498.22	1313.23	1111.82	854.13	1081.39	988.12	1529.73
AP3S2	307.69	262.2	387.02	339.14	332.14	384.34	366.09	450.94	283.05	205.5	543.96	332.14	303.44	866.07	703.28	563.18	540.19	708.18	738.29	780.44	616.37	796.86	387.02	1572.76	679.29	638.15	536.45	483.38	819.3	988.12	633.73	624.99	748.61	532.74	571.05	457.25	507.46	503.95	660.68	559.28	884.29	376.41	454.09	738.29	1044.52	915.51	1191.69	651.58	497.0	642.59	1208.34	384.34	954.43	532.74	363.56	808.0	674.59	723.08	723.08	642.59	555.41	525.39	429.54	780.44	616.37	708.18	854.13	1119.56	1135.2	490.14	638.15	497.0	536.45	718.08	921.88
API5	656.11	688.78	738.29	743.43	836.53	738.29	718.08	872.1	733.19	616.37	769.69	693.58	836.53	1331.57	1331.57	1081.39	988.12	941.27	1059.11	1127.35	1135.2	1066.48	753.83	1883.54	1167.14	780.44	915.51	928.3	1216.75	1015.93	1030.12	1023.0	1225.22	1159.07	1104.13	665.29	785.88	791.35	1127.35	934.76	1183.45	848.22	1135.2	1295.13	1250.98	1685.71	1769.57	909.17	825.0	1088.92	1233.75	981.29	1151.06	1073.91	1001.93	1030.12	947.83	995.0	1001.93	934.76	866.07	1331.57	995.0	1111.82	1044.52	1183.45	1096.5	1397.83	1143.1	961.07	836.53	866.07	941.27	1073.91	1199.98
ARHGEF12	536.45	660.68	748.61	748.61	848.22	791.35	693.58	780.44	743.43	620.67	651.58	616.37	669.92	1037.29	1857.6	1015.93	769.69	842.36	1008.9	1135.2	974.5	1427.22	808.0	1685.71	884.29	1023.0	854.13	669.92	1088.92	1135.2	571.05	921.88	708.18	947.83	872.1	728.11	825.0	708.18	1508.65	995.0	1073.91	536.45	921.88	981.29	1498.22	1794.29	1447.15	928.3	647.07	896.64	1151.06	748.61	1208.34	902.89	708.18	1030.12	941.27	1023.0	854.13	941.27	660.68	1066.48	656.11	860.08	842.36	1037.29	764.36	921.88	1111.82	909.17	921.88	693.58	941.27	878.17	1073.91
AZIN1	450.94	466.88	813.63	764.36	684.02	825.0	665.29	780.44	679.29	603.67	591.22	624.99	884.29	1277.29	1378.57	1183.45	1051.79	1286.18	1051.79	1037.29	1135.2	1781.89	878.17	1519.15	1081.39	1143.1	941.27	872.1	1259.69	928.3	941.27	866.07	1001.93	1208.34	1225.22	902.89	785.88	1073.91	1437.15	1313.23	1268.46	651.58	954.43	1001.93	1540.37	1709.26	1369.04	954.43	909.17	981.29	1322.37	1023.0	1159.07	1023.0	1015.93	1135.2	1030.12	1135.2	1073.91	1498.22	921.88	1313.23	785.88	1183.45	967.76	995.0	896.64	1199.98	1037.29	860.08	1286.18	866.07	738.29	1191.69	1259.69
BCAP29	1529.73	854.13	1477.58	1662.49	1950.0	1350.18	1844.76	1721.16	1639.59	1350.18	2720.15	1685.71	2400.97	4095.0	5633.22	2384.37	1697.45	3564.78	3257.52	2400.97	3690.52	4736.79	2018.8	7803.01	2664.15	3257.52	2875.3	1832.01	4268.94	1857.6	2875.3	2303.12	1819.35	1883.54	2434.5	1977.24	2367.9	2367.9	3190.46	4181.07	3742.05	1477.58	2384.37	2573.36	4736.79	7485.11	8305.36	2485.67	2915.45	2287.2	4210.15	1519.15	3235.01	2875.3	2520.38	3794.3	2555.58	1674.06	2720.15	2875.3	1896.65	2976.74	2351.53	3443.31	1447.15	2502.97	2193.99	4704.07	2573.36	2915.45	3847.29	1794.29	2720.15	2591.27	3018.3
BPNT1	293.07	305.55	368.65	361.04	343.89	395.18	273.37	312.0	262.2	283.05	450.94	316.37	346.29	503.95	651.58	607.87	532.74	521.76	480.04	571.05	532.74	616.37	339.14	813.63	476.71	457.25	400.71	490.14	647.07	587.13	603.67	532.74	559.28	587.13	629.35	414.87	503.95	327.56	603.67	551.56	642.59	346.29	567.1	543.96	738.29	830.75	791.35	503.95	450.94	547.75	703.28	629.35	612.11	463.65	595.34	674.59	486.75	473.41	633.73	444.72	429.54	529.06	547.75	583.07	239.52	551.56	518.15	567.1	638.15	438.59	403.5	417.77	356.05	616.37	633.73
CALU	656.11	860.08	1030.12	1008.9	954.43	1104.13	1051.79	1508.65	1111.82	791.35	1745.2	1073.91	1119.56	1745.2	1674.06	1662.49	1183.45	1487.87	1794.29	2148.82	1286.18	1794.29	1286.18	2133.97	1745.2	1104.13	1674.06	1104.13	2090.03	1242.34	2303.12	1572.76	1806.78	1832.01	2319.15	1030.12	902.89	1015.93	1397.83	1407.55	1745.2	902.89	2018.8	1417.35	2796.65	1662.49	2133.97	1259.69	1378.57	1540.37	1561.89	1250.98	1757.34	1159.07	1709.26	2075.59	1104.13	1561.89	1936.53	1540.37	1561.89	2193.99	1529.73	1498.22	941.27	1295.13	1037.29	2193.99	2090.03	1159.07	1427.22	1259.69	902.89	1628.26	1896.65
CAPRIN1	1167.14	1437.15	1427.22	1477.58	1508.65	1551.09	1457.23	1447.15	1313.23	1167.14	1250.98	1369.04	1397.83	1883.54	2400.97	1628.26	1407.55	1467.37	1467.37	1697.45	1529.73	2075.59	1001.93	2468.49	1819.35	1477.58	1242.34	1378.57	1883.54	1561.89	1467.37	1639.59	1397.83	1781.89	2075.59	1340.84	1322.37	1313.23	1923.14	1733.13	2090.03	1096.5	1617.0	1561.89	2255.7	2573.36	2796.65	1208.34	1304.15	1388.16	2104.58	1594.73	1909.85	1540.37	1583.71	1709.26	1417.35	1417.35	1487.87	1572.76	1350.18	2075.59	1369.04	1457.23	1397.83	1437.15	1651.0	2434.5	1477.58	1508.65	1561.89	1322.37	1498.22	1781.89	1721.16
