	TCGA.4Z.AA81.01A.11R.A39I.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.CM.4744.01A.01R.A32Z.07	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A4OU.01A.11R.A28J.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.13QJ3.1926.SM.5QGQM	GTEX.WVLH.1526.SM.4MVOC	GTEX.WZTO.1726.SM.4PQYV	GTEX.13OW6.1426.SM.5L3EU	TCGA.P3.A6T3.01A.11R.A34R.07	TCGA.RS.A6TP.01A.12R.A34R.07	TCGA.CV.7091.11A.01R.2016.07	TCGA.CV.7238.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZC5H.2726.SM.5KLZW	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	GTEX.13CF2.2426.SM.5LZYL	TCGA.RD.A7BW.01A.11R.A32D.31	GTEX.UPK5.2126.SM.4JBJK
ABCB4	0.33	25.72	13.03	9.27	19.68	13.12	6.11	24.11	45.85	108.9	60.39	83.45	3.38	0.67	99.43	74.58	0.0	0.03	10.16	19.68	5.63	78.89	16.51	14.56	12.0	297.17	44.57	72.52
AC074091.13	0.0	0.0	0.0	1.23	1.14	2.56	0.0	0.0	2.73	4.5	12.74	8.99	0.67	0.0	1.03	0.99	0.0	0.19	2.12	0.32	1.41	2.32	0.3	0.0	0.0	14.03	4.82	1.53
ART3	25.17	9.48	18.97	19.25	54.72	13.32	10.79	18.43	52.82	75.11	51.35	115.16	4.86	8.38	1388.16	343.89	0.0	0.22	120.94	18.16	7.11	130.6	33.78	22.1	28.04	954.43	194.36	90.77
C1QTNF3	28.65	39.5	26.28	217.27	136.19	83.45	32.13	31.0	2018.8	3955.48	1088.92	934.76	25.72	60.82	175.07	101.54	0.0	0.47	3.92	265.87	40.93	147.06	40.36	9.78	16.03	540.19	591.22	2193.99
CD34	71.0	329.84	127.89	1295.13	1183.45	563.18	450.94	332.14	4575.41	6294.04	6381.92	3060.45	27.25	33.54	2193.99	1096.5	0.0	0.0	334.46	974.5	339.14	1477.58	316.37	299.25	187.71	3257.52	2178.83	4450.27
CDH5	38.67	73.03	58.71	314.17	429.54	182.55	134.3	149.12	603.67	1175.27	2609.3	708.18	17.64	18.43	1088.92	438.59	0.0	0.51	79.45	277.2	162.14	688.78	74.58	92.05	75.64	1183.45	693.58	1685.71
CEP112	2.81	2.48	47.84	61.68	108.9	98.73	52.82	57.08	241.19	260.38	314.17	237.86	19.53	19.39	256.78	124.37	0.0	0.49	53.95	101.54	47.5	358.54	60.39	20.56	46.18	327.56	297.17	303.44
CLDN11	1.89	26.28	4.5	82.29	89.51	66.18	34.26	88.26	106.63	395.18	414.87	343.89	11.55	2.41	220.32	161.02	16.88	162.14	88.88	89.51	61.25	277.2	17.77	18.84	40.07	669.92	199.85	1733.13
CYYR1	22.59	34.51	35.0	126.12	156.59	103.69	95.34	83.45	389.72	555.41	1295.13	323.03	96.68	6.41	511.0	229.72	0.0	0.17	69.52	154.42	112.77	384.34	67.12	54.72	88.26	309.83	403.5	1044.52
DBH	0.31	1.23	1.39	1.77	4.06	1.45	0.16	0.97	6.62	23.93	10.63	19.97	0.0	0.95	8.45	1.58	0.0	0.27	0.74	3.72	0.51	6.73	0.38	0.31	0.37	12.83	7.82	5.45
DENND2A	3.72	0.0	34.26	182.55	105.89	51.35	21.16	47.5	1104.13	599.49	426.57	813.63	17.38	5.28	172.65	71.5	0.0	0.32	52.08	65.72	32.13	356.05	27.44	17.25	8.71	559.28	103.69	438.59
DMPK	954.43	346.29	329.84	3081.75	1594.73	1457.23	2335.28	2335.28	7966.99	4481.23	5872.48	6652.97	181.28	890.44	6652.97	1991.0	0.0	1.04	258.57	587.13	463.65	5517.27	366.09	339.14	320.8	10512.82	2351.53	3768.09
DPYSL3	23.08	9.34	63.89	1709.26	1151.06	1183.45	303.44	679.29	4607.24	2875.3	3847.29	4010.71	75.64	20.71	1529.73	1167.14	0.0	0.71	830.75	1447.15	341.51	2104.58	332.14	202.66	214.27	8305.36	4152.18	3639.7
EBF1	3.99	1.53	4.94	97.36	164.42	47.5	29.7	31.9	173.85	708.18	825.0	312.0	10.31	2.23	215.77	92.7	0.0	0.29	42.41	90.14	32.13	161.02	38.95	20.86	34.75	241.19	189.02	665.29
ELMOD1	0.31	2.73	0.0	9.48	5.54	29.27	10.24	1.83	59.13	14.03	34.75	11.91	1.97	0.0	43.32	10.24	0.0	0.0	0.89	2.27	2.92	10.31	13.22	2.29	4.24	51.35	23.76	27.84
EMX2	0.35	0.0	0.0	10.55	13.52	8.19	15.91	11.21	22.59	38.4	209.84	16.75	0.62	0.0	108.14	72.01	0.0	0.13	33.78	11.82	11.04	53.95	6.57	7.06	7.28	178.77	17.64	37.05
ENPP6	0.61	3.92	0.0	12.83	8.25	8.92	1.48	3.35	49.21	143.01	51.71	100.13	0.0	5.23	44.57	8.38	0.0	0.0	2.46	6.84	3.96	8.92	6.06	0.0	0.0	49.91	10.55	52.08
FBXL7	4.31	1.46	8.25	147.06	125.24	90.77	63.45	104.42	251.48	351.14	616.37	417.77	9.41	2.81	195.72	105.89	0.0	0.52	63.45	67.12	76.71	221.86	25.17	22.1	23.25	285.03	503.95	571.05
FGD5	13.52	14.56	22.43	112.77	153.34	92.05	59.55	68.55	366.09	555.41	896.64	244.57	10.47	14.67	346.29	193.01	0.0	0.48	86.43	170.25	66.18	480.04	36.27	42.41	68.07	518.15	199.85	842.36
FRY	43.32	12.45	7.63	123.5	183.82	89.51	62.12	56.68	718.08	638.15	1135.2	878.17	5.02	4.86	629.35	320.8	0.0	0.38	56.68	320.8	75.11	356.05	40.64	60.82	40.07	1037.29	532.74	353.59
GPR124	24.28	22.1	25.72	258.57	215.77	121.79	73.54	194.36	1233.75	1936.53	1322.37	808.0	43.02	13.12	454.09	232.94	0.0	0.42	108.9	239.52	54.72	521.76	76.71	67.12	53.19	325.29	780.44	1991.0
HIPK4	3.59	0.26	0.8	4.39	4.03	2.89	1.41	1.89	9.13	8.78	12.0	16.51	0.68	0.91	8.99	4.06	0.0	0.09	1.51	2.71	1.51	2.46	1.75	0.77	2.61	12.83	6.41	8.06
ITGA7	26.1	34.51	67.59	1844.76	1674.06	629.35	371.22	624.99	5441.3	2287.2	6983.79	6037.61	48.18	39.5	4388.98	1427.22	0.0	0.72	104.42	368.65	118.43	3768.09	128.79	93.35	82.87	3419.52	2287.2	2075.59
ITIH4	38.12	23.76	15.91	108.9	293.07	52.82	77.25	45.21	275.28	511.0	620.67	583.07	20.71	26.86	148.09	140.04	0.0	1.03	10.16	19.68	67.12	371.22	42.71	8.71	14.03	836.53	105.89	191.67
JAM2	6.16	28.65	18.7	214.27	295.11	165.57	113.56	146.03	967.76	1628.26	3257.52	1127.35	10.0	4.82	616.37	277.2	0.0	0.1	35.76	231.32	64.8	559.28	53.95	23.76	68.55	638.15	647.07	3515.68
KRT4	4.39	3.697379928E7	6.89	1.810644424E7	2004.85	6140819.49	2.276004283E7	3.109113511E7	68.07	90.77	21.01	2.23	36.27	1.25	172.65	275175.93	0.0	0.0	1.236706555E7	2.900905474E7	1.236706555E7	45072.75	2.213766823E7	1.887534821E7	2.10891839E7	1282030.25	105.89	1.33
NAALADL1	23.42	6.52	66.65	201.25	149.12	118.43	150.17	145.02	536.45	511.0	532.74	470.14	9.85	19.82	161.02	118.43	0.0	0.54	66.18	130.6	73.54	420.68	75.64	20.71	48.52	228.13	343.89	1519.15
NPHP1	17.13	10.96	21.01	49.56	126.12	78.89	18.97	18.16	159.9	150.17	185.11	186.4	42.11	83.45	167.9	110.43	0.0	0.03	18.84	48.87	33.3	171.45	37.59	23.08	41.22	507.46	246.28	159.9
PDE7B	0.95	1.57	1.89	18.16	25.54	17.64	8.65	18.43	90.77	146.03	190.34	100.83	3.56	1.68	108.9	42.71	0.0	0.09	8.65	7.88	6.21	42.41	3.14	8.32	7.69	96.01	161.02	81.71
PREX2	1.55	2.25	2.81	18.84	55.1	25.17	11.38	8.65	155.5	400.71	759.08	279.14	3.26	0.45	119.26	47.17	0.0	0.28	4.54	55.89	12.55	122.64	16.39	11.04	7.28	92.7	105.15	146.03
PRPH2	0.93	0.0	2.61	11.3	15.56	6.78	3.69	4.78	63.45	66.18	80.57	56.28	1.07	4.74	101.54	42.41	0.0	0.4	11.55	3.79	16.88	17.77	5.02	6.57	3.53	96.01	41.81	53.19
PZP	0.0	0.0	0.0	2.73	13.52	2.61	1.28	0.0	23.08	21.32	24.28	12.45	0.41	0.0	5.96	0.6	0.0	0.0	0.0	2.84	0.03	4.35	1.51	2.23	0.56	12.36	15.45	15.11
RAB9B	0.33	0.19	0.95	26.28	13.42	23.59	18.29	38.12	165.57	176.29	299.25	126.12	0.38	5.68	126.12	53.95	0.0	0.2	8.99	11.82	5.32	70.01	5.23	9.41	1.46	237.86	77.25	159.9
RAMP1	136.19	12.09	392.44	493.56	3794.3	241.19	75.11	171.45	5872.48	2976.74	1870.53	3325.99	320.8	4.46	2209.26	642.59	0.0	0.82	813.63	92.7	104.42	6607.01	341.51	116.78	72.01	10659.59	3982.99	4181.07
RCAN2	15.68	12.45	16.51	490.14	241.19	63.89	45.53	40.36	884.29	902.89	961.07	1437.15	41.22	15.91	3901.01	1322.37	0.0	0.54	115.16	224.97	111.99	808.0	201.25	81.71	56.68	2090.03	1119.56	2875.3
