	TCGA.A8.A08B.01A.11R.A00Z.07	TCGA.AC.A62Y.01A.11R.A29R.07	TCGA.B6.A0RO.01A.22R.A084.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.5T.A9QA.01A.11R.A41B.07	TCGA.A2.A04X.01A.21R.A034.07	TCGA.BH.A0HP.01A.12R.A084.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.E2.A10E.01A.21R.A10J.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1XR.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.E2.A1IJ.01A.11R.A144.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.AR.A1AS.01A.11R.A12P.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.BH.A0DH.01A.11R.A084.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.A1.A0SM.01A.11R.A084.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A0AY.11A.23R.A089.07	TCGA.BH.A0BZ.11A.61R.A12P.07	TCGA.BH.A1FR.11B.42R.A13Q.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0AU.11A.11R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.1269C.2426.SM.5FQSN	GTEX.XMD2.0926.SM.4WWEF	GTEX.1313W.0826.SM.5EQ4T	GTEX.11EMC.2026.SM.5A5JV	GTEX.VJWN.0726.SM.3GIJ8	GTEX.RU72.0626.SM.46MUI	GTEX.13QIC.2326.SM.5LU5N	TCGA.38.4625.01A.01R.1206.07
ADAMTS5	7.94	20.11	19.25	140.04	72.01	8.51	10.96	48.87	49.56	33.3	97.36	22.43	35.0	35.5	27.25	35.0	4.24	19.25	5.11	18.03	131.51	165.57	12.45	180.02	60.82	21.47	29.91	21.63	33.3	50.98	785.88	450.94	420.68	511.0	320.8	348.71	332.14	579.04	215.77	178.77	193.01	249.73	147.06	660.68	198.47	395.18	0.0
ADD3	1498.22	199.85	147.06	961.07	603.67	59.13	412.0	775.05	417.77	480.04	1096.5	312.0	363.56	409.15	2573.36	163.28	27.84	536.45	91.41	273.37	591.22	332.14	90.77	1639.59	1001.93	297.17	854.13	136.19	718.08	629.35	2319.15	2701.35	1529.73	1457.23	2997.45	1651.0	1583.71	2895.31	2224.63	1119.56	1628.26	2520.38	947.83	3515.68	1369.04	1457.23	624.99
AL353791.1	9.63	3.82	1.93	9.34	25.17	7.57	1.04	16.51	2.14	7.11	10.96	3.47	0.74	4.66	1.85	1.06	0.0	3.72	2.32	6.78	20.86	0.75	0.38	30.34	1.69	11.04	30.56	1.73	1.79	1.89	102.97	96.01	57.49	38.67	100.13	114.36	113.56	152.28	161.02	89.51	112.77	52.45	25.17	116.78	60.82	17.0	0.0
ALDH1A2	9.34	28.45	14.56	113.56	40.64	11.47	2.66	32.59	14.78	35.5	63.0	30.56	2.1	70.51	38.4	8.45	1.51	17.9	8.0	26.1	21.16	16.27	11.13	52.08	10.0	14.45	26.86	25.54	15.68	12.93	277.2	307.69	309.83	361.04	228.13	145.02	157.68	162.14	58.3	316.37	165.57	409.15	167.9	599.49	170.25	551.56	0.0
ALX1	0.0	2.34	0.27	0.0	5.36	0.0	0.28	2.1	0.0	0.3	0.0	0.0	0.0	0.0	0.65	0.91	0.25	3.44	0.0	0.0	2.46	0.0	0.0	3.47	0.0	0.35	0.0	0.29	0.3	0.32	20.86	2.56	4.28	9.2	11.21	9.27	0.0	1.75	29.7	0.0	9.34	5.45	1.43	6.41	10.16	3.63	0.0
ANXA3	587.13	961.07	239.52	244.57	1340.84	61.25	358.54	651.58	48.18	248.0	429.54	896.64	29.91	540.19	104.42	47.17	208.38	480.04	1721.16	208.38	1277.29	780.44	647.07	1250.98	595.34	132.44	1769.57	674.59	256.78	764.36	3419.52	2645.74	1685.71	1388.16	1331.57	2178.83	1651.0	1896.65	2384.37	2271.4	5041.77	497.0	1487.87	5366.37	4268.94	2367.9	0.0
ATL2	412.0	551.56	733.19	571.05	995.0	312.0	392.44	802.41	638.15	743.43	688.78	848.22	470.14	769.69	543.96	616.37	343.89	780.44	872.1	579.04	656.11	521.76	363.56	813.63	733.19	514.56	679.29	490.14	503.95	612.11	1407.55	2303.12	1023.0	688.78	1369.04	1721.16	1540.37	1651.0	2956.17	2573.36	1216.75	878.17	1143.1	2417.67	1819.35	2367.9	0.0
C3orf58	136.19	152.28	78.89	199.85	215.77	295.11	73.54	185.11	155.5	159.9	153.34	44.25	45.21	117.6	69.52	79.45	42.71	69.52	185.11	64.8	208.38	63.45	67.59	303.44	146.03	169.07	208.38	71.0	187.71	129.69	470.14	555.41	376.41	269.6	665.29	397.93	547.75	412.0	1008.9	403.5	366.09	780.44	198.47	1259.69	981.29	1340.84	0.0
C7orf31	0.0	33.54	12.09	111.21	94.67	43.32	26.47	52.08	46.84	26.67	52.82	45.85	35.25	40.07	12.83	12.09	1.57	60.39	38.4	39.22	74.06	35.25	11.3	77.79	57.89	26.86	88.26	45.21	15.0	28.45	112.77	108.9	115.16	86.43	98.73	96.01	64.34	134.3	108.9	77.79	142.01	41.52	92.7	212.78	85.22	190.34	0.0
CADM3	9.56	13.42	11.21	32.13	64.8	0.0	13.72	51.35	2.46	14.24	41.22	12.93	1.39	24.46	11.47	3.63	2.89	78.89	3.26	25.91	31.0	66.18	0.38	305.55	6.84	30.78	2319.15	11.04	9.41	12.45	141.02	180.02	258.57	185.11	159.9	105.15	105.89	180.02	110.43	232.94	127.89	426.57	262.2	518.15	460.44	651.58	0.0
