	GTEX.13O3P.2726.SM.5KM2R	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.139TT.0726.SM.5K7XW	GTEX.147F4.0926.SM.5Q5EO	GTEX.11WQC.0626.SM.5EQMF	GTEX.13VXU.2726.SM.5LU4N	GTEX.13O3Q.0526.SM.5KM18	GTEX.N7MS.0926.SM.2HMIZ	GTEX.11OF3.1126.SM.5986C	TCGA.BR.8590.01A.11R.2402.13	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.CG.4476.01A.01R.1157.13	TCGA.BR.8588.01A.11R.2402.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.KB.A93G.01A.11R.A39E.31	TCGA.CG.5720.11A.01R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6453.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6852.11A.01R.1884.13	TCGA.BR.6802.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13	GTEX.WFG8.1326.SM.4LVN3	GTEX.13N1W.2026.SM.5K7YU
AADAC	5.06	0.0	0.0	11.73	8.99	12.74	6.26	11.73	9.48	6.16	114.36	363.56	1651.0	1378.57	493.56	50.27	954.43	37.85	1498.22	764.36	1066.48	3039.3	466.88	633.73	1340.84	1073.91	356.05	551.56	1008.9	0.0
ACO2	2485.67	1529.73	164.42	884.29	854.13	842.36	928.3	848.22	1674.06	723.08	2032.85	1794.29	3901.01	3955.48	1794.29	1963.57	1529.73	1359.57	5329.3	3491.39	4038.61	4869.99	2664.15	3257.52	2627.46	1304.15	3820.7	1950.0	3235.01	2468.49
AKR1A1	1870.53	0.0	0.27	1467.37	961.07	1397.83	1250.98	1709.26	1467.37	1304.15	2739.08	3280.18	4239.45	4704.07	3325.99	3928.15	2537.92	1844.76	7433.4	4481.23	4869.99	6250.56	5112.16	5751.61	7966.99	6561.36	6294.04	5479.15	6381.92	1519.15
AMPD1	0.0	0.0	0.0	7.88	5.59	1.93	10.63	9.7	1.97	0.0	43.02	71.5	11.04	68.07	18.03	1.33	14.24	1.68	131.51	154.42	189.02	336.79	101.54	96.68	100.13	39.79	44.57	23.08	136.19	2.46
ANGPTL6	7.57	0.0	0.09	19.53	4.94	19.82	14.67	20.56	17.77	11.82	27.44	80.57	31.0	89.51	27.25	24.46	11.38	9.06	91.41	198.47	72.52	281.09	110.43	111.99	140.04	54.72	92.7	86.43	91.41	6.01
AP000350.4	51.71	0.0	0.42	8.0	11.55	2.84	22.92	12.55	24.28	11.47	42.71	83.45	111.21	65.72	7.69	83.45	24.28	43.94	83.45	48.18	105.89	46.18	64.34	67.59	73.54	172.65	115.97	46.84	88.88	114.36
ATOX1	2032.85	0.0	0.6	1745.2	1199.98	1697.45	1674.06	1781.89	1268.46	1111.82	1923.14	2287.2	2645.74	2178.83	1674.06	2400.97	2434.5	2224.63	3419.52	2004.85	4095.0	2796.65	4038.61	3901.01	2555.58	6164.49	4607.24	3419.52	5441.3	2075.59
ATP5D	3982.99	0.0	1.08	1794.29	1208.34	1388.16	2193.99	2777.33	1709.26	1605.83	4152.18	4481.23	7749.1	9673.69	3103.19	5441.3	2758.13	2193.99	13033.07	6652.97	13586.57	9025.81	8840.04	11745.96	10225.32	11112.3	15824.9	11112.3	15607.02	7382.04
ATPAF2	532.74	0.0	0.55	253.23	178.77	343.89	248.0	271.48	232.94	258.57	275.28	426.57	373.81	612.11	332.14	521.76	297.17	423.61	638.15	432.53	620.67	518.15	679.29	753.83	525.39	928.3	595.34	616.37	679.29	327.56
AURKAIP1	1639.59	0.0	0.75	1233.75	607.87	769.69	842.36	842.36	813.63	1233.75	1832.01	2609.3	3212.66	4123.49	1819.35	2875.3	1143.1	1757.34	3768.09	2537.92	4066.71	2777.33	4328.55	4481.23	3716.2	4543.8	5219.6	4095.0	5183.54	1008.9
