	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.MV.A51V.01A.11R.A26T.07	TCGA.KN.8435.11A.01R.2315.07	TCGA.KN.8434.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KO.8415.11A.01R.2315.07	TCGA.KN.8431.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8324.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	TCGA.KN.8424.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.QDVN.1626.SM.48TZC	GTEX.ZC5H.1726.SM.5HL7X	GTEX.P4QS.1126.SM.3NMD5	GTEX.N7MS.1626.SM.3LK5F	GTEX.1497J.0826.SM.5NQAJ	GTEX.13RTJ.2226.SM.5S2Q1	GTEX.12WSG.0826.SM.5EQ5A	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.CZ.5468.11A.01R.1503.07	TCGA.CZ.5452.11A.01R.1503.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5462.11A.01R.1503.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CZ.5458.11A.01R.1503.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.UZ.A9PZ.01A.11R.A42S.07	TCGA.GL.A59R.01A.11R.A26U.07	TCGA.Y8.A894.01A.11R.A36F.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	GTEX.13O3P.1026.SM.5N9E7	GTEX.148VJ.0826.SM.5LU8V	TCGA.BJ.A0ZC.01A.12R.A13Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.DJ.A1QM.01A.11R.A14Y.07	TCGA.EM.A22J.01A.11R.A180.07	TCGA.BJ.A2NA.11A.11R.A19O.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.S4Q7.0326.SM.3K2B1	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.1497J.0126.SM.5Q5BK	GTEX.P4QS.2626.SM.2I3EV	GTEX.11EI6.0726.SM.59866	GTEX.SE5C.0726.SM.4BRWY	GTEX.ZXG5.0926.SM.5NQ8H	GTEX.145MH.0426.SM.5LU8T	GTEX.1399U.0326.SM.5P9G5	GTEX.ZT9W.0226.SM.4YCCZ	GTEX.VJYA.0426.SM.3GIJK	GTEX.ZGAY.1026.SM.4WWBR	GTEX.OOBK.2626.SM.2HMKY	GTEX.OXRK.0626.SM.2HMJ5	GTEX.XMK1.0626.SM.4B65A	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.1211K.0726.SM.5FQUW	GTEX.117YX.1226.SM.5H11S	GTEX.12696.0326.SM.5EGL4	GTEX.13FTW.0626.SM.5IFEX	TCGA.A5.A3LP.01A.11R.A22K.07
ACADM	450.94	688.78	4543.8	4736.79	12943.04	3955.48	3515.68	4704.07	4937.99	6652.97	3103.19	14971.21	4095.0	2555.58	3901.01	14765.09	5076.84	2956.17	3901.01	2133.97	1286.18	9409.14	6840.04	3491.39	2075.59	3794.3	3589.58	4769.75	4066.71	4543.8	6337.83	8078.22	5672.41	3665.02	10440.2	9151.82	5441.3	4836.35	6699.25	6337.83	6652.97	9215.48	4607.24	4038.61	4239.45	9025.81	3257.52	5913.33	5219.6	775.05	1733.13	1651.0	5441.3	6037.61	4328.55	6079.61	3874.05	4802.93	4388.98	6250.56	7331.05	5711.87	6745.86	3491.39	5517.27	4769.75	423.61	525.39	1073.91	599.49	825.0	1304.15	890.44	1286.18	2061.24	775.05	813.63	1037.29	1008.9	1143.1	1250.98	1397.83	947.83	1388.16	1277.29	1322.37	909.17	954.43	2209.26	1066.48	796.86	848.22	1268.46	708.18	1529.73	1159.07	1487.87	1096.5	1529.73	713.11
ACADSB	234.57	84.63	1477.58	1583.71	2104.58	981.29	769.69	1135.2	1313.23	1685.71	660.68	5954.47	860.08	1225.22	2090.03	3491.39	1844.76	684.02	1651.0	454.09	460.44	2609.3	3349.13	1417.35	497.0	902.89	1896.65	1551.09	1044.52	2739.08	2935.74	2555.58	1388.16	974.5	2627.46	3168.41	2400.97	2090.03	1896.65	1651.0	1794.29	2537.92	2061.24	1457.23	791.35	1832.01	915.51	1857.6	1583.71	172.65	289.02	212.78	1059.11	1909.85	1519.15	2875.3	1529.73	1991.0	1674.06	2451.44	2004.85	3467.27	1950.0	2047.0	1832.01	2537.92	113.56	265.87	301.33	237.86	255.0	327.56	236.21	197.09	358.54	277.2	457.25	371.22	543.96	303.44	244.57	295.11	260.38	316.37	341.51	348.71	223.41	267.73	277.2	379.04	112.77	198.47	234.57	314.17	267.73	273.37	285.03	236.21	234.57	118.43
ACSF2	4038.61	4607.24	4066.71	6792.79	11112.3	1617.0	764.36	4671.57	4869.99	6887.62	775.05	5441.3	6037.61	6792.79	4802.93	3395.89	4671.57	1963.57	3190.46	1806.78	733.19	18304.63	6426.31	4671.57	417.77	483.38	5672.41	5517.27	5594.3	7485.11	6337.83	7081.29	6840.04	483.38	9808.75	6516.03	5633.22	6207.38	5594.3	7911.95	6561.36	8363.13	6792.79	4123.49	271.48	4972.34	3742.05	5633.22	8078.22	368.65	137.14	115.16	5517.27	7081.29	6337.83	10225.32	6471.02	5076.84	5219.6	8598.28	9474.59	8598.28	7485.11	5711.87	7695.57	8598.28	1183.45	1685.71	3081.75	1883.54	1883.54	2627.46	3280.18	3874.05	2796.65	2777.33	2855.44	3280.18	4419.52	3768.09	3564.78	2682.69	2895.31	4358.66	4671.57	2004.85	2417.67	2796.65	2271.4	4066.71	1950.0	3639.7	3257.52	4802.93	3515.68	2956.17	2976.74	4298.64	2384.37	1628.26
ADH5	1407.55	1551.09	5711.87	6699.25	11992.79	5913.33	4095.0	5479.15	5995.9	7382.04	5403.7	9474.59	5441.3	3257.52	4903.87	7589.61	4671.57	3768.09	3982.99	3768.09	1991.0	7180.15	6840.04	5076.84	3690.52	4575.41	4903.87	5441.3	5366.37	7589.61	6207.38	7280.4	6745.86	2434.5	7331.05	6516.03	6207.38	5872.48	5441.3	5751.61	7230.1	9344.14	5672.41	7331.05	4388.98	6471.02	4903.87	7081.29	6337.83	2032.85	2485.67	2956.17	5751.61	5672.41	5479.15	7589.61	5076.84	5672.41	4836.35	6337.83	7230.1	6887.62	5555.65	4937.99	5913.33	6840.04	2119.22	1447.15	2609.3	1832.01	2502.97	2104.58	2758.13	2855.44	3325.99	3018.3	1936.53	3235.01	2720.15	2895.31	3060.45	2627.46	2855.44	2976.74	2502.97	3103.19	2796.65	2627.46	3039.3	3443.31	2451.44	2645.74	2816.11	3060.45	3060.45	2915.45	3168.41	2875.3	3443.31	2777.33
AGMAT	21.16	127.89	3491.39	3955.48	9215.48	1639.59	381.68	3419.52	4095.0	4607.24	503.95	20881.4	1023.0	1757.34	2591.27	18052.61	2417.67	507.46	1051.79	571.05	397.93	8598.28	6250.56	2468.49	68.07	71.0	3419.52	3124.78	2417.67	5183.54	5403.7	5366.37	3982.99	146.03	8305.36	6037.61	5147.73	4123.49	5183.54	4358.66	4937.99	8658.09	4358.66	2796.65	38.67	4704.07	1662.49	2935.74	4450.27	45.53	50.98	45.21	3395.89	4388.98	3874.05	6561.36	4239.45	5711.87	3325.99	7230.1	5041.77	7081.29	5041.77	3395.89	5112.16	6037.61	1.87	1.89	22.43	38.95	12.93	6.26	19.68	41.81	26.1	11.04	2.56	8.92	6.62	6.41	10.39	19.53	24.63	11.13	11.3	13.52	5.82	17.77	31.22	8.78	17.64	10.96	16.15	6.06	14.14	8.0	5.68	14.78	20.11	91.41
ALDH6A1	55.49	95.34	7230.1	5995.9	10014.87	2537.92	1088.92	5441.3	5995.9	5594.3	1216.75	16727.26	3589.58	4419.52	5711.87	17927.91	2895.31	2400.97	6164.49	332.14	126.12	13123.73	12589.08	4769.75	708.18	1225.22	6607.01	4298.64	5791.62	9279.58	10808.41	8247.98	7433.4	1073.91	9606.86	13492.72	10585.95	10084.54	7966.99	7857.29	7537.18	8901.53	9606.86	3103.19	1167.14	5594.3	2875.3	5872.48	9151.82	341.51	351.14	423.61	4543.8	7857.29	6561.36	12589.08	6426.31	11267.44	8658.09	11424.74	14262.1	15934.98	6983.79	6561.36	12076.21	10512.82	157.68	133.36	490.14	521.76	486.75	679.29	361.04	503.95	414.87	426.57	409.15	713.11	753.83	507.46	417.77	651.58	457.25	842.36	301.33	381.68	312.0	348.71	450.94	743.43	379.04	764.36	438.59	381.68	423.61	808.0	723.08	277.2	435.55	688.78
ASB15	0.0	0.0	96.68	80.57	111.21	31.0	11.82	55.49	40.36	52.82	7.51	138.1	11.55	25.54	21.94	102.25	26.67	8.0	13.32	0.0	0.0	271.48	205.5	96.01	1.27	3.92	153.34	201.25	104.42	59.55	123.5	131.51	116.78	1.55	209.84	110.43	95.34	146.03	123.5	121.79	107.38	212.78	138.1	74.58	0.29	108.14	28.86	76.17	149.12	0.0	0.0	0.0	22.1	103.69	110.43	275.28	77.25	89.51	73.54	220.32	224.97	329.84	112.77	64.34	234.57	157.68	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.52	0.49	0.26	0.0	0.0	0.26	0.0	0.25	0.78	0.0	0.47	0.48	0.0	0.0	0.29	0.0	0.0	1.14	0.0	0.0	0.0	0.0	0.95	0.0	0.0	0.0	0.0
ATE1	218.79	109.66	555.41	444.72	403.5	507.46	470.14	457.25	444.72	423.61	417.77	872.1	271.48	339.14	529.06	669.92	651.58	371.22	928.3	281.09	409.15	591.22	665.29	497.0	463.65	575.03	571.05	629.35	651.58	595.34	738.29	599.49	514.56	607.87	575.03	780.44	660.68	620.67	698.41	583.07	536.45	547.75	575.03	688.78	591.22	674.59	511.0	638.15	629.35	153.34	287.01	420.68	363.56	429.54	497.0	563.18	395.18	500.46	444.72	518.15	591.22	624.99	400.71	579.04	480.04	536.45	134.3	368.65	376.41	285.03	279.14	329.84	295.11	392.44	583.07	256.78	285.03	339.14	417.77	346.29	351.14	444.72	318.57	423.61	384.34	336.79	299.25	314.17	684.02	480.04	366.09	228.13	241.19	267.73	599.49	371.22	348.71	309.83	334.46	152.28
BPHL	555.41	842.36	2591.27	2335.28	8901.53	1304.15	825.0	2537.92	2335.28	4298.64	934.76	5517.27	1832.01	1819.35	1857.6	6887.62	2351.53	1037.29	1628.26	753.83	525.39	4869.99	5255.91	2400.97	738.29	769.69	2591.27	2335.28	2956.17	4481.23	3212.66	4543.8	3564.78	947.83	5041.77	3847.29	2915.45	2835.7	3325.99	3212.66	4181.07	5672.41	3540.14	3372.43	813.63	3235.01	1572.76	2777.33	3467.27	1183.45	1369.04	703.28	3103.19	3515.68	2758.13	4419.52	2835.7	3820.7	2537.92	4450.27	4419.52	3768.09	2997.45	2075.59	3874.05	4388.98	105.15	129.69	289.02	211.31	301.33	198.47	253.23	289.02	397.93	186.4	267.73	244.57	234.57	262.2	279.14	251.48	318.57	325.29	283.05	336.79	190.34	209.84	295.11	273.37	197.09	316.37	379.04	258.57	193.01	214.27	244.57	217.27	293.07	476.71
C11orf54	915.51	215.77	7230.1	8078.22	22225.61	4769.75	2502.97	8305.36	8078.22	13586.57	2335.28	21768.19	8191.0	3212.66	7695.57	15285.81	8363.13	3303.0	3467.27	2417.67	5329.3	18950.18	12160.22	6652.97	1605.83	2976.74	6652.97	7537.18	9344.14	10585.95	10808.41	12415.75	9088.59	2627.46	16960.78	12943.04	10225.32	10154.69	8305.36	9876.98	11345.82	16383.0	9215.48	9808.75	2018.8	9409.14	4736.79	8479.89	10084.54	1457.23	1051.79	808.0	6381.92	6652.97	7695.57	13306.94	6652.97	9876.98	4769.75	8718.32	13586.57	11189.6	8191.0	7589.61	8963.45	11035.54	303.44	325.29	713.11	624.99	529.06	753.83	563.18	713.11	1175.27	759.08	866.07	791.35	733.19	785.88	660.68	813.63	559.28	728.11	718.08	743.43	764.36	583.07	1340.84	884.29	688.78	460.44	660.68	981.29	866.07	708.18	995.0	532.74	813.63	334.46
