	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.145MO.2326.SM.5NQ9K	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.KK.A8ID.01A.11R.A36G.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.G9.6342.11A.02R.1965.07
ADRB1	6.62	4.1	0.58	8.92	11.73	1.31	4.46	0.0	0.24	242.88	211.31	1870.53	400.71	551.56	303.44	226.54	444.72	271.48	447.82	486.75	246.28	595.34	463.65	314.17	314.17	251.48	575.03	273.37	514.56	389.72	336.79	387.02	417.77	674.59	473.41	253.23	444.72	854.13	376.41	209.84
AKAP10	68.07	45.53	77.25	76.71	44.57	74.06	50.98	0.0	0.56	376.41	165.57	454.09	197.09	187.71	293.07	212.78	187.71	180.02	195.72	244.57	145.02	161.02	178.77	267.73	251.48	242.88	325.29	297.17	327.56	242.88	163.28	231.32	153.34	289.02	217.27	199.85	264.03	258.57	170.25	173.85
ANKRD27	133.36	86.43	124.37	55.1	36.01	57.89	40.07	0.0	0.62	353.59	140.04	547.75	307.69	279.14	289.02	318.57	249.73	299.25	363.56	348.71	208.38	197.09	244.57	297.17	277.2	366.09	323.03	476.71	423.61	353.59	242.88	384.34	279.14	334.46	400.71	291.04	438.59	201.25	379.04	334.46
AP1AR	209.84	107.38	169.07	231.32	82.29	232.94	223.41	0.0	0.4	295.11	103.69	974.5	211.31	217.27	249.73	299.25	228.13	271.48	234.57	329.84	145.02	199.85	86.43	255.0	159.9	246.28	237.86	305.55	299.25	343.89	212.78	242.88	229.72	303.44	303.44	297.17	327.56	256.78	198.47	226.54
ASH1L	56.68	39.5	36.79	66.65	24.11	60.82	35.5	0.0	0.67	454.09	106.63	460.44	237.86	212.78	318.57	307.69	139.07	209.84	241.19	309.83	110.43	140.04	132.44	236.21	177.53	224.97	371.22	361.04	466.88	287.01	136.19	291.04	178.77	400.71	289.02	202.66	412.0	223.41	142.01	175.07
ATF7	134.3	186.4	163.28	198.47	155.5	127.0	139.07	0.0	0.57	638.15	518.15	1167.14	591.22	460.44	503.95	521.76	423.61	466.88	543.96	563.18	361.04	607.87	444.72	525.39	497.0	571.05	612.11	507.46	660.68	457.25	392.44	466.88	571.05	669.92	493.56	521.76	647.07	571.05	514.56	412.0
C4orf46	16.39	16.03	9.06	15.45	11.91	12.36	7.4	0.0	0.28	95.34	43.63	303.44	75.11	66.65	74.06	54.72	47.84	54.72	49.56	111.21	41.81	55.49	56.28	70.01	50.63	50.27	62.56	86.43	78.34	88.26	57.49	81.14	59.55	84.63	66.65	57.08	93.35	66.18	57.49	70.01
C5orf28	82.87	99.43	80.01	73.03	58.71	72.52	42.71	0.0	0.43	312.0	127.89	384.34	229.72	212.78	211.31	215.77	138.1	206.94	204.07	269.6	125.24	187.71	156.59	287.01	226.54	232.94	253.23	275.28	285.03	301.33	165.57	279.14	228.13	283.05	232.94	215.77	314.17	295.11	189.02	260.38
CTPS2	130.6	158.79	154.42	113.56	99.43	142.01	204.07	0.0	0.43	351.14	237.86	708.18	253.23	277.2	358.54	417.77	327.56	248.0	348.71	314.17	273.37	450.94	381.68	279.14	197.09	334.46	248.0	251.48	447.82	406.31	346.29	271.48	258.57	371.22	353.59	392.44	429.54	336.79	327.56	253.23
DCLRE1A	71.5	43.02	62.12	59.13	41.22	71.0	79.45	0.0	0.0	241.19	119.26	703.28	138.1	163.28	193.01	173.85	157.68	136.19	177.53	209.84	102.97	228.13	120.94	152.28	223.41	178.77	157.68	189.02	208.38	236.21	127.0	205.5	191.67	237.86	204.07	189.02	239.52	170.25	165.57	114.36
DENND1C	281.09	198.47	277.2	199.85	303.44	229.72	139.07	0.0	0.67	587.13	395.18	854.13	341.51	414.87	555.41	603.67	483.38	507.46	595.34	460.44	269.6	368.65	384.34	607.87	414.87	441.64	490.14	669.92	470.14	563.18	409.15	454.09	387.02	708.18	665.29	412.0	642.59	547.75	341.51	371.22
DNMT3A	82.87	61.68	111.99	80.57	63.45	66.65	42.41	0.0	0.68	206.94	102.25	595.34	206.94	149.12	234.57	159.9	175.07	167.9	130.6	173.85	212.78	150.17	165.57	202.66	127.0	167.9	226.54	177.53	193.01	155.5	144.01	232.94	209.84	185.11	223.41	151.22	221.86	173.85	141.02	123.5
