	TCGA.T9.A92H.01A.11R.A37K.07	TCGA.NH.A50T.01A.11R.A28H.07	TCGA.CA.6715.01A.21R.1839.07	TCGA.5M.AAT4.01A.11R.A41B.07	TCGA.QG.A5YW.01A.11R.A28H.07	TCGA.QG.A5YX.01A.11R.A28H.07	TCGA.AY.6386.01A.21R.1723.07	TCGA.AM.5821.01A.01R.1653.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.11P7K.1526.SM.5EGI7	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.ZPU1.1926.SM.57WDT	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.Q734.1126.SM.48TZY	GTEX.11P82.1026.SM.5BC5J	GTEX.U4B1.1126.SM.4DXV3	GTEX.Q2AI.0926.SM.48U1F	GTEX.146FQ.1926.SM.5NQBY	GTEX.ZY6K.1226.SM.5GZYL	GTEX.R55G.1226.SM.48FDC	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.R53T.1326.SM.48FCQ	GTEX.WFG7.1526.SM.4LVMG	GTEX.13S86.1626.SM.5Q5C5	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.111CU.1426.SM.5GZYP	GTEX.PWOO.1326.SM.48TCJ	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.1399S.1926.SM.5J2M5	GTEX.13D11.0826.SM.5KLZJ	GTEX.SNMC.1126.SM.4DM5M	GTEX.132AR.2726.SM.5PNVN	GTEX.UPIC.1726.SM.4IHKG	GTEX.QV31.0826.SM.4R1KR	GTEX.P4PP.1426.SM.3NM9L	GTEX.11EM3.1526.SM.5A5KN	GTEX.YEC3.2426.SM.5IFJR	GTEX.QDVN.1326.SM.48TZ3	GTEX.12BJ1.2126.SM.5BC5O	GTEX.117YW.1826.SM.5PNY5	GTEX.UJHI.1126.SM.4IHLN	GTEX.Y5LM.1526.SM.4VDTA	GTEX.O5YT.1426.SM.3MJHC	GTEX.13FHP.2426.SM.5KLZ5	GTEX.R55D.1826.SM.48FEF	GTEX.139YR.2126.SM.5KM11	GTEX.13FTW.1826.SM.5IJEN	GTEX.1122O.1526.SM.5N9CL	GTEX.13PL7.2526.SM.5IFGR	GTEX.W5WG.2426.SM.4LMI6	GTEX.OHPM.1426.SM.3TW8Y	GTEX.Y8E4.2426.SM.4WWDN	GTEX.U3ZN.2126.SM.4DXU1	GTEX.13OW6.2126.SM.5N9GL	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.XUZC.1326.SM.4BRV2	GTEX.11DXZ.1726.SM.5H12M	GTEX.13OVJ.1726.SM.5IJDZ	GTEX.XV7Q.2126.SM.4BRVX	GTEX.WOFM.2026.SM.4OOSQ	GTEX.RM2N.0926.SM.48FD1	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.144GN.1126.SM.5LU33	GTEX.QCQG.1626.SM.48U26	GTEX.ZV7C.1526.SM.5NQ72	GTEX.Y3IK.1826.SM.4WWDS	GTEX.QMRM.1226.SM.447C6	GTEX.QEL4.1926.SM.4R1JI	GTEX.Q2AH.1226.SM.48TZL	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.PX3G.0826.SM.48TZS	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.1269C.0626.SM.5FQSS	GTEX.12KS4.1326.SM.5LUB3	GTEX.11ZVC.0726.SM.5FQT9	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13O3O.1826.SM.5IFGW	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.AH.6897.01A.11R.1928.07	GTEX.QXCU.1926.SM.48FE4	GTEX.Q2AI.0826.SM.48TZO
ABCA5	194.36	81.71	109.66	148.09	420.68	339.14	92.7	27.44	791.35	567.1	595.34	363.56	547.75	457.25	540.19	748.61	563.18	693.58	796.86	457.25	866.07	511.0	480.04	291.04	674.59	1015.93	1023.0	974.5	371.22	518.15	283.05	764.36	961.07	432.53	397.93	503.95	514.56	791.35	780.44	246.28	642.59	802.41	780.44	836.53	547.75	358.54	285.03	915.51	532.74	764.36	842.36	327.56	470.14	684.02	587.13	769.69	1191.69	728.11	785.88	607.87	351.14	1104.13	395.18	599.49	854.13	307.69	454.09	848.22	1208.34	567.1	507.46	769.69	1015.93	563.18	476.71	426.57	507.46	551.56	1286.18	540.19	214.27	656.11	563.18	1023.0	728.11	112.77	371.22	209.84	218.79	638.15	295.11	575.03	500.46	624.99	961.07	1322.37	198.47	0.0	0.73	88.88	187.71	267.73
ADAT3	318.57	90.77	81.14	139.07	175.07	75.64	239.52	40.07	332.14	262.2	353.59	384.34	334.46	363.56	275.28	387.02	248.0	423.61	356.05	332.14	157.68	323.03	327.56	273.37	279.14	371.22	665.29	420.68	187.71	295.11	258.57	323.03	339.14	295.11	353.59	426.57	229.72	336.79	412.0	211.31	387.02	363.56	217.27	248.0	255.0	169.07	325.29	332.14	136.19	476.71	423.61	198.47	87.03	395.18	381.68	457.25	525.39	281.09	318.57	334.46	133.36	432.53	144.01	244.57	361.04	137.14	490.14	392.44	334.46	121.79	447.82	361.04	406.31	323.03	260.38	146.03	275.28	316.37	420.68	287.01	283.05	293.07	307.69	454.09	293.07	89.51	70.51	27.25	39.79	29.7	52.45	68.07	55.89	33.78	26.67	32.59	48.18	0.0	0.54	73.54	151.22	218.79
AGPAT3	738.29	395.18	738.29	540.19	884.29	563.18	718.08	414.87	1407.55	860.08	1572.76	1059.11	909.17	785.88	1340.84	1073.91	769.69	819.3	1208.34	1096.5	1662.49	1159.07	1143.1	854.13	947.83	1397.83	1467.37	1233.75	1167.14	1216.75	1104.13	1001.93	1183.45	1135.2	607.87	1540.37	1447.15	1322.37	1183.45	836.53	1628.26	1322.37	1242.34	1268.46	1594.73	764.36	738.29	1268.46	563.18	1313.23	1551.09	947.83	665.29	1191.69	1199.98	1417.35	1487.87	1073.91	974.5	1250.98	1015.93	1268.46	703.28	1001.93	1594.73	941.27	1268.46	1135.2	1378.57	743.43	902.89	1487.87	1191.69	791.35	928.3	988.12	1051.79	961.07	1487.87	830.75	769.69	866.07	1119.56	1331.57	1030.12	995.0	1143.1	1427.22	2018.8	1286.18	1369.04	563.18	679.29	1304.15	1639.59	1051.79	595.34	493.56	77.79	507.46	555.41	878.17
AHCYL2	187.71	239.52	71.5	525.39	241.19	1216.75	412.0	31.22	5555.65	4038.61	7537.18	5831.91	5751.61	3540.14	4704.07	5711.87	4038.61	6792.79	5954.47	5913.33	15180.22	5555.65	6935.54	3742.05	3874.05	8247.98	10154.69	6935.54	4328.55	5147.73	2400.97	5147.73	7749.1	6207.38	2915.45	6699.25	8901.53	5954.47	7642.41	1977.24	7032.37	6887.62	6887.62	5594.3	8134.41	1806.78	2119.22	8078.22	3847.29	5711.87	7857.29	4937.99	1896.65	5479.15	5479.15	6792.79	7589.61	7331.05	6381.92	7280.4	4239.45	7130.55	1313.23	4972.34	6699.25	2537.92	7081.29	5255.91	6516.03	2178.83	2555.58	7642.41	7331.05	3742.05	2664.15	3794.3	3716.2	4066.71	8479.89	4836.35	2520.38	4736.79	4010.71	8598.28	6887.62	72.52	67.59	60.82	96.01	89.51	65.72	63.89	127.0	80.57	191.67	127.0	18.7	0.0	0.2	194.36	1225.22	896.64
ALDH18A1	1896.65	1417.35	2319.15	1369.04	1008.9	1709.26	1199.98	466.88	2335.28	1977.24	2004.85	2555.58	2855.44	1923.14	2367.9	2664.15	2133.97	2935.74	2133.97	2976.74	2701.35	2090.03	1844.76	1896.65	1923.14	3280.18	2956.17	2148.82	2319.15	1991.0	1923.14	2061.24	2047.0	2367.9	1991.0	2997.45	2997.45	2417.67	2287.2	1277.29	3928.15	2502.97	2075.59	2224.63	2627.46	1250.98	1529.73	2367.9	1417.35	3168.41	2335.28	1794.29	698.41	2367.9	2682.69	2119.22	3018.3	2303.12	2119.22	2351.53	2224.63	2997.45	1313.23	1832.01	2417.67	1175.27	2303.12	1832.01	3564.78	1685.71	2104.58	2351.53	2104.58	1857.6	1388.16	1963.57	1857.6	1923.14	2468.49	1844.76	1733.13	2119.22	2468.49	2319.15	2163.77	808.0	226.54	507.46	400.71	363.56	435.55	414.87	305.55	366.09	363.56	155.5	409.15	0.0	0.11	1051.79	775.05	1313.23
ALPI	0.74	1.06	1.99	1.38	7.06	42.41	2.27	0.0	1127.35	703.28	836.53	785.88	629.35	503.95	954.43	775.05	432.53	753.83	961.07	327.56	1008.9	780.44	995.0	441.64	521.76	1781.89	1950.0	1225.22	397.93	490.14	301.33	909.17	493.56	728.11	212.78	764.36	830.75	872.1	860.08	293.07	1066.48	872.1	954.43	902.89	1030.12	170.25	208.38	928.3	633.73	915.51	2032.85	775.05	18.03	486.75	769.69	1540.37	2417.67	813.63	718.08	1015.93	575.03	693.58	101.54	511.0	1183.45	334.46	1397.83	1242.34	1167.14	197.09	237.86	988.12	785.88	275.28	356.05	624.99	423.61	638.15	1001.93	743.43	336.79	647.07	486.75	866.07	1216.75	3.35	0.0	0.0	0.0	0.51	1.11	0.0	5.28	0.0	0.0	11.38	2.14	0.0	0.0	0.0	228.13	0.0
AMACR	915.51	463.65	1870.53	186.4	361.04	507.46	493.56	128.79	2119.22	878.17	3820.7	2303.12	2119.22	1119.56	2555.58	2303.12	1073.91	2367.9	1991.0	2178.83	3742.05	1721.16	2133.97	1167.14	1233.75	2485.67	3168.41	2018.8	1191.69	1745.2	473.41	1508.65	1936.53	1572.76	642.59	2555.58	2997.45	2209.26	2609.3	808.0	2303.12	4123.49	1781.89	2777.33	2739.08	813.63	698.41	1769.57	587.13	2537.92	4123.49	1417.35	612.11	2303.12	1896.65	2573.36	2855.44	2163.77	1685.71	1870.53	1508.65	2835.7	674.59	878.17	2682.69	1167.14	2758.13	2061.24	2997.45	185.11	785.88	2645.74	1605.83	1216.75	808.0	1857.6	1151.06	1487.87	2875.3	1781.89	866.07	1437.15	1628.26	2224.63	2090.03	2591.27	5751.61	3212.66	7537.18	3820.7	2119.22	1304.15	743.43	2255.7	6121.9	3901.01	351.14	0.0	0.0	769.69	275.28	2758.13
ANPEP	19.97	100.83	547.75	7.17	14.14	348.71	61.25	26.1	17927.91	12676.65	20170.07	23656.34	27745.15	12415.75	30361.44	18178.19	7642.41	30785.28	15715.58	23169.48	38966.94	19618.49	19892.37	7642.41	4419.52	28525.2	43840.21	28328.16	10014.87	16383.0	5183.54	31650.8	23009.42	27174.14	2976.74	12764.83	23656.34	15075.35	33224.42	2835.7	40341.14	17804.06	16269.83	22072.07	14065.74	3212.66	4607.24	17437.64	7180.15	21919.61	41475.31	25708.25	1487.87	37121.34	12502.12	14561.8	32315.87	29327.18	17078.76	28132.47	11035.54	16157.44	5076.84	9344.14	18950.18	6079.61	30361.44	17927.91	12415.75	3372.43	8421.31	28723.62	23986.58	28132.47	7180.15	10659.59	14065.74	11664.82	22692.63	9945.68	6381.92	13776.25	9151.82	21026.65	32315.87	7857.29	23820.89	6471.02	11745.96	3190.46	4802.93	2335.28	7382.04	3303.0	5555.65	10808.41	1417.35	0.0	0.72	27.25	73.54	1467.37
APPL2	423.61	289.02	507.46	332.14	376.41	567.1	591.22	163.28	2485.67	2193.99	3103.19	2468.49	2976.74	1529.73	2627.46	2537.92	2032.85	2645.74	3690.52	2303.12	4802.93	2502.97	2935.74	1551.09	2271.4	3901.01	4937.99	2682.69	1857.6	1963.57	1369.04	2976.74	3349.13	3280.18	1769.57	3103.19	2956.17	3467.27	3395.89	1037.29	3742.05	3303.0	2895.31	3665.02	3103.19	1322.37	1340.84	3103.19	1388.16	3212.66	3103.19	2701.35	1304.15	3325.99	2591.27	3280.18	4512.4	3491.39	3190.46	2645.74	1963.57	3103.19	1175.27	2240.11	3443.31	1733.13	3280.18	3257.52	3955.48	1286.18	1250.98	2997.45	3303.0	1909.85	1617.0	2367.9	2417.67	2004.85	4038.61	1733.13	1359.57	2502.97	2935.74	3419.52	3847.29	77.25	146.03	251.48	183.82	176.29	146.03	221.86	121.79	289.02	318.57	277.2	157.68	0.0	0.71	426.57	780.44	679.29
ARHGAP35	224.97	253.23	316.37	295.11	253.23	271.48	334.46	134.3	447.82	358.54	775.05	253.23	368.65	256.78	591.22	384.34	371.22	329.84	591.22	540.19	426.57	316.37	679.29	334.46	409.15	674.59	656.11	693.58	397.93	395.18	470.14	470.14	521.76	507.46	251.48	532.74	575.03	884.29	669.92	480.04	432.53	483.38	470.14	651.58	420.68	412.0	346.29	450.94	395.18	688.78	599.49	371.22	318.57	529.06	532.74	616.37	941.27	612.11	351.14	738.29	417.77	441.64	224.97	460.44	660.68	698.41	941.27	476.71	579.04	177.53	212.78	620.67	518.15	312.0	387.02	651.58	503.95	334.46	521.76	258.57	529.06	389.72	409.15	567.1	395.18	599.49	583.07	381.68	1066.48	854.13	684.02	275.28	591.22	616.37	476.71	543.96	403.5	0.0	0.41	223.41	620.67	346.29
