	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.XF.AAMJ.01A.11R.A42T.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.A2.A0CZ.01A.11R.A034.07	TCGA.E9.A22A.01A.11R.A157.07	TCGA.BH.A0EI.01A.11R.A115.07	TCGA.BH.A0B0.01A.21R.A115.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.AC.A3W6.01A.12R.A22K.07	TCGA.D8.A1JE.01A.11R.A13Q.07	TCGA.D8.A1XM.01A.21R.A14M.07	TCGA.A1.A0SI.01A.11R.A144.07	TCGA.LL.A440.01A.11R.A24H.07	TCGA.AN.A03X.01A.21R.A00Z.07	TCGA.EW.A1J2.01A.21R.A13Q.07	TCGA.AC.A23G.01A.11R.A213.07	TCGA.BH.A0BF.01A.21R.A12P.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.A2.A0CS.01A.11R.A115.07	TCGA.AC.A7VC.01A.11R.A352.07	TCGA.AR.A24T.01A.11R.A169.07	TCGA.BH.A0DV.01A.21R.A12P.07	TCGA.E9.A229.01A.31R.A157.07	TCGA.BH.A1EO.01A.11R.A137.07	TCGA.BH.A1FE.01A.11R.A13Q.07	TCGA.D8.A1XY.01A.11R.A14M.07	TCGA.EW.A2FR.01A.11R.A21T.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.D8.A1XB.01A.11R.A14D.07	TCGA.E9.A22E.01A.11R.A157.07	TCGA.AR.A24V.01A.21R.A169.07	TCGA.E9.A1RI.01A.11R.A169.07	TCGA.E9.A1NF.01A.11R.A14D.07	TCGA.AR.A24P.01A.11R.A169.07	TCGA.A2.A0T6.01A.11R.A084.07	TCGA.D8.A141.01A.11R.A115.07	TCGA.E2.A1IN.01A.11R.A13Q.07	TCGA.AR.A2LQ.01A.22R.A18M.07	TCGA.BH.A0DI.01A.21R.A12P.07	TCGA.BH.A0H7.01A.13R.A056.07	TCGA.OL.A97C.01A.32R.A41B.07	TCGA.AN.A0FN.01A.11R.A034.07	GTEX.ZF2S.2026.SM.5E461	GTEX.T5JW.2026.SM.4DM63	GTEX.TML8.0726.SM.4DXTT	GTEX.S4UY.1426.SM.4AD6Y	TCGA.CN.6016.01A.11R.1686.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CQ.6221.01A.11R.2081.07	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.14753.1626.SM.5NQ9L	TCGA.44.6774.01A.21R.1858.07	TCGA.85.6175.01A.11R.1820.07	TCGA.BR.A4IZ.01A.32R.A251.31	TCGA.NA.A4QV.01A.11R.A28V.07	GTEX.T2IS.2226.SM.4DM65
ADAM21	0.4	2.58	1.83	4.28	1.57	4.54	3.63	4.06	15.56	4.78	4.17	3.53	19.11	8.38	2.71	1.53	11.04	0.44	5.19	2.51	3.11	3.53	3.11	11.38	4.54	6.16	2.63	9.2	9.63	3.08	3.92	1.83	2.73	2.97	13.42	4.35	13.22	3.29	9.06	3.92	16.15	11.38	2.14	1.97	3.14	21.63	3.79	2.05	4.46	0.95	0.55	1.69	1.83	2.23	0.0	1.01	1.95	0.0	1.13	0.68	0.0	1.28	1.28	1.0	3.14	2.71	3.86	29.7	2.56
AEBP2	224.97	351.14	299.25	348.71	647.07	281.09	262.2	483.38	381.68	373.81	183.82	447.82	376.41	299.25	525.39	353.59	633.73	291.04	466.88	371.22	518.15	406.31	204.07	579.04	450.94	283.05	693.58	583.07	518.15	332.14	305.55	435.55	297.17	941.27	529.06	329.84	587.13	575.03	412.0	327.56	511.0	387.02	283.05	323.03	435.55	808.0	318.57	466.88	660.68	395.18	201.25	348.71	205.5	599.49	61.68	102.25	110.43	138.1	69.03	135.24	163.28	151.22	112.77	119.26	387.02	497.0	536.45	234.57	343.89
ANKRD13C	153.34	214.27	186.4	273.37	371.22	212.78	194.36	327.56	228.13	323.03	220.32	307.69	314.17	231.32	242.88	166.73	295.11	214.27	205.5	299.25	429.54	124.37	162.14	476.71	193.01	299.25	309.83	295.11	256.78	226.54	193.01	285.03	289.02	279.14	339.14	195.72	339.14	305.55	239.52	267.73	318.57	220.32	223.41	202.66	244.57	295.11	176.29	226.54	224.97	170.25	111.21	283.05	234.57	182.55	74.58	125.24	84.63	94.01	48.18	88.88	92.05	85.22	76.17	190.34	223.41	187.71	327.56	182.55	139.07
AP2B1	941.27	1208.34	1685.71	2148.82	4836.35	2104.58	1369.04	2701.35	1388.16	1477.58	1242.34	3443.31	4639.29	1143.1	1467.37	1628.26	3639.7	2271.4	2178.83	2796.65	2351.53	2335.28	1081.39	2796.65	2193.99	2720.15	3325.99	3589.58	2720.15	1806.78	1369.04	3419.52	1487.87	2701.35	3742.05	1551.09	5594.3	2777.33	2758.13	2104.58	1883.54	2645.74	1883.54	2664.15	1819.35	4704.07	1487.87	2133.97	2240.11	1159.07	733.19	1447.15	1437.15	1183.45	234.57	460.44	353.59	358.54	417.77	389.72	409.15	320.8	426.57	476.71	1709.26	1781.89	2047.0	1143.1	1111.82
ARID4B	157.68	244.57	217.27	435.55	674.59	269.6	358.54	493.56	343.89	334.46	353.59	587.13	759.08	540.19	409.15	379.04	902.89	358.54	624.99	392.44	612.11	318.57	117.6	679.29	409.15	860.08	647.07	738.29	674.59	490.14	351.14	753.83	457.25	532.74	612.11	236.21	872.1	688.78	638.15	555.41	521.76	466.88	215.77	536.45	543.96	928.3	366.09	295.11	493.56	217.27	242.88	189.02	215.77	273.37	82.29	140.04	115.16	102.25	20.86	136.19	140.04	108.14	82.87	57.89	323.03	406.31	486.75	281.09	159.9
ARL17A	77.79	107.38	120.1	130.6	110.43	59.97	49.91	120.94	53.19	57.49	67.12	128.79	229.72	70.51	215.77	137.14	181.28	197.09	103.69	143.01	147.06	52.82	42.71	285.03	142.01	251.48	108.9	251.48	127.89	115.16	64.8	232.94	44.25	172.65	438.59	102.97	256.78	316.37	146.03	99.43	183.82	221.86	74.06	100.83	232.94	400.71	191.67	129.69	162.14	50.98	35.25	26.47	53.95	48.52	13.72	26.47	27.84	20.26	49.91	28.45	38.67	65.26	68.07	34.26	108.14	100.83	116.78	172.65	102.25
ASH1L	72.01	204.07	147.06	387.02	583.07	264.03	226.54	460.44	348.71	271.48	186.4	559.28	713.11	525.39	341.51	314.17	830.75	397.93	395.18	363.56	503.95	221.86	115.97	536.45	447.82	518.15	587.13	454.09	395.18	258.57	212.78	733.19	211.31	363.56	417.77	209.84	1008.9	638.15	460.44	476.71	599.49	283.05	267.73	334.46	289.02	764.36	214.27	211.31	273.37	199.85	125.24	151.22	112.77	208.38	60.82	68.07	66.65	55.49	24.11	74.06	60.82	60.82	76.17	35.25	267.73	312.0	366.09	251.48	142.01
ATP6V0A2	182.55	149.12	123.5	198.47	314.17	111.99	166.73	260.38	102.25	177.53	131.51	287.01	291.04	291.04	229.72	318.57	277.2	212.78	209.84	265.87	307.69	199.85	156.59	285.03	221.86	241.19	211.31	303.44	332.14	299.25	295.11	287.01	135.24	341.51	318.57	161.02	253.23	260.38	220.32	189.02	197.09	129.69	260.38	249.73	226.54	253.23	277.2	87.65	143.01	249.73	124.37	206.94	122.64	253.23	107.38	76.17	78.89	57.49	52.82	90.77	81.14	63.45	89.51	59.97	323.03	341.51	224.97	181.28	141.02
ATRX	117.6	249.73	201.25	356.05	693.58	283.05	223.41	769.69	277.2	343.89	229.72	603.67	563.18	373.81	325.29	273.37	567.1	312.0	389.72	371.22	583.07	271.48	143.01	651.58	316.37	483.38	591.22	665.29	493.56	417.77	320.8	497.0	223.41	426.57	543.96	283.05	595.34	483.38	356.05	309.83	454.09	363.56	246.28	320.8	409.15	547.75	368.65	334.46	441.64	231.32	165.57	231.32	236.21	392.44	68.55	76.71	94.01	90.77	27.25	131.51	116.78	79.45	118.43	84.04	281.09	493.56	616.37	281.09	156.59
BDP1	117.6	140.04	100.83	293.07	325.29	145.02	132.44	409.15	127.0	173.85	176.29	412.0	339.14	291.04	267.73	136.19	387.02	186.4	198.47	215.77	638.15	189.02	102.97	299.25	147.06	373.81	384.34	332.14	351.14	224.97	224.97	384.34	136.19	483.38	543.96	208.38	723.08	368.65	248.0	289.02	289.02	229.72	125.24	172.65	267.73	389.72	159.9	137.14	159.9	95.34	94.01	129.69	92.05	157.68	67.12	45.85	82.87	67.59	23.42	75.64	82.87	69.52	65.72	55.1	180.02	262.2	327.56	167.9	146.03
BECN1	1059.11	1437.15	1135.2	2163.77	1467.37	1662.49	1135.2	1963.57	1397.83	1250.98	1208.34	2287.2	2835.7	1191.69	1769.57	1832.01	3018.3	1806.78	1388.16	2319.15	3665.02	2047.0	1183.45	1977.24	1551.09	1819.35	1896.65	1950.0	2502.97	1991.0	1369.04	1819.35	1135.2	2075.59	3039.3	1167.14	2915.45	1819.35	1662.49	1870.53	1529.73	1639.59	2193.99	1832.01	1844.76	2104.58	1572.76	1066.48	1286.18	1617.0	988.12	995.0	1605.83	1378.57	511.0	733.19	660.68	713.11	684.02	698.41	665.29	878.17	759.08	656.11	1572.76	1498.22	1119.56	1175.27	1059.11
BPTF	297.17	796.86	403.5	947.83	1388.16	1143.1	934.76	1044.52	507.46	603.67	466.88	1015.93	1313.23	825.0	884.29	633.73	1331.57	638.15	1427.22	934.76	1794.29	567.1	389.72	1135.2	723.08	1242.34	1008.9	1617.0	1259.69	624.99	493.56	1295.13	555.41	995.0	1437.15	674.59	1508.65	1008.9	860.08	775.05	836.53	1242.34	470.14	595.34	796.86	1870.53	791.35	607.87	688.78	543.96	303.44	348.71	366.09	536.45	348.71	287.01	229.72	236.21	80.57	223.41	246.28	239.52	205.5	167.9	830.75	1199.98	1044.52	842.36	688.78
BRCC3	135.24	256.78	248.0	353.59	423.61	373.81	395.18	753.83	409.15	395.18	271.48	638.15	563.18	460.44	336.79	353.59	540.19	314.17	483.38	872.1	1135.2	414.87	191.67	493.56	371.22	612.11	842.36	674.59	417.77	368.65	249.73	616.37	460.44	429.54	633.73	454.09	624.99	450.94	444.72	529.06	361.04	406.31	307.69	260.38	368.65	587.13	438.59	197.09	198.47	181.28	185.11	170.25	269.6	265.87	140.04	123.5	135.24	108.14	52.82	133.36	128.79	140.04	149.12	127.0	295.11	314.17	293.07	125.24	218.79
C16orf52	236.21	137.14	187.71	155.5	258.57	159.9	153.34	265.87	167.9	156.59	157.68	346.29	177.53	186.4	215.77	193.01	226.54	156.59	159.9	173.85	441.64	162.14	185.11	220.32	161.02	224.97	267.73	202.66	314.17	180.02	183.82	242.88	197.09	241.19	303.44	208.38	287.01	204.07	189.02	256.78	236.21	146.03	132.44	189.02	215.77	231.32	191.67	181.28	242.88	104.42	151.22	144.01	158.79	183.82	81.71	142.01	155.5	138.1	96.68	145.02	139.07	125.24	112.77	85.22	193.01	178.77	253.23	127.89	183.82
CCDC43	221.86	220.32	223.41	599.49	314.17	353.59	314.17	403.5	237.86	314.17	229.72	547.75	921.88	368.65	358.54	397.93	567.1	366.09	343.89	480.04	902.89	438.59	256.78	470.14	346.29	579.04	583.07	547.75	860.08	414.87	361.04	599.49	387.02	679.29	1030.12	309.83	703.28	450.94	454.09	616.37	376.41	470.14	457.25	363.56	460.44	559.28	551.56	314.17	327.56	295.11	229.72	262.2	239.52	307.69	58.71	109.66	112.77	81.14	68.55	105.15	103.69	90.14	109.66	52.45	403.5	332.14	323.03	447.82	303.44
CCDC6	346.29	595.34	371.22	470.14	753.83	808.0	1250.98	1066.48	1051.79	785.88	567.1	921.88	1143.1	1127.35	490.14	624.99	928.3	595.34	1030.12	934.76	2701.35	674.59	316.37	1081.39	723.08	854.13	878.17	1594.73	921.88	884.29	438.59	890.44	450.94	921.88	1059.11	674.59	1199.98	1104.13	1199.98	587.13	1088.92	1104.13	532.74	473.41	559.28	796.86	571.05	376.41	336.79	438.59	325.29	490.14	325.29	674.59	138.1	150.17	118.43	86.43	96.68	127.89	173.85	121.79	99.43	99.43	748.61	555.41	642.59	1001.93	336.79
CCNT2	108.9	193.01	275.28	248.0	329.84	183.82	224.97	373.81	303.44	232.94	223.41	426.57	327.56	281.09	314.17	136.19	447.82	194.36	312.0	234.57	454.09	148.09	72.52	325.29	187.71	420.68	325.29	406.31	224.97	244.57	229.72	316.37	201.25	234.57	387.02	231.32	444.72	312.0	318.57	264.03	348.71	228.13	161.02	218.79	307.69	423.61	301.33	221.86	293.07	128.79	175.07	108.9	120.94	185.11	107.38	87.65	158.79	98.04	24.63	112.77	117.6	123.5	117.6	53.95	260.38	291.04	295.11	299.25	198.47
CDK12	157.68	318.57	228.13	447.82	575.03	368.65	265.87	563.18	271.48	295.11	265.87	665.29	819.3	384.34	559.28	332.14	890.44	470.14	507.46	591.22	961.07	291.04	246.28	543.96	368.65	674.59	559.28	860.08	860.08	743.43	361.04	890.44	236.21	688.78	981.29	329.84	947.83	660.68	587.13	403.5	595.34	463.65	403.5	521.76	371.22	1127.35	395.18	423.61	366.09	228.13	189.02	255.0	223.41	289.02	144.01	158.79	151.22	161.02	105.15	157.68	147.06	151.22	170.25	54.72	423.61	540.19	454.09	353.59	283.05
COL1A2	223512.12	258533.99	116501.39	215898.44	159145.95	119776.72	140478.49	119776.72	145432.49	318292.9	100719.65	171754.88	51417.5	150561.19	118127.7	200048.85	68793.23	140478.49	148488.36	280957.98	74760.09	133825.1	88291.3	104271.56	130165.62	124000.67	112532.89	77934.88	106462.55	143430.26	189257.69	113315.62	267651.2	144427.91	115696.65	189257.69	73221.53	97288.74	120609.84	128373.58	187950.38	146444.06	167058.21	174152.51	182810.84	102836.01	296977.71	506427.83	137587.47	159145.95	119776.72	214407.12	434801.29	234624.45	271.48	1369.04	808.0	181.28	470.14	279.14	226.54	353.59	334.46	105.89	146444.06	170568.48	148488.36	155870.75	102125.66
CTDSPL2	96.01	182.55	163.28	346.29	540.19	299.25	260.38	368.65	307.69	346.29	189.02	395.18	486.75	320.8	277.2	392.44	486.75	316.37	320.8	376.41	466.88	154.42	190.34	529.06	366.09	532.74	470.14	493.56	384.34	373.81	239.52	389.72	229.72	389.72	423.61	264.03	651.58	540.19	307.69	323.03	441.64	325.29	336.79	406.31	358.54	567.1	255.0	332.14	303.44	175.07	108.9	194.36	114.36	339.14	66.18	50.98	69.52	56.28	37.59	62.12	77.25	53.95	69.52	49.21	237.86	358.54	379.04	299.25	177.53
DCAF17	52.82	96.68	98.73	169.07	223.41	145.02	189.02	293.07	158.79	144.01	100.83	269.6	218.79	169.07	169.07	201.25	264.03	112.77	209.84	154.42	327.56	111.99	39.22	285.03	159.9	255.0	293.07	297.17	260.38	164.42	125.24	242.88	117.6	154.42	277.2	171.45	244.57	228.13	214.27	133.36	201.25	139.07	113.56	185.11	181.28	320.8	191.67	139.07	92.7	95.34	88.88	80.01	78.34	141.02	40.07	33.78	62.12	40.36	29.27	46.84	35.0	34.02	48.52	32.82	149.12	191.67	185.11	141.02	128.79
DDX46	287.01	368.65	299.25	511.0	764.36	450.94	444.72	647.07	532.74	490.14	511.0	848.22	1151.06	579.04	612.11	540.19	928.3	575.03	612.11	656.11	607.87	486.75	555.41	842.36	543.96	934.76	603.67	860.08	878.17	759.08	583.07	954.43	361.04	1250.98	819.3	486.75	967.76	961.07	629.35	769.69	780.44	616.37	514.56	842.36	525.39	1143.1	656.11	325.29	529.06	438.59	289.02	297.17	283.05	470.14	327.56	283.05	199.85	206.94	126.12	248.0	239.52	271.48	271.48	116.78	540.19	595.34	638.15	559.28	348.71
DDX52	189.02	223.41	400.71	309.83	376.41	232.94	215.77	361.04	205.5	231.32	147.06	366.09	599.49	170.25	314.17	283.05	387.02	275.28	353.59	309.83	432.53	262.2	209.84	376.41	234.57	435.55	432.53	591.22	444.72	318.57	287.01	384.34	232.94	454.09	616.37	214.27	579.04	397.93	343.89	327.56	275.28	314.17	256.78	241.19	327.56	583.07	473.41	273.37	223.41	212.78	145.02	165.57	195.72	241.19	70.51	107.38	112.77	130.6	60.39	108.14	152.28	140.04	102.97	56.28	303.44	267.73	316.37	279.14	320.8
DDX58	112.77	94.01	198.47	279.14	371.22	256.78	703.28	265.87	698.41	248.0	281.09	921.88	1081.39	536.45	189.02	414.87	559.28	180.02	981.29	228.13	723.08	651.58	55.89	547.75	256.78	1909.85	450.94	1073.91	1199.98	217.27	323.03	547.75	429.54	1208.34	547.75	466.88	480.04	356.05	808.0	239.52	194.36	232.94	226.54	147.06	432.53	723.08	267.73	289.02	173.85	265.87	36.79	52.08	100.13	106.63	97.36	111.21	82.29	78.34	56.68	113.56	127.0	84.63	97.36	57.89	348.71	249.73	353.59	119.26	100.83
DHX8	490.14	679.29	647.07	1051.79	703.28	860.08	540.19	909.17	536.45	813.63	563.18	954.43	1286.18	563.18	713.11	480.04	902.89	866.07	540.19	909.17	967.76	974.5	825.0	872.1	878.17	769.69	896.64	884.29	866.07	995.0	775.05	884.29	633.73	995.0	1216.75	563.18	1143.1	909.17	813.63	775.05	693.58	866.07	819.3	813.63	769.69	759.08	571.05	848.22	909.17	708.18	842.36	748.61	708.18	563.18	223.41	432.53	358.54	281.09	256.78	226.54	275.28	271.48	277.2	156.59	738.29	780.44	540.19	753.83	753.83
DNAJB14	123.5	176.29	146.03	281.09	441.64	205.5	289.02	381.68	170.25	287.01	172.65	332.14	470.14	256.78	275.28	258.57	406.31	242.88	283.05	301.33	579.04	116.78	91.41	435.55	255.0	426.57	403.5	450.94	403.5	341.51	271.48	397.93	242.88	327.56	450.94	208.38	493.56	400.71	289.02	258.57	327.56	248.0	312.0	248.0	358.54	429.54	177.53	180.02	329.84	178.77	135.24	158.79	162.14	185.11	84.63	67.12	102.25	70.01	26.47	85.82	85.22	88.26	96.68	52.45	218.79	293.07	293.07	147.06	153.34
DPP8	77.79	209.84	206.94	314.17	612.11	217.27	246.28	381.68	206.94	264.03	169.07	309.83	409.15	199.85	301.33	173.85	356.05	363.56	236.21	339.14	406.31	164.42	128.79	414.87	262.2	295.11	309.83	373.81	320.8	273.37	221.86	312.0	162.14	275.28	323.03	226.54	400.71	460.44	255.0	264.03	384.34	271.48	183.82	287.01	255.0	583.07	251.48	135.24	228.13	206.94	136.19	113.56	131.51	232.94	65.26	40.64	63.45	52.82	29.7	70.51	89.51	63.0	95.34	34.26	211.31	255.0	318.57	218.79	161.02
