	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.E7.A7DV.01A.11R.A33J.07	TCGA.XF.A9SJ.01A.11R.A39I.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.ZF.AA53.01A.11R.A39I.07	TCGA.DK.A2HX.01A.12R.A18C.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.AR.A2LQ.01A.22R.A18M.07	GTEX.ZF2S.2026.SM.5E461	GTEX.TML8.0726.SM.4DXTT	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.85.6175.01A.11R.1820.07	TCGA.77.8008.01A.21R.2187.07	TCGA.BR.A4IZ.01A.32R.A251.31
AGO3	117.6	69.03	58.3	74.58	75.64	65.26	66.18	149.12	127.89	111.99	154.42	120.1	85.22	108.9	146.03	148.09	205.5	187.71
AKAP9	183.82	172.65	291.04	473.41	275.28	214.27	679.29	1059.11	728.11	426.57	1191.69	2255.7	366.09	389.72	1143.1	583.07	473.41	796.86
AL161915.1	8.99	12.36	9.78	26.86	17.9	6.57	14.14	21.32	25.91	22.75	34.02	65.72	77.79	23.93	21.47	31.45	19.97	49.21
API5	525.39	395.18	463.65	738.29	780.44	679.29	759.08	1369.04	1594.73	1023.0	1350.18	1674.06	1051.79	559.28	1617.0	967.76	902.89	1127.35
ARHGEF12	194.36	260.38	163.28	540.19	129.69	190.34	813.63	1498.22	802.41	507.46	1008.9	1605.83	457.25	241.19	708.18	769.69	507.46	830.75
ARID1A	237.86	81.14	149.12	532.74	265.87	182.55	336.79	954.43	616.37	500.46	718.08	1286.18	633.73	281.09	738.29	915.51	733.19	860.08
ATF2	255.0	224.97	122.64	371.22	151.22	128.79	198.47	688.78	514.56	438.59	543.96	693.58	624.99	371.22	457.25	612.11	470.14	651.58
ATG14	94.01	54.33	66.65	166.73	90.77	99.43	189.02	228.13	134.3	154.42	246.28	389.72	246.28	124.37	246.28	234.57	169.07	151.22
ATG2B	71.0	40.36	36.79	121.79	39.79	35.76	68.55	281.09	197.09	142.01	218.79	423.61	100.83	77.79	141.02	229.72	172.65	206.94
ATRN	194.36	356.05	277.2	473.41	204.07	194.36	480.04	1313.23	1023.0	679.29	669.92	791.35	536.45	476.71	656.11	688.78	674.59	366.09
ATXN1	180.02	94.01	50.27	400.71	135.24	84.04	150.17	414.87	497.0	412.0	395.18	497.0	275.28	371.22	591.22	529.06	363.56	447.82
ATXN1L	128.79	90.77	44.89	246.28	65.72	134.3	187.71	435.55	293.07	255.0	343.89	525.39	295.11	143.01	348.71	379.04	334.46	301.33
BAZ2B	84.63	55.49	30.78	275.28	63.89	45.21	147.06	651.58	327.56	232.94	503.95	1216.75	450.94	119.26	316.37	511.0	260.38	426.57
