	GTEX.ZF2S.2026.SM.5E461	TCGA.38.4626.11A.01R.1758.07	GTEX.132NY.1226.SM.5PNVF	GTEX.YF7O.0626.SM.4W21R	GTEX.13U4I.1426.SM.5J2M3	GTEX.12WSI.0826.SM.5EGKD	GTEX.13O3O.0726.SM.5J1N7	GTEX.1313W.0926.SM.5EQ56	GTEX.Y5V5.0826.SM.4VBQD	GTEX.12584.1426.SM.5EGJ9	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.13OVH.1026.SM.5J2NP	GTEX.S7SE.0926.SM.2XCD6	GTEX.147F4.0926.SM.5Q5EO	GTEX.147JS.1226.SM.5RQK4	GTEX.V1D1.0826.SM.3P5ZA	GTEX.WFJO.0326.SM.3GIL3	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.XUJ4.1426.SM.4BONT	GTEX.131YS.0926.SM.5IJB9	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11GSP.0726.SM.5986L	GTEX.12696.1026.SM.5FQUV	GTEX.U3ZH.0526.SM.3DB75	GTEX.11NV4.1126.SM.5HL6J	GTEX.11EMC.0126.SM.5EGKV	GTEX.OHPL.0526.SM.3NM8U	GTEX.13FLV.0426.SM.5KLZA	GTEX.ZAB5.0626.SM.5PNVB	GTEX.WRHU.0226.SM.3MJFV	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.11NUK.0826.SM.5HL4U	GTEX.145MF.0726.SM.5Q5BT	GTEX.W5X1.0526.SM.3GILH	GTEX.SIU8.0926.SM.5SI87	GTEX.ZYT6.0526.SM.5GIEA	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.ZPIC.0626.SM.57WDY	GTEX.OXRL.0526.SM.2I3EZ	GTEX.VJYA.0326.SM.3GAEX	GTEX.T2IS.0526.SM.32QP9	GTEX.SUCS.0626.SM.32PM5	GTEX.PLZ5.0726.SM.2I5F9	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.144GO.0226.SM.5LUB1	GTEX.WYVS.0526.SM.3NM9W	GTEX.131XH.0426.SM.5DUWU
AC005003.1	16.88	7.34	12.0	23.76	19.11	14.56	4.17	0.84	9.34	7.22	5.5	4.13	23.42	4.82	9.06	16.63	21.94	31.9	4.78	18.56	36.27	1.23	2.89	38.12	16.39	3.2	4.17	21.94	11.82	13.42	20.41	35.25	8.85	9.48	14.45	12.18	19.25	9.56	15.56	45.53	11.3	9.27	12.55	21.01	7.75	4.46	5.82	9.93	3.96	10.63	5.5	13.72	8.06
AGGF1	536.45	169.07	126.12	301.33	264.03	202.66	115.16	205.5	234.57	51.71	209.84	115.16	303.44	110.43	190.34	281.09	351.14	314.17	110.43	277.2	376.41	80.57	125.24	314.17	351.14	53.19	156.59	323.03	145.02	303.44	241.19	325.29	201.25	183.82	423.61	144.01	325.29	281.09	327.56	293.07	379.04	260.38	283.05	389.72	92.7	150.17	75.11	162.14	159.9	123.5	155.5	260.38	123.5
AL161915.1	65.72	15.45	12.93	19.97	48.87	24.81	5.5	21.16	25.17	2.92	21.47	22.92	47.84	5.77	17.25	45.21	25.72	82.29	6.84	15.11	23.59	22.59	3.41	31.0	48.87	3.03	14.14	24.81	4.24	37.05	26.67	24.28	16.63	17.9	29.48	13.52	38.67	52.82	24.28	39.5	21.47	37.05	38.4	46.5	7.57	16.51	1.28	14.67	15.91	7.69	6.06	25.35	11.64
AL357673.1	117.6	39.22	17.38	61.68	115.97	43.63	5.11	21.47	62.56	12.27	36.01	11.91	115.97	13.93	22.75	77.79	67.12	94.67	21.94	35.76	67.12	17.25	28.24	90.77	107.38	11.73	25.91	57.49	27.44	88.88	26.47	92.7	44.25	30.78	73.03	35.76	101.54	42.41	58.3	71.0	76.17	85.82	93.35	73.03	23.25	20.56	14.89	32.82	14.24	23.08	7.88	42.41	21.16
ALKBH8	249.73	34.26	32.36	100.83	142.01	52.08	25.35	35.25	60.39	31.22	60.82	36.01	169.07	30.12	48.87	112.77	142.01	102.25	29.48	57.89	191.67	31.67	29.91	129.69	139.07	5.96	44.25	107.38	44.89	108.9	52.45	145.02	108.9	90.14	143.01	37.05	122.64	101.54	113.56	114.36	142.01	108.14	102.25	162.14	39.5	50.63	17.51	57.49	48.52	38.67	28.04	78.34	28.04
AP3M1	1225.22	351.14	334.46	563.18	518.15	497.0	249.73	547.75	525.39	134.3	363.56	395.18	738.29	202.66	529.06	607.87	759.08	447.82	287.01	518.15	633.73	236.21	269.6	638.15	954.43	144.01	309.83	571.05	287.01	808.0	547.75	555.41	490.14	429.54	708.18	500.46	703.28	688.78	674.59	579.04	529.06	483.38	297.17	836.53	314.17	262.2	229.72	287.01	339.14	287.01	239.52	620.67	215.77
ASTE1	234.57	115.97	36.01	126.12	166.73	53.57	43.63	64.34	98.73	27.64	84.63	36.01	172.65	28.24	75.64	177.53	155.5	187.71	57.08	69.03	164.42	29.27	57.49	155.5	191.67	19.68	49.91	140.04	80.01	177.53	45.53	189.02	96.68	76.71	249.73	57.89	176.29	96.68	139.07	143.01	170.25	140.04	143.01	170.25	35.76	48.87	28.65	62.12	56.28	66.18	37.85	97.36	43.63
ATMIN	1037.29	323.03	224.97	587.13	387.02	450.94	204.07	301.33	314.17	165.57	327.56	205.5	521.76	214.27	353.59	389.72	642.59	503.95	273.37	525.39	438.59	142.01	234.57	503.95	559.28	183.82	423.61	454.09	303.44	514.56	341.51	547.75	332.14	339.14	470.14	241.19	426.57	343.89	616.37	536.45	595.34	329.84	432.53	703.28	221.86	187.71	301.33	389.72	314.17	271.48	172.65	373.81	229.72
C1orf131	480.04	195.72	136.19	186.4	339.14	175.07	95.34	201.25	197.09	61.25	285.03	183.82	414.87	72.01	206.94	346.29	237.86	241.19	94.67	190.34	267.73	181.28	111.99	312.0	486.75	36.79	105.89	228.13	106.63	262.2	195.72	253.23	185.11	165.57	366.09	125.24	334.46	256.78	191.67	120.94	186.4	249.73	161.02	309.83	79.45	167.9	82.29	157.68	150.17	108.14	111.21	223.41	105.15
C2CD5	890.44	291.04	102.97	376.41	583.07	195.72	110.43	264.03	480.04	130.6	429.54	126.12	587.13	166.73	204.07	429.54	555.41	638.15	119.26	563.18	674.59	145.02	152.28	521.76	896.64	64.34	199.85	361.04	201.25	514.56	323.03	633.73	392.44	260.38	848.22	264.03	595.34	470.14	384.34	438.59	341.51	511.0	563.18	688.78	223.41	176.29	84.63	283.05	155.5	253.23	102.25	395.18	193.01
CCDC132	624.99	206.94	169.07	287.01	334.46	161.02	42.11	181.28	248.0	47.5	171.45	128.79	381.68	71.5	165.57	320.8	395.18	258.57	124.37	193.01	373.81	118.43	117.6	249.73	397.93	46.84	97.36	241.19	74.06	429.54	193.01	351.14	195.72	144.01	529.06	197.09	343.89	373.81	283.05	258.57	264.03	356.05	287.01	444.72	120.94	121.79	81.71	162.14	108.14	104.42	70.51	291.04	98.04
CHST10	579.04	72.52	212.78	336.79	265.87	59.13	29.06	36.01	291.04	42.41	115.16	23.25	277.2	17.64	108.14	197.09	214.27	432.53	30.34	234.57	525.39	50.27	212.78	239.52	234.57	15.68	43.32	368.65	72.52	275.28	123.5	224.97	124.37	62.56	229.72	18.7	693.58	285.03	242.88	320.8	454.09	223.41	275.28	234.57	144.01	42.11	18.56	59.97	48.87	108.14	18.84	265.87	20.56
CLCN3	1477.58	236.21	237.86	493.56	379.04	258.57	140.04	172.65	420.68	115.97	265.87	102.25	400.71	255.0	271.48	264.03	551.56	395.18	124.37	336.79	511.0	169.07	197.09	450.94	361.04	118.43	209.84	483.38	122.64	536.45	351.14	551.56	232.94	358.54	629.35	175.07	454.09	579.04	579.04	698.41	583.07	339.14	395.18	583.07	197.09	199.85	145.02	153.34	241.19	202.66	156.59	414.87	212.78
