	TCGA.A7.A26I.01B.06R.A22O.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.RVPV.1726.SM.5SI8C	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.BJ.A2N8.11A.11R.A18C.07	TCGA.EM.A1CW.11A.12R.A13Y.07	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.113JC.0126.SM.5EGJW	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.12584.0826.SM.5FQSK	GTEX.13FLV.0226.SM.5J2OF	GTEX.12ZZZ.1226.SM.59HK1	GTEX.OIZI.0726.SM.2XCEI	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.WWYW.0826.SM.3NB2X	GTEX.REY6.0526.SM.2TF5M	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.WHSE.0626.SM.4RGNF	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.WY7C.0226.SM.3NB37	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.PLZ4.1226.SM.2I5FE	GTEX.11VI4.0226.SM.5GU6C	GTEX.TSE9.0626.SM.3DB8B	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.111FC.1026.SM.5GZX1
AK1	351.14	693.58	1936.53	13033.07	12076.21	11584.24	8022.41	14971.21	10512.82	12589.08	19482.97	10659.59	3018.3	1685.71	2816.11	1870.53	7537.18	4038.61	1350.18	4607.24	4210.15	4607.24	775.05	3349.13	3665.02	1950.0	3190.46	4181.07	1991.0	1417.35	1487.87	1950.0	4903.87	5329.3	5751.61	5403.7	1674.06	7382.04	7130.55	5594.3	2591.27	4639.29	3515.68	2895.31	5517.27	7857.29	4671.57	2384.37	6607.01	3395.89	8840.04	4512.4	3395.89	6699.25	8840.04	3124.78	4639.29	3395.89	5329.3	2777.33	3467.27	3716.2	7966.99	4419.52	6935.54	1832.01	2875.3	1378.57	4972.34	2997.45	4123.49	9088.59	2664.15	4802.93	5594.3	4181.07
ANAPC11	435.55	808.0	1286.18	4328.55	6121.9	6207.38	6381.92	5366.37	5006.93	5441.3	4607.24	6037.61	2573.36	1250.98	2209.26	1963.57	3419.52	2682.69	2240.11	2855.44	3146.52	3325.99	1651.0	2255.7	3325.99	1628.26	2209.26	2720.15	3146.52	2777.33	1378.57	2148.82	3325.99	3168.41	4010.71	3212.66	1561.89	4481.23	3564.78	3874.05	2701.35	3901.01	2796.65	3515.68	3257.52	4239.45	3589.58	2935.74	4869.99	3491.39	5329.3	2796.65	2796.65	5403.7	3928.15	2777.33	3124.78	2645.74	6337.83	2485.67	2271.4	2935.74	6699.25	4038.61	4481.23	1883.54	3039.3	2119.22	3395.89	3124.78	2956.17	3901.01	2335.28	4152.18	2956.17	3146.52
AP2S1	1104.13	947.83	896.64	2193.99	3515.68	3742.05	3690.52	2271.4	2468.49	2956.17	2895.31	3639.7	1437.15	1417.35	1304.15	1388.16	2004.85	1721.16	1066.48	1397.83	1721.16	1769.57	909.17	1096.5	1674.06	954.43	1268.46	1745.2	1233.75	1388.16	988.12	1143.1	1651.0	1651.0	1857.6	1427.22	1378.57	2384.37	1551.09	1721.16	1709.26	2178.83	1662.49	1674.06	1617.0	2271.4	1487.87	1529.73	2417.67	1883.54	2701.35	1540.37	1437.15	1963.57	2119.22	1250.98	1721.16	1561.89	2645.74	1437.15	1407.55	1111.82	2555.58	1819.35	2271.4	961.07	1628.26	1359.57	2367.9	1417.35	1427.22	1651.0	1417.35	2018.8	1529.73	1662.49
AURKAIP1	633.73	454.09	1119.56	4152.18	3395.89	4575.41	4123.49	3349.13	4639.29	4328.55	5366.37	6207.38	2367.9	1233.75	1733.13	1331.57	3639.7	2451.44	1844.76	2777.33	3124.78	2816.11	1685.71	1991.0	2609.3	1583.71	1697.45	2935.74	1745.2	2485.67	1191.69	1819.35	2915.45	3349.13	2855.44	2777.33	1447.15	3515.68	2855.44	2997.45	2367.9	2915.45	2367.9	3235.01	2555.58	3540.14	2739.08	2682.69	3742.05	2502.97	4543.8	2400.97	2090.03	3665.02	3901.01	2303.12	3039.3	2224.63	4358.66	2319.15	1896.65	2367.9	4512.4	2956.17	4181.07	1250.98	2739.08	1437.15	2976.74	2319.15	2485.67	3103.19	1896.65	2796.65	2915.45	2720.15
B4GALT7	312.0	229.72	236.21	769.69	775.05	1023.0	1066.48	723.08	878.17	848.22	921.88	1407.55	728.11	373.81	447.82	583.07	808.0	551.56	339.14	728.11	651.58	723.08	358.54	679.29	616.37	518.15	651.58	713.11	575.03	669.92	476.71	409.15	698.41	808.0	713.11	595.34	460.44	884.29	688.78	753.83	733.19	738.29	591.22	543.96	884.29	1111.82	759.08	718.08	743.43	674.59	860.08	708.18	679.29	780.44	902.89	703.28	624.99	651.58	769.69	603.67	679.29	728.11	753.83	567.1	947.83	366.09	688.78	371.22	748.61	813.63	591.22	872.1	503.95	791.35	616.37	848.22
C11orf48	1286.18	884.29	842.36	2319.15	2701.35	2417.67	2417.67	2835.7	3614.55	2956.17	2816.11	2573.36	1540.37	1369.04	1159.07	1583.71	1883.54	1417.35	775.05	1628.26	1529.73	1639.59	915.51	1268.46	1498.22	1519.15	769.69	1572.76	1594.73	1151.06	1119.56	1259.69	1651.0	1819.35	2119.22	1709.26	1135.2	2417.67	1561.89	1508.65	1437.15	1896.65	1417.35	1322.37	1896.65	2502.97	1561.89	1572.76	1721.16	1447.15	2417.67	1437.15	1457.23	1870.53	2148.82	1359.57	1781.89	1467.37	1909.85	1167.14	1605.83	1819.35	2739.08	1397.83	2367.9	1268.46	1963.57	1216.75	1733.13	1519.15	1487.87	1685.71	1572.76	1697.45	1583.71	1757.34
C11orf83	123.5	36.27	55.1	234.57	262.2	420.68	231.32	429.54	316.37	392.44	368.65	547.75	177.53	78.89	149.12	145.02	202.66	169.07	72.52	199.85	220.32	162.14	148.09	138.1	198.47	96.68	81.14	185.11	117.6	162.14	122.64	108.9	201.25	236.21	183.82	162.14	73.54	224.97	205.5	229.72	145.02	229.72	217.27	151.22	170.25	220.32	164.42	165.57	249.73	161.02	309.83	150.17	177.53	293.07	217.27	215.77	212.78	150.17	295.11	145.02	112.77	107.38	309.83	163.28	277.2	144.01	171.45	87.03	224.97	189.02	221.86	205.5	113.56	269.6	249.73	187.71
C19orf10	866.07	819.3	961.07	3716.2	6983.79	3874.05	3690.52	3955.48	4937.99	4123.49	3928.15	4358.66	2555.58	1340.84	1304.15	1806.78	3303.0	2319.15	1733.13	2555.58	2335.28	2915.45	1437.15	1572.76	2609.3	1313.23	2537.92	3280.18	2915.45	3742.05	1304.15	1487.87	2303.12	2777.33	4607.24	2816.11	1909.85	4512.4	2682.69	2895.31	2485.67	3372.43	2240.11	2193.99	2835.7	3419.52	2997.45	2468.49	3349.13	2758.13	3564.78	2645.74	2090.03	4123.49	4010.71	2224.63	2255.7	2777.33	4010.71	2384.37	2627.46	3690.52	5517.27	2351.53	4268.94	1769.57	2701.35	1295.13	3146.52	3372.43	2133.97	3467.27	2400.97	4298.64	1896.65	2739.08
C19orf24	287.01	249.73	435.55	1963.57	2627.46	2645.74	3395.89	1819.35	2384.37	2701.35	1781.89	3491.39	1159.07	256.78	1143.1	848.22	1883.54	921.88	693.58	1286.18	1519.15	1697.45	785.88	1111.82	1277.29	642.59	1268.46	1508.65	967.76	1191.69	698.41	813.63	1487.87	1388.16	1594.73	1467.37	848.22	1844.76	1378.57	1697.45	1037.29	1135.2	1561.89	1498.22	1857.6	1977.24	1757.34	1208.34	1498.22	1388.16	2384.37	1208.34	1111.82	2720.15	1745.2	1111.82	1427.22	1225.22	2032.85	1151.06	1135.2	1199.98	2555.58	1397.83	1991.0	961.07	1397.83	836.53	1639.59	1832.01	1216.75	1709.26	1167.14	1950.0	1551.09	1909.85
C1orf122	215.77	287.01	490.14	2682.69	2997.45	3768.09	2335.28	2351.53	2855.44	2434.5	3589.58	2816.11	1159.07	647.07	967.76	813.63	2061.24	1397.83	813.63	1697.45	1594.73	1639.59	473.41	728.11	1757.34	647.07	1023.0	1487.87	1143.1	1066.48	460.44	830.75	1487.87	1605.83	2417.67	1674.06	813.63	2090.03	1259.69	1605.83	1487.87	1870.53	1096.5	1498.22	947.83	2133.97	1225.22	1242.34	1909.85	1447.15	2018.8	1397.83	854.13	3257.52	1977.24	988.12	1216.75	1183.45	2520.38	1183.45	1191.69	1709.26	3443.31	1331.57	2255.7	651.58	1487.87	638.15	1857.6	1437.15	1295.13	1427.22	872.1	1685.71	1088.92	2004.85
