	TCGA.W5.AA2Q.11A.11R.A41I.07	GTEX.P4QT.0626.SM.3NMCP	GTEX.UJMC.0926.SM.4IHLK	TCGA.CV.6939.01A.11R.1915.07	TCGA.CR.7385.01A.11R.2016.07	TCGA.DQ.7595.01A.11R.2232.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.FV.A23B.11A.11R.A16W.07	GTEX.145MO.2326.SM.5NQ9K	TCGA.77.6844.01A.11R.1949.07	TCGA.22.5472.01A.01R.1635.07	GTEX.13QJC.2326.SM.5Q5CD
ABHD17B	155.5	384.34	255.0	518.15	447.82	507.46	289.02	189.02	173.85	118.43	170.25	209.84	186.4	327.56	483.38	341.51
ACTR3	830.75	3614.55	2875.3	5076.84	4937.99	3820.7	1508.65	547.75	612.11	466.88	733.19	1159.07	780.44	4869.99	3564.78	3665.02
ALKBH1	145.02	140.04	182.55	127.0	214.27	246.28	165.57	158.79	124.37	105.15	134.3	152.28	130.6	204.07	223.41	144.01
ANKEF1	34.26	63.89	61.68	166.73	166.73	177.53	67.12	34.26	28.65	27.25	39.22	53.19	29.27	141.02	127.0	76.71
ASCC3	255.0	220.32	351.14	684.02	607.87	511.0	389.72	241.19	191.67	142.01	271.48	381.68	301.33	718.08	457.25	392.44
ASTE1	107.38	106.63	86.43	172.65	226.54	198.47	90.77	66.18	69.52	46.5	62.12	115.16	52.45	217.27	220.32	51.35
ATF7IP	99.43	231.32	293.07	412.0	708.18	521.76	175.07	73.54	64.8	98.04	67.59	180.02	116.78	583.07	450.94	295.11
ATP1A1	2271.4	6983.79	6607.01	12329.98	21919.61	9025.81	4095.0	1733.13	1540.37	2148.82	1781.89	2591.27	1295.13	11664.82	11189.6	9945.68
ATP2C1	339.14	684.02	624.99	2682.69	2018.8	2537.92	656.11	387.02	242.88	316.37	432.53	599.49	312.0	2417.67	2255.7	947.83
BCAS2	620.67	748.61	612.11	1407.55	1467.37	1304.15	813.63	599.49	660.68	379.04	748.61	848.22	921.88	988.12	995.0	713.11
BCL2L13	723.08	563.18	656.11	941.27	974.5	1111.82	679.29	547.75	665.29	638.15	587.13	603.67	536.45	830.75	842.36	665.29
BNC1	1.48	303.44	279.14	688.78	693.58	224.97	1.83	0.0	0.51	0.93	1.06	1.5	0.44	575.03	348.71	75.64
BUB3	642.59	1447.15	1572.76	2178.83	2193.99	1991.0	928.3	651.58	493.56	514.56	563.18	921.88	438.59	1794.29	1769.57	1561.89
C10orf2	74.06	237.86	121.79	205.5	209.84	221.86	127.0	54.72	70.01	54.33	53.57	69.52	100.83	353.59	195.72	137.14
C1orf109	149.12	285.03	271.48	429.54	441.64	447.82	220.32	92.05	101.54	61.25	119.26	171.45	105.15	476.71	412.0	273.37
C4orf27	389.72	248.0	379.04	928.3	603.67	693.58	476.71	358.54	273.37	118.43	301.33	435.55	339.14	518.15	341.51	392.44
CASP3	316.37	620.67	397.93	1427.22	738.29	1407.55	358.54	208.38	198.47	116.78	220.32	316.37	242.88	708.18	607.87	387.02
CD109	13.72	187.71	285.03	559.28	521.76	587.13	35.0	6.73	2.14	4.31	5.92	18.97	1.95	521.76	728.11	127.0
CDC40	189.02	229.72	201.25	314.17	307.69	301.33	224.97	155.5	161.02	106.63	152.28	265.87	154.42	281.09	287.01	262.2
CDH3	7.28	392.44	1066.48	6516.03	2240.11	3928.15	11.13	1.16	0.0	3.11	2.58	3.82	2.66	2271.4	2591.27	2193.99
COIL	163.28	223.41	198.47	373.81	507.46	514.56	191.67	142.01	111.99	99.43	115.16	215.77	120.1	507.46	271.48	269.6
COMMD2	154.42	346.29	366.09	915.51	890.44	884.29	307.69	181.28	170.25	137.14	175.07	251.48	176.29	878.17	743.43	466.88
CTTNBP2NL	55.89	392.44	271.48	551.56	395.18	563.18	126.12	22.1	13.42	15.34	28.45	60.39	23.76	400.71	497.0	297.17
CWC22	182.55	291.04	223.41	409.15	239.52	376.41	226.54	157.68	181.28	40.36	169.07	239.52	206.94	327.56	285.03	265.87
DCBLD2	150.17	94.01	122.64	532.74	368.65	470.14	175.07	145.02	132.44	64.8	116.78	180.02	100.13	368.65	305.55	400.71
DDX18	348.71	547.75	540.19	1051.79	836.53	1151.06	514.56	323.03	334.46	214.27	341.51	476.71	356.05	1008.9	988.12	607.87
DDX43	14.35	18.03	41.52	190.34	92.7	85.82	26.67	0.84	3.47	6.36	14.03	5.82	1.16	56.68	77.25	17.9
DGCR2	629.35	1104.13	1322.37	947.83	1167.14	1605.83	1015.93	432.53	412.0	579.04	441.64	624.99	599.49	1437.15	1540.37	1104.13
DHX9	1015.93	1359.57	1551.09	2609.3	2777.33	2739.08	1487.87	954.43	796.86	693.58	934.76	1081.39	848.22	2976.74	2434.5	1733.13
DIEXF	55.89	97.36	85.22	116.78	144.01	134.3	82.29	50.63	68.55	47.5	70.01	73.54	66.18	193.01	146.03	97.36
DIP2B	150.17	323.03	351.14	376.41	460.44	420.68	148.09	106.63	90.14	77.79	89.51	176.29	43.63	358.54	389.72	267.73
DISC1	22.26	22.1	37.59	67.59	28.65	65.72	29.7	5.59	8.25	5.15	9.06	20.86	7.28	81.14	34.26	18.16
DR1	281.09	536.45	521.76	1199.98	1340.84	1073.91	432.53	206.94	237.86	209.84	316.37	353.59	277.2	1378.57	915.51	543.96
DSCR3	450.94	674.59	624.99	796.86	660.68	698.41	563.18	305.55	392.44	441.64	400.71	591.22	366.09	688.78	599.49	607.87
DSE	126.12	241.19	251.48	808.0	432.53	483.38	242.88	59.13	54.33	57.89	83.45	151.22	223.41	728.11	486.75	175.07
EP300	158.79	463.65	409.15	555.41	454.09	507.46	212.78	127.89	110.43	108.9	108.9	236.21	76.17	540.19	518.15	406.31
EXOC5	173.85	327.56	255.0	551.56	493.56	591.22	226.54	100.83	105.15	51.35	146.03	215.77	94.01	457.25	420.68	361.04
FAIM	137.14	287.01	395.18	854.13	547.75	1066.48	429.54	193.01	89.51	100.83	150.17	208.38	239.52	441.64	708.18	412.0
FAM133B	273.37	293.07	309.83	525.39	400.71	450.94	275.28	218.79	186.4	43.63	206.94	279.14	182.55	406.31	371.22	323.03
FAM175B	150.17	190.34	182.55	297.17	273.37	327.56	198.47	137.14	130.6	82.87	141.02	162.14	104.42	236.21	215.77	211.31
FAM200A	72.01	87.65	72.52	144.01	157.68	201.25	66.18	62.56	40.07	12.64	44.89	71.0	28.24	121.79	115.97	88.26
FAM60A	118.43	642.59	583.07	1781.89	1216.75	1674.06	420.68	77.25	102.97	67.12	80.57	209.84	387.02	1242.34	1437.15	1350.18
FRAT2	231.32	273.37	314.17	334.46	603.67	624.99	248.0	201.25	241.19	169.07	150.17	244.57	197.09	457.25	450.94	244.57
GNAI3	470.14	1208.34	1135.2	1407.55	1427.22	1529.73	753.83	460.44	346.29	384.34	454.09	629.35	429.54	1135.2	1111.82	1167.14
GPC1	633.73	2502.97	2895.31	3395.89	2664.15	3639.7	902.89	483.38	490.14	1081.39	543.96	669.92	723.08	4769.75	3303.0	2104.58
GTF2A1	151.22	164.42	158.79	293.07	366.09	400.71	186.4	142.01	122.64	92.7	122.64	199.85	102.25	339.14	289.02	277.2
GTF2B	612.11	743.43	463.65	738.29	684.02	679.29	660.68	629.35	599.49	381.68	543.96	748.61	665.29	656.11	616.37	698.41
GTF2H3	167.9	264.03	205.5	616.37	460.44	575.03	223.41	128.79	134.3	114.36	164.42	211.31	75.11	728.11	575.03	204.07
HAT1	339.14	543.96	679.29	1605.83	1127.35	1295.13	497.0	327.56	346.29	229.72	432.53	444.72	334.46	1015.93	1119.56	633.73
