	TCGA.DG.A2KM.01A.11R.A180.07	TCGA.DD.AAVQ.01A.11R.A41C.07	TCGA.2Y.A9GX.01A.11R.A38B.07	TCGA.BC.4073.01B.02R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.BD.A2L6.11A.21R.A213.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.14AS3.0126.SM.5Q5F4	GTEX.145MF.0826.SM.5QGQA	GTEX.QV44.0326.SM.4R1KD	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1212Z.0226.SM.59HLF	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13VXU.0926.SM.5IFFH	TCGA.97.A4LX.01A.11R.A24X.07	TCGA.99.AA5R.01A.11R.A39D.07	TCGA.86.8671.01A.11R.2403.07	TCGA.86.8280.01A.11R.2287.07	TCGA.MP.A4TJ.01A.51R.A262.07	TCGA.93.A4JO.01A.21R.A24X.07	TCGA.85.8049.01A.11R.2247.07	TCGA.77.A5FZ.01A.31R.A27Q.07	TCGA.98.A53I.01A.31R.A262.07	TCGA.HC.7079.01A.11R.1965.07	TCGA.HU.A4GY.01A.21R.A24K.31
FCRLA	108.14	132.44	13.32	16.75	2.39	38.12	1.68	4.78	1.36	0.59	25.35	13.42	49.56	6.41	1.08	48.18	13.32	6.41	15.91	0.0	7.28	11.47	1.22	193.01	255.0	265.87	74.58	197.09	118.43	88.88	429.54	215.77	334.46	303.44
FGR	947.83	215.77	199.85	323.03	43.94	532.74	33.54	241.19	72.52	73.03	92.05	101.54	26.1	77.25	358.54	27.84	177.53	98.04	58.71	108.9	119.26	72.52	34.26	703.28	1295.13	934.76	463.65	748.61	638.15	454.09	1277.29	267.73	808.0	688.78
FMNL1	1199.98	559.28	466.88	373.81	31.45	743.43	19.82	723.08	53.57	63.89	177.53	82.87	91.41	156.59	236.21	50.98	595.34	108.14	74.58	248.0	224.97	104.42	37.59	1721.16	1397.83	2178.83	941.27	1662.49	1697.45	1111.82	2319.15	848.22	1561.89	1950.0
GAB3	193.01	59.55	57.89	37.85	4.13	133.36	2.81	21.32	14.35	14.24	37.05	14.35	6.16	18.29	29.06	8.92	50.63	22.92	23.59	10.31	43.02	23.42	5.54	138.1	178.77	199.85	101.54	173.85	163.28	75.64	182.55	62.56	182.55	234.57
GPR132	271.48	72.01	75.64	42.71	5.36	96.68	5.77	32.13	10.96	13.12	18.7	8.51	1.68	18.84	30.34	1.95	30.56	9.34	19.97	20.11	30.12	8.85	1.27	205.5	123.5	314.17	130.6	205.5	201.25	221.86	305.55	72.52	318.57	273.37
GPR171	2032.85	102.25	145.02	118.43	4.03	293.07	4.35	12.27	10.55	4.43	11.73	3.2	14.03	18.7	5.11	7.28	64.34	9.27	9.06	30.12	40.64	8.13	8.32	277.2	241.19	267.73	204.07	567.1	204.07	218.79	314.17	57.49	540.19	256.78
HLA-DQB1	35856.82	3419.52	1651.0	2895.31	351.14	2367.9	353.59	325.29	866.07	176.29	2209.26	77.25	802.41	1359.57	1697.45	198.47	3190.46	400.71	669.92	1991.0	579.04	295.11	53.19	14262.1	20310.37	17558.94	11345.82	11745.96	2451.44	3124.78	3443.31	2224.63	3443.31	6745.86
HRH2	21.94	2.58	8.13	12.27	0.65	8.51	2.01	0.84	3.14	0.37	8.71	3.47	0.0	2.03	9.7	0.0	1.31	2.61	2.16	0.82	2.16	0.0	0.0	38.4	22.59	29.7	15.11	29.7	9.41	59.13	75.11	15.11	45.53	92.05
ICOS	209.84	41.52	24.28	47.84	0.53	52.08	0.32	15.22	1.04	3.03	4.9	1.99	23.08	3.29	13.62	2.39	32.82	0.42	1.89	9.48	40.07	13.32	2.94	100.83	45.21	142.01	51.71	171.45	41.52	71.5	68.07	48.18	253.23	152.28
IKZF3	218.79	4.31	23.25	69.03	0.62	63.89	10.39	18.7	7.06	13.52	26.1	4.62	6.62	11.55	1.28	19.11	15.56	7.94	4.21	7.22	32.13	5.87	0.93	129.69	70.01	177.53	78.89	148.09	54.72	90.14	154.42	62.12	202.66	473.41
IL21	8.58	4.28	0.0	4.78	0.0	1.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.55	4.66	8.85	4.13	24.46	4.7	4.54	14.56	3.79	36.79	16.27
ITGAX	738.29	438.59	555.41	450.94	12.0	684.02	37.32	366.09	49.91	55.49	91.41	62.56	39.79	28.04	412.0	21.94	209.84	70.51	48.87	81.14	74.06	105.15	25.35	1407.55	1639.59	1605.83	669.92	1081.39	1561.89	669.92	1870.53	587.13	1467.37	1417.35
ITPRIPL1	119.26	16.51	29.7	21.47	3.26	43.02	3.23	10.71	2.94	5.11	16.15	8.85	6.89	21.94	17.51	10.96	28.45	6.26	3.92	12.93	9.63	21.32	6.84	53.95	42.41	69.52	44.57	78.34	53.19	62.56	65.72	25.54	94.01	36.27
JAK3	579.04	291.04	181.28	175.07	11.38	283.05	10.63	44.25	24.63	10.31	69.03	26.47	14.03	55.1	108.9	15.8	98.73	35.25	20.71	28.04	59.97	15.11	6.89	688.78	638.15	1066.48	327.56	1030.12	518.15	540.19	1519.15	371.22	866.07	1051.79
JAKMIP1	236.21	40.07	19.39	34.26	3.11	65.72	2.1	3.11	17.51	8.78	8.71	8.0	7.88	0.42	3.29	14.14	42.41	4.82	7.57	11.13	6.57	9.06	4.94	47.5	45.21	100.83	28.86	81.71	38.67	43.94	61.25	21.47	87.03	39.22
KCNN3	90.77	34.26	30.56	38.67	0.56	17.9	2.2	4.98	7.94	4.98	5.36	1.68	5.11	6.06	2.81	3.2	6.21	6.01	6.36	4.31	3.44	15.34	1.35	120.94	59.97	63.0	82.87	183.82	57.89	158.79	170.25	63.45	171.45	43.02
KLHL6	368.65	75.64	112.77	83.45	3.44	152.28	10.24	43.63	15.56	5.32	34.02	12.45	19.11	33.3	28.45	5.45	48.18	27.05	18.97	14.56	20.41	21.78	4.7	316.37	264.03	307.69	177.53	392.44	163.28	277.2	366.09	209.84	371.22	397.93
LAPTM5	11584.24	3168.41	2835.7	3794.3	220.32	4704.07	339.14	1781.89	1350.18	361.04	1757.34	660.68	444.72	1059.11	733.19	226.54	1331.57	1977.24	1417.35	780.44	785.88	521.76	334.46	8363.13	5479.15	9025.81	4268.94	6337.83	7180.15	5006.93	13033.07	3716.2	7749.1	7857.29
LCP2	2240.11	463.65	651.58	981.29	48.18	1508.65	58.3	1023.0	291.04	140.04	651.58	136.19	198.47	507.46	429.54	131.51	647.07	497.0	599.49	262.2	567.1	262.2	111.99	1594.73	1225.22	2004.85	1059.11	1561.89	1015.93	1216.75	1950.0	748.61	1769.57	1883.54
LILRA6	215.77	49.21	126.12	199.85	8.71	150.17	23.76	61.25	68.07	13.32	46.5	31.22	4.9	59.97	101.54	4.66	39.22	37.85	9.93	27.64	16.39	31.9	10.71	476.71	201.25	314.17	165.57	334.46	143.01	152.28	271.48	39.22	165.57	204.07
LILRB3	343.89	96.01	150.17	183.82	31.45	220.32	32.59	96.01	43.02	47.17	76.71	36.79	31.0	96.01	109.66	18.84	83.45	47.5	23.59	128.79	63.45	66.65	3.23	403.5	497.0	353.59	161.02	473.41	397.93	195.72	1135.2	84.63	275.28	332.14
LSP1	6699.25	1896.65	909.17	1709.26	77.79	2104.58	112.77	1015.93	237.86	228.13	521.76	133.36	258.57	343.89	214.27	193.01	1561.89	547.75	358.54	511.0	1037.29	429.54	180.02	2664.15	2739.08	4358.66	2520.38	2664.15	2682.69	2400.97	4869.99	1467.37	4095.0	4481.23
MAL	4181.07	128.79	73.54	38.67	11.91	72.01	0.49	7.28	7.46	8.51	60.82	14.03	2.39	9.93	14.56	3.23	9.63	24.99	7.0	7.17	19.53	18.03	73.54	176.29	718.08	305.55	361.04	295.11	137.14	111.21	376.41	62.56	293.07	138.1
MEI1	1233.75	329.84	198.47	147.06	10.24	358.54	16.75	145.02	12.36	22.75	221.86	15.8	113.56	181.28	20.71	13.93	88.88	35.5	89.51	208.38	161.02	45.21	12.45	638.15	497.0	656.11	376.41	684.02	559.28	591.22	1008.9	283.05	1008.9	265.87
MMP25	218.79	64.34	48.52	77.25	8.45	89.51	14.24	30.78	15.56	6.57	17.77	27.64	3.06	37.05	70.01	3.99	14.56	21.47	19.11	39.22	14.24	18.03	9.41	205.5	102.97	221.86	91.41	463.65	149.12	157.68	231.32	90.14	297.17	205.5
NCCRP1	1870.53	13.42	12.18	7.82	0.0	6.57	0.43	1.45	3.08	2.86	0.72	0.42	0.0	0.0	6.57	3.5	1.87	0.0	0.8	5.59	1.68	0.8	4.9	114.36	35.25	58.71	77.25	19.68	42.41	155.5	229.72	5.5	366.09	47.5
NCF1	1844.76	438.59	127.89	341.51	44.89	679.29	29.7	287.01	47.5	62.56	202.66	181.28	62.56	206.94	486.75	23.42	209.84	204.07	176.29	152.28	41.22	107.38	61.68	698.41	775.05	995.0	547.75	708.18	529.06	514.56	995.0	486.75	921.88	796.86
OSCAR	447.82	55.1	72.01	166.73	24.46	127.89	32.36	48.87	38.4	10.47	38.95	28.86	16.27	44.89	117.6	11.73	41.52	18.43	36.01	41.22	9.48	14.24	14.24	429.54	656.11	414.87	256.78	356.05	248.0	190.34	334.46	59.97	297.17	150.17
P2RY14	134.3	17.77	20.86	38.4	1.13	49.91	9.63	7.34	16.63	6.16	2.94	2.56	10.08	17.0	6.67	7.46	13.22	7.75	3.06	6.11	15.91	16.51	0.0	88.26	141.02	57.49	69.03	77.79	43.02	29.06	89.51	24.81	74.58	100.83
PIK3R5	624.99	120.1	151.22	123.5	16.88	267.73	19.68	129.69	24.46	16.51	88.88	21.63	25.91	122.64	104.42	18.16	214.27	118.43	71.0	57.89	80.57	53.19	20.71	339.14	351.14	420.68	202.66	301.33	221.86	217.27	483.38	132.44	381.68	503.95
PIM2	1819.35	688.78	454.09	791.35	206.94	775.05	232.94	339.14	114.36	96.68	249.73	92.05	248.0	595.34	217.27	114.36	293.07	271.48	208.38	223.41	178.77	106.63	78.89	3540.14	1639.59	2104.58	1857.6	4972.34	1551.09	3303.0	4038.61	1769.57	3639.7	780.44
PLEK	1096.5	299.25	239.52	624.99	31.0	1151.06	29.48	1073.91	104.42	63.89	389.72	133.36	47.84	361.04	406.31	42.41	301.33	267.73	409.15	136.19	403.5	108.9	59.97	1159.07	674.59	1369.04	669.92	1183.45	595.34	878.17	1709.26	555.41	1769.57	1135.2
