	TCGA.DG.A2KM.01A.11R.A180.07	TCGA.DD.AAVQ.01A.11R.A41C.07	TCGA.2Y.A9GX.01A.11R.A38B.07	TCGA.BC.4073.01B.02R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.BD.A2L6.11A.21R.A213.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.14AS3.0126.SM.5Q5F4	GTEX.145MF.0826.SM.5QGQA	GTEX.QV44.0326.SM.4R1KD	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1212Z.0226.SM.59HLF	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13VXU.0926.SM.5IFFH	TCGA.97.A4LX.01A.11R.A24X.07	TCGA.99.AA5R.01A.11R.A39D.07	TCGA.86.8671.01A.11R.2403.07	TCGA.86.8280.01A.11R.2287.07	TCGA.MP.A4TJ.01A.51R.A262.07	TCGA.93.A4JO.01A.21R.A24X.07	TCGA.85.8049.01A.11R.2247.07	TCGA.77.A5FZ.01A.31R.A27Q.07	TCGA.98.A53I.01A.31R.A262.07	TCGA.HC.7079.01A.11R.1965.07	TCGA.HU.A4GY.01A.21R.A24K.31
SNX20	395.18	149.12	112.77	114.36	4.98	236.21	4.7	46.5	23.93	12.27	80.01	28.24	9.27	59.55	35.76	8.19	62.12	45.21	53.57	27.84	55.1	20.11	0.79	379.04	231.32	563.18	208.38	301.33	281.09	218.79	511.0	164.42	684.02	339.14
ST8SIA1	154.42	50.27	28.04	28.04	0.0	85.22	2.81	15.91	4.35	6.36	15.56	9.06	2.56	11.91	4.5	0.39	24.28	4.9	0.0	13.32	14.24	8.51	5.32	119.26	161.02	221.86	148.09	167.9	366.09	103.69	232.94	42.71	248.0	176.29
ST8SIA4	145.02	29.7	54.72	98.73	4.39	94.67	8.85	78.34	31.0	16.75	44.57	19.11	6.36	37.05	8.45	4.94	39.22	28.24	53.19	10.24	29.7	12.93	5.41	183.82	189.02	346.29	110.43	242.88	358.54	143.01	336.79	81.14	169.07	228.13
STK10	698.41	348.71	327.56	329.84	50.63	612.11	72.01	228.13	80.01	92.05	183.82	105.15	87.03	165.57	202.66	57.08	429.54	167.9	163.28	122.64	217.27	105.89	87.03	607.87	981.29	967.76	476.71	775.05	567.1	518.15	1037.29	343.89	775.05	1250.98
TFEC	511.0	90.77	120.1	118.43	1.62	226.54	7.63	69.52	23.42	6.52	69.52	11.04	5.92	40.93	16.88	13.03	56.28	33.3	65.72	33.3	38.4	18.84	9.06	255.0	231.32	371.22	171.45	309.83	231.32	142.01	353.59	115.97	320.8	417.77
TIFAB	51.71	11.73	9.41	15.56	0.4	36.27	0.0	3.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	10.24	5.5	1.5	0.0	4.58	2.63	1.3	28.86	18.16	70.51	21.01	31.45	15.68	23.08	29.48	17.64	92.7	27.84
TIGIT	693.58	116.78	73.54	197.09	9.27	93.35	6.01	80.01	14.35	8.85	21.63	8.06	27.05	43.02	4.86	14.89	153.34	63.0	31.22	61.25	41.81	9.2	29.27	301.33	182.55	361.04	163.28	441.64	182.55	212.78	432.53	220.32	291.04	309.83
TNFRSF8	24.63	22.26	19.97	13.12	0.88	24.81	5.19	3.26	7.22	0.0	7.34	0.0	1.51	5.41	20.26	0.0	0.85	3.5	5.68	5.87	1.51	2.18	0.0	53.95	49.91	88.88	19.11	80.57	49.21	94.01	95.34	20.86	85.82	44.89
TNIP3	129.69	2.53	5.73	21.16	0.46	4.58	11.13	2.1	2.18	0.69	2.23	3.11	0.0	0.0	4.66	3.63	10.88	0.0	0.0	0.0	6.21	0.0	0.0	37.85	28.65	47.84	12.18	67.59	26.86	20.71	579.04	12.93	46.18	45.21
TRAF1	432.53	193.01	253.23	145.02	21.78	262.2	47.17	91.41	12.83	39.22	42.41	55.1	56.28	46.18	84.04	49.21	85.82	32.59	24.46	74.06	46.84	65.72	47.5	414.87	334.46	679.29	281.09	473.41	323.03	412.0	575.03	316.37	629.35	583.07
WAS	1119.56	536.45	327.56	297.17	73.54	796.86	109.66	217.27	46.84	107.38	221.86	135.24	78.34	279.14	181.28	154.42	392.44	289.02	151.22	146.03	147.06	110.43	51.71	813.63	688.78	1216.75	547.75	698.41	796.86	651.58	1457.23	511.0	981.29	1081.39
ZC3H12D	223.41	63.45	82.87	45.85	0.0	57.49	1.77	14.03	6.57	7.63	32.59	14.03	5.77	12.83	11.04	5.32	26.67	37.32	15.22	5.06	23.42	10.24	1.81	204.07	190.34	236.21	91.41	303.44	103.69	108.9	231.32	110.43	253.23	493.56
ZCCHC18	43.02	30.78	19.25	10.63	0.0	14.24	0.26	0.06	1.03	1.58	3.44	0.0	2.89	2.76	0.28	0.07	5.15	0.41	0.8	3.14	7.94	2.51	44.25	41.52	39.79	76.17	30.12	47.17	27.64	60.39	57.08	24.99	57.89	89.51
