	TCGA.BT.A2LA.01A.11R.A18C.07	TCGA.DK.A3IM.01A.11R.A20F.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.C5.A1M6.01A.11R.A13Y.07	TCGA.EX.A1H5.01A.31R.A13Y.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.C5.A1BJ.01A.11R.A13Y.07	TCGA.EA.A5ZF.01A.11R.A28H.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CN.5367.01A.01R.1436.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.7411.01A.11R.2081.07	GTEX.11WQK.2926.SM.5EQKT
ACOT4	44.89	44.89	76.17	122.64	145.02	61.68	40.93	149.12	61.25	8.13	10.39	13.52	14.78	29.91	10.88	22.26	15.0	3.76	14.56	5.11	14.78	5.82	7.82
ACSF3	532.74	647.07	341.51	607.87	738.29	447.82	426.57	759.08	463.65	74.06	283.05	389.72	177.53	356.05	384.34	444.72	214.27	236.21	373.81	291.04	444.72	198.47	111.21
APITD1	1551.09	559.28	718.08	941.27	1037.29	395.18	764.36	1259.69	555.41	125.24	228.13	236.21	103.69	392.44	214.27	314.17	123.5	297.17	173.85	106.63	291.04	132.44	158.79
ARHGAP33	1159.07	78.89	100.83	221.86	341.51	102.25	348.71	802.41	112.77	19.68	28.04	30.78	27.84	43.32	21.32	59.13	60.39	27.05	37.32	16.88	46.84	38.67	0.97
ARL6IP1	8658.09	3847.29	3589.58	7589.61	6426.31	4038.61	3665.02	9673.69	3982.99	2609.3	1950.0	2303.12	2240.11	3515.68	2018.8	3589.58	1709.26	1923.14	1639.59	2224.63	2193.99	1685.71	1709.26
ATPAF1	1857.6	1794.29	1350.18	1651.0	1651.0	836.53	1540.37	1909.85	981.29	400.71	476.71	674.59	323.03	713.11	651.58	872.1	420.68	764.36	571.05	753.83	708.18	563.18	591.22
BIRC5	2682.69	1066.48	529.06	1059.11	1870.53	860.08	1268.46	1508.65	708.18	358.54	320.8	476.71	373.81	728.11	423.61	825.0	111.21	363.56	420.68	341.51	723.08	171.45	90.14
C14orf142	769.69	279.14	392.44	1250.98	420.68	476.71	295.11	723.08	555.41	221.86	195.72	316.37	126.12	258.57	180.02	267.73	127.0	208.38	211.31	164.42	264.03	130.6	111.21
C1orf174	674.59	583.07	303.44	813.63	860.08	518.15	656.11	607.87	571.05	423.61	271.48	412.0	229.72	567.1	320.8	329.84	177.53	423.61	336.79	339.14	312.0	198.47	212.78
C7orf13	336.79	142.01	128.79	165.57	123.5	65.72	148.09	114.36	69.52	7.34	12.36	18.29	18.97	47.5	46.18	78.34	2.2	13.93	4.46	5.28	11.64	9.56	25.35
