	TCGA.XF.AAMW.01A.11R.A42T.07	TCGA.ZF.AA58.01A.12R.A42T.07	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.L5.A4OE.01A.11R.A260.31	TCGA.IG.A97I.01A.11R.A38D.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.HD.7229.01A.11R.2016.07	TCGA.DQ.5624.01A.01R.1873.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.5442.01A.01R.1514.07	TCGA.CV.7102.01A.11R.2016.07	TCGA.P3.A5QA.01A.11R.A28V.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.D6.6517.01A.11R.1873.07	TCGA.CQ.A4C7.01A.11R.A24Z.07	TCGA.B2.5641.01A.01R.1541.07	TCGA.B0.5094.01A.01R.1420.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.4700.01A.02R.1541.07	TCGA.B0.5108.01A.01R.1420.07	TCGA.CZ.4854.01A.01R.1305.07	TCGA.BP.4787.01A.01R.1305.07	TCGA.B0.5706.01A.11R.1541.07	TCGA.CW.5588.01A.01R.1541.07	TCGA.CZ.5456.01A.01R.1503.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.B0.5081.01A.01R.1334.07	TCGA.BP.4799.01A.01R.1305.07	TCGA.BP.4782.01A.02R.1420.07	TCGA.BP.4763.01A.01R.1289.07	TCGA.DV.5574.01A.01R.1541.07	TCGA.AK.3445.01A.02R.1277.07	TCGA.CJ.4892.01A.01R.1305.07	TCGA.B0.4836.01A.01R.1305.07	TCGA.CZ.4865.01A.02R.1503.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.B8.5163.01A.01R.1420.07	TCGA.EU.5905.01A.11R.1672.07	TCGA.BP.5189.01A.02R.1426.07	TCGA.BP.4326.01A.01R.1289.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.B0.4703.01A.01R.1277.07	TCGA.BP.5009.01A.01R.1334.07	TCGA.CZ.5984.01A.11R.1672.07	TCGA.B8.5158.01A.01R.1420.07	TCGA.B0.5095.01A.01R.1420.07	TCGA.CJ.4868.01A.01R.1305.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.CW.5590.01A.01R.1541.07	TCGA.BP.4986.01A.01R.1334.07	TCGA.A3.3346.01A.01R.1766.07	TCGA.CZ.5466.01A.01R.1503.07	TCGA.BP.4345.01A.01R.1289.07	TCGA.BP.5170.01A.01R.1426.07	TCGA.A3.3316.01A.01R.0864.07	TCGA.CJ.4871.01A.01R.1305.07	TCGA.CW.5591.11A.01R.1541.07	TCGA.5P.A9JV.01A.12R.A42S.07	TCGA.A4.7288.01A.11R.A32Z.07	TCGA.A4.A5XZ.01A.11R.A31O.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
ACADM	529.06	660.68	303.44	339.14	336.79	796.86	389.72	420.68	336.79	583.07	441.64	476.71	172.65	536.45	358.54	2591.27	1233.75	529.06	444.72	1233.75	934.76	1378.57	1340.84	1167.14	947.83	595.34	587.13	830.75	1572.76	2502.97	1119.56	775.05	1561.89	1216.75	1794.29	435.55	1191.69	575.03	2485.67	967.76	616.37	429.54	813.63	2720.15	1963.57	836.53	941.27	470.14	1304.15	878.17	1096.5	1844.76	708.18	1208.34	1697.45	1529.73	1662.49	2555.58	2573.36	2148.82	0.0	0.17
ACE2	26.1	2.14	40.07	31.9	20.86	45.53	127.0	55.89	172.65	2.63	2.81	4.06	31.67	29.27	11.47	1529.73	10.88	1.17	58.71	22.75	1529.73	543.96	232.94	249.73	129.69	45.21	133.36	1.1	1909.85	1104.13	153.34	37.05	633.73	24.11	507.46	6.46	224.97	603.67	791.35	15.45	127.0	0.77	341.51	1175.27	981.29	802.41	131.51	162.14	1001.93	363.56	5.02	2701.35	26.86	88.88	39.5	312.0	1697.45	713.11	4450.27	3794.3	0.0	0.08
ACMSD	0.0	0.0	0.0	1.01	0.99	0.39	0.0	0.0	0.0	0.91	0.54	0.91	0.53	0.0	0.0	1617.0	1819.35	2018.8	651.58	363.56	1794.29	1697.45	616.37	909.17	1259.69	1216.75	507.46	400.71	3018.3	3768.09	279.14	1127.35	1832.01	381.68	2193.99	813.63	334.46	444.72	819.3	128.79	872.1	444.72	366.09	1757.34	1259.69	1268.46	334.46	802.41	1651.0	595.34	457.25	2417.67	94.01	318.57	463.65	848.22	2537.92	2287.2	4736.79	3146.52	0.0	0.15
ACO2	2627.46	1191.69	902.89	684.02	1023.0	1233.75	1225.22	1605.83	941.27	1208.34	2047.0	854.13	909.17	1617.0	1199.98	6121.9	2240.11	1540.37	2104.58	2178.83	1896.65	3280.18	2701.35	2997.45	2485.67	2384.37	3614.55	813.63	3491.39	2090.03	1844.76	1733.13	3928.15	2758.13	2997.45	1250.98	1923.14	2303.12	3325.99	1977.24	2682.69	1487.87	2609.3	4358.66	4239.45	1583.71	1909.85	1909.85	4152.18	1331.57	3212.66	4836.35	1883.54	2573.36	3081.75	2875.3	4671.57	4388.98	3325.99	6745.86	1529.73	164.42
ACSS3	11.55	8.71	7.06	6.62	11.64	8.65	7.17	7.75	0.99	0.66	19.97	10.16	3.17	6.67	10.47	583.07	547.75	34.02	76.71	283.05	559.28	236.21	318.57	624.99	325.29	6.26	45.85	39.5	764.36	420.68	234.57	255.0	395.18	251.48	503.95	102.97	265.87	536.45	599.49	172.65	279.14	137.14	178.77	808.0	379.04	180.02	169.07	161.02	143.01	551.56	24.81	353.59	142.01	348.71	325.29	180.02	638.15	409.15	532.74	872.1	0.0	0.32
AMOT	12.93	2.76	26.67	51.35	30.56	50.63	15.45	23.93	0.8	1.6	48.87	27.84	9.93	15.56	27.25	444.72	262.2	123.5	73.54	134.3	366.09	299.25	189.02	438.59	285.03	169.07	105.15	45.53	371.22	438.59	183.82	181.28	157.68	237.86	403.5	79.45	264.03	981.29	248.0	149.12	86.43	202.66	164.42	563.18	507.46	226.54	156.59	114.36	376.41	348.71	82.29	265.87	80.57	125.24	223.41	237.86	878.17	303.44	1662.49	444.72	0.0	0.21
APITD1	406.31	400.71	142.01	191.67	320.8	181.28	327.56	151.22	346.29	204.07	466.88	325.29	329.84	497.0	447.82	633.73	981.29	466.88	473.41	503.95	476.71	642.59	620.67	511.0	808.0	656.11	620.67	249.73	1066.48	1066.48	514.56	896.64	961.07	679.29	785.88	591.22	463.65	336.79	733.19	400.71	603.67	507.46	796.86	902.89	988.12	547.75	403.5	555.41	612.11	325.29	723.08	723.08	400.71	802.41	476.71	674.59	381.68	830.75	1397.83	511.0	0.0	0.0
ARHGAP24	81.14	53.95	32.13	49.21	91.41	84.63	17.64	187.71	15.0	6.67	84.04	124.37	127.0	71.0	84.04	1023.0	665.29	312.0	441.64	575.03	373.81	395.18	599.49	698.41	540.19	559.28	718.08	228.13	1001.93	1259.69	974.5	450.94	884.29	450.94	1044.52	217.27	486.75	423.61	896.64	483.38	529.06	271.48	842.36	688.78	656.11	460.44	470.14	591.22	642.59	616.37	215.77	902.89	450.94	780.44	532.74	665.29	808.0	981.29	896.64	1781.89	0.0	0.51
ASB13	403.5	480.04	503.95	180.02	567.1	358.54	231.32	201.25	363.56	432.53	267.73	348.71	409.15	265.87	217.27	1519.15	1127.35	981.29	1073.91	836.53	1216.75	1135.2	595.34	1268.46	967.76	2537.92	665.29	567.1	1498.22	941.27	808.0	1096.5	1561.89	1378.57	1127.35	1030.12	490.14	1769.57	890.44	616.37	941.27	483.38	954.43	1508.65	1447.15	693.58	693.58	759.08	981.29	842.36	480.04	1104.13	599.49	928.3	684.02	1111.82	1487.87	1519.15	1242.34	1286.18	0.0	0.0
AVPR1B	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.39	115.16	11.04	5.32	2.68	26.28	38.4	8.06	21.01	17.9	24.28	21.94	0.0	100.83	19.97	4.7	21.01	126.12	4.66	7.57	2.1	9.56	16.75	31.45	2.89	6.06	8.45	32.13	46.5	102.25	10.47	5.19	5.87	34.26	39.79	0.37	166.73	3.47	3.69	9.78	30.34	12.18	22.26	62.56	15.22	0.0	0.04
