	TCGA.KM.8639.01A.11R.2403.07	TCGA.KM.8438.01A.11R.2315.07	TCGA.KL.8337.01A.11R.2315.07	TCGA.KL.8324.01A.11R.2315.07	TCGA.KN.8418.01A.11R.2315.07	TCGA.KL.8335.01A.11R.2315.07	TCGA.KO.8407.01A.11R.2315.07	TCGA.KM.8439.01A.11R.2315.07	TCGA.KN.8432.01A.11R.2315.07	TCGA.KN.8425.01A.11R.2315.07	TCGA.KM.8440.01A.11R.2315.07	TCGA.KN.8434.01A.11R.2315.07	TCGA.KO.8417.01A.11R.2315.07	TCGA.KN.8424.01A.11R.2315.07	TCGA.KL.8331.01A.11R.2315.07	TCGA.KL.8342.01A.11R.2315.07	TCGA.KL.8340.01A.11R.2315.07	TCGA.KO.8414.01A.11R.2315.07	TCGA.KN.8435.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	TCGA.KN.8429.01A.11R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.N7MS.1626.SM.3LK5F	TCGA.B0.5117.01A.01R.1420.07	TCGA.A3.3328.01A.01R.0864.07	TCGA.AK.3427.01A.01R.0864.07	TCGA.AK.3440.01A.02R.1277.07	TCGA.B2.3923.01A.02R.1325.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.AK.3433.01A.02R.1277.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.B2.3923.01A.02R.A277.07	TCGA.P4.A5EB.01A.11R.A28H.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.2Z.A9JO.01A.11R.A42S.07	TCGA.IA.A40X.01A.11R.A24Z.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.1497J.0726.SM.5Q5D1
ABCF2	599.49	529.06	866.07	624.99	713.11	638.15	748.61	441.64	954.43	708.18	764.36	860.08	896.64	718.08	764.36	764.36	854.13	764.36	866.07	743.43	703.28	514.56	563.18	638.15	703.28	753.83	748.61	819.3	420.68	764.36	348.71	759.08	543.96	521.76	723.08	521.76	624.99	547.75	518.15	336.79	358.54	483.38	323.03	185.11	384.34
AGK	500.46	420.68	409.15	283.05	571.05	497.0	417.77	473.41	575.03	497.0	555.41	392.44	518.15	463.65	441.64	441.64	463.65	334.46	395.18	444.72	497.0	507.46	426.57	493.56	503.95	483.38	547.75	493.56	336.79	660.68	167.9	483.38	381.68	253.23	423.61	323.03	423.61	346.29	161.02	157.68	176.29	195.72	181.28	164.42	164.42
ALG10	35.5	28.45	40.93	25.54	58.71	44.25	40.07	21.94	86.43	48.52	59.13	67.59	57.49	65.26	37.59	41.81	48.87	36.01	84.04	29.7	82.29	47.5	32.36	33.78	70.01	40.93	52.45	87.65	38.4	105.15	30.12	75.64	62.12	37.85	27.64	13.22	23.93	23.25	12.0	13.22	23.76	6.52	27.84	32.13	30.78
ALG10B	49.56	30.56	54.33	20.56	59.97	63.89	34.51	21.16	110.43	50.98	68.55	60.82	70.51	96.01	43.32	57.08	41.81	36.53	115.16	28.65	98.73	70.01	9.27	18.84	76.17	26.47	51.71	69.52	21.01	88.88	47.5	95.34	41.22	35.0	23.59	21.94	29.48	12.36	30.56	18.03	9.34	8.45	6.06	15.11	4.46
ARHGAP5	743.43	825.0	1295.13	599.49	1304.15	1119.56	890.44	559.28	2178.83	1331.57	1407.55	1096.5	1437.15	1359.57	890.44	1135.2	1119.56	1001.93	1697.45	915.51	1769.57	1151.06	1104.13	733.19	780.44	277.2	1295.13	1617.0	376.41	1806.78	343.89	1745.2	432.53	253.23	420.68	429.54	366.09	460.44	221.86	173.85	144.01	145.02	130.6	96.01	234.57
ATG2B	130.6	85.22	189.02	100.13	164.42	205.5	127.0	103.69	237.86	178.77	167.9	166.73	163.28	187.71	123.5	117.6	162.14	113.56	214.27	111.99	209.84	159.9	58.3	120.94	149.12	15.56	223.41	221.86	110.43	264.03	14.78	277.2	96.01	62.56	67.12	36.27	60.82	96.68	32.59	69.52	55.49	78.89	65.72	53.57	33.78
ATRX	215.77	205.5	262.2	172.65	281.09	273.37	221.86	140.04	381.68	320.8	363.56	301.33	283.05	356.05	212.78	202.66	265.87	172.65	412.0	260.38	403.5	447.82	181.28	206.94	255.0	106.63	256.78	432.53	173.85	412.0	87.03	656.11	223.41	69.52	154.42	148.09	133.36	112.77	100.13	69.52	57.89	49.56	70.51	27.25	60.82
BRWD3	18.56	40.93	92.7	46.5	83.45	60.39	82.29	13.72	98.73	80.01	93.35	88.88	107.38	124.37	78.34	79.45	68.55	33.54	143.01	55.49	103.69	33.78	18.84	72.01	70.01	14.45	58.71	198.47	21.94	81.71	5.45	575.03	31.0	12.45	13.83	25.35	11.91	27.05	9.41	21.63	27.64	15.11	30.34	9.27	18.43
CAPS2	15.91	107.38	94.67	76.71	202.66	178.77	148.09	25.54	212.78	108.9	258.57	87.03	142.01	172.65	75.11	92.7	101.54	119.26	269.6	95.34	204.07	199.85	171.45	194.36	182.55	70.01	153.34	198.47	102.25	197.09	55.89	343.89	40.36	38.95	45.85	91.41	94.01	72.52	65.26	18.16	13.03	9.34	25.35	23.76	71.5
CBL	78.34	89.51	98.04	75.64	105.15	99.43	105.15	76.71	138.1	84.63	111.21	123.5	118.43	102.25	55.89	75.11	107.38	85.82	106.63	108.14	118.43	82.87	46.5	84.63	52.82	40.93	82.87	105.89	73.03	106.63	11.64	52.45	88.88	69.03	58.71	72.52	46.84	98.04	34.26	18.56	9.63	16.27	16.88	10.96	35.0
