	GTEX.132QS.1626.SM.5K7YZ	GTEX.11DXX.1226.SM.5GICD	GTEX.1122O.1626.SM.5N9CX	GTEX.111YS.1026.SM.5GZYE	GTEX.132QS.1526.SM.5J2MV	GTEX.13OVG.0926.SM.5J2OJ	GTEX.11I78.1426.SM.5PNVY	GTEX.OHPM.0726.SM.3LK7A	GTEX.Q2AH.1026.SM.48TZI	GTEX.Y3I4.1026.SM.4TT2C	GTEX.11DXX.1026.SM.5H11E	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.HF.7132.01A.11R.2055.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.8588.01A.11R.2402.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13	GTEX.QCQG.0526.SM.48U2A	GTEX.WHPG.0426.SM.4M1XW	GTEX.POMQ.0826.SM.3P61H
ACOT7	579.04	521.76	305.55	371.22	511.0	616.37	368.65	559.28	314.17	599.49	397.93	466.88	878.17	1639.59	1350.18	1397.83	1088.92	336.79	1322.37	651.58	429.54	633.73	791.35	1225.22	1950.0	1304.15
AGMAT	2.03	2.43	0.0	0.0	3.03	0.0	1.04	2.03	1.58	2.12	2.63	55.89	267.73	194.36	154.42	258.57	49.91	50.98	256.78	61.68	52.08	55.1	98.73	202.66	395.18	198.47
AIM1	41.22	61.25	41.52	29.91	44.89	74.06	31.9	28.24	16.63	53.19	47.84	297.17	172.65	612.11	231.32	341.51	163.28	273.37	297.17	135.24	119.26	66.18	146.03	559.28	1001.93	551.56
ALS2CL	101.54	144.01	135.24	131.51	107.38	183.82	124.37	98.04	88.88	148.09	183.82	253.23	147.06	287.01	246.28	256.78	281.09	139.07	121.79	215.77	90.77	76.17	150.17	368.65	521.76	426.57
ARPC5L	764.36	890.44	713.11	693.58	934.76	866.07	854.13	769.69	884.29	884.29	967.76	1286.18	934.76	1030.12	1498.22	1674.06	1561.89	988.12	954.43	1397.83	1304.15	1096.5	1447.15	1350.18	2163.77	1508.65
BCL11B	3.35	0.78	3.86	1.25	2.92	2.18	1.6	1.66	3.38	3.47	4.28	100.83	55.49	109.66	31.22	100.83	34.51	44.25	51.71	66.18	37.85	41.22	47.5	104.42	90.77	80.01
CCNA2	19.11	39.5	18.56	26.67	23.76	33.54	43.02	39.5	55.89	80.01	34.02	232.94	187.71	514.56	507.46	547.75	218.79	182.55	158.79	267.73	123.5	244.57	432.53	532.74	555.41	466.88
CDC25A	9.7	11.38	7.4	3.79	9.27	7.94	6.11	5.02	11.13	10.08	18.56	49.56	31.67	125.24	169.07	150.17	38.4	42.41	38.4	39.79	24.28	45.53	62.12	72.01	115.97	87.65
CDC6	6.36	43.32	6.11	5.28	17.38	4.94	8.51	2.16	12.09	36.79	11.55	131.51	171.45	265.87	343.89	226.54	336.79	78.89	94.67	105.89	69.52	74.06	146.03	206.94	423.61	275.28
CDCA3	39.5	47.17	18.84	25.72	59.55	41.52	23.59	21.01	34.51	115.97	47.84	209.84	366.09	353.59	555.41	764.36	171.45	143.01	525.39	253.23	265.87	420.68	780.44	1073.91	1044.52	1250.98
COQ2	94.67	145.02	79.45	96.01	137.14	71.5	77.25	117.6	105.89	146.03	127.89	197.09	195.72	363.56	269.6	346.29	182.55	183.82	194.36	287.01	182.55	212.78	232.94	293.07	457.25	299.25
EZH2	25.54	63.89	19.97	16.15	29.27	16.15	17.9	11.3	42.41	76.17	30.34	258.57	128.79	361.04	279.14	376.41	189.02	156.59	119.26	211.31	114.36	134.3	258.57	301.33	301.33	301.33
GAR1	256.78	332.14	269.6	273.37	307.69	287.01	221.86	267.73	303.44	307.69	291.04	563.18	343.89	769.69	381.68	703.28	318.57	368.65	307.69	403.5	543.96	409.15	429.54	525.39	890.44	532.74
GCH1	41.22	82.87	38.67	32.13	55.1	34.51	44.89	22.43	44.25	68.07	49.91	299.25	125.24	432.53	172.65	265.87	332.14	147.06	241.19	202.66	114.36	111.99	183.82	248.0	571.05	343.89
HNRNPAB	2627.46	2664.15	2224.63	2400.97	2915.45	2502.97	2875.3	2417.67	2573.36	2502.97	2956.17	3614.55	3589.58	5751.61	4736.79	5219.6	4937.99	3443.31	3325.99	2777.33	3901.01	4802.93	3419.52	3665.02	6079.61	4639.29
KIF11	8.92	18.29	7.75	9.13	14.24	10.31	5.96	5.19	8.13	37.32	16.51	167.9	70.01	314.17	197.09	307.69	142.01	96.01	60.82	106.63	69.52	120.1	195.72	293.07	269.6	237.86
KIF18A	3.26	5.68	2.41	2.86	2.81	1.48	2.71	2.34	3.76	7.4	4.74	74.58	27.25	92.7	69.52	94.01	62.56	20.71	11.13	35.76	12.64	20.11	63.0	103.69	88.88	63.0
LMNB1	36.53	88.26	28.04	21.94	42.41	13.62	55.49	13.52	55.49	149.12	112.77	412.0	353.59	1369.04	638.15	928.3	384.34	356.05	381.68	339.14	295.11	305.55	633.73	866.07	1044.52	921.88
LSM12	616.37	599.49	511.0	503.95	607.87	536.45	532.74	599.49	688.78	616.37	612.11	896.64	836.53	1023.0	934.76	1322.37	836.53	743.43	718.08	934.76	854.13	872.1	791.35	1135.2	1369.04	878.17
MELK	6.52	18.7	1.73	6.67	11.38	10.08	4.5	6.52	7.06	42.41	6.73	132.44	37.85	198.47	312.0	420.68	127.89	88.88	84.63	108.9	78.34	108.14	214.27	312.0	366.09	318.57
MIS18A	66.18	87.03	70.01	56.68	82.87	67.59	66.65	55.89	86.43	78.89	88.88	242.88	201.25	293.07	260.38	339.14	199.85	135.24	115.97	164.42	143.01	217.27	229.72	264.03	320.8	255.0
MND1	12.64	15.34	2.05	6.52	14.03	8.99	3.89	4.43	12.09	19.82	27.25	88.88	25.72	137.14	60.39	172.65	55.89	49.91	28.86	94.67	38.12	41.81	159.9	125.24	129.69	153.34
MOV10	493.56	688.78	543.96	493.56	555.41	521.76	753.83	387.02	753.83	748.61	651.58	1286.18	551.56	1350.18	848.22	947.83	819.3	1037.29	1313.23	1322.37	1242.34	1359.57	854.13	1883.54	3124.78	2351.53
ORC1	4.21	19.11	8.06	4.7	13.83	6.36	9.27	1.89	6.11	17.9	11.82	48.87	50.98	126.12	113.56	125.24	29.7	38.95	36.01	28.86	19.97	32.36	74.58	115.16	138.1	120.94
PDSS1	48.52	82.29	43.02	57.89	72.01	75.11	67.59	57.89	88.26	76.71	76.71	209.84	111.99	371.22	251.48	358.54	226.54	121.79	283.05	163.28	97.36	169.07	175.07	251.48	493.56	409.15
PGA4	20.71	518.15	312.0	3982.99	65.26	45.85	80.01	211.31	2777.33	63.0	256.78	2263304.65	5235876.81	64632.75	4987895.16	6581567.44	9569418.63	1.835920079E7	5128124.01	3028138.0	6446120.72	1.138002091E7	9179599.9	48643.87	16496.96	59063.35
PSMB2	909.17	974.5	808.0	872.1	1001.93	825.0	796.86	915.51	785.88	796.86	921.88	1350.18	1757.34	1605.83	1685.71	1757.34	1037.29	1104.13	1088.92	1286.18	1350.18	1721.16	1551.09	1733.13	2816.11	1832.01
RAD51	21.94	38.12	13.72	11.82	15.22	7.28	14.35	23.08	26.28	41.52	29.7	117.6	99.43	295.11	244.57	297.17	141.02	74.06	85.82	93.35	79.45	116.78	183.82	249.73	299.25	248.0
RAD51AP1	24.28	49.91	19.68	7.69	31.22	16.88	13.62	11.04	28.04	54.33	18.97	132.44	105.89	191.67	169.07	229.72	123.5	76.71	57.08	108.14	64.34	132.44	154.42	157.68	244.57	172.65
SGOL1	2.51	9.63	0.0	4.46	5.23	3.08	3.32	0.0	4.39	12.93	5.87	78.89	45.53	116.78	98.73	195.72	35.25	45.85	37.85	47.84	32.82	82.29	120.94	107.38	127.89	147.06
SH3BP1	111.21	115.16	58.3	36.27	136.19	56.28	57.89	33.3	64.8	116.78	73.03	438.59	529.06	988.12	490.14	500.46	547.75	301.33	638.15	579.04	397.93	334.46	373.81	988.12	1583.71	1883.54
SPAG5	35.76	55.1	34.51	18.16	47.17	35.25	44.89	37.32	51.35	142.01	55.1	279.14	269.6	454.09	748.61	511.0	297.17	138.1	187.71	309.83	176.29	251.48	301.33	567.1	536.45	723.08
TP53	336.79	441.64	260.38	217.27	400.71	269.6	277.2	262.2	457.25	356.05	327.56	928.3	583.07	1066.48	493.56	1832.01	748.61	669.92	507.46	854.13	769.69	483.38	753.83	1191.69	2271.4	1167.14
USP6NL	134.3	145.02	143.01	139.07	177.53	115.16	133.36	124.37	171.45	157.68	175.07	279.14	123.5	231.32	217.27	248.0	208.38	273.37	164.42	208.38	197.09	201.25	256.78	325.29	387.02	267.73
YTHDF2	698.41	738.29	688.78	693.58	607.87	665.29	684.02	674.59	698.41	688.78	693.58	1059.11	890.44	1216.75	1037.29	1191.69	941.27	947.83	1096.5	878.17	848.22	796.86	1044.52	1030.12	1268.46	961.07
