	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.ZF29.2026.SM.4WWB7	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.13N1W.0826.SM.5MR5J	GTEX.1313W.0726.SM.5EGK1	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.RNOR.0926.SM.2TF56	GTEX.T2IS.0626.SM.32QP6	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZQ.0626.SM.59HJU	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3
AC018755.1	7.88	3.76	6.36	3.92	12.55	8.51	1.45	4.17	0.0	20.41	39.79	25.17	54.72	22.92	49.91	36.79	43.32	22.92	44.25	37.32	37.85	71.5	33.54	43.63	55.89	35.76	30.78	35.5	45.85	37.59	28.04	49.21
AK9	35.25	24.81	15.56	16.15	27.25	24.28	18.84	21.16	0.0	78.34	114.36	147.06	211.31	67.59	156.59	116.78	132.44	144.01	156.59	163.28	112.77	163.28	191.67	120.1	140.04	132.44	98.73	107.38	158.79	158.79	115.16	144.01
AP4B1	166.73	102.25	65.72	88.88	143.01	103.69	109.66	31.45	0.0	325.29	293.07	208.38	620.67	287.01	379.04	334.46	563.18	368.65	432.53	384.34	260.38	587.13	476.71	275.28	389.72	283.05	231.32	289.02	890.44	204.07	332.14	507.46
BLMH	291.04	162.14	202.66	189.02	217.27	221.86	53.19	171.45	0.0	414.87	420.68	231.32	460.44	463.65	417.77	571.05	457.25	363.56	575.03	346.29	376.41	738.29	432.53	450.94	444.72	395.18	325.29	454.09	543.96	521.76	318.57	536.45
BTC	10.16	5.45	3.47	5.63	8.71	9.85	4.62	8.45	0.0	86.43	100.13	73.03	161.02	77.79	127.89	68.55	115.97	150.17	105.89	131.51	106.63	226.54	223.41	119.26	122.64	104.42	70.51	111.99	156.59	105.15	119.26	129.69
C17orf75	191.67	131.51	126.12	149.12	156.59	175.07	151.22	93.35	0.0	389.72	426.57	417.77	490.14	389.72	476.71	397.93	420.68	320.8	414.87	518.15	400.71	503.95	450.94	551.56	403.5	341.51	511.0	348.71	624.99	476.71	543.96	435.55
C5orf54	19.11	12.45	5.82	6.26	12.83	18.29	2.1	2.78	0.0	76.71	93.35	92.05	201.25	72.52	108.9	95.34	149.12	105.89	145.02	127.89	57.89	198.47	187.71	94.01	138.1	76.71	71.0	119.26	214.27	83.45	120.1	170.25
CCDC102A	24.11	32.13	38.67	21.01	29.7	38.95	9.06	30.78	0.0	141.02	212.78	165.57	297.17	159.9	251.48	234.57	392.44	231.32	265.87	241.19	248.0	242.88	387.02	305.55	173.85	212.78	224.97	206.94	299.25	211.31	209.84	299.25
CCDC14	167.9	114.36	48.52	82.29	175.07	96.01	59.97	59.55	0.0	185.11	334.46	202.66	559.28	242.88	341.51	450.94	511.0	583.07	334.46	432.53	267.73	703.28	753.83	277.2	348.71	356.05	149.12	332.14	934.76	269.6	423.61	518.15
CCNDBP1	616.37	389.72	480.04	379.04	500.46	547.75	571.05	444.72	0.0	1407.55	1561.89	1487.87	1572.76	1313.23	1594.73	1617.0	1733.13	2104.58	1583.71	1685.71	1529.73	2047.0	1909.85	1745.2	974.5	1991.0	1709.26	1844.76	1508.65	1467.37	1605.83	1457.23
