	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.A3.3362.01A.02R.1325.07	TCGA.B4.5836.01A.11R.1672.07	TCGA.CJ.5684.01A.11R.1541.07	TCGA.B0.4818.01A.01R.1503.07	TCGA.BP.5199.01A.01R.1426.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.BP.4338.01A.01R.1289.07	TCGA.B4.5844.01A.11R.1672.07	TCGA.BP.4343.01A.02R.1289.07	TCGA.CJ.5679.01A.11R.1541.07	TCGA.CJ.6028.01A.11R.1672.07	TCGA.EU.5906.01A.11R.1672.07	TCGA.BP.4327.01A.01R.1289.07	TCGA.B0.4828.01A.01R.1277.07	TCGA.B0.4823.01A.02R.1420.07	TCGA.B8.A54F.01A.11R.A266.07	TCGA.DV.5566.01A.01R.1541.07	TCGA.B8.5163.01A.01R.1420.07	TCGA.BP.4349.01A.01R.1289.07	TCGA.BP.5007.01A.01R.1334.07	TCGA.A3.A6NI.01A.11R.A33J.07	TCGA.B4.5838.01A.11R.1672.07	TCGA.B0.4691.01A.01R.1277.07	TCGA.BP.4165.01A.02R.1289.07	TCGA.BP.4351.01A.01R.1289.07	TCGA.B0.4714.01A.01R.1277.07	TCGA.CJ.5683.01A.11R.1541.07	TCGA.CW.5580.01A.01R.1672.07	TCGA.BP.4985.01A.01R.1334.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.CJ.4869.01A.02R.1426.07	TCGA.CZ.4856.01A.02R.1426.07	TCGA.BP.5176.01A.01R.1426.07	TCGA.MM.A563.01A.11R.A266.07	TCGA.B0.4706.01A.01R.1503.07	TCGA.B8.5549.01A.01R.1541.07	TCGA.BP.5192.01A.01R.1426.07	TCGA.CJ.4923.01A.01R.1426.07	TCGA.CJ.4912.01A.01R.1426.07	TCGA.BP.5196.01A.01R.1426.07	TCGA.B8.5552.11A.01R.1672.07
ALKBH6	287.01	293.07	217.27	193.01	406.31	447.82	454.09	149.12	180.02	124.37	285.03	190.34	180.02	463.65	490.14	161.02	381.68	314.17	153.34	466.88	514.56	373.81	147.06	334.46	450.94	656.11	624.99	309.83	191.67	163.28	547.75	293.07	241.19	241.19	642.59	575.03	156.59	260.38	371.22	493.56	341.51	165.57
AP5Z1	264.03	397.93	253.23	346.29	426.57	616.37	379.04	273.37	237.86	171.45	466.88	265.87	260.38	555.41	616.37	275.28	521.76	287.01	291.04	503.95	454.09	466.88	189.02	638.15	571.05	693.58	872.1	325.29	223.41	248.0	928.3	493.56	264.03	303.44	656.11	684.02	299.25	269.6	660.68	769.69	381.68	99.43
AXIN1	221.86	262.2	185.11	262.2	289.02	426.57	289.02	228.13	236.21	133.36	309.83	279.14	190.34	341.51	400.71	228.13	348.71	281.09	172.65	343.89	264.03	460.44	171.45	309.83	295.11	320.8	297.17	346.29	255.0	229.72	291.04	316.37	183.82	242.88	460.44	454.09	236.21	237.86	412.0	329.84	406.31	107.38
C19orf60	555.41	819.3	435.55	607.87	1059.11	934.76	1225.22	547.75	314.17	693.58	1183.45	346.29	432.53	974.5	656.11	563.18	1073.91	802.41	423.61	825.0	684.02	1417.35	228.13	1639.59	1008.9	1051.79	961.07	587.13	341.51	293.07	896.64	1104.13	603.67	543.96	1757.34	1427.22	476.71	603.67	1350.18	1242.34	656.11	277.2
C9orf142	1143.1	808.0	473.41	620.67	1015.93	1519.15	1322.37	497.0	432.53	435.55	1044.52	281.09	444.72	896.64	1350.18	651.58	1088.92	848.22	460.44	1073.91	656.11	1467.37	255.0	1498.22	1427.22	1242.34	1883.54	1001.93	312.0	426.57	1487.87	1313.23	543.96	651.58	1769.57	1617.0	297.17	361.04	1639.59	974.5	1104.13	363.56
CABIN1	289.02	629.35	616.37	497.0	633.73	981.29	1001.93	256.78	514.56	180.02	796.86	361.04	599.49	780.44	775.05	507.46	612.11	417.77	480.04	785.88	571.05	791.35	559.28	656.11	703.28	1104.13	1015.93	620.67	493.56	397.93	896.64	674.59	414.87	559.28	842.36	878.17	384.34	486.75	988.12	785.88	563.18	358.54
CAMTA2	457.25	902.89	563.18	638.15	802.41	1268.46	1111.82	583.07	684.02	224.97	995.0	532.74	669.92	1447.15	1359.57	738.29	808.0	708.18	435.55	1340.84	1044.52	909.17	521.76	947.83	1208.34	1104.13	1044.52	748.61	713.11	878.17	1151.06	854.13	633.73	775.05	921.88	1073.91	599.49	753.83	1111.82	1313.23	1008.9	473.41
CC2D1A	1044.52	543.96	253.23	305.55	403.5	599.49	753.83	175.07	299.25	81.71	454.09	358.54	281.09	780.44	665.29	295.11	629.35	392.44	267.73	575.03	480.04	567.1	217.27	490.14	796.86	934.76	743.43	466.88	244.57	182.55	660.68	466.88	264.03	444.72	718.08	603.67	287.01	295.11	547.75	775.05	371.22	241.19
CCDC130	417.77	633.73	307.69	316.37	748.61	934.76	830.75	232.94	320.8	309.83	414.87	323.03	318.57	1104.13	860.08	262.2	915.51	358.54	244.57	941.27	684.02	785.88	171.45	878.17	866.07	1340.84	1199.98	403.5	320.8	224.97	995.0	525.39	242.88	323.03	1073.91	947.83	275.28	273.37	1001.93	1242.34	688.78	154.42
CCDC28B	129.69	115.97	120.1	107.38	134.3	316.37	129.69	43.63	99.43	96.68	76.71	64.8	96.01	211.31	163.28	130.6	231.32	125.24	164.42	201.25	120.94	182.55	39.5	409.15	218.79	341.51	202.66	127.0	115.97	114.36	239.52	223.41	121.79	114.36	373.81	208.38	80.01	81.71	444.72	301.33	220.32	88.88
