	TCGA.AK.3447.01A.01R.1766.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.BC.A10W.11A.11R.A131.07	GTEX.REY6.1226.SM.48FDR	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DJ.A2PV.01A.11R.A19O.07	TCGA.DJ.A3V8.01A.11R.A23N.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.E8.A414.01A.11R.A23N.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.IM.A41Z.01A.11R.A23N.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.H2.A26U.01A.11R.A16R.07	TCGA.EL.A3H7.01A.11R.A21D.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.EM.A1CS.01A.11R.A13Y.07	TCGA.BJ.A28R.01A.11R.A16R.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.BJ.A0ZB.01A.11R.A10U.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.ET.A3BO.01A.11R.A19O.07	TCGA.DE.A0XZ.01A.11R.A180.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.E3.A3DY.01A.11R.A20F.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.ET.A39T.01A.11R.A19O.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.FE.A237.01A.11R.A16R.07	TCGA.EL.A3CT.01A.12R.A206.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.EM.A1CT.01A.11R.A13Y.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.BJ.A18Z.01A.21R.A13Y.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.EL.A3D6.01A.12R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.DO.A1K0.01A.11R.A13Y.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.ET.A3BW.01A.11R.A19O.07	TCGA.EL.A3MZ.01A.11R.A21D.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A3SZ.01A.11R.A22U.07
AHDC1	7.0	42.41	143.01	40.36	49.21	107.38	463.65	423.61	346.29	457.25	406.31	409.15	780.44	265.87	334.46	583.07	316.37	267.73	305.55	336.79	500.46	417.77	624.99	438.59	329.84	947.83	612.11	221.86	202.66	497.0	376.41	571.05	466.88	220.32	332.14	348.71	551.56	420.68	529.06	743.43	563.18	612.11	312.0	262.2	688.78	660.68	368.65	532.74	511.0	571.05	518.15	514.56	540.19	307.69	384.34	351.14	403.5	503.95	684.02	441.64	660.68	656.11	384.34	532.74	656.11	420.68	379.04	389.72
AMER1	5.02	17.64	18.84	19.11	15.34	8.0	41.81	31.22	45.53	25.35	35.5	31.9	40.07	21.47	18.16	47.5	33.78	23.08	11.13	31.67	39.79	31.22	45.53	19.53	23.25	76.17	39.22	17.38	20.56	25.54	16.27	45.85	45.85	30.78	25.35	19.39	37.05	32.13	43.94	52.45	31.67	30.12	35.5	25.91	47.17	38.95	13.42	36.79	51.35	43.94	44.89	28.45	41.22	18.43	22.92	17.13	20.56	37.05	43.94	27.64	37.32	46.84	41.22	41.22	54.72	19.68	24.46	24.81
ANKS6	74.58	150.17	71.5	57.89	73.54	100.13	521.76	267.73	341.51	536.45	642.59	642.59	802.41	708.18	708.18	665.29	215.77	450.94	748.61	426.57	860.08	460.44	813.63	647.07	490.14	902.89	703.28	507.46	525.39	738.29	312.0	769.69	432.53	389.72	559.28	571.05	738.29	738.29	723.08	854.13	759.08	743.43	316.37	571.05	796.86	769.69	536.45	669.92	759.08	848.22	848.22	848.22	753.83	620.67	684.02	660.68	674.59	638.15	915.51	703.28	559.28	733.19	813.63	759.08	813.63	679.29	603.67	599.49
ARID1B	30.56	61.68	94.01	96.68	118.43	68.07	463.65	486.75	387.02	368.65	376.41	320.8	599.49	291.04	260.38	486.75	400.71	277.2	277.2	339.14	457.25	277.2	543.96	358.54	358.54	674.59	409.15	414.87	368.65	323.03	229.72	595.34	389.72	215.77	303.44	217.27	480.04	514.56	470.14	503.95	470.14	503.95	289.02	389.72	563.18	457.25	353.59	376.41	406.31	532.74	656.11	353.59	414.87	253.23	323.03	332.14	392.44	343.89	511.0	283.05	444.72	540.19	423.61	607.87	563.18	363.56	264.03	327.56
ATG9A	94.01	769.69	603.67	708.18	633.73	521.76	684.02	536.45	791.35	764.36	703.28	638.15	878.17	607.87	713.11	866.07	392.44	748.61	543.96	497.0	808.0	624.99	954.43	866.07	638.15	941.27	785.88	616.37	612.11	674.59	703.28	830.75	780.44	579.04	555.41	583.07	775.05	854.13	884.29	842.36	647.07	703.28	490.14	698.41	934.76	947.83	624.99	842.36	785.88	802.41	764.36	738.29	836.53	525.39	723.08	547.75	629.35	669.92	813.63	651.58	743.43	860.08	796.86	878.17	866.07	703.28	493.56	738.29
C22orf29	42.41	145.02	59.97	52.82	35.25	47.84	173.85	117.6	182.55	262.2	307.69	269.6	591.22	241.19	273.37	299.25	77.25	167.9	251.48	133.36	334.46	198.47	441.64	289.02	109.66	775.05	334.46	177.53	206.94	295.11	329.84	329.84	316.37	198.47	223.41	224.97	525.39	366.09	423.61	318.57	275.28	368.65	148.09	299.25	651.58	323.03	241.19	397.93	341.51	381.68	358.54	265.87	339.14	249.73	255.0	217.27	202.66	323.03	339.14	236.21	224.97	316.37	231.32	426.57	412.0	289.02	209.84	267.73
CBFA2T2	24.63	56.28	26.86	49.91	57.89	75.64	209.84	218.79	156.59	171.45	171.45	162.14	271.48	165.57	121.79	253.23	258.57	186.4	158.79	190.34	197.09	202.66	191.67	146.03	178.77	301.33	212.78	211.31	181.28	172.65	121.79	249.73	215.77	114.36	151.22	111.21	208.38	226.54	224.97	277.2	214.27	201.25	198.47	164.42	226.54	223.41	126.12	181.28	214.27	249.73	279.14	170.25	183.82	135.24	136.19	121.79	150.17	172.65	241.19	152.28	193.01	260.38	189.02	231.32	258.57	151.22	127.89	140.04
CCDC97	90.14	246.28	129.69	148.09	114.36	143.01	473.41	265.87	251.48	483.38	441.64	406.31	536.45	392.44	435.55	497.0	273.37	376.41	363.56	265.87	532.74	356.05	595.34	497.0	312.0	616.37	555.41	249.73	336.79	454.09	435.55	603.67	368.65	341.51	400.71	389.72	532.74	521.76	521.76	571.05	490.14	536.45	253.23	432.53	629.35	587.13	314.17	532.74	503.95	595.34	547.75	486.75	503.95	432.53	435.55	348.71	444.72	438.59	575.03	406.31	525.39	493.56	463.65	486.75	563.18	490.14	420.68	438.59
CELSR2	9.34	66.18	116.78	10.55	78.34	46.84	647.07	256.78	336.79	808.0	836.53	860.08	1096.5	733.19	941.27	896.64	366.09	376.41	624.99	540.19	988.12	511.0	854.13	872.1	486.75	1159.07	934.76	698.41	525.39	842.36	733.19	988.12	529.06	559.28	638.15	665.29	981.29	764.36	723.08	753.83	753.83	1208.34	353.59	642.59	802.41	769.69	529.06	836.53	884.29	1119.56	1151.06	1081.39	934.76	624.99	753.83	703.28	703.28	616.37	1208.34	785.88	412.0	1030.12	902.89	753.83	759.08	688.78	571.05	764.36
CEP170B	31.9	197.09	144.01	115.97	139.07	176.29	708.18	309.83	307.69	743.43	819.3	708.18	928.3	679.29	780.44	909.17	540.19	450.94	808.0	325.29	988.12	409.15	1259.69	1008.9	417.77	1037.29	1044.52	470.14	511.0	703.28	629.35	1167.14	599.49	460.44	674.59	642.59	1051.79	890.44	961.07	1059.11	967.76	1119.56	555.41	651.58	848.22	1023.0	555.41	1059.11	1119.56	1175.27	974.5	1051.79	988.12	693.58	836.53	684.02	848.22	836.53	1268.46	738.29	854.13	1135.2	1008.9	1051.79	753.83	896.64	698.41	813.63
