	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.G2.A2EJ.01A.11R.A180.07	TCGA.C4.A0F1.01A.11R.A034.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.EK.A2H0.01A.11R.A180.07	GTEX.UPIC.1026.SM.4IHLT	TCGA.CV.6961.01A.21R.1915.07	TCGA.CV.6951.01A.11R.1915.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.CV.7253.01A.11R.2016.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CR.7372.01A.11R.2016.07	TCGA.CR.6492.01A.12R.2081.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.6229.01A.11R.1915.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.P3.A6T7.01A.11R.A34R.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.5432.01A.02R.1686.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.CC.A7IL.01A.11R.A33R.07
ALKBH5	860.08	525.39	1519.15	450.94	616.37	607.87	1199.98	1191.69	1936.53	1015.93	995.0	1769.57	854.13	551.56	674.59	718.08	896.64	2451.44	1175.27	616.37	825.0	1359.57	941.27	1277.29	612.11	1662.49	884.29	2468.49	543.96	397.93
ANKFY1	72.52	193.01	223.41	307.69	212.78	185.11	961.07	193.01	429.54	289.02	348.71	309.83	177.53	260.38	267.73	212.78	366.09	595.34	426.57	137.14	301.33	435.55	253.23	373.81	111.99	215.77	241.19	346.29	55.49	53.57
C17orf49	1498.22	884.29	6037.61	2555.58	1233.75	1437.15	2104.58	1605.83	3257.52	1286.18	2384.37	1781.89	1551.09	1037.29	941.27	1059.11	1883.54	2075.59	2209.26	1073.91	1540.37	3303.0	1191.69	1322.37	1008.9	3060.45	1617.0	3103.19	392.44	559.28
C17orf59	248.0	77.79	435.55	460.44	137.14	97.36	384.34	101.54	353.59	291.04	447.82	251.48	147.06	226.54	171.45	71.0	170.25	497.0	262.2	130.6	218.79	426.57	208.38	265.87	126.12	289.02	323.03	318.57	69.52	117.6
C1QBP	2609.3	2133.97	7857.29	3515.68	1498.22	2193.99	4543.8	1628.26	3820.7	4181.07	5555.65	5441.3	1819.35	1832.01	4543.8	1583.71	3372.43	6250.56	3614.55	2032.85	4298.64	5791.62	1857.6	3372.43	1639.59	4010.71	3742.05	8078.22	579.04	813.63
CAMTA2	356.05	269.6	1183.45	457.25	460.44	460.44	1870.53	417.77	934.76	647.07	738.29	1001.93	563.18	420.68	616.37	281.09	571.05	1023.0	854.13	525.39	785.88	1167.14	447.82	780.44	323.03	1151.06	775.05	723.08	283.05	206.94
CLUH	665.29	595.34	1594.73	1685.71	854.13	665.29	3665.02	571.05	1259.69	1259.69	1977.24	854.13	543.96	860.08	1268.46	620.67	1096.5	1832.01	1233.75	733.19	1498.22	1583.71	785.88	1313.23	808.0	1104.13	1135.2	1662.49	708.18	995.0
CNTROB	368.65	206.94	1233.75	571.05	429.54	441.64	884.29	412.0	743.43	403.5	647.07	967.76	289.02	251.48	454.09	193.01	500.46	647.07	620.67	332.14	521.76	728.11	371.22	511.0	283.05	866.07	356.05	1096.5	206.94	115.97
COPS3	961.07	633.73	2018.8	1259.69	748.61	780.44	1794.29	1096.5	1583.71	1159.07	1605.83	1519.15	854.13	830.75	1407.55	769.69	1208.34	1721.16	1529.73	819.3	1096.5	2032.85	890.44	1447.15	698.41	1277.29	974.5	2468.49	236.21	334.46
COX10	104.42	142.01	587.13	237.86	107.38	108.14	426.57	153.34	323.03	195.72	279.14	279.14	128.79	120.1	224.97	120.94	226.54	351.14	253.23	104.42	214.27	395.18	175.07	260.38	144.01	221.86	187.71	320.8	55.1	38.12
