	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.T6MO.0526.SM.4DM6R	GTEX.WRHK.0526.SM.4MVOF	GTEX.R55C.0826.SM.48FCL	GTEX.13QJ3.1726.SM.5RQK9	GTEX.S95S.0426.SM.4B64I	GTEX.ZT9W.1326.SM.51MTB	GTEX.TML8.1526.SM.4DXUX	GTEX.VUSG.1226.SM.4KKZF	GTEX.OIZG.1026.SM.3LK5X	TCGA.CV.6962.11A.01R.1915.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.DD.A39X.11A.11R.A213.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.RNOR.1426.SM.48FDJ	GTEX.145LU.1326.SM.5LU9N	GTEX.11NUK.1226.SM.5P9GM	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.XBEC.1526.SM.4AT68	GTEX.13NZB.0626.SM.5IFH6	GTEX.RN64.1826.SM.48FDV	GTEX.13OW6.2626.SM.5IFF2	GTEX.13112.1426.SM.5EGH8	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
ABCF2	366.09	830.75	1151.06	915.51	802.41	941.27	830.75	1059.11	587.13	698.41	620.67	1167.14	1051.79	575.03	466.88	420.68	733.19	301.33	500.46	444.72	429.54	497.0	441.64	441.64	432.53	182.55	175.07	114.36	163.28	123.5	142.01	137.14	220.32	183.82	140.04	158.79	149.12	981.29	728.11	1388.16	647.07	743.43	842.36
ACLY	2119.22	1111.82	921.88	854.13	915.51	866.07	1127.35	902.89	738.29	775.05	842.36	1508.65	848.22	620.67	860.08	575.03	656.11	470.14	708.18	616.37	500.46	575.03	493.56	669.92	334.46	242.88	228.13	164.42	136.19	154.42	117.6	173.85	220.32	329.84	218.79	253.23	183.82	825.0	555.41	1540.37	414.87	583.07	497.0
ACTR3	3955.48	6164.49	5366.37	3982.99	5219.6	4481.23	5076.84	4972.34	7130.55	5872.48	5219.6	5292.48	5329.3	7433.4	3665.02	3955.48	3716.2	2178.83	3124.78	3982.99	3928.15	4358.66	3690.52	4704.07	6381.92	723.08	915.51	438.59	387.02	486.75	376.41	525.39	480.04	483.38	325.29	723.08	591.22	8901.53	8963.45	7331.05	6037.61	6607.01	7280.4
ADAM17	679.29	332.14	463.65	303.44	361.04	264.03	444.72	547.75	277.2	341.51	389.72	620.67	249.73	239.52	189.02	239.52	307.69	140.04	228.13	212.78	208.38	267.73	214.27	327.56	301.33	34.51	59.97	32.13	49.91	34.75	13.83	55.49	45.85	78.89	47.84	73.54	41.22	403.5	525.39	915.51	368.65	395.18	332.14
ANXA1	1970321.01	721179.07	573724.06	345900.08	509950.32	682276.92	517068.97	614902.29	1355129.16	711250.37	453265.5	365622.68	329517.51	1364554.84	233003.78	218912.29	194578.47	136637.07	190574.09	200048.85	190574.09	225066.78	205673.01	236256.4	437825.58	299.25	1508.65	928.3	529.06	256.78	351.14	555.41	718.08	395.18	595.34	698.41	420.68	573724.06	958220.73	834179.46	863596.77	554180.87	789181.81
ATP2A2	4210.15	4937.99	4575.41	4512.4	5329.3	4095.0	5791.62	5751.61	4419.52	6471.02	4937.99	4802.93	5555.65	3395.89	2855.44	3955.48	3419.52	2240.11	2701.35	3060.45	3060.45	3081.75	2627.46	3690.52	1397.83	775.05	1015.93	587.13	583.07	665.29	660.68	974.5	890.44	1561.89	813.63	733.19	651.58	4704.07	6426.31	10883.59	5594.3	5791.62	5219.6
CAMSAP2	195.72	258.57	327.56	356.05	514.56	262.2	435.55	400.71	265.87	241.19	327.56	397.93	275.28	244.57	129.69	208.38	246.28	339.14	157.68	129.69	138.1	332.14	211.31	255.0	176.29	42.11	58.3	41.81	88.26	41.22	46.84	57.89	39.22	95.34	16.51	86.43	75.64	314.17	334.46	447.82	199.85	228.13	314.17
CAV2	253.23	1467.37	2163.77	1896.65	1991.0	2133.97	2434.5	2148.82	1350.18	1572.76	2384.37	3081.75	2367.9	1111.82	420.68	981.29	679.29	620.67	400.71	674.59	503.95	620.67	447.82	813.63	651.58	395.18	620.67	543.96	273.37	244.57	139.07	190.34	429.54	265.87	175.07	642.59	258.57	2104.58	2816.11	2701.35	1322.37	1295.13	2178.83
CCDC86	341.51	738.29	1159.07	830.75	595.34	941.27	848.22	629.35	450.94	679.29	547.75	1208.34	860.08	447.82	441.64	403.5	603.67	258.57	376.41	376.41	201.25	420.68	361.04	444.72	264.03	158.79	178.77	153.34	101.54	120.1	223.41	173.85	183.82	209.84	173.85	164.42	142.01	961.07	713.11	1745.2	688.78	890.44	934.76
CCNK	723.08	836.53	967.76	791.35	1066.48	1037.29	1037.29	769.69	854.13	1104.13	1023.0	1331.57	738.29	718.08	647.07	665.29	915.51	511.0	688.78	708.18	808.0	595.34	591.22	723.08	368.65	206.94	226.54	253.23	229.72	217.27	145.02	228.13	234.57	199.85	241.19	273.37	205.5	599.49	896.64	1111.82	669.92	525.39	603.67
CUL1	441.64	688.78	796.86	1001.93	995.0	665.29	1030.12	1378.57	660.68	718.08	660.68	1183.45	878.17	612.11	647.07	785.88	748.61	438.59	642.59	638.15	647.07	660.68	612.11	651.58	620.67	563.18	660.68	497.0	463.65	403.5	518.15	536.45	497.0	660.68	441.64	483.38	612.11	1088.92	748.61	1037.29	633.73	764.36	764.36
