	TCGA.BH.A1FD.11B.21R.A13Q.07	TCGA.BH.A1F0.11B.23R.A137.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.E9.A1NG.11A.52R.A14M.07	TCGA.A7.A0DB.11A.33R.A089.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.BH.A1EN.11A.23R.A13Q.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.E9.A1RB.11A.33R.A157.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	TCGA.E2.A1BC.11A.32R.A12P.07	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.Y5V5.2126.SM.4WWFO	GTEX.T6MO.0326.SM.32QOK	GTEX.S32W.2026.SM.4AD6E	GTEX.132AR.0826.SM.5EGK6	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.SE5C.2126.SM.4BRUJ	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.XUW1.2326.SM.4BOO5	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	GTEX.133LE.1726.SM.5K7VQ	TCGA.JW.A5VL.01A.11R.A28H.07	TCGA.DS.A1O9.01A.11R.A14Y.07	TCGA.EA.A3HS.01A.11R.A213.07	TCGA.VS.A9UM.01A.11R.A42T.07	GTEX.13OVG.1426.SM.5K7VP	GTEX.12WSJ.1426.SM.5GCON	GTEX.13W3W.2126.SM.5K7UX	GTEX.12WSJ.1526.SM.5GCNI	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.P3.A6T3.01A.11R.A34R.07	TCGA.CV.A6K2.01A.11R.A31N.07	TCGA.CN.5364.01A.01R.1436.07	TCGA.CV.6936.01A.11R.1915.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.CN.6994.01A.11R.1915.07	TCGA.CN.4741.01A.01R.1436.07	TCGA.CQ.6223.01A.11R.1915.07	TCGA.BA.4077.01B.01R.1436.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7416.11A.01R.2081.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	GTEX.1399S.0526.SM.5IJG8	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.1313W.0926.SM.5EQ56
ABCC9	242.88	201.25	255.0	785.88	1143.1	872.1	591.22	493.56	775.05	842.36	373.81	665.29	579.04	769.69	995.0	915.51	559.28	713.11	1151.06	796.86	514.56	444.72	563.18	450.94	164.42	262.2	231.32	414.87	559.28	466.88	204.07	423.61	371.22	511.0	220.32	361.04	305.55	389.72	157.68	1.77	14.24	10.55	12.27	102.97	159.9	71.5	194.36	11.3	7.94	6.06	25.35	13.72	3.72	36.79	6.94	4.82	7.17	20.71	3.59	3.63	17.0	164.42	0.0	0.28	139.07
ACAD11	420.68	281.09	470.14	669.92	595.34	759.08	854.13	327.56	336.79	785.88	343.89	620.67	547.75	392.44	579.04	693.58	473.41	368.65	921.88	854.13	417.77	514.56	320.8	242.88	460.44	356.05	417.77	480.04	195.72	291.04	255.0	231.32	392.44	309.83	525.39	236.21	291.04	269.6	295.11	74.58	186.4	426.57	189.02	175.07	241.19	185.11	253.23	157.68	122.64	110.43	65.72	120.94	73.54	248.0	379.04	112.77	84.63	102.97	44.57	76.17	37.05	323.03	0.0	0.89	189.02
ACYP2	624.99	629.35	819.3	669.92	884.29	599.49	813.63	674.59	612.11	693.58	450.94	679.29	612.11	511.0	665.29	616.37	785.88	532.74	679.29	599.49	567.1	743.43	878.17	1322.37	559.28	1030.12	759.08	412.0	432.53	785.88	351.14	1175.27	1119.56	1709.26	579.04	567.1	435.55	579.04	480.04	135.24	271.48	146.03	217.27	441.64	343.89	397.93	409.15	165.57	228.13	157.68	208.38	132.44	246.28	191.67	249.73	129.69	246.28	346.29	285.03	170.25	361.04	269.6	0.0	0.47	579.04
ADAMTS12	334.46	173.85	327.56	444.72	400.71	265.87	457.25	260.38	224.97	343.89	249.73	277.2	358.54	299.25	409.15	540.19	271.48	185.11	379.04	336.79	638.15	232.94	389.72	231.32	212.78	151.22	297.17	234.57	186.4	193.01	94.67	332.14	470.14	642.59	138.1	718.08	363.56	182.55	161.02	5.73	57.89	14.03	30.12	59.97	37.05	71.0	27.25	52.82	29.91	11.82	77.79	47.17	35.25	166.73	34.26	5.68	29.7	49.21	1.07	8.58	8.06	60.39	0.0	0.58	13.72
AIDA	2163.77	1819.35	2090.03	2682.69	3639.7	3146.52	2520.38	2133.97	2271.4	2367.9	1950.0	2645.74	2400.97	2163.77	2537.92	2855.44	2502.97	2335.28	2895.31	2835.7	2178.83	2537.92	2956.17	2018.8	1359.57	1685.71	1909.85	2240.11	2104.58	1923.14	1896.65	2119.22	2645.74	2303.12	1769.57	1991.0	2133.97	1551.09	1059.11	802.41	1322.37	785.88	974.5	995.0	1073.91	1030.12	1081.39	490.14	848.22	536.45	791.35	974.5	624.99	447.82	525.39	454.09	1008.9	665.29	521.76	624.99	532.74	872.1	0.0	0.48	1605.83
ALG9	808.0	591.22	934.76	1216.75	1059.11	1151.06	1551.09	743.43	848.22	1216.75	656.11	836.53	836.53	738.29	928.3	1143.1	796.86	708.18	1088.92	1081.39	830.75	1081.39	738.29	769.69	878.17	796.86	769.69	2004.85	2451.44	995.0	743.43	2367.9	1233.75	775.05	607.87	1250.98	1457.23	896.64	536.45	194.36	220.32	376.41	289.02	571.05	444.72	660.68	444.72	429.54	234.57	500.46	363.56	258.57	397.93	332.14	158.79	269.6	234.57	423.61	563.18	387.02	426.57	559.28	0.0	0.69	1733.13
ANGPT1	426.57	275.28	329.84	595.34	1250.98	555.41	738.29	483.38	275.28	1066.48	226.54	423.61	356.05	567.1	1081.39	583.07	563.18	339.14	493.56	836.53	182.55	403.5	890.44	303.44	163.28	525.39	167.9	521.76	267.73	269.6	104.42	134.3	780.44	1167.14	262.2	348.71	99.43	255.0	164.42	1.87	23.76	7.46	9.56	248.0	41.81	244.57	55.89	13.72	1.57	6.78	9.2	12.0	9.93	18.7	5.11	12.93	20.71	5.96	5.59	6.52	18.56	139.07	0.0	0.27	99.43
ANO6	2591.27	1697.45	1651.0	3614.55	3303.0	3303.0	2835.7	2351.53	2485.67	2739.08	2209.26	3103.19	3874.05	2609.3	3515.68	5441.3	2758.13	2645.74	4903.87	4010.71	2758.13	2609.3	5872.48	3124.78	1508.65	2384.37	2400.97	1397.83	2287.2	2240.11	1806.78	2032.85	3982.99	2502.97	1417.35	2915.45	2271.4	1794.29	854.13	248.0	363.56	403.5	525.39	444.72	476.71	429.54	493.56	441.64	346.29	490.14	525.39	229.72	660.68	909.17	256.78	450.94	612.11	339.14	258.57	178.77	148.09	896.64	397.93	66.18	830.75
AP3S2	1088.92	909.17	738.29	1066.48	1697.45	1447.15	1066.48	890.44	808.0	1242.34	743.43	1167.14	1127.35	878.17	1208.34	1508.65	1111.82	1286.18	1477.58	1183.45	1030.12	1208.34	1259.69	780.44	438.59	1088.92	1111.82	368.65	759.08	612.11	836.53	775.05	743.43	1594.73	591.22	718.08	1066.48	511.0	1008.9	532.74	299.25	305.55	318.57	435.55	647.07	669.92	660.68	264.03	329.84	490.14	287.01	271.48	559.28	463.65	438.59	414.87	612.11	204.07	269.6	334.46	389.72	674.59	323.03	69.03	497.0
APOL6	571.05	698.41	679.29	1407.55	1697.45	2178.83	872.1	1268.46	1183.45	1322.37	1044.52	1551.09	967.76	1268.46	1561.89	1350.18	1111.82	884.29	2178.83	1242.34	1015.93	1832.01	4181.07	1896.65	921.88	753.83	1030.12	567.1	1331.57	872.1	435.55	1250.98	2133.97	1819.35	665.29	1832.01	909.17	460.44	473.41	356.05	444.72	236.21	320.8	295.11	463.65	540.19	620.67	199.85	133.36	293.07	303.44	438.59	603.67	371.22	181.28	348.71	529.06	64.8	67.59	371.22	72.01	185.11	503.95	934.76	902.89
