	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.05.5420.01A.01R.1628.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13NYS.1626.SM.5J2MU	GTEX.12WSI.0826.SM.5EGKD	GTEX.145MH.0626.SM.5NQAK	GTEX.13O3O.0726.SM.5J1N7	GTEX.YECK.0926.SM.4W214	GTEX.U8XE.1426.SM.3DB8Q	GTEX.11UD2.0726.SM.5EQ69	GTEX.WWYW.0926.SM.3NB2Z	GTEX.111FC.1126.SM.5GZWU	GTEX.X3Y1.0626.SM.3P5YS	GTEX.11ZUS.0126.SM.5EQM5	GTEX.1497J.0326.SM.5Q5CN	GTEX.ZPU1.0926.SM.57WDO	GTEX.12ZZW.0926.SM.5LZUD	GTEX.XBEW.0226.SM.4AT6A	GTEX.QESD.0626.SM.2I5G4	GTEX.ZE7O.0826.SM.57WCP	GTEX.ZUA1.1026.SM.4YCEA	GTEX.111VG.0726.SM.5GIDC	GTEX.RTLS.0926.SM.2TF5X	GTEX.ZYVF.1726.SM.5E443	GTEX.11ZTT.0626.SM.5EQLM	GTEX.ZYWO.0826.SM.5E45W	TCGA.66.2778.01A.02R.0851.07	TCGA.66.2771.01A.01R.0980.07
ABCC9	16.51	1.71	31.45	0.0	0.28	316.37	135.24	226.54	68.07	232.94	62.56	17.13	144.01	150.17	159.9	381.68	52.45	128.79	197.09	74.58	85.22	193.01	209.84	339.14	177.53	121.79	88.88	39.22	19.82	18.97
ADAMTS7	20.56	1.62	26.67	0.0	0.53	104.42	228.13	115.97	68.55	466.88	18.56	38.67	50.27	277.2	32.36	373.81	41.81	75.64	111.99	41.22	31.22	228.13	265.87	339.14	71.0	127.0	35.25	22.59	11.64	12.83
AFAP1L2	144.01	95.34	30.34	0.0	0.47	156.59	241.19	591.22	103.69	285.03	94.01	275.28	195.72	251.48	202.66	444.72	88.26	156.59	301.33	72.01	121.79	211.31	616.37	612.11	176.29	137.14	169.07	111.99	49.91	29.91
AL163636.6	4.9	88.26	275.28	0.0	0.03	854.13	764.36	1388.16	285.03	633.73	195.72	248.0	249.73	733.19	1073.91	2664.15	177.53	1651.0	1498.22	934.76	159.9	1806.78	249.73	703.28	1191.69	486.75	1143.1	111.21	67.12	59.13
ANKRD53	6.67	1.27	10.31	0.0	0.33	65.26	47.5	82.87	17.64	82.87	22.92	19.25	53.19	55.1	138.1	85.22	30.34	37.05	58.3	108.9	36.27	82.87	81.71	120.94	47.17	30.78	97.36	36.53	7.94	14.03
ASPA	1.6	7.46	14.24	0.0	0.16	61.25	57.89	141.02	24.99	111.99	23.42	20.26	37.05	137.14	61.25	215.77	25.72	71.5	49.56	109.66	23.93	198.47	229.72	271.48	127.89	28.86	56.68	4.1	1.46	17.77
ATP1B2	3.86	2.53	2.29	0.0	0.01	202.66	87.65	172.65	34.51	98.04	8.65	44.25	87.65	134.3	109.66	303.44	18.56	83.45	178.77	53.19	26.28	320.8	133.36	171.45	194.36	72.01	59.55	15.0	2.51	2.43
C1QTNF2	2.56	20.71	10.08	0.0	0.0	49.21	85.22	251.48	45.85	208.38	10.24	10.31	85.22	167.9	42.71	178.77	101.54	138.1	59.97	88.26	10.08	167.9	237.86	191.67	76.71	59.55	85.82	25.91	7.46	9.78
CD34	170.25	133.36	156.59	0.0	0.0	1467.37	2701.35	4512.4	237.86	5329.3	830.75	848.22	1639.59	1819.35	1857.6	4512.4	1617.0	1639.59	3168.41	2148.82	249.73	2855.44	3168.41	2384.37	2271.4	698.41	1896.65	483.38	100.13	173.85
COX4I2	47.84	15.91	150.17	0.0	0.21	1388.16	2193.99	3589.58	1111.82	3515.68	156.59	518.15	708.18	3982.99	890.44	3639.7	500.46	1529.73	2976.74	1167.14	460.44	3212.66	2351.53	2835.7	2133.97	1572.76	819.3	251.48	180.02	232.94
